,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.09338029599498328,0.0,0.05506401252058651,0.03195996480174504,0.020470146107846886,0.07477870312425558,0.03979691630579925,0.05357438617127715,0.005915936079144886,0.018130932100267706,0.02516086526414465,0.02969359828921158,0.016620021091912063,-0.001826883270817325,0.056669055683034146,0.06275526903454927,-0.014050872809847011,-0.00402040228830506,-0.020944104501539405,-0.026368994502968705,0.014362648097285477,0.03970278415170724,-0.001826883270817325,-0.009496855125733812,0.0043321775757435245,0.006619828747323269,0.006619828747323269,0.01964184310862335,0.010576377058489496,0.07278573955609123,0.0015109110083556421,0.024636243386243387,0.0027484190723421663,0.028161402621809654,0.00041819858266987,0.017375476596089887,0.0,0.0143536545793786,0.028067270467717655,0.013555629757108213,0.02969359828921158,0.01964184310862335,0.023513252783604447,-0.014145004963939015,0.01964184310862335,0.0143536545793786,-0.015655915972294657,-0.014145004963939015,0.006619828747323269,-0.016411371476472477,0.00679909953760039,0.0160953992140108
S1_D3 hbo,0.0,-0.0827393836322408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014781746031746033,0.0,0.0,0.0,0.14512987012987014,0.08062770562770563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08129960317460318,0.19350649350649352,0.0,0.33393308080808076,0.0,0.0,0.0,0.0,0.029563492063492066,0.0,0.0,-0.17526927437641723,0.0,0.014781746031746033,0.0,0.0,0.0,0.0,0.13303571428571428,0.0,0.0,0.0,0.0,0.11825396825396826,0.0
S2_D1 hbo,0.04429192475107859,0.0,0.007129125505027243,0.02615919234899543,-0.0010934396560249569,0.05219095710663268,0.04519594807662657,0.010223564317929692,0.03213539942434464,-0.0313961938961939,-0.04215117041203997,-0.026531962528258096,-0.02739286761025891,0.0015853427751458598,0.02086108991938588,0.007505431859594459,0.04400252704015622,0.014919017938612403,-0.013176552850465895,-0.0050530485313094,0.014607637331365156,0.0013080972624743374,-0.010328919682594858,0.0009501809804012958,0.047075655113284286,-0.010328919682594858,0.018914384017230577,-0.005536975102192494,0.01167788667788668,0.03812058964866529,-0.028567944328813894,0.01590860559470425,-0.0234760261934175,-0.0011845402906038502,-0.020322300340335046,-0.013202303963173529,0.0,0.01167788667788668,-0.025875738375738377,-0.01926097930923433,0.030984848249422246,-0.005303271607619433,-0.021420428751292474,-0.008930291538987192,-0.023653611697089957,-0.005954151189577196,-0.018297069776402986,-0.035542123042123036,-0.031500045896127,-0.025593204941031025,-0.008235915693509763,-0.008115295729840474
S2_D2 hbo,0.016721633524290187,0.0,0.011956125915699563,-0.02750104352442523,-0.0018089451210294564,0.01631422073141997,-0.014052210091781663,-0.0040079464471003134,-0.037315786953471104,-0.04299065713814457,-0.045504915853678975,0.0030727877527116014,-0.04087648984300509,0.013898675048932805,-0.00306607447879666,0.035537684338931064,0.019965335066904004,0.030555073316994197,-0.015152303205080434,-0.023518206524521277,0.032440767353645,0.030555073316994197,0.018574818168720177,-0.014551778288058552,0.020880696215697478,0.028502856548251083,0.041016242157181755,-0.0016602104636582054,-0.01795293723283276,0.013165886664508198,0.0006285646788836016,0.0,-0.03530249780652742,-0.007632549963074167,-0.016409432562847638,0.016971246329857245,0.0,0.011314164219904829,-0.025083626314443764,-0.006168014236359613,-0.005464733728635486,0.022628328439809657,0.004094537722194648,-0.011609388390267497,0.00674364617797231,0.009562483523125505,-0.01670864583504675,0.008537112153679395,-0.004590604716851965,-0.0334604783213351,0.014352336836077747,0.024399180838587484
S2_D4 hbo,0.020656336110708776,0.0,0.005574100033098518,0.025804792750447534,-0.028502964997452838,0.03294564616571226,0.009804241501038851,-0.002243148375956486,0.024304022717719177,-0.045646151560710196,-0.04711337422254809,-0.01303910206034379,-0.03910401353803437,0.0017935458176374821,0.01570949596647022,0.013579497274341847,0.015199493472059534,0.02855302240873711,-0.012999704138184631,-0.017526299721831708,0.024304022717719177,0.020158676763490462,0.004501389031996572,0.00897619748748827,0.040612913907234524,0.013676265879287207,0.017442477424051705,0.0041620297747719396,4.901455770652267e-05,0.015318719637048856,-0.017715950300219965,0.0,-0.025678907242222215,-0.021823671925901157,-0.026663295699002842,-0.00033828079990895417,0.0,0.010941495611306933,-0.0238065502744267,-0.0038496413066243444,0.0202690407530933,0.004810658311294309,-0.00712373318206082,-0.005981904336831454,-0.009069962600033746,0.012085106323150522,-0.016125273215547794,-0.00525029775694963,-0.018162895984540094,-0.02266089616233842,0.009188737046522682,0.010005079957535879
S3_D1 hbo,0.04329665278246838,0.0,0.04871474422117153,0.017015895426553428,0.004521436206695264,-0.1857154029909398,-0.007384140039651276,0.05300966317268524,0.008760947356790541,-0.010891590678824723,-0.013840077254305977,0.030409452903173356,-0.010891590678824723,0.03251424902331127,0.014881180396596081,-0.06689407085616841,-0.015694495910832596,0.031924551708215024,0.002247973657548125,-0.026334536474164137,0.04217266595369432,-0.026006882647551615,-0.07071086194306109,0.01179476064350966,-0.032127115687357155,-0.049594081897709606,0.034873038283696284,0.021229103343465047,-0.012605274822695037,0.02083356134897704,0.0011793946301925026,-0.08407606869908457,-0.021027260638297875,0.009294422528883723,0.017914993683315197,0.015921827507598785,0.0,0.011204248986828773,0.07608794081287186,0.01544457447850868,-0.0005318464889239141,0.021229103343465047,0.02257635006108213,0.007555249493414388,0.019460011398176293,0.022153690491825837,-0.009264861929361538,0.00814494680851064,0.01662396910870118,-0.02810362841945289,-0.039793995125193056,0.0284971834204744
S3_D3 hbo,0.043102199055990525,0.0,0.05654413042964584,0.016102699548345284,-0.005277751556631892,0.028536458001801608,-0.20815896723405608,0.04227590142874504,0.005200286154077628,-0.02108293905168905,-0.02771577380952381,0.03061342893985074,-0.016818973850223854,0.04635799133725674,0.022906182729198133,0.05867611303037843,-0.01635081337391763,0.033213572016889556,0.0,-0.27275164072039076,0.04215465123344271,0.048313712080003554,-0.1372579155310198,0.03185287538071898,0.05056133144107077,0.049437521760537166,0.02842082124146698,0.020846052096052097,-0.018240295584045586,0.011359347000638472,0.0018950956450956454,0.037830060934326344,-0.025346904253154258,-0.0031457689558992866,0.02113795071437252,0.01800340862840863,-0.25128968253968254,0.01800340862840863,0.005685286935286935,0.04221527633109387,0.005977185553607355,0.04186275261512228,0.04718990239946994,0.008527930402930404,0.04186275261512228,0.01800340862840863,-0.022151737069539205,0.008527930402930404,0.020014141033838907,-0.016108312983312983,0.01693461061055848,0.021551099527995266
S3_D4 hbo,0.03253369781631631,0.0,0.03358842260262401,0.019381420760153017,0.014862160826880345,0.06500613216672343,0.05170748419477303,-0.37322417575414774,0.015831778163310117,0.008243468573859733,-0.013641823517934668,0.012602530860244009,0.0006551589844093528,0.017501897609544268,0.04004691720875623,0.01470196317999195,-0.05613138244653275,0.01712179079351668,-0.005733118634707493,0.01949241234955521,0.021320655433012557,0.012602530860244009,0.014862160826880345,0.02761052093715699,0.04084790544319821,0.014862160826880345,0.027290125643380195,-0.010642990848772328,0.014244455178521112,0.0660326618250741,0.0,0.026474769012082445,-0.0027342859655451537,0.014862160826880345,0.014143969053883503,0.018742704182264622,0.0,-0.29992075232459847,0.007857424816075776,0.018411803423723245,0.04159761361048879,0.01873219871750004,0.013892543490450575,-0.0038641009488633218,0.006304233901000192,-0.017749460240886014,-0.002482860402112222,-0.001604470982226986,0.007113653590541565,0.007845672094639688,-0.012978774744180412,0.0017790370259711452
S3_D5 hbo,0.00575177388929262,0.0,0.007262555709223382,-0.015196958921725082,-0.021977312819594138,0.018281696673287766,-0.010164833303656497,-0.00949668650499333,-0.019050518057085637,-0.04427786676771925,-0.0504319535074866,-0.002591002077491124,-0.029162940131630042,0.007551118151589881,0.017313037240271684,0.04369377222262774,0.0014465129164476175,0.024831681708863587,-0.016968995067883026,-0.0313705492109914,0.02618752736223998,0.03757491927471714,-0.0004496818695486758,0.00596481111830488,0.015013357714005844,0.007513401803720449,0.02836323328389821,0.021133660104557375,-0.015492922773321883,0.021083068388547732,0.010941410747543625,0.0034376153562200077,-0.029019429890574953,-0.024616994582377073,-0.017392957040356403,0.027284092398517267,0.0,0.011314164219904829,-0.024762524791367934,0.008750994525040166,0.002188642968208703,0.021415052431732008,0.003262155698654103,-0.01659136900111187,0.005554757627343457,0.013134078232021302,-0.022560898517801072,-0.004942213915522946,-0.010887950985457239,-0.025917884772218455,0.018071234517903552,0.02900411822522976
S4_D2 hbo,0.01497460073822315,0.0,-0.018632720603033066,-0.009731081678333373,-0.04385957362873868,0.015739651865857164,-0.002247859313193764,-0.012132257492734727,-0.025117725299109436,0.5983588787042676,-0.05336804960485812,-0.028299257517526388,0.18584580550739088,-0.01751904550997071,-0.03236762798497943,-0.03033604467659663,0.0047117876115253775,-0.01636909659993654,-0.005362047748354577,-0.005260769754021546,-0.026326042413421097,-0.02897992118744562,-0.025587010539224363,0.008489749179987177,0.021781237437415488,-0.025587010539224363,-0.0028026578577389633,-0.003985108856453742,-0.00035887852896286567,-0.022990067847081068,-0.02174970805760997,-0.01898572884811417,-0.03510574107887834,-0.04492008436821101,-0.025001142028394825,-0.0033717889697906494,0.0,0.010890618718707744,-0.02508047877326254,-0.010965264908241918,0.008721789874700915,0.001239846494117189,-0.018806393093469303,-0.002634189217990185,-0.031164514721355212,-0.0162318510643125,-0.04660304371116544,-0.019782669513067223,-0.02694313402837538,-0.025791906133785333,-0.025243743562323864,-0.03515272887290583
