,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Fp1,0.09895833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.10416666666666667,0.0,0.0,0.10416666666666667,0.0,0.10416666666666667,0.0,0.09895833333333333,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0
Fz,0.0,0.0421792618629174,0.043936731107205626,0.0,0.0,0.043936731107205626,0.043936731107205626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043936731107205626,0.0,0.0,0.0,0.0,0.0,0.043936731107205626,0.043936731107205626,0.0,0.0,0.043936731107205626,0.043936731107205626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03163444639718805,0.033391915641476276,0.0,0.0,0.043936731107205626,0.0,0.043936731107205626,0.043936731107205626,0.01757469244288225,0.0,0.043936731107205626,0.0,0.043936731107205626,0.0,0.0,0.0421792618629174,0.043936731107205626,0.043936731107205626,0.0,0.043936731107205626,0.0,0.043936731107205626,0.0,0.0421792618629174,0.0,0.0,0.043936731107205626
F3,0.0,0.03164556962025317,0.04556962025316456,0.0,0.0,0.035443037974683546,0.04556962025316456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04683544303797468,0.0,0.0,0.0,0.0,0.0,0.04683544303797468,0.04683544303797468,0.0,0.0,0.04683544303797468,0.04556962025316456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03670886075949367,0.03417721518987342,0.0,0.0,0.04683544303797468,0.0,0.04177215189873418,0.04683544303797468,0.012658227848101266,0.0,0.04683544303797468,0.0,0.04683544303797468,0.0,0.0,0.04430379746835443,0.04050632911392405,0.04556962025316456,0.0,0.039240506329113925,0.0,0.035443037974683546,0.0,0.04430379746835443,0.0,0.0,0.04683544303797468
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.03980891719745223,0.042993630573248405,0.0,0.0,0.042993630573248405,0.044585987261146494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044585987261146494,0.0,0.0,0.0,0.0,0.0,0.044585987261146494,0.044585987261146494,0.0,0.0,0.044585987261146494,0.044585987261146494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03184713375796178,0.03343949044585987,0.0,0.0,0.044585987261146494,0.0,0.044585987261146494,0.044585987261146494,0.01592356687898089,0.0,0.044585987261146494,0.0,0.044585987261146494,0.0,0.0,0.041401273885350316,0.042993630573248405,0.042993630573248405,0.0,0.044585987261146494,0.0,0.044585987261146494,0.0,0.041401273885350316,0.0,0.0,0.044585987261146494
FC1,0.0,0.02771618625277162,0.037694013303769404,0.0,0.0,0.031042128603104215,0.06319290465631928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050997782705099776,0.0,0.0,0.0,0.0,0.0,0.05321507760532151,0.03991130820399113,0.0,0.0,0.05543237250554324,0.038802660753880266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02993348115299335,0.02993348115299335,0.0,0.0,0.041019955654102,0.0,0.041019955654102,0.06541019955654102,0.011086474501108648,0.0,0.06319290465631928,0.0,0.06319290465631928,0.0,0.0,0.036585365853658534,0.03547671840354767,0.037694013303769404,0.0,0.03547671840354767,0.0,0.036585365853658534,0.0,0.036585365853658534,0.0,0.0,0.038802660753880266
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
