,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.09388667747800875,0.060389945451864956,0.05287114845938375,0.008169934640522876,0.010620915032679739,0.07272470391665438,0.04788318836306452,0.042409946434714234,0.04829475649909086,0.06741117499631431,0.056630546955624354,0.06962258587645584,0.0851454616934493,0.06406334463610006,0.060303946139859455,0.03676470588235294,0.015522875816993464,0.08522531819745441,0.022058823529411766
caudalmiddlefrontal-rh,0.0468393089261601,0.08115532334666853,0.048660802550932414,0.021500355464691208,0.03153539713188371,0.06074449871065174,0.06056571469436347,0.057345499059806404,0.061476461506749625,0.05916699268457872,0.07513766369254198,0.04724525381020289,0.06414349836149708,0.062322004736724765,0.04919715459979724,0.04137482805184316,0.02376144743539587,0.07149467644299734,0.03633311879251379
inferiorparietal-rh,0.05247529472659043,0.061203015711940936,0.07811701888565767,0.012224938875305624,0.03311630377781259,0.05440949118374185,0.06677404635260946,0.05457975495637842,0.062425509599471504,0.057024742731439544,0.07410900967779284,0.029339853300733496,0.05301673352357472,0.05301673352357472,0.0490087243157099,0.04008009207864824,0.04826637426701446,0.062255245826834935,0.058557116685168664
parsopercularis-lh,0.02558139534883721,0.042758820546258056,0.01557632398753894,0.129638484387452,0.0264797507788162,0.07452727667898283,0.04819966673911469,0.059871042526986884,0.029595015576323987,0.08543070347026008,0.05212634934434543,0.06601463449974643,0.06831848148953126,0.0706440628848801,0.04429471853944794,0.046663768745924795,0.012461059190031152,0.072223429689198,0.029595015576323987
parstriangularis-rh,0.02640845070422535,0.059576927212127734,0.049013546930437586,0.03625954198473282,0.12079346306848726,0.03800666594989786,0.06368938823782389,0.06413288893667347,0.07102730889151704,0.05488657133641544,0.07543543704977959,0.01717557251908397,0.04534458660359102,0.04006289646274594,0.04021073002902914,0.0591468659283948,0.03639393613589936,0.045492420169874204,0.05694280184926352
postcentral-lh,0.052816209477840624,0.05153583512954195,0.03543597207125882,0.028515195617865058,0.014452570881155468,0.10424150869242153,0.050167953181899136,0.06384063177416284,0.03923103848492106,0.06487076509275805,0.05262430684769993,0.06138427810836204,0.07435843112691365,0.0839566330760303,0.06219333959703518,0.038893289855873446,0.013754045307443365,0.08083092303629877,0.026897072640518785
postcentral-rh,0.04129734085414988,0.059600552549787036,0.05191665707378842,0.02804477955565788,0.031699666167836996,0.056809024979854954,0.08724243121906297,0.047499136640957756,0.056665131806147115,0.05267929089443997,0.06764418096005526,0.03985840911707149,0.054636238056866585,0.06358639346149418,0.06673765396569586,0.04275066190859905,0.03296592609646598,0.06463681362956142,0.05372971106250719
precentral-lh,0.040281350547137704,0.058249804449677034,0.044152037352127665,0.031136852970348926,0.031294099621801644,0.07590981299744373,0.04879887750082655,0.08582441596980864,0.05251634961978566,0.07141820351748662,0.0646001499891137,0.03872702787700893,0.06707980872356038,0.0638260126281157,0.04337588400841874,0.04771629478505592,0.024788523413623205,0.06878533009700909,0.04151916393165012
precentral-rh,0.04330200700860146,0.07130190081767018,0.05613252628225549,0.018410852713178296,0.04233301476053945,0.049851332696187745,0.07130190081767018,0.05880588297759372,0.07420887756185622,0.056066156950196455,0.07340713603058299,0.03197674418604651,0.05526441541892323,0.05526441541892323,0.05349368163958798,0.0458081129871509,0.0337793352447701,0.06171285972177976,0.047578846766486146
rostralmiddlefrontal-lh,0.05277814322676841,0.05113654636085895,0.036980514259819616,0.03612097823385812,0.022251458141472613,0.06922627139703841,0.04781973132190209,0.05966904939408557,0.045061322340627694,0.08846204446783318,0.05546346240991682,0.05403090236664766,0.07343185838120715,0.061130845356605124,0.05461854434358052,0.05537136926427809,0.017638030083760907,0.08383399845049627,0.03497493019924279
