,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.02188806694629887,-0.0064953810623556586,0.0023944958022520044,0.00018850141376060322,0.00018850141376060322,-0.0010321323079669053,-0.004257090025750251,-0.013678188253271021,-0.0045457736285216144,-0.009093533487297922,0.011619202112260646,-0.010954141480541472,-0.00026558347282292644,-0.0005265686865630684,0.01721629013545546,0.0033930254476908575,0.0,0.00032098025088536896,-0.00585342056058492,0.010508627313550116,-0.006996292007409456,0.013336148519959163,-0.0016431021760376814,-0.0008706490673968739,-0.0049260687007115595,-0.0027424942263279445,-0.00995958429561201,-0.007831352182023582,-0.013309756145341991,-0.012557736720554272,-0.009526558891454965,0.025207248162328874,0.052218864072196475,-0.0008660508083140878,0.009408718299220964,0.0,0.0,-0.0010103926096997691,0.010755137534201254,-0.0004330254041570439,-0.01567524754414873,0.00023334124197617323,-0.013834393018917618,0.0024070389823535668,-0.01075179087226526,-0.010767626297035565,0.003952625415475836,-0.04317335382324836,0.005820498113897517,-0.0008660508083140878,0.0030041596559087355,-0.019662101420726014,-0.0011323144969776645,0.0009128768667843526,0.015345750990938437,0.005595727591513518,-0.008516166281755196,0.0020735155513666352,0.006373459175077763,0.00018850141376060322,0.018702561747273146,0.0,0.0,0.01050005659395794
Fz,-0.0032360024081878385,-0.005464131318341038,-0.006648226121908591,-0.007700094330277438,-0.0006670273642081781,-0.011639961938806585,0.017430366456707164,0.005617912144486454,0.013667430824630428,0.010405869345843638,-0.007653825473000827,0.015402454446662927,-0.00551738983313179,-0.0032045907535459463,-0.012876897215447531,0.0021347216688278863,0.004584604988368072,0.003461193120491462,0.0027658977753558835,-0.004815665006383328,-0.01413853875758403,-0.005679180338581684,0.004573468357017793,-0.006985092498585848,0.0058401096780938315,0.013769391199492784,0.014640188818407427,0.0055086694829078135,0.0011356855726980912,0.009933197936867139,0.0032746963495460177,-0.0014298615291992777,-0.009731141653201821,0.010245358048048846,-0.0027073552132577954,-0.008391677464962919,0.01457621171398375,0.013137211792843138,0.006513842431448349,0.005432552447012209,0.001263781915729345,-0.004760542025533186,-0.00045554005939938205,0.0016814724780396008,0.006117856595103052,-0.0044432400012280404,-0.0048285156087747565,0.0021799872259828518,0.0033061163650222555,0.01153499166357929,0.0018842477934587626,-0.011497585290710557,-0.0008376719932316045,-0.0018929681436827411,-0.009218062331825998,-0.009693016248579244,-0.007931430255826145,-0.007130178057010321,-0.015211969557733938,-0.007477754662486163,-4.2698781010417665e-05,-0.001867409073083793,0.0008899272079007092,-0.0071341745358282135
F3,0.0005763014379691836,-0.0034323351590944406,0.0015596392407892026,-0.009526161546449582,-0.004900943185941014,0.002910584348268125,0.0058174540843886294,0.003458652154323623,0.0037510669385026722,0.001263509844462534,-0.0038387833770219017,0.008505406765017593,0.002958157179675361,-0.00037219123923273867,0.0005412267286836296,0.0010409890992694425,-0.0009766153866695333,-0.0032680280613564573,-0.0001010580871494346,0.0032078977772168477,-0.008949493806449174,-0.0059400749791366485,0.010410357898804668,-0.0045942838960125465,0.0017464120032449817,0.00915362980110331,0.005824491210734955,0.008111541795740194,0.003311937872451454,0.004961235984362081,-0.003599964771031125,0.0005763014379691836,-0.006781852524439324,0.0033118527459230704,0.0018460900087979041,-0.0017420241176456068,0.003171809288366006,0.00017154027305876784,0.002818846326180743,-0.0022097531176417315,-0.008024421242919645,-0.004936495119703867,0.0022755920383665364,0.004287369226498934,-5.154282314000572e-05,0.0013669024621630749,0.0012385987267475532,0.008852235457975744,-0.003202607034498258,0.003037115904138221,0.005048807965742235,0.0020967592593762966,-0.00565081245609954,0.004492859506831892,-0.003508141622415358,-0.005738469564008078,-0.004800421653879568,-0.009364640407822315,-0.014656969575350542,-0.0035833006082022154,0.0008716724343157129,-0.0002841420333752863,0.0043648627428369,-0.0049041805736113366
F7,0.0,0.0002921353826749705,-0.0029742247798358254,0.0010443929565465623,0.001097854881374663,0.0036017230263311797,0.004619490109580996,0.003262804441318311,0.0021784182757541397,0.0039228506419560355,-0.0033301678018516755,0.009559974309790751,0.007625807869498405,0.0007023513702359829,-2.811442973477043e-05,-0.008978514987414279,-0.008112810620558408,-0.0011273911050494086,-0.008196387377377691,0.006908565989511957,-0.011078734596469905,-0.0025086577360203905,0.005699131192413328,-0.00956157413705886,-0.002802481962627541,0.00254920729918842,-0.00016510860305011393,0.0005201738218508513,0.006748902239080661,0.003513423440946072,-0.006156219398976297,-0.0007783270930179136,-0.010238533503869482,0.004337833966414902,-0.000978317864957072,-0.0004889363908183661,0.009228589996317184,0.0040036159558018425,-0.003214765114943015,-0.0022428589224839438,-0.007155250947124942,-0.0021264226531980505,0.004778120277635064,0.002106965094043879,-7.58867061178628e-05,0.0003240948377604552,0.006297236630970491,0.013236639476526629,-0.0002487743765334665,0.0007559468200601816,0.006810954271991309,0.005987421549737592,-0.0003970588300747542,0.012405728261895729,-0.00422862041034407,0.0011568284213196289,0.0001795218845737738,-0.007815185876932584,-0.009647040025304471,-0.004782487039544616,0.0,-0.007791660750767534,-0.002212766344658775,-0.006013424306385861
FT9,0.0,0.001974171112857139,-0.0032412785389105275,-0.0055959472763708155,-0.00290640116306215,0.0018114984699824782,0.007851114371569032,0.0021177628525685978,0.0020628362737434326,0.0031828234144522013,-0.005001571289799486,0.0071801472049035486,0.005490843440804917,0.0004347051159296145,-5.0160533775638755e-05,-0.008867511105052196,-0.005114727233054318,-0.004346817037784938,-0.006632662412433536,0.004333814932430525,-0.010184478051509675,-0.006072100261266229,0.008267800492618417,-0.007822936175399017,0.0011639601774025652,0.0027184433969773703,-3.508478075055915e-05,0.0035294319503084448,0.005977949967831705,0.005946945590562148,-0.002695733610390501,0.0014878422037068527,-0.015266704201919236,0.008790468404900711,0.0013862669137741175,-0.001213016995482527,0.010977054620280997,0.003289658076904501,0.002645915897399124,-0.0007743067294148018,-0.007067083237956688,-0.0013237063013871626,0.005701778560917949,0.0007752014080469032,0.003211302623993762,-0.0010093730881470184,0.00706854649740172,0.009917612974666312,0.0003055620180525071,-0.004206795651119349,0.007204696517649888,0.0030395159651472013,0.0038375191360889484,0.011322049390006436,-0.007584148956935155,-0.002960399617325046,-9.576405956533002e-05,-0.004013820995508746,-0.014932378683918703,-0.006047208127735626,0.0,-0.005607870750477174,0.0010188884552809856,-0.0053541415627089105
FC5,-0.0027624000938957353,-0.015645194885302156,-0.0008187991952581658,-0.004624487916004831,-0.00332057602322286,-0.004087338157598673,0.01720243336402426,0.007825600894354388,0.004672265901562089,0.01504141470603181,-0.0072068255555432365,0.01097148250532777,-0.011606711536078791,-0.001564804364417527,-0.007357411994254437,0.006226265875838882,0.005534640258990675,0.009865352427453756,0.014259119000706177,-0.008061589829324908,-0.004793376324627171,0.000646816930031744,0.008403939125550682,0.002810391033219249,0.00579297728543117,0.00645102451313616,0.014944199302738742,0.00550766343660135,0.004675616909883912,0.003450775152311864,0.003772323285369701,-0.001937324789526442,-0.010534260297237733,0.007791596597678658,-0.0010578699328459944,-0.0064483686180513596,0.012824682521192426,0.012820692651571841,-0.0032543273119396954,0.011105571054147625,-0.004785127379681494,-0.0005267270778464509,-0.004574737094613025,-0.005780368815270656,0.0068092890898927795,0.0019630238893182366,-0.013521844935963255,-0.00825054008992668,-0.0029255950027674547,0.009927980924710587,0.0002335901916034628,-0.008893636356042353,-0.0026532150817409166,-0.005086456958931902,-0.01153626000140879,0.0020437414027199494,-0.006460607432617619,-0.012235865357498163,-0.021774458311614224,-0.006963069835097806,0.0033175384185570346,-0.002455859174365471,-0.0022972929964130973,-0.001088679923027901
FC1,-0.0033888218121905073,0.011468244067072728,-0.0010383852452155971,-0.005164501632738518,0.000977408025906741,0.013424272546847393,-0.02739920483439308,-0.011312700761432433,-0.005733127051894302,-0.0076834525077537075,0.0017095860234572925,0.0061456589603295815,0.01043021134846541,0.008787420880674197,0.006759127740843312,-0.006184097539196905,0.002168681095956332,0.0022776249964796755,-0.0009305351655702829,-0.010387361245032783,-0.003256558441261494,0.0004457748381319713,0.015795686094335567,-0.005955624055978222,-0.019056385899584055,0.012459285318260429,0.0026791429193871,0.005595002514272482,0.011636132393285219,0.012213429308076455,0.0032156983011129917,-0.0027150808655844773,-0.008384301762144115,0.008755584762769428,-0.0026800423564343956,-0.002826525398777771,0.0030926138005640605,-0.0004203467973590211,-0.00607757519995474,0.01594373079660721,-0.002576294105081686,-0.01436164409290535,0.009284562469737898,-0.0032676910338725086,-0.014676796291425351,2.7655218223392175e-05,0.0015965798303357306,0.004515954807380318,-0.012041010850215502,0.008645039666623429,-0.007181115269519376,-0.0008155752502177855,-0.0020383714472582554,0.008197624097174413,0.0021173538807189914,0.009815961737987542,-0.0013434591363082268,0.0025370746962502244,-0.002498326421110206,-0.0018794676075951089,-0.0020910659385931325,-0.004127562735009228,0.00028573764189640527,-0.0035108520275557997
C3,-0.008485792127845044,0.004126798372173587,0.0005351494346016884,-0.004925836547369064,-0.0032501643447098126,0.0067429686806849435,-0.00635118561223345,-0.0025841023111599706,-0.008819218933922117,-0.0022737309872562887,0.0071277544359777956,0.004758991718111874,0.005938205156423999,7.679823107923332e-05,0.0025286132552568537,-0.007506548968475489,0.0037671890463068826,0.001356608620570167,-0.0066911323672726765,-0.011648187928833554,-0.006347369719953932,0.0006953172076928169,0.012731789548398546,-0.002850220765532284,-0.010713678024484228,0.005544198416778737,0.00033618524602260086,0.0029201304499786584,0.0029164203029325396,0.006322885166483454,0.009043785554153336,-0.008083410365714572,-0.008844501108581666,0.009245771035115256,-0.007681028603584099,0.00018698778557353635,0.013732444606885236,0.008373962011586862,0.006858457582018736,0.0033506555506552203,-0.0067614650326526474,-0.010100935758906623,-0.0007774147856115399,-0.005474977586995652,-0.006559530913661238,-0.0036108341442028895,0.01004857374061974,-0.003772699883613171,-0.0041703110250711495,-0.0010894296925714753,-0.005833686567732272,-0.0011665995426137971,0.002205467907158562,0.006417385149633704,0.007781148190566422,0.009845050421834957,0.0011481031906460937,0.003260554569214374,0.0032932026547032676,-0.006748956882187717,0.0019267899403508058,-0.0027239730420232228,-0.004202376001130159,0.0049049563957113025
T7,-0.002458360552708064,0.010351719855255752,0.0015916057465647677,-0.005979904983200356,-0.0013533317494510283,0.004954761946755042,0.0006460026511008153,-0.005605894347672769,-0.013075789920952284,-0.005349637407380637,-0.0035914588858621446,0.010192467060377845,0.008515557608992487,0.0037488672763114957,0.0017323568595187465,-0.00551407758971385,-0.008484145096068686,-0.002506084517296881,-0.008975909426831727,-0.008710545739673612,-0.009658108514842901,-0.0009810502430752125,0.01345908021626103,-0.003974230442425361,-0.0022210663954469953,0.0026146161903895723,0.004501038457330912,0.000777243553720065,0.009994078309031575,0.015001866883107525,0.005096954000668827,-0.00506081520139686,-0.0180479584345018,0.011947590787061549,-0.004740292294297321,0.004543344483910857,0.012688868454424827,0.00832212569454795,0.005961057475446079,-0.0026521959306213434,-0.00519084571360987,-0.021499703684901027,0.010256271926078116,0.006462389654182239,-0.014155688713870278,-0.012241830931054203,0.0031534128340807207,0.0011923498254213568,0.0018736843488566472,-0.0023021625526649502,-0.005580764337333732,0.0025023380708013836,0.009167035835740571,0.01341077987528829,0.0003609845292509295,0.0034922645101890084,0.0012730425191705662,-0.0018810619665708614,-0.005227157425797017,-0.0027017066620003242,0.004228239514820193,0.0035267318179476002,0.0004265185241029666,-0.008245467635486201
TP9,-0.004377127770443966,0.006618039434541966,-0.005363780058277614,-0.006681566347893339,-0.004274574028584104,0.01172686982782288,-0.006031754120974356,-0.005934475895103351,-0.011588861675564752,-0.006089689423370598,0.00040536999459431233,0.00370423788603033,0.007723028412896358,0.0027689374054332763,0.00400047064360513,-0.0052957678663530655,6.943189431618535e-06,-0.006541776074015012,-0.0003527810570586806,-0.006637667296973654,-0.0026249425235121727,0.00013764845798616004,0.012774555693713581,0.009988369312965494,-0.010389728171436045,0.004067016808875751,-0.0025190180103309145,0.0011436561125909121,0.012485380573747842,0.012020170532089824,0.004084783525945664,-0.004377127770443966,-0.004507200849065959,0.007469307703328886,-0.003460506867379777,0.0017563898549745674,0.0100766061328184,0.0037419921598039058,-0.0029979127840633404,0.007852706372810507,-0.001738500514857388,-0.009316542161628125,0.008376290434878305,-0.0016263522007884494,-0.01265585930892087,-0.003491475999204869,0.00038391641123672847,0.003137624034200102,-0.003245409692743131,-0.00535588858394717,-0.001407963278571978,0.0008616176539758057,0.0016224282632760758,0.004400486098469016,0.0019357955479882422,0.011784927753266384,-0.0033578741017783447,-0.002060154392607842,-0.002859035370647958,-0.0013293646302338386,0.005718193364343175,-0.004800141859060934,-0.005724733260197134,-0.003758205651608504
