,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.13593435316951258,0.0,0.0,0.0032502708559046588,0.004062838569880823,0.01218851570964247,0.0,0.0051462621885157095,0.015906968474366727,0.006134969325153374,0.005687973997833153,0.025460455037919827,0.01706392199349946,0.02085590465872156,0.040326373056650426,0.005687973997833153,0.008938244853737811,0.009202453987730062,0.0,0.0,0.004062838569880823,0.005958829902491874,0.013271939328277357,0.007583965330444204,0.01784533296997654,0.015973851604198102,0.0,0.034406592931824076,0.002979414951245937,0.0,0.0,0.13171323837313642,0.05297310051911279,0.0,0.09558679353136279,0.0,0.0,0.0,0.007854821235102925,0.009202453987730062,0.016244707508856822,0.009202453987730062,0.020043336944745395,0.008396533044420368,0.028757668711656442,0.003834355828220859,0.01960091127225837,0.010834236186348862,0.004333694474539545,0.0,0.0,0.008125677139761646,0.009479956663055254,0.020493655657398854,0.018021472392638037,0.011168651835505718,0.010218994476533577,0.004062838569880823,0.007583965330444204,0.0,0.06404371248728805,0.0,0.004333694474539545,0.005958829902491874
Fz,0.0,0.061251637279976914,0.025920129713776587,0.01572102360771363,0.01392220872889438,0.02233551960175127,0.013228991988075275,0.0033942374889739876,0.0015837525619526738,0.010101895398420605,0.022966337309326696,0.014815443744850195,0.025226912972957483,0.019849561170462965,0.02483989606829725,0.015707329163394887,0.01348446283919253,0.006561742612879335,0.016851986238234588,0.030448029028093775,0.011313675097442917,0.025718087042523194,0.010636851995764803,0.02473236490986396,0.0023290478852245203,0.0060027711204254505,0.02340273360161742,0.007109044057131158,0.028793105049725123,0.02088736188557494,0.018675490810869087,0.0,0.0025564550489987218,0.03342718592506448,0.0,0.02271086645820944,0.013882474993349263,0.018104849270213136,0.008719510709015763,0.015879958549894102,0.01822405047684849,0.0022358859698155395,0.02639625974161243,0.015641556136623398,0.0,0.010116264641444914,0.0030215898273380642,0.02589409042255022,0.006363748733859311,0.02682301038181778,0.015736067649443502,0.01662727826928263,0.015002442374373717,0.010543690080355824,0.010571078968993317,0.01450991870739688,0.025280341152821344,0.022308130713113775,0.01998110722400594,0.019647518499209572,0.0010651896037494673,0.02554613245472954,0.008477734302217254,0.00689398174026458
F3,0.0,0.028016136449768143,0.05441995861029377,0.02676209648230079,0.024480818937068057,0.011643835616438357,0.026074663282816882,0.009768098415523695,0.010323900000425821,0.012842465753424657,0.013677339135840846,0.012291827236300304,0.013076773221030399,0.009209635455478388,0.009101636852168062,0.02474424184874021,0.026785889176080838,0.017407682219033303,0.012465721488155817,0.01936230257919188,0.02252087582662312,0.02132490706478,0.01404359758304555,0.0133956059631836,0.014307020494717703,0.006999416626568614,0.020858634139694517,0.0,0.012663248751282783,0.009051549771973377,0.02006836540467806,0.0,0.004818153559216661,0.02467052175727407,0.0026422132421510722,0.0173444479456313,0.011606895729450992,0.022196880016692143,0.014725867714751683,0.024612610234158432,0.03017626819848323,0.015708500645117335,0.020010453881562418,0.014409856030250256,0.015226419151681351,0.021016719823199526,0.012149550121145797,0.012441928794375768,0.0083929126515387,0.021604138544802656,0.01398568605992991,0.005974680741437824,0.004623287671232877,0.0055215550095596595,0.011656823127137084,0.0045916705345318744,0.022225835778249964,0.027362822079619827,0.013187433199483907,0.024941769111867178,0.0,0.02663828931063996,0.022368112893404474,0.005479452054794521
F7,0.002139364303178484,0.016766853589605377,0.023876079919234995,0.055020377379842694,0.04650062985982269,0.016439155243322442,0.015867851537721606,0.011101912212728826,0.017852170559488248,0.009135200974421437,0.014517114914425427,0.0030450669914738123,0.006406925182182858,0.006504419441971,0.011345517572046732,0.02013541241672598,0.02394033157727025,0.016051672329945293,0.011365358900976506,0.023424084767517696,0.04085552981187591,0.014220165044119968,0.005676109104229144,0.015708339165368727,0.013706412360142826,0.004976302082557797,0.0182396534728654,0.0,0.01944874608757285,0.010209350216951716,0.017198746832088007,0.0029034229828850855,0.024361057092400287,0.015240969775662694,0.0050427872860635695,0.019690117901420237,0.013349677922743152,0.01739373535166429,0.009321515892420537,0.01363099297475498,0.0196171926418078,0.017694891732605893,0.013101605472484209,0.013526798078555283,0.014891196554979466,0.019003712152572003,0.010858306853410922,0.008282582216808769,0.008459962952925795,0.02434318872863614,0.01661180830819354,0.006163319822864954,0.012032183901199861,0.0060680591085473315,0.00919077903087951,0.00907541640732722,0.021019040230621015,0.02360343846880035,0.013872364788602366,0.038970938595367925,0.0,0.029875420278806037,0.024551317940730635,0.006577344701583435
FT9,0.002307692307692308,0.01535674615052047,0.02047244670590974,0.0442955203033024,0.05586231667165519,0.02402660547407629,0.015179354152116797,0.008955336060394427,0.01307998270644185,0.009835711197578902,0.013692307692307693,0.004755728491137051,0.005728491137051448,0.008668994645648341,0.01429332535169111,0.017702351258771492,0.027990422029332534,0.01866812996774086,0.015008081412750673,0.01771498885895773,0.0439634174731451,0.013607768798430276,0.002053610030263727,0.014359572982141076,0.012165619076124913,0.006889088429944461,0.01602660547407629,0.0,0.019468755196381655,0.009619541720709036,0.015568991319964084,0.004461538461538461,0.029420798829359142,0.016878645781369515,0.006923076923076923,0.016982806212378198,0.014812398150919552,0.013042069905883136,0.011833516245967608,0.01875486381322957,0.01586491070537763,0.014992384183045661,0.014999368119990688,0.011141441351558083,0.012801489906548273,0.01818916492068243,0.008352589045196049,0.007782101167315175,0.009097409291961822,0.031157138581263094,0.010696464797632112,0.00724254215304799,0.016011772922278757,0.008107220060527453,0.005438225414879112,0.014014832551797533,0.020313811566729855,0.02600917888855632,0.016189164920682432,0.038724799627523364,0.0,0.02407236688948751,0.02232166018158236,0.0060527453523562475
FC5,0.011848341232227487,0.028455626141418215,0.008274231678486997,0.020885572473754384,0.03426495467939453,0.07412916092456276,0.008709511164890816,0.0026004728132387705,0.0020094562647754136,0.008037825059101654,0.02530279094260137,0.018891801956236763,0.011111111111111112,0.019639115772018868,0.0368010038878245,0.014899219073868666,0.02564115491916238,0.009805832857158862,0.01589358340896104,0.010375561605772354,0.032099761352559576,0.019622309614242658,0.007775088792533585,0.02092814807345411,0.0,0.00673758865248227,0.01182033096926714,0.01218110315619643,0.029874626062989476,0.009864654409375595,0.013947990543735224,0.013954713006845709,0.02448657187993681,0.02240036749465004,0.007635597682991048,0.008037825059101654,0.01028368794326241,0.007446808510638298,0.0017730496453900709,0.022841249033645927,0.010413095358139224,0.0024822695035460994,0.024710653983619598,0.005791962174940898,0.0,0.013803457586859826,0.0024822695035460994,0.011348077935755662,0.0,0.04623654106864755,0.0030732860520094564,0.02408826594064065,0.029778830963665088,0.010257358296079683,0.002369668246445498,0.016243151490706195,0.021395919464891937,0.02582826347573751,0.014088041858536966,0.019998767548429747,0.00315955766192733,0.014765330016918198,0.011111111111111112,0.015286320907980683
FC1,0.0,0.01569660861594867,0.023901674467996323,0.018238815655995177,0.01801092713754754,0.008150566861448098,0.06121549656314616,0.01444331169681438,0.007261855598898941,0.01971748298840089,0.005843263061411549,0.013924222301202792,0.009850827449360906,0.01261390828629273,0.01596946329825733,0.012171441233900314,0.021676029221531383,0.01652272697840329,0.009853345554537122,0.017308915387349327,0.019450383975066442,0.020777785132243688,0.014314168874205538,0.01677147979688244,0.021869743455444648,0.010012885503916012,0.022314728613013278,0.009471672755684803,0.016659424116540787,0.019288325920511336,0.020631555167367657,0.0,0.0,0.023183834628119033,0.0,0.018355907546689268,0.025487361270391255,0.027318023733501014,0.0195820449028515,0.015525737193276802,0.022546394289225245,0.018972483585551543,0.01786973338302394,0.015429509602614223,0.019740325799642286,0.01946495301215741,0.015457388624208056,0.010978219109684346,0.011481480415616856,0.018355907546689268,0.009966660287466888,0.011796063697988537,0.0095096241979835,0.0034372135655362053,0.00898172143425515,0.008756351020983731,0.020237831436600587,0.020107429561403635,0.014266684605168303,0.02077652607965558,0.007556833633827218,0.023982073968979823,0.02316171127549941,0.003780934922089826
C3,0.0051462621885157095,0.00621389075439512,0.013706985781332509,0.01874658261358593,0.01550333178112815,0.004319654427645789,0.020293132779063482,0.07102840223486347,0.021164980691035506,0.01873605257841561,0.00413966882649388,0.0,0.010367599627782758,0.0,0.0030597552195824333,0.024160190695036922,0.016766741000914943,0.02253856527880803,0.005039596832253419,0.01711793717391016,0.014868994662442174,0.005039596832253419,0.011519078473722102,0.010276729324275943,0.032733199328885756,0.014785144382382237,0.019286539417041653,0.01118543235934408,0.0028797696184305254,0.025432374944132315,0.017755784304319577,0.006586146997730972,0.005055391885008895,0.026877524770932734,0.008386003009250052,0.009899208063354932,0.022356824671794402,0.03291669494176111,0.0138136511375948,0.013165273972015066,0.019926141553312786,0.02423351093992654,0.0073794096472282215,0.022980631755310062,0.02099026010746876,0.029453093373331865,0.032362698091411624,0.005399568034557235,0.01930759948738229,0.004679625629949604,0.011879049676025918,0.021114475522348245,0.0003599712023038157,0.009556786919668311,0.011646803900325027,0.007036988503541602,0.020373473047399976,0.012973003329831121,0.02333709294589044,0.017666669006674483,0.020571008707169082,0.021818622874200402,0.019379164726410186,0.01270565743689584
T7,0.012681518429472198,0.003141167775314117,0.016358625950202474,0.030479391870417247,0.02348413182123543,0.003141167775314117,0.010456433707369421,0.02086114299744868,0.08885694023274741,0.007945306725794531,0.0173815853596218,0.008762303244678929,0.001405283867341203,0.009189185483760402,0.003141167775314117,0.01546871669851146,0.02326539362281558,0.013886448078032826,0.006183249016301293,0.03448211394577536,0.026521227576218734,0.008200189697742447,0.016330270998555454,0.003141167775314117,0.032288188511196775,0.019060136178550194,0.010841562501168474,0.011002967610543805,0.007575757575757576,0.0,0.006183249016301293,0.014625546378106737,0.022206289439868184,0.0,0.017227970072127518,0.01454484382341907,0.00784622019146759,0.012803974429442287,0.021867899577355424,0.011130409096517762,0.02839234279204665,0.029961836104640364,0.003141167775314117,0.014227642276422764,0.03162480727980666,0.02543096410574714,0.02063461497714778,0.0018477457501847746,0.016785508189283947,0.013378863284263687,0.02738278187626273,0.014042867701404288,0.003510716925351072,0.016660871039187165,0.003880266075388027,0.0033337321722136434,0.02203210902260793,0.018849187802011395,0.008499630450849963,0.02745289027319217,0.0040650406504065045,0.01774054035190053,0.02584725218707039,0.007307476110174255
TP9,0.001670843776106934,0.011574577097850598,0.007518796992481203,0.007727652464494569,0.009502923976608187,0.007101086048454469,0.02138643815704966,0.01332340968027004,0.004594820384294068,0.07050381251780705,0.002297410192147034,0.006996658312447786,0.005639097744360902,0.0010442773600668337,0.006892230576441102,0.014809663851343195,0.014343421173357285,0.023247062743564112,0.03320451900464069,0.015290635065505768,0.016373906828728857,0.0026106934001670842,0.005847953216374269,0.024123652097488422,0.015803236414736264,0.02442739797470555,0.02777862285772234,0.005780346820809248,0.009189640768588136,0.03073942080635114,0.04389079635504947,0.001670843776106934,0.0,0.019074299428725957,0.0,0.02079150187607748,0.04748769805052129,0.020414958397921585,0.0010442773600668337,0.00894698209879226,0.0174519873865782,0.04091092374481483,0.01680115510355851,0.010756056808688387,0.03096300481454117,0.0347297675788701,0.0195119301143031,0.01031927120305581,0.0,0.011069340016708437,0.030047421057460607,0.006640034575842303,0.002506265664160401,0.0077402079379566445,0.013522727821480483,0.021070981886315017,0.019217721567888892,0.017964588735808692,0.013653594487181344,0.005534670008354219,0.018997155702358014,0.009702242117818631,0.019407502378296415,0.016815883639735175
