,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.30303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inferiorparietal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsopercularis-lh,0.0,0.2857142857142857,0.0,-0.3186813186813187,-0.5384615384615384,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.038461538461538464,0.038461538461538464,0.0,-0.06868131868131867,0.36126373626373626,-0.03571428571428571,0.0,-0.05357142857142857,0.0,-0.08653846153846154,0.038461538461538464,0.0,0.0,-0.08928571428571429,-0.14285714285714285,0.0,0.0,0.0,0.0
postcentral-lh,0.0,0.0,0.0,0.0,-0.17647058823529413,-0.11764705882352941,0.0,-0.17647058823529413,0.0,-0.17647058823529413,0.0,0.0,0.0,-0.17647058823529413,-0.17647058823529413,0.0,0.0,0.0,0.0
postcentral-rh,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precentral-lh,0.0,0.0,0.0,0.0,-0.19047619047619047,-0.09523809523809523,0.0,-0.14285714285714285,0.0,-0.19047619047619047,0.0,0.0,0.0,-0.19047619047619047,-0.19047619047619047,0.0,0.0,0.0,0.0
precentral-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.29411764705882354,0.0,0.029411764705882353,-0.24242424242424243,-0.06060606060606061,-0.06060606060606061,-0.09090909090909091,0.0,0.08110516934046347,0.35294117647058826,0.0,0.0,-0.15151515151515152,-0.15151515151515152,0.0,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.2777777777777778,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.3055555555555556,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorfrontal-lh,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,0.0
superiorfrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,-0.23076923076923078,-0.07692307692307693,0.0,-0.11538461538461539,0.0,-0.15384615384615385,0.0,0.0,0.0,-0.19230769230769232,-0.23076923076923078,0.0,0.0,0.0,0.0
superiorparietal-rh,0.0,0.0,0.0,0.0,-0.2903225806451613,-0.06451612903225806,0.0,-0.0967741935483871,0.0,-0.12903225806451613,0.0,0.0,0.0,-0.16129032258064516,-0.25806451612903225,0.0,0.0,0.0,0.0
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supramarginal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supramarginal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
