,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.2908375751966682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007866728366496992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03354928273947247,0.0,0.0,0.0,0.0,0.0,0.26793151318833874,0.049282739472466454,0.0,0.16427579824155483,0.0,0.0,0.0,0.01966682091624248,0.0,0.0,0.05437297547431744,0.0,0.0,0.0,0.0,0.0,0.0,0.0020823692734844978,0.0,0.0,0.0,0.0,0.04743174456270245,0.0,0.0,0.0,0.0,0.0,0.0,0.06270245256825543,0.0,0.0,0.0
Fz,0.0,0.06838312565680829,0.031001351148476203,0.030550968323074613,0.0315267977781114,0.02402041735475154,0.02447080018015313,0.0,0.023044587899714756,0.01936646149226843,0.032502627233148174,0.0,0.018165440624530852,0.0,0.0,0.021543311815042786,0.025746884852124306,0.027323224741029876,0.026197267677525896,0.013661612370514938,0.019591652904969222,0.02507131061402192,0.0,0.0,0.0,0.0,0.017564930190662062,0.0,0.008557273682630236,0.012235400090076565,0.024395736375919533,0.0,0.0,0.012610719111244558,0.0,0.025746884852124306,0.030626032127308214,0.01666416453985888,0.0,0.027248160936796276,0.02146824801080919,0.0,0.015463143672121303,0.0,0.0,0.029349947455337037,0.0,0.0,0.0,0.02965020267227143,0.0069058699894910675,0.008632337486863834,0.011109443026572586,0.0,0.014337186608617325,0.03678126407446329,0.023344843116649153,0.03017564930190662,0.03693139168293049,0.02972526647650503,0.0,0.01726467497372767,0.031001351148476203,0.020042035730370816
F3,0.0,0.028276757052113927,0.060993101564100816,0.028071853015504404,0.02745714090567584,0.03811215080937094,0.024588484393142544,0.009152380301891947,0.022949252100266375,0.029028071853015504,0.01796325387610136,0.0,0.003141861894679325,0.0,0.0,0.024383580356533024,0.027115634177993307,0.023905470937777475,0.030599002800355168,0.0,0.01844136329485691,0.027320538214602827,0.0,0.0,0.0,0.0,0.0318284270200123,0.0,0.0,0.02684242879584728,0.028959770507479,0.0,0.0,0.02868656512533297,0.0,0.022539444027047332,0.03401407007718052,0.030189194727136125,0.0,0.024793388429752067,0.006693531862577692,0.0,0.0056690116795300866,0.0,0.0,0.03456048084147258,0.0,0.009357284338501469,0.0,0.03456048084147258,0.0,0.007991257427771327,0.021105115770780683,0.0,0.010176900484939553,0.02376886824670446,0.01372857045283792,0.031145413564647225,0.024178676319923504,0.022197937299364798,0.0,0.020900211734171163,0.0366778225531043,0.02793525032443139
F7,0.0,0.030354884309203186,0.030503682761699277,0.07551521464176772,0.06688490439699427,0.022319767874414104,0.013019864593408228,0.0,0.027378915259281305,0.021129380254445353,0.021352577933189495,0.0,0.0019343798824492226,0.0,0.0,0.02150137638568559,0.029908488951714902,0.026337326091808645,0.02923889591548248,0.0124990700096719,0.04888029164496689,0.020608585670709025,0.0,0.0,0.0,0.0,0.013168663045904323,0.0,0.00014879845249609404,0.012127073878431665,0.024179748530615282,0.0,0.022617364779406294,0.014433449892121123,0.0,0.024849341566847705,0.02194777174317387,0.013168663045904323,0.0,0.027304516033033258,0.007291124172308608,0.0,0.006472732683580091,0.0,0.0,0.02618852763931255,0.0,0.0,0.0,0.027899709843017633,0.0,0.009076705602261736,0.01101108548471096,0.0,0.011085484710959007,0.023361357041886764,0.013168663045904323,0.034298043300349676,0.02670932222304888,0.05907298564094934,0.0,0.019046201919500037,0.03020608585670709,0.021798973290677776
FT9,0.0,0.02971485036702428,0.028303218520609824,0.0635940146809712,0.08258046301524562,0.020680406549971768,0.011716544325239978,0.0,0.025974025974025976,0.021597967250141164,0.021809712027103332,0.0,0.0033879164313946925,0.0,0.0,0.019762845849802372,0.02922077922077922,0.03176171654432524,0.029079616036137776,0.01383399209486166,0.04891304347826087,0.0189158667419537,0.0,0.0,0.0,0.0,0.011857707509881422,0.0,0.0016939582156973462,0.01150479954827781,0.023856578204404292,0.0,0.018633540372670808,0.015245623941276116,0.0,0.03077357425183512,0.022374364765669112,0.011857707509881422,0.0,0.029079616036137776,0.00691699604743083,0.0,0.00769339356295878,0.0,0.0,0.024209486166007904,0.0,0.0,0.0,0.026397515527950312,0.001764539808018069,0.007975719932241672,0.010446075663466968,0.0,0.01051665725578769,0.02152738565782044,0.011857707509881422,0.029361942405420668,0.025903444381705252,0.06020609824957651,0.0,0.019621682665160928,0.03387916431394692,0.023997741389045736
FC5,0.0,0.02581261950286807,0.04445506692160612,0.024219247928616953,0.02350223072020395,0.08508604206500955,0.029397705544933077,0.014738687061822816,0.020235818992989166,0.023980242192479285,0.011950286806883365,0.0,0.010197578075207138,0.0,0.0,0.018403441682600382,0.02262587635436584,0.018881453154875716,0.02581261950286807,0.0,0.012507966857871256,0.02987571701720841,0.0,0.0,0.0,0.0,0.038878266411727216,0.007727852135117909,0.0,0.03354047163798598,0.02652963671128107,0.0,0.0,0.03138942001274697,0.0,0.0172880815806246,0.028680688336520075,0.03425748884639898,0.0,0.019917144678138942,0.007329509241555131,0.0,0.0,0.0,0.0,0.03186743148502231,0.0,0.01035691523263225,0.0,0.037523900573613767,0.0,0.010994263862332695,0.029318036966220522,0.0,0.016810070108349267,0.024697259400892287,0.015535372848948376,0.027804333970681962,0.021510516252390057,0.023103887826641172,0.0,0.013702995538559592,0.03553218610579987,0.014021669853409816
FC1,0.0,0.03278360819590205,0.03638180909545227,0.017691154422788607,0.016791604197901048,0.03708145927036482,0.07966016991504248,0.010794602698650674,0.013593203398300849,0.030284857571214394,0.0239880059970015,0.0,0.0063968015992004,0.013593203398300849,0.0,0.018790604697651175,0.016191904047976012,0.01569215392303848,0.016691654172913545,0.0,0.008895552223888057,0.025987006496751622,0.0,0.0,0.0,0.0,0.04097951024487756,0.0,0.00719640179910045,0.0527736131934033,0.020189905047476264,0.0,0.0,0.046176911544227886,0.0022988505747126436,0.015992003998001,0.030484757621189407,0.036581709145427285,0.0,0.014792603698150924,0.015992003998001,0.0,0.003698150924537731,0.0,0.0,0.03088455772113943,0.0,0.017391304347826087,0.0,0.02798600699650175,0.0,0.013293353323338331,0.02978510744627686,0.0,0.017391304347826087,0.023788105947026485,0.01999000499750125,0.022188905547226388,0.018790604697651175,0.021389305347326335,0.00079960019990005,0.010294852573713143,0.02478760619690155,0.0127936031984008
C3,0.0,0.0,0.02798388806444774,0.0,0.0,0.03879584481662073,0.02247191011235955,0.15263938944244224,0.0,0.06317574729701081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012719949120203519,0.0,0.0,0.007843968624125503,0.06423574305702777,0.0370998516005936,0.03010387958448166,0.04600381598473606,0.025863896544413824,0.0,0.0,0.06423574305702777,0.0,0.021835912656349373,0.0580877676489294,0.0555437778248887,0.0,0.0,0.0,0.0067839728641085435,0.03413186347254611,0.0,0.0,0.02353190587237651,0.0,0.04854780580877677,0.027135891456434174,0.0,0.0,0.0,0.024803900784396864,0.029679881280474878,0.0,0.0,0.0,0.0,0.0,0.0,0.03603985584057664,0.018867924528301886,0.0,0.021835912656349373
T7,0.0,0.026114973715448533,0.028404273359335257,0.031202306257419026,0.031202306257419026,0.021197218924877057,0.011361709343734101,0.0,0.09352212989655757,0.019755808037985417,0.025012718331354926,0.0,0.0,0.0,0.0,0.03366118365270476,0.032558928268611155,0.02874342886213329,0.04705782601322706,0.0027980328980837716,0.03272850602001017,0.02001017466508394,0.0,0.0,0.010598609462438529,0.0,0.011531287095133118,0.0,0.0,0.011531287095133118,0.021197218924877057,0.0,0.0027980328980837716,0.013566220111921316,0.0,0.03781583856198067,0.020349330167881974,0.011531287095133118,0.0,0.04052908258436493,0.008309309818551805,0.0,0.004493810412073936,0.0,0.0,0.04027471595726641,0.0,0.0,0.0,0.027556384602340174,0.0,0.004239443784975411,0.009920298456842462,0.0,0.011531287095133118,0.04129218246566051,0.011531287095133118,0.028404273359335257,0.03315245039850771,0.023656096320162794,0.0,0.038494149567576734,0.028404273359335257,0.02196031880617263
TP9,0.0,0.01733514615907546,0.028959891230455472,0.01910265125764786,0.020598232494901426,0.020326308633582597,0.020326308633582597,0.02053025152957172,0.015771583956492183,0.0717199184228416,0.021346023113528213,0.0,0.0017675050985723998,0.0,0.0,0.01971447994561523,0.020054384772263765,0.02991162474507138,0.02576478585995921,0.0,0.018014955812372536,0.014615907545887152,0.010876954452753228,0.0,0.0,0.004418762746430999,0.03759347382732835,0.004078857919782461,0.012032630863358259,0.03174711080897349,0.039225016995241335,0.0,0.0,0.0371855880353501,0.0,0.03460231135282121,0.04711080897348743,0.03698164513936098,0.0,0.01964649898028552,0.011760707002039428,0.0017675050985723998,0.01781101291638341,0.0,0.0,0.0327668252889191,0.0,0.017539089055064582,0.0005438477226376615,0.016723317471108088,0.0,0.0022433718558803536,0.01991842284160435,0.0013596193065941536,0.010129163834126445,0.01380013596193066,0.010333106730115567,0.019034670292318152,0.019578518014955814,0.013596193065941536,0.014343983684568322,0.026852481305234533,0.020054384772263765,0.028484024473147518
