,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.06351791530944625,0.003257328990228013,0.0,0.0016286644951140066,0.0,0.0,0.0,0.0,0.06026058631921824,0.06840390879478828,0.06188925081433225,0.0,0.06514657980456026,0.024429967426710098,0.06514657980456026,0.0,0.06677524429967427,0.02768729641693811,0.0,0.0,0.003257328990228013,0.0016286644951140066,0.05537459283387622,0.0,0.0,0.0016286644951140066,0.02768729641693811,0.0,0.0016286644951140066,0.0,0.035830618892508145,0.003257328990228013,0.03257328990228013,0.05374592833876222,0.0016286644951140066,0.0,0.0,0.07003257328990228,0.026058631921824105,0.0,0.0,0.0,0.0,0.0,0.0016286644951140066,0.0,0.0,0.0016286644951140066,0.04723127035830619,0.0,0.0,0.0,0.003257328990228013,0.0,0.03908794788273615,0.0016286644951140066,0.0016286644951140066,0.0,0.0,0.06677524429967427,0.0,0.0,0.014657980456026058
F3,0.0,0.02976190476190476,0.0,0.03571428571428571,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.005952380952380952,0.0,0.0,0.0,0.02976190476190476,0.0,0.0,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.0,0.02976190476190476,0.0,0.0,0.03571428571428571,0.0,0.0,0.02976190476190476,0.03571428571428571,0.005952380952380952,0.02976190476190476,0.03571428571428571,0.02976190476190476,0.0,0.0,0.0,0.0,0.03571428571428571,0.023809523809523808,0.02976190476190476,0.005952380952380952,0.011904761904761904,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.03571428571428571,0.0,0.017857142857142856,0.03571428571428571,0.0,0.02976190476190476,0.005952380952380952,0.023809523809523808,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.02976190476190476,0.0,0.02976190476190476,0.02976190476190476,0.02976190476190476
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.005738880918220947,0.0,0.03443328550932568,0.03873744619799139,0.03873744619799139,0.03873744619799139,0.0014347202295552368,0.0,0.0,0.0,0.03730272596843615,0.0,0.0,0.0,0.028694404591104734,0.0,0.0,0.03443328550932568,0.00430416068866571,0.0,0.010043041606886656,0.0,0.0,0.011477761836441894,0.03156384505021521,0.0,0.03873744619799139,0.03873744619799139,0.03873744619799139,0.0,0.0,0.0,0.0,0.028694404591104734,0.021520803443328552,0.00860832137733142,0.0,0.0014347202295552368,0.03873744619799139,0.03873744619799139,0.03873744619799139,0.03873744619799139,0.03730272596843615,0.03443328550932568,0.0,0.03443328550932568,0.020086083213773313,0.0,0.03730272596843615,0.028694404591104734,0.00860832137733142,0.0,0.0,0.0,0.03730272596843615,0.0,0.0028694404591104736,0.03156384505021521,0.0,0.035868005738880916,0.03873744619799139,0.005738880918220947
FC5,0.0,0.00340522133938706,0.0,0.028376844494892167,0.04767309875141884,0.05221339387060159,0.04086265607264472,0.0011350737797956867,0.0,0.0,0.0,0.03745743473325766,0.0,0.0,0.0,0.024971623155505107,0.0,0.0,0.02724177071509648,0.00340522133938706,0.0,0.00681044267877412,0.0,0.0,0.007945516458569807,0.024971623155505107,0.0,0.04086265607264472,0.04767309875141884,0.04426787741203178,0.0,0.0,0.0,0.0,0.021566401816118047,0.0170261066969353,0.0056753688989784334,0.0,0.0,0.04767309875141884,0.04086265607264472,0.049943246311010214,0.04880817253121453,0.03518728717366629,0.03518728717366629,0.0,0.032917139614074914,0.014755959137343927,0.0,0.039727582292849034,0.024971623155505107,0.00681044267877412,0.0,0.0,0.0,0.032917139614074914,0.0,0.0022701475595913734,0.02383654937570942,0.0,0.028376844494892167,0.04880817253121453,0.00340522133938706
FC1,0.0,0.0032502708559046588,0.0,0.027085590465872156,0.047670639219934995,0.07042253521126761,0.0390032502708559,0.0010834236186348862,0.0,0.0,0.0,0.035752979414951244,0.0,0.0,0.0,0.023835319609967497,0.0,0.0,0.02600216684723727,0.0032502708559046588,0.0,0.0065005417118093175,0.0,0.0,0.007583965330444204,0.023835319609967497,0.0,0.0390032502708559,0.04983748645720477,0.04333694474539545,0.0,0.0,0.0,0.0,0.020585048754062838,0.016251354279523293,0.005417118093174431,0.0,0.0,0.047670639219934995,0.0390032502708559,0.0552546045503792,0.04983748645720477,0.03358613217768147,0.03358613217768147,0.0,0.0314192849404117,0.014084507042253521,0.0,0.03791982665222102,0.023835319609967497,0.0065005417118093175,0.0,0.0,0.0,0.0314192849404117,0.0,0.0021668472372697724,0.02275189599133261,0.0,0.027085590465872156,0.050920910075839654,0.0032502708559046588
C3,0.0,0.0036101083032490976,0.0,0.030084235860409144,0.044524669073405534,0.0457280385078219,0.0421179302045728,0.0012033694344163659,0.0,0.0,0.0,0.039711191335740074,0.0,0.0,0.0,0.026474127557160047,0.0,0.0,0.02888086642599278,0.0036101083032490976,0.0,0.007220216606498195,0.0,0.0,0.00842358604091456,0.026474127557160047,0.0,0.0421179302045728,0.04332129963898917,0.04332129963898917,0.0,0.0,0.0,0.0,0.02286401925391095,0.018050541516245487,0.006016847172081829,0.0,0.0,0.044524669073405534,0.0421179302045728,0.044524669073405534,0.044524669073405534,0.03730445246690734,0.03730445246690734,0.0,0.03489771359807461,0.015643802647412757,0.0,0.04091456077015644,0.026474127557160047,0.007220216606498195,0.0,0.0,0.0,0.03489771359807461,0.0,0.0024067388688327317,0.02527075812274368,0.0,0.030084235860409144,0.044524669073405534,0.0036101083032490976
T7,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903
TP9,0.06414473684210527,0.003289473684210526,0.0,0.001644736842105263,0.0,0.0,0.0,0.0,0.06085526315789474,0.06578947368421052,0.0625,0.0,0.06578947368421052,0.024671052631578948,0.06578947368421052,0.0,0.06578947368421052,0.027960526315789474,0.0,0.0,0.003289473684210526,0.001644736842105263,0.05592105263157895,0.0,0.0,0.001644736842105263,0.027960526315789474,0.0,0.001644736842105263,0.0,0.03618421052631579,0.003289473684210526,0.03289473684210526,0.054276315789473686,0.001644736842105263,0.0,0.0,0.06743421052631579,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.001644736842105263,0.0,0.0,0.001644736842105263,0.047697368421052634,0.0,0.0,0.0,0.003289473684210526,0.0,0.039473684210526314,0.001644736842105263,0.001644736842105263,0.0,0.0,0.06578947368421052,0.0,0.0,0.014802631578947368
CP5,0.0622154779969651,0.0030349013657056147,0.0,0.0015174506828528073,0.0,0.0,0.0,0.0,0.05918057663125948,0.0834597875569044,0.06069802731411229,0.0,0.06525037936267071,0.02276176024279211,0.06525037936267071,0.0,0.06676783004552352,0.025796661608497723,0.0,0.0,0.0030349013657056147,0.0015174506828528073,0.05311077389984825,0.0,0.0,0.0015174506828528073,0.025796661608497723,0.0,0.0015174506828528073,0.0,0.03338391502276176,0.0030349013657056147,0.030349013657056147,0.05007587253414264,0.0015174506828528073,0.0,0.0,0.08497723823975721,0.024279210925644917,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0,0.0,0.0015174506828528073,0.04400606980273141,0.0,0.0,0.0,0.0030349013657056147,0.0,0.036418816388467376,0.0015174506828528073,0.0015174506828528073,0.0,0.0,0.06676783004552352,0.0,0.0,0.013657056145675266
