,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.2120545113501512,0.0,0.07194809171994028,0.0,0.0,0.07194809171994028,0.08928913218236803,0.06905791830953566,0.0,0.04046242774566474,0.04130459748114688,0.08350878536155878,0.0587030586073575,0.04545802549477472,0.07194809171994028,0.033112582781456956,0.008670520231213872,0.0620143168855032,0.04051984840944761
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inferiorparietal-rh,0.11013824884792627,0.0,0.1618349392542941,0.0,0.0,0.04516129032258064,0.11336405529953916,0.04516129032258064,0.0,0.07142857142857142,0.07788018433179723,0.09723502304147465,0.02903225806451613,0.041935483870967745,0.04516129032258064,0.03225806451612903,0.01948051948051948,0.04838709677419355,0.061541684122329285
parsopercularis-lh,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-lh,0.06407438715131022,0.0,0.038461538461538464,0.0,0.0,0.17988165680473372,0.06346153846153846,0.11937869822485206,0.0,0.0231614539306847,0.005917159763313609,0.02724006762468301,0.055198647506339814,0.14254015215553678,0.13651732882502113,0.029585798816568046,0.0,0.09387151310228233,0.020710059171597635
postcentral-rh,0.08442219582555574,0.0,0.0758951298150348,0.0,0.0,0.073392160190056,0.1461903953843543,0.073392160190056,0.0,0.045180722891566265,0.07029526556931953,0.08238588155438656,0.06634990666892923,0.041702019344985575,0.08395554047174614,0.035211267605633804,0.009036144578313253,0.05930765314780248,0.053283556762260306
precentral-lh,0.07631594564120825,0.0,0.04744525547445255,0.0,0.0,0.1437600142424782,0.07590054002729808,0.14011037920598185,0.0,0.019909797638122367,0.0072992700729927005,0.03326212094237731,0.06536704053171918,0.09506854192629517,0.13604533855557532,0.0364963503649635,0.0,0.09747196012106106,0.025547445255474453
precentral-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.058823529411764705,0.0,0.04201680672268908,0.0,0.0,0.15434173669467788,0.07142857142857142,0.02100840336134454,0.0,0.16302521008403362,0.05042016806722689,0.05042016806722689,0.02100840336134454,0.15434173669467788,0.15434173669467788,0.0,0.012605042016806723,0.02100840336134454,0.025210084033613446
rostralmiddlefrontal-rh,0.09210526315789473,0.0,0.08333333333333333,0.0,0.0,0.039473684210526314,0.13157894736842105,0.039473684210526314,0.0,0.04824561403508772,0.19298245614035087,0.09649122807017543,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.013157894736842105,0.039473684210526314,0.06578947368421052
superiorfrontal-lh,0.12572178477690288,0.0,0.08305211848518934,0.0,0.027559055118110236,0.044956880389951256,0.11162354705661792,0.044956880389951256,0.0,0.05238095238095238,0.06501687289088864,0.18432695913010874,0.03543307086614173,0.029208848893888265,0.044956880389951256,0.03543307086614173,0.014285714285714285,0.044956880389951256,0.05613048368953881
superiorfrontal-rh,0.08969541139240506,0.0,0.0390625,0.0,0.0,0.0960245253164557,0.09117879746835443,0.0960245253164557,0.0,0.02531645569620253,0.0078125,0.03125,0.1559533227848101,0.0764932753164557,0.1116495253164557,0.0390625,0.0,0.08969541139240506,0.05078125
superiorparietal-lh,0.05179982440737489,0.0,0.048507462686567165,0.0,0.0,0.16275241439859525,0.0481233538191396,0.08856453028972783,0.0,0.025899912203687446,0.007462686567164179,0.02606453028972783,0.05179982440737489,0.218612818261633,0.12209174714661984,0.022388059701492536,0.0,0.10354477611940299,0.022388059701492536
superiorparietal-rh,0.06471561710652382,0.0,0.03651685393258427,0.0,0.0,0.152687048166536,0.06926661440641059,0.11965421130563539,0.0,0.02393084226112708,0.0056179775280898875,0.026347879104607612,0.07033359463461371,0.1129692535493424,0.16605696367912204,0.028089887640449437,0.0,0.09010539151641843,0.033707865168539325
