,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.04358974358974359,0.0,0.04487179487179487,0.03974358974358974,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.04487179487179487,0.04230769230769231,0.04487179487179487,0.041025641025641026,0.03974358974358974,0.04487179487179487,0.0,0.0,0.04487179487179487,0.04487179487179487,0.0,0.0,0.04487179487179487,0.04487179487179487,0.0,0.03205128205128205,0.0,0.04487179487179487,0.0,0.0,0.04487179487179487,0.04487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.04487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04487179487179487,0.0,0.04487179487179487,0.03974358974358974,0.0
F3,0.0,0.0,0.045064377682403435,0.0,0.0,0.02145922746781116,0.0,0.02575107296137339,0.027181688125894134,0.027181688125894134,0.027181688125894134,0.0,0.0,0.0,0.0,0.0,0.0,0.045064377682403435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046494992846924176,0.0,0.0,0.0,0.046494992846924176,0.046494992846924176,0.0,0.0,0.046494992846924176,0.0,0.023605150214592276,0.0357653791130186,0.044349070100143065,0.045779685264663805,0.0,0.0,0.0,0.046494992846924176,0.046494992846924176,0.046494992846924176,0.0,0.046494992846924176,0.027181688125894134,0.017167381974248927,0.0,0.0,0.0,0.045779685264663805,0.04291845493562232,0.0,0.022889842632331903,0.029327610872675252,0.0,0.0,0.0,0.046494992846924176,0.0,0.0,0.027896995708154508
F7,0.0,0.033203125,0.0,0.0703125,0.03515625,0.0,0.01171875,0.0,0.0,0.0,0.0,0.037109375,0.0341796875,0.0400390625,0.03125,0.033203125,0.037109375,0.0,0.0,0.0341796875,0.056640625,0.0,0.0,0.048828125,0.056640625,0.0,0.0244140625,0.0,0.03515625,0.0,0.0,0.0341796875,0.0712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0341796875,0.0361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712890625,0.0,0.0703125,0.033203125,0.0
FT9,0.0,0.03820816864295125,0.0,0.04743083003952569,0.0461133069828722,0.0,0.015810276679841896,0.0,0.0,0.0,0.0,0.043478260869565216,0.04216073781291173,0.04743083003952569,0.03557312252964427,0.043478260869565216,0.043478260869565216,0.0,0.0,0.039525691699604744,0.04743083003952569,0.0,0.0,0.04479578392621871,0.04743083003952569,0.0,0.028985507246376812,0.0,0.04084321475625823,0.0,0.0,0.039525691699604744,0.04743083003952569,0.0,0.0,0.0,0.0,0.0,0.0,0.0461133069828722,0.04216073781291173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034255599472990776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04743083003952569,0.0,0.04743083003952569,0.043478260869565216,0.0
FC5,0.0,0.0,0.03901170351105332,0.0,0.0,0.0377113133940182,0.0,0.035110533159947985,0.035110533159947985,0.03901170351105332,0.0377113133940182,0.0,0.0,0.0,0.0,0.0,0.0,0.03901170351105332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03901170351105332,0.0,0.0,0.0,0.03901170351105332,0.03901170351105332,0.0,0.0,0.03901170351105332,0.0,0.033810143042912875,0.0377113133940182,0.0377113133940182,0.03901170351105332,0.0,0.0,0.0,0.03901170351105332,0.03901170351105332,0.03901170351105332,0.0,0.03901170351105332,0.03901170351105332,0.01950585175552666,0.0,0.0,0.0,0.03901170351105332,0.0377113133940182,0.0,0.027308192457737322,0.03901170351105332,0.0,0.0,0.0,0.03901170351105332,0.0,0.0,0.036410923276983094
FC1,0.0,0.042105263157894736,0.0,0.042105263157894736,0.042105263157894736,0.0,0.03859649122807018,0.0,0.0,0.0,0.0,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.0,0.0,0.042105263157894736,0.042105263157894736,0.0,0.0,0.042105263157894736,0.042105263157894736,0.0,0.03508771929824561,0.0,0.042105263157894736,0.0,0.0,0.042105263157894736,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.0,0.042105263157894736,0.042105263157894736,0.0
C3,0.0,0.0,0.03866809881847476,0.0,0.0,0.02685284640171858,0.0,0.03759398496240601,0.03866809881847476,0.03544575725026853,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,0.0,0.03866809881847476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03866809881847476,0.0,0.0,0.0,0.03866809881847476,0.03866809881847476,0.0,0.0,0.03866809881847476,0.0,0.03544575725026853,0.03866809881847476,0.03866809881847476,0.03866809881847476,0.0,0.0,0.0,0.03866809881847476,0.03866809881847476,0.03866809881847476,0.0,0.03866809881847476,0.03544575725026853,0.02577873254564984,0.0,0.0,0.0,0.03866809881847476,0.03866809881847476,0.0,0.03329752953813104,0.036519871106337275,0.0,0.0,0.0,0.03866809881847476,0.0,0.0,0.03866809881847476
T7,0.0,0.0,0.03753910323253389,0.0,0.0,0.026068821689259645,0.0,0.0364963503649635,0.03858185610010428,0.03441084462982273,0.0364963503649635,0.0,0.0,0.0,0.0,0.0,0.0,0.03858185610010428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03962460896767466,0.0,0.0,0.0,0.03962460896767466,0.03962460896767466,0.0,0.0,0.03858185610010428,0.0,0.03441084462982273,0.03858185610010428,0.03962460896767466,0.03962460896767466,0.0,0.0,0.0,0.03962460896767466,0.03962460896767466,0.03962460896767466,0.0,0.03962460896767466,0.03441084462982273,0.02502606882168926,0.0,0.0,0.0,0.03753910323253389,0.03962460896767466,0.0,0.03336809176225235,0.035453597497393116,0.0,0.0,0.0,0.03962460896767466,0.0,0.0,0.03858185610010428
TP9,0.0,0.0,0.039014373716632446,0.0,0.0,0.029774127310061602,0.0,0.03593429158110883,0.03593429158110883,0.037987679671457907,0.037987679671457907,0.0,0.0,0.0,0.0,0.0,0.0,0.039014373716632446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039014373716632446,0.0,0.0,0.0,0.039014373716632446,0.039014373716632446,0.0,0.0,0.039014373716632446,0.0,0.033880903490759756,0.037987679671457907,0.037987679671457907,0.039014373716632446,0.0,0.0,0.0,0.039014373716632446,0.039014373716632446,0.039014373716632446,0.0,0.039014373716632446,0.037987679671457907,0.023613963039014373,0.0,0.0,0.0,0.039014373716632446,0.037987679671457907,0.0,0.029774127310061602,0.039014373716632446,0.0,0.0,0.0,0.039014373716632446,0.0,0.0,0.03696098562628337
