,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.30263786106469326,0.038135593220338986,0.0,0.0,0.0,0.059322033898305086,0.0,0.0,0.0,0.0,0.0,0.0,0.04929577464788732,0.0423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.08050847457627118,0.0,0.0,0.0,0.0,0.0,0.02464788732394366,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.007042253521126761,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059322033898305086,0.0,0.0,0.0,0.02112676056338028,0.029661016949152543,0.0880281690140845,0.0,0.01056338028169014,0.0,0.0
bankssts-rh,0.025362318840579712,0.33029768899334117,0.02364864864864865,0.0,0.0,0.02027027027027027,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.036231884057971016,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.04827653740697219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.013758323540932238,0.0,0.0,0.018115942028985508,0.0963572267920094,0.0,0.11148648648648649,0.0,0.03985507246376811,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030405405405405407,0.0,0.006756756756756757,0.05434782608695652,0.0,0.017871132001566786,0.0,0.030405405405405407,0.0,0.0,0.0,0.0,0.02364864864864865,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.026515151515151516,0.21022727272727273,0.05714285714285714,0.0,0.015151515151515152,0.0,0.0,0.0,0.026515151515151516,0.04285714285714286,0.06439393939393939,0.0,0.0,0.0,0.055357142857142855,0.0,0.0,0.060714285714285714,0.0,0.0,0.0,0.0,0.0,0.03235930735930736,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.0,0.13257575757575757,0.026515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033928571428571426,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0125,0.0,0.026515151515151516,0.026515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0
caudalanteriorcingulate-rh,0.0,0.0,0.058935361216730035,0.11802627030763913,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.052445558244037335,0.0,0.0,0.01818181818181818,0.01818181818181818,0.055133079847908745,0.0,0.0,0.06157967507777394,0.0,0.005681818181818182,0.0,0.019318181818181818,0.005681818181818182,0.030418250950570342,0.019318181818181818,0.0,0.0125,0.06839785689595576,0.0,0.0,0.00909090909090909,0.022727272727272728,0.017045454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0375,0.025,0.0125,0.0,0.03612167300380228,0.0,0.0,0.017045454545454544,0.014772727272727272,0.0,0.03802281368821293,0.0,0.0,0.014772727272727272,0.013307984790874524,0.0,0.0,0.0,0.0,0.029545454545454545,0.0,0.0,0.0,0.03295454545454545,0.049429657794676805,0.0
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.5376280535855005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.08796296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06018518518518518,0.0,0.0425531914893617,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.054878048780487805,0.005154639175257732,0.002577319587628866,0.002577319587628866,0.0,0.22133517726929847,0.0,0.020618556701030927,0.0,0.02577319587628866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02190721649484536,0.05283505154639175,0.0,0.11280487804878049,0.0,0.03608247422680412,0.04252577319587629,0.0,0.002577319587628866,0.0,0.0,0.001288659793814433,0.0,0.005154639175257732,0.05670103092783505,0.002577319587628866,0.015463917525773196,0.010309278350515464,0.0,0.0,0.006443298969072165,0.0,0.0,0.0,0.0,0.020618556701030927,0.00902061855670103,0.007731958762886598,0.0,0.051829268292682924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04381443298969072,0.0,0.042682926829268296,0.0,0.04381443298969072,0.018292682926829267,0.0,0.054878048780487805,0.0,0.0,0.0,0.007731958762886598,0.0
cuneus-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.37090517241379306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.10625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.16379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,0.07758620689655173,0.06875
cuneus-rh,0.0,0.0,0.0,0.030405405405405407,0.0,0.010135135135135136,0.0,0.10963056503105047,0.006472491909385114,0.0,0.0,0.009290540540540541,0.0,0.015202702702702704,0.004222972972972973,0.010135135135135136,0.006472491909385114,0.0008445945945945946,0.014358108108108109,0.0,0.0,0.0,0.026182432432432432,0.013513513513513514,0.010135135135135136,0.02533783783783784,0.012944983818770227,0.009290540540540541,0.009290540540540541,0.011753258112481414,0.0,0.018581081081081082,0.023293317589434093,0.07936729204933088,0.0,0.0,0.04692556634304207,0.0,0.030744336569579287,0.0,0.02750809061488673,0.02027027027027027,0.03885135135135135,0.02266192163036823,0.01266891891891892,0.02912621359223301,0.007601351351351352,0.010135135135135136,0.003236245954692557,0.04298685821744074,0.0424975946820607,0.0,0.0,0.010135135135135136,0.02750809061488673,0.03125,0.0,0.0,0.0,0.05670537041896265,0.010135135135135136,0.005067567567567568,0.0,0.0,0.0,0.0561450406717397,0.0008445945945945946,0.010135135135135136
entorhinal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.01935483870967742,0.18655913978494623,0.0,0.046747967479674794,0.0,0.02032520325203252,0.0,0.01016260162601626,0.0,0.03870967741935484,0.0,0.0,0.026422764227642278,0.044715447154471545,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.1348151062155783,0.012903225806451613,0.012195121951219513,0.012903225806451613,0.01016260162601626,0.0064516129032258064,0.0,0.0,0.0,0.02903225806451613,0.0,0.0,0.0,0.0,0.022357723577235773,0.041935483870967745,0.0,0.03861788617886179,0.0,0.04038814581694204,0.0,0.0,0.042682926829268296,0.0,0.041935483870967745,0.0,0.0,0.0,0.016129032258064516,0.042682926829268296,0.05806451612903226,0.0,0.0
entorhinal-rh,0.0,0.02092050209205021,0.014644351464435146,0.0,0.0,0.0502092050209205,0.0,0.0,0.0,0.17858725079990156,0.0,0.021568627450980392,0.03555664943801788,0.0,0.0,0.0,0.0,0.0502092050209205,0.03765690376569038,0.027450980392156862,0.0,0.00784313725490196,0.026409057346788088,0.05255558290261711,0.0,0.00196078431372549,0.0,0.0,0.0,0.00196078431372549,0.016736401673640166,0.04184100418410042,0.0,0.0,0.05033226679793256,0.0,0.0,0.08771843465419642,0.0,0.045098039215686274,0.0,0.0,0.01568627450980392,0.0,0.0,0.0,0.0,0.045098039215686274,0.0,0.0,0.0,0.00784313725490196,0.013725490196078431,0.01764705882352941,0.0,0.0620969726802855,0.0,0.0,0.0,0.06276150627615062,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0
