,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,-0.16023299550422693,-0.03773103451020784,0.0014707380440799984,-0.06334918762251246,-0.16023299550422693,-0.14781771936828855,-0.006149609354405518,-0.1631538537693391,-0.03958526406297785,-0.12854985575472191,-0.16023299550422693,-0.16023299550422693,-0.0010693777554151777,0.006550969643070339,0.0027407959438275867,-0.08680796740093888,-0.08797631070698374,-0.16023299550422693,-0.16071545256354663
caudalmiddlefrontal-rh,-0.12315347930382249,-0.12315347930382249,0.001900625287912657,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.0007743288210014669,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.0007743288210014669,0.007250533505740905,0.003238102342369719,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249
inferiorparietal-rh,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,0.003952436678272918,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657,-0.00021957981545960657
parsopercularis-lh,-0.12790370376487453,-0.09482473647749567,0.0023189058341920323,-0.12790370376487453,-0.12790370376487453,-0.12790370376487453,-0.005387127629493849,-0.1278370032910636,-0.09671789460651169,-0.12790370376487453,-0.12790370376487453,-0.12790370376487453,-0.0002497719870365908,0.007456261476649291,0.0036032447448063557,-0.12594384516204757,-0.127161483598851,-0.12790370376487453,-0.12533502594364587
parstriangularis-rh,-0.13915980429563718,-0.030517703218663022,0.0016333838464486334,-0.05143518702120209,-0.27486250598301326,-0.11535401978901215,-0.005848310942894131,-0.1325474821596022,-0.032342312491037355,-0.10614510946138168,-0.19636362499893104,-0.17822598708783285,-0.0008605144166656212,0.0066211803726771426,0.0028803329780057608,-0.07025317500159863,-0.07140849528323305,-0.1688169930976346,-0.1503017787082871
postcentral-lh,-0.15104640747403103,-0.04302126698079094,0.0007385959030720914,-0.07171528462431272,-0.14920809405476118,-0.14920809405476118,-0.006881751495413425,-0.15572599849091215,-0.04485958040006078,-0.14447032694981365,-0.15288472089330088,-0.15104640747403103,-0.0018015198964230848,0.005818827502062432,0.0020086538028196797,-0.09817034826645547,-0.09930685930550001,-0.14920809405476118,-0.15331942955212
postcentral-rh,-0.002191018639503813,0.00041081599490695384,0.004313567946523122,-0.002191018639503813,-0.002191018639503813,-0.002191018639503813,0.7320838842574223,-0.0008901013222984238,0.00041081599490695384,-0.002191018639503813,-0.002191018639503813,-0.002191018639503813,0.7359866362090385,0.2542755381809867,0.005614485263728512,-0.0008901013222984238,0.0017117333121123434,-0.002191018639503813,-0.002191018639503813
precentral-lh,-0.15805837434319542,-0.04035018380246675,0.0028549332402820204,-0.06650755947818425,-0.15805837434319542,-0.15805837434319542,-0.0011141202888905503,-0.15805837434319542,-0.04035018380246675,-0.1319009986674779,-0.15805837434319542,-0.15805837434319542,0.00020889755416696927,0.008147004612512122,0.004177951083339552,-0.09266493515390171,-0.09134191731084418,-0.15805837434319542,-0.15805837434319542
precentral-rh,-0.12315347930382249,-0.12315347930382249,0.001900625287912657,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.0007743288210014669,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.0007743288210014669,0.007250533505740905,0.003238102342369719,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249,-0.12315347930382249
rostralmiddlefrontal-lh,-0.14893953585324993,-0.04625165852486069,0.004136193026186892,-0.0830163418493705,-0.14893953585324993,-0.14893953585324993,-0.003484154372298625,-0.14450142058080606,-0.048163832751154774,-0.14893953585324993,-0.14893953585324993,-0.14893953585324993,0.0015960772266917157,0.009216424625177232,0.00540625092593448,-0.11026267830244606,-0.11154691095553905,-0.14893953585324993,-0.14385930425425952
