,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,-0.02358454847060716,0.0,-0.02919169115872272,0.010471241356788914,0.015335340025462274,-0.013519141665838435,0.010247618236288,0.010433379241148549,-0.029692180999843817,0.004344677769732078,-0.010380135641029282,-0.00839355776102379,0.009561367390306353,0.010137581462708182,0.012643580241654954,-0.0057017979772164724,0.013758146270818247,-0.01056589664588983,0.013758146270818247,0.023171614771904415,0.010823832308689827,0.013553454208137515,0.006107632529236653,0.0,0.010137581462708182,0.015930485155684286,0.0075747895103008625,-0.005516036972355923,0.010861694424330196,0.005940802582196288,0.020070470862735633,-0.0016907801015651272,-0.000614076188042198,-0.017973856209150325,0.01882693700217234,-0.006221218876157751,0.016449906054625568,0.006460223481137568,-0.008245658871803611,-0.003491596976710065,-0.0196078431372549,0.0,-0.026143790849673203,0.007351166389799945,-0.011828361564273308,0.003192249624928419,-0.00024255417832109993,0.004344677769732078,-0.027815639893418145,0.0013914327497834764,-0.009693884795047639,-0.022765780219884235
S1_D3 hbo,0.0,0.0357166596503667,-0.010723860589812333,-0.04825737265415549,-0.010723860589812333,-0.005361930294906166,-0.010723860589812333,-0.005361930294906166,-0.010723860589812333,0.0388629162696918,0.0,0.07046950125185562,0.04075731726231361,0.030476591407617486,-0.0160857908847185,-0.010723860589812333,0.0,-0.029269049254425805,0.0,0.0,-0.013404825737265416,-0.05361930294906166,-0.010723860589812333,0.01785832982518335,0.045454545454545456,0.07851239669421488,-0.04289544235924933,-0.045576407506702415,0.0,0.030598453459774445,0.0746017326568143,0.07192076750936122,-0.010723860589812333,0.0,-0.09115281501340483,-0.045576407506702415,-0.0160857908847185,0.07192076750936122,-0.010723860589812333,0.0,0.0,0.03305785123966942,-0.029490616621983913,-0.010723860589812333,-0.002680965147453083,0.05394057563202092,-0.024128686327077747,-0.029490616621983913,-0.05630026809651475,-0.010723860589812333,-0.021447721179624665,-0.010723860589812333
S2_D1 hbo,0.0014703579382676427,-0.0029910269192422734,-0.020187483037738235,0.009782309078450504,-0.001629085734977019,0.003207860427247043,0.010749556589648258,0.01687970913131253,-0.018449980548758835,-0.01097701919118267,-0.0027245909747658243,-0.004017797354206038,-0.005024726814581132,-0.0013031268667345521,0.008360844970419232,-0.013721451140537164,0.016346837242359632,-0.0025864127588804305,0.013503909026297086,0.026297085998578537,0.009209755240320262,0.005083541132111839,0.0043728090780962015,0.0,0.008528784648187633,0.003385720592309781,0.004807184700341053,-0.0017573434635680743,0.00026643594447644907,-0.003593342219255523,0.01746218345673711,-0.0020336998953388585,0.0008092283207236858,-0.01694915254237288,0.009219675727614599,-0.005873637084482162,0.0114900501055469,0.005932451402012869,-0.00403763832879471,0.001964256484278507,-0.011964107676969093,0.0007107320540156361,-0.01296111665004985,0.006633262968734167,-0.004718608920927339,0.005221719347997231,-0.0026062537334691042,-0.008696724325956034,-0.01441234221996413,-0.005311003733646253,-0.003465084490664464,-0.01970350497902171
S2_D2 hbo,0.036443591724465804,-0.022485207100591716,0.033647160697155176,-0.023262842443948287,0.012126357253826627,-0.0051955549141290205,0.0038423335851875753,-0.009248427325902218,0.010942925301163905,0.020159092645573168,0.03012912482065997,0.014744509436044585,-0.015919451919893374,-0.012369156061905206,-0.006451996298591597,-0.0017182684879407106,0.009435195639808816,0.0041988912753728996,0.0,0.01922694896980296,-0.00881886020391704,-0.009248427325902218,-0.0017182684879407106,-0.021301775147928994,0.011477761836441894,0.010043041606886656,-0.017102883872556093,-0.019469747777881536,0.01291248206599713,-0.00881886020391704,0.011372492423149085,-0.0019695567648332253,-0.018286315825218818,-0.016568047337278107,-0.028937203399183316,-0.014306452845245472,-0.004085132393266154,0.0006485954173847328,0.0018320273700474544,0.024390243902439025,0.0,-0.0003565576901853242,-0.009467455621301775,-0.0042634112383588135,0.03138556620512254,0.0003973071404922181,0.003015459322710178,0.005058025519343255,0.006314466903805828,-0.00881886020391704,-0.02420347558853243,0.0006485954173847328
S2_D4 hbo,0.02381104435525469,-0.0036991368680641184,-0.007660602964222024,-0.002483776361876784,-0.027180059048638988,0.009468414873182979,0.011271314249782623,0.010910734374462692,0.001406949268278307,-0.015308433344304657,0.014342629482071713,-0.017925830586408988,-0.005328132599073495,-0.029174547187329595,0.006566090754122844,-0.007794223844449576,-0.0029200092355608376,-0.004589287731932934,-0.006107260231576773,0.011422620246510876,0.0017095612617348127,-0.010981474840465511,0.0008370955143667015,-0.0036991368680641184,0.013545816733067729,0.001936520256827192,0.0026576800074670504,0.00787478937517501,0.0044782645005673975,-0.007642917847721323,0.017512195361586942,0.0051237712528431276,0.007002323627806898,-0.014796547472256474,-0.0011171098589611954,0.005199424251207256,0.008595949125814864,0.00207014113705474,0.010265227622186963,0.00796812749003984,-0.0036991368680641184,0.0007968127490039841,-0.018495684340320593,0.01584291686521485,-0.0004362328736840554,0.003303186759742782,-0.012650753336837607,-0.00631653411016845,0.011004072489327523,0.003739419633426836,-0.009463502340821668,-0.0011927628573253218
S3_D1 hbo,0.0006325554330277039,0.0,-0.0005793012795284533,-0.011888665048259951,0.011391193321669376,-0.03067699017915476,0.012231569841523432,0.007160735322960465,-0.007456880371688013,-0.0003493992022268024,-0.00026756964928892693,-0.008438835006942523,-0.01782195707715228,0.0053163231773765965,0.000572806870565129,-0.006654171423821232,0.024551463644948063,-0.004312287551646787,0.016052880075542966,0.005807300495003852,0.0071009867604978905,0.013116108342328089,0.0019483226889970423,0.0,-0.01496701489687528,0.018885741265344664,0.004186296017758311,-0.010780718879116965,0.0066100094428706326,0.006342439793581706,0.01783754365866426,-0.002096395213360816,0.005212412633963423,-0.03576341127922971,0.008312843473054046,-0.0063047722215944305,0.010283247152526391,0.007614045068600441,0.0034874976133047048,-0.00706331918851061,0.0,0.003777148253068933,-0.009546781176085508,-0.002631534511938677,-0.014104557386545922,0.007614045068600441,-0.0039849693398952835,0.003777148253068933,-0.00646843132747018,-0.008624575103293574,0.008989560887032354,-0.008029687242253145
S3_D3 hbo,0.017328079183749286,-0.0033783783783783786,0.005633947644256926,-0.010783611299075216,0.006542809377860923,0.01057132242699253,-0.026849566798020412,0.027073465217795113,0.01200095529992437,-0.0038112486566094818,0.008403654022210723,-0.02191550902891109,-0.005672093300959281,-0.017454125701548383,-0.007577717629264024,0.004766548580981571,0.012432167071342329,-0.009657485172949091,0.013254786450662739,0.025383446775199353,-0.004589088351974951,0.008577797237591053,-0.009440220780426962,-0.01126126126126126,0.0020366463665432745,0.0064549085167641875,-0.00034496941713436577,-0.012471971234857833,0.020618556701030927,-0.018362987435152384,0.019319945866337618,-0.00112446761931298,-0.004589088351974951,-0.018018018018018018,-0.011995979779484935,-0.006322227971712505,0.0013881702026031922,0.015248311640064217,0.0069756796560920264,-0.0038974910108930724,-0.00991787074261301,0.003942270694848015,-0.018018018018018018,0.011004192705223636,-0.006020379731719938,0.016374437766190342,-0.0030300919476177225,0.004418262150220913,-0.004373482466265972,-0.007534596452122226,0.0002620440764770672,-0.0016004590746858775
S3_D4 hbo,0.004740347547096915,0.0,0.005598716645809361,-0.03666630271368939,0.0015470801172488523,-0.013112385879744337,0.026884926467500403,-0.046207469994876654,0.010370980069375035,-0.005870841487279843,0.014592274678111588,-0.031791572528829276,-0.0017839295163064907,0.00013774220370728167,0.001889755843545015,-0.007276819834877331,0.029184549356223177,-0.018195409153137415,0.015450643776824034,0.010335704626962199,-0.001165769382595768,0.0029883339072591837,-0.006796401904873888,0.0,0.015450643776824034,0.012875536480686695,-0.00411882784744211,0.0027481249422574607,0.012875536480686695,0.005665907964690962,0.013288763091808539,-0.0004451424875906024,-0.001165769382595768,-0.027877678203976044,0.014352065713109867,3.527544241284028e-05,0.0072801794008214155,-0.0055600816374524395,0.007039970435819692,0.008583690987124463,0.0,0.007725321888412017,-0.020770516449274752,-0.010777487548608716,0.00944206008583691,-0.008615606863593223,-0.0065561929398721686,0.005150214592274678,0.007485112923410295,-0.0006853514525923254,0.002027498047252295,-0.00030740028388332244
S3_D5 hbo,-0.004991403570551382,-0.0030272452068617556,-0.020679517416277285,-0.0012066072659803334,0.0035465819945491826,-0.003611684042008581,0.012620179859202028,0.019045308065847765,-0.02728589564141793,-0.01523091992152244,-0.0038632146799198654,-0.009823011206429713,-0.012314644113739191,0.005675714864868864,0.0042878575803936315,-0.011952144076749393,0.01686217008797654,-0.0016638011901837953,0.015395894428152493,0.0225378849528454,0.0064872710701297034,0.00557288322172278,0.0042878575803936315,0.0,0.0024672196395122085,0.005486327090441542,0.0031922197134918086,0.0004327806564061905,0.0011821939981830603,0.0034681636192003713,0.018958751934566524,-0.0009388011162041986,0.002726888033355919,-0.011099899091826439,0.016491532295054314,-0.0035954085301437254,0.0135508432194738,0.009695766295486356,-0.00039505106071949583,-0.0037685207927062037,-0.009081735620585268,0.0007331378299120235,-0.012108980827447022,0.009506378521059032,-0.012384924733155585,0.010704848031106943,0.0025456380148610215,-0.007710153847974881,-0.01762785894161826,-0.001490688927621317,-0.006630791492937906,-0.014979389283611148
S4_D2 hbo,0.023279645897510293,0.03198404810262552,-0.004117614376462308,0.04547895818800274,-0.011624389611512034,0.005988134850327495,0.0020742405254742663,-0.009784735812133072,-0.017495231098791877,0.011365109545827756,0.05362776025236593,-0.011945403026168765,-0.02727996691092495,0.004031187687900881,-0.007710495286658806,-0.025323019748498335,0.0016359337477698833,0.011858976337607338,0.0,-0.003796600961805577,-0.007710495286658806,-0.011624389611512034,-0.005753548124232191,0.0,0.0031545741324921135,-0.005753548124232191,-0.005753548124232191,0.0020742405254742663,-0.03674368930840129,0.036774555982887515,-0.0022779605770833454,-0.005753548124232191,0.0020742405254742663,-0.033268101761252444,0.00794508201275411,0.0020742405254742663,0.00011729336304765192,0.0020742405254742663,0.00011729336304765192,0.00946372239747634,-0.0273972602739726,0.0485162389574472,-0.0019569471624266144,-0.0018396537993789625,0.020359658491113486,0.0008766135554087676,0.0020742405254742663,-0.046966731898238745,0.00794508201275411,-0.00966744244908542,-0.005753548124232191,-0.00966744244908542
