,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.21568627450980393,0.0392156862745098,0.06862745098039216,0.049019607843137254,0.0,0.0196078431372549,0.09803921568627451,0.0196078431372549,0.09803921568627451,0.0784313725490196,0.0,0.029411764705882353,0.049019607843137254,0.0784313725490196,0.029411764705882353,0.0392156862745098,0.0,0.0196078431372549,0.06862745098039216
caudalmiddlefrontal-rh,0.04504504504504504,0.15315315315315314,0.0990990990990991,0.0,0.0,0.036036036036036036,0.10810810810810811,0.02702702702702703,0.0990990990990991,0.0,0.0,0.05405405405405406,0.08108108108108109,0.08108108108108109,0.04504504504504504,0.018018018018018018,0.02702702702702703,0.04504504504504504,0.08108108108108109
inferiorparietal-rh,0.04035874439461883,0.053811659192825115,0.09417040358744394,0.04484304932735426,0.0,0.04035874439461883,0.07174887892376682,0.053811659192825115,0.08520179372197309,0.03587443946188341,0.0,0.04932735426008968,0.08071748878923767,0.07174887892376682,0.07174887892376682,0.053811659192825115,0.04035874439461883,0.04484304932735426,0.06726457399103139
parsopercularis-lh,0.038461538461538464,0.0,0.05384615384615385,0.16153846153846155,0.0,0.06923076923076923,0.05384615384615385,0.07692307692307693,0.046153846153846156,0.05384615384615385,0.0,0.08461538461538462,0.046153846153846156,0.03076923076923077,0.08461538461538462,0.08461538461538462,0.015384615384615385,0.05384615384615385,0.046153846153846156
parstriangularis-rh,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-lh,0.01932367149758454,0.01932367149758454,0.057971014492753624,0.05314009661835749,0.0,0.12560386473429952,0.033816425120772944,0.0821256038647343,0.04830917874396135,0.033816425120772944,0.0,0.1111111111111111,0.057971014492753624,0.033816425120772944,0.07729468599033816,0.05314009661835749,0.03864734299516908,0.08695652173913043,0.06763285024154589
postcentral-rh,0.07758620689655173,0.07758620689655173,0.08620689655172414,0.05172413793103448,0.0,0.02586206896551724,0.14655172413793102,0.02586206896551724,0.08620689655172414,0.04310344827586207,0.0,0.04310344827586207,0.06896551724137931,0.0603448275862069,0.04310344827586207,0.05172413793103448,0.0,0.034482758620689655,0.07758620689655173
precentral-lh,0.018518518518518517,0.013888888888888888,0.06944444444444445,0.06944444444444445,0.0,0.0787037037037037,0.032407407407407406,0.09259259259259259,0.05555555555555555,0.032407407407407406,0.0,0.09259259259259259,0.06018518518518518,0.05092592592592592,0.09259259259259259,0.07407407407407407,0.046296296296296294,0.06481481481481481,0.05555555555555555
precentral-rh,0.05240174672489083,0.056768558951965066,0.08733624454148471,0.034934497816593885,0.0,0.039301310043668124,0.07423580786026202,0.048034934497816595,0.10043668122270742,0.034934497816593885,0.0,0.048034934497816595,0.07860262008733625,0.09170305676855896,0.0611353711790393,0.048034934497816595,0.034934497816593885,0.043668122270742356,0.06550218340611354
rostralmiddlefrontal-lh,0.09183673469387756,0.0,0.061224489795918366,0.08163265306122448,0.0,0.05102040816326531,0.08163265306122448,0.05102040816326531,0.07142857142857142,0.09183673469387756,0.0,0.061224489795918366,0.061224489795918366,0.04081632653061224,0.061224489795918366,0.061224489795918366,0.02040816326530612,0.05102040816326531,0.061224489795918366
