,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.13793886542217376,0.08230004087750376,0.036312849162011177,0.08509333696688923,0.04878048780487805,0.0223463687150838,0.07950674478811827,0.035381750465549346,0.043511831766362356,0.055706953717581865,0.0655402643411909,0.06392787391561067,0.06697097697233956,0.006517690875232775,0.03022664304855339,0.0728982150156697,0.01675977653631285,0.0223463687150838,0.027932960893854747
caudalmiddlefrontal-rh,0.053746479488243126,0.1140536646071218,0.05972862039604393,0.08006571621946161,0.05521472392638037,0.019572953736654804,0.0904635067571993,0.03202846975088968,0.06432984738990896,0.03825622775800712,0.070830513285156,0.03580005676484073,0.07353230137763903,0.006227758007117438,0.019480165054690742,0.07432919241097743,0.0428247058052966,0.019572953736654804,0.049942143527716525
inferiorparietal-rh,0.03424657534246575,0.10292318982387474,0.10549168297455969,0.053816046966731895,0.0,0.02054794520547945,0.05503913894324853,0.032534246575342464,0.10463551859099804,0.03767123287671233,0.01797945205479452,0.021404109589041095,0.10377935420743639,0.0059931506849315065,0.012842465753424657,0.08696183953033268,0.08751223091976516,0.02054794520547945,0.0960738747553816
parsopercularis-lh,0.06328214739133063,0.09509703161840276,0.045273864941660115,0.118803276706366,0.05672268907563025,0.02158273381294964,0.08639894806843601,0.03627350220663805,0.04857626503838945,0.038072063357717185,0.08311166193095944,0.04349041774983375,0.06448370715192552,0.006294964028776978,0.021892569977631338,0.07498790883259779,0.024288132519194726,0.027885254821353005,0.04348286077020737
parstriangularis-rh,0.028761061946902654,0.08185840707964602,0.0,0.05752212389380531,0.28185840707964605,0.0,0.08185840707964602,0.0,0.00663716814159292,0.0,0.0752212389380531,0.022123893805309734,0.01991150442477876,0.0,0.008849557522123894,0.035398230088495575,0.2,0.0,0.1
postcentral-lh,0.031767955801104975,0.027624309392265192,0.031767955801104975,0.031767955801104975,0.0,0.17820891687010149,0.031767955801104975,0.10153539766157009,0.03038674033149171,0.03038674033149171,0.009668508287292817,0.11040087369908776,0.029005524861878452,0.09658871900295517,0.07137350636001541,0.031767955801104975,0.016574585635359115,0.11316330463831428,0.026243093922651933
postcentral-rh,0.05781173519334312,0.10832721488007832,0.04913117963778757,0.08038117963778757,0.0642361111111111,0.024229074889867842,0.11052985805188449,0.03524229074889868,0.05323819138521782,0.034140969162995596,0.07334495839451786,0.0448941507586882,0.0625535364659814,0.007709251101321586,0.0234642682329907,0.07690895741556535,0.028206069505628976,0.024229074889867842,0.04142192853646598
precentral-lh,0.03599221789883268,0.033073929961089495,0.03599221789883268,0.03599221789883268,0.0,0.10667963683527885,0.032101167315175094,0.18182555123216604,0.03501945525291829,0.03501945525291829,0.01556420233463035,0.17015239948119326,0.03404669260700389,0.006809338521400778,0.014591439688715954,0.03599221789883268,0.01556420233463035,0.14834630350194553,0.027237354085603113
precentral-rh,0.04356334552880116,0.09185952522760146,0.08821683825406279,0.05769803454437165,0.009316770186335404,0.02054794520547945,0.06241491534076406,0.032534246575342464,0.10288862418106015,0.03767123287671233,0.027296222241129924,0.0276152897132647,0.10513804985961031,0.0059931506849315065,0.015948055815536457,0.09239662213902833,0.07023738619926827,0.02054794520547945,0.08811580022122012
rostralmiddlefrontal-lh,0.1532941943900848,0.03595890410958904,0.038527397260273974,0.03595890410958904,0.0,0.02054794520547945,0.028253424657534245,0.032534246575342464,0.03767123287671233,0.29957599478147423,0.01797945205479452,0.021404109589041095,0.036815068493150686,0.12504076973255054,0.012842465753424657,0.03339041095890411,0.02054794520547945,0.02054794520547945,0.02910958904109589
