,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.1523809523809524,0.0380952380952381,0.0,0.10476190476190476,0.0,0.12380952380952381,0.0,0.12380952380952381,0.047619047619047616,0.13333333333333333,0.0,0.0,0.11428571428571428,0.09523809523809523,0.0,0.0,0.0,0.06666666666666667
inferiorparietal-rh,0.0,0.10526315789473684,0.07894736842105263,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.07894736842105263
parsopercularis-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.0,0.12359550561797752,0.0449438202247191,0.0,0.11235955056179775,0.0,0.11235955056179775,0.0,0.11235955056179775,0.056179775280898875,0.12359550561797752,0.0,0.0,0.12359550561797752,0.11235955056179775,0.0,0.0,0.0,0.07865168539325842
postcentral-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-rh,0.0,0.13592233009708737,0.038834951456310676,0.0,0.10679611650485436,0.0,0.1262135922330097,0.0,0.1262135922330097,0.04854368932038835,0.13592233009708737,0.0,0.0,0.11650485436893204,0.0970873786407767,0.0,0.0,0.0,0.06796116504854369
precentral-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precentral-rh,0.0,0.13131313131313133,0.04040404040404041,0.0,0.1111111111111111,0.0,0.12121212121212122,0.0,0.12121212121212122,0.050505050505050504,0.13131313131313133,0.0,0.0,0.12121212121212122,0.10101010101010101,0.0,0.0,0.0,0.0707070707070707
rostralmiddlefrontal-lh,0.0,0.1111111111111111,0.06666666666666667,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.08888888888888889,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.06666666666666667
rostralmiddlefrontal-rh,0.0,0.14,0.04,0.0,0.11,0.0,0.12,0.0,0.12,0.05,0.13,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.07
superiorfrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorfrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-lh,0.0,0.13333333333333333,0.044444444444444446,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.12222222222222222,0.0,0.0,0.12222222222222222,0.1111111111111111,0.0,0.0,0.0,0.07777777777777778
superiorparietal-rh,0.0,0.12345679012345678,0.04938271604938271,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.06172839506172839,0.12345679012345678,0.0,0.0,0.12345679012345678,0.1111111111111111,0.0,0.0,0.0,0.07407407407407407
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supramarginal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supramarginal-rh,0.0,0.109375,0.0625,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.078125,0.109375,0.0,0.0,0.109375,0.109375,0.0,0.0,0.0,0.09375
