,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.03278688524590164,0.06557377049180328,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.04918032786885246
caudalmiddlefrontal-rh,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566
inferiorparietal-rh,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.03278688524590164,0.06557377049180328,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.04918032786885246
parsopercularis-lh,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.07462686567164178,0.08955223880597014,0.07462686567164178,0.029850746268656716,0.05970149253731343,0.029850746268656716,0.04477611940298507,0.08955223880597014,0.05970149253731343,0.04477611940298507,0.05970149253731343,0.05970149253731343,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.04477611940298507
parstriangularis-rh,0.039473684210526314,0.02631578947368421,0.039473684210526314,0.06578947368421052,0.17105263157894737,0.06578947368421052,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.039473684210526314,0.10526315789473684,0.05263157894736842,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.039473684210526314,0.02631578947368421,0.039473684210526314,0.039473684210526314
postcentral-lh,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.07462686567164178,0.08955223880597014,0.07462686567164178,0.029850746268656716,0.05970149253731343,0.029850746268656716,0.04477611940298507,0.08955223880597014,0.05970149253731343,0.04477611940298507,0.05970149253731343,0.05970149253731343,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.04477611940298507
postcentral-rh,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566
precentral-lh,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.03076923076923077,0.06153846153846154,0.03076923076923077,0.046153846153846156,0.07692307692307693,0.06153846153846154,0.046153846153846156,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.046153846153846156
precentral-rh,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.05660377358490566,0.05660377358490566
rostralmiddlefrontal-lh,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.03278688524590164,0.06557377049180328,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.04918032786885246
rostralmiddlefrontal-rh,0.041666666666666664,0.027777777777777776,0.041666666666666664,0.06944444444444445,0.125,0.06944444444444445,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.041666666666666664,0.1111111111111111,0.05555555555555555,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.027777777777777776,0.041666666666666664,0.041666666666666664
superiorfrontal-lh,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.03076923076923077,0.06153846153846154,0.03076923076923077,0.046153846153846156,0.07692307692307693,0.06153846153846154,0.046153846153846156,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.046153846153846156
