,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.05543710021321962,0.031982942430703626,0.057569296375266525,0.0,0.042643923240938165,0.010660980810234541,0.0,0.0,0.0,0.0511727078891258,0.053304904051172705,0.04051172707889126,0.042643923240938165,0.042643923240938165,0.057569296375266525,0.046908315565031986,0.0,0.0,0.0,0.0,0.0,0.0,0.046908315565031986,0.0,0.0,0.04904051172707889,0.0,0.04904051172707889,0.0,0.053304904051172705,0.0,0.0,0.0,0.053304904051172705,0.0,0.0,0.0,0.057569296375266525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021321961620469083,0.0,0.0,0.0,0.0255863539445629,0.0,0.053304904051172705,0.008528784648187633,0.0,0.0,0.0,0.0,0.0,0.04904051172707889
FT9,0.0,0.0,0.04804804804804805,0.04504504504504504,0.04804804804804805,0.0,0.04804804804804805,0.015015015015015015,0.0,0.0,0.0,0.04804804804804805,0.04804804804804805,0.04804804804804805,0.04804804804804805,0.04504504504504504,0.04804804804804805,0.04804804804804805,0.0,0.0,0.0,0.0,0.0,0.0,0.04804804804804805,0.0,0.0,0.04804804804804805,0.0,0.04804804804804805,0.0,0.04804804804804805,0.0,0.0,0.0,0.04804804804804805,0.0,0.0,0.0,0.04804804804804805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03003003003003003,0.0,0.0,0.0,0.036036036036036036,0.0,0.04804804804804805,0.012012012012012012,0.0,0.0,0.0,0.0,0.0,0.04804804804804805
FC5,0.0,0.0,0.05530973451327434,0.030973451327433628,0.059734513274336286,0.0,0.0420353982300885,0.008849557522123894,0.0,0.0,0.0,0.05088495575221239,0.05309734513274336,0.03982300884955752,0.0420353982300885,0.04424778761061947,0.059734513274336286,0.046460176991150445,0.0,0.0,0.0,0.0,0.0,0.0,0.046460176991150445,0.0,0.0,0.048672566371681415,0.0,0.048672566371681415,0.0,0.05309734513274336,0.0,0.0,0.0,0.05309734513274336,0.0,0.0,0.0,0.061946902654867256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01991150442477876,0.0022123893805309734,0.0,0.0,0.024336283185840708,0.0,0.05309734513274336,0.00663716814159292,0.0,0.0,0.0,0.0,0.0,0.048672566371681415
FC1,0.0,0.0,0.0,0.0,0.0,0.06265060240963856,0.0,0.0,0.0,0.0,0.02891566265060241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05783132530120482,0.016867469879518072,0.0,0.0,0.06265060240963856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04819277108433735,0.0,0.0,0.05783132530120482,0.043373493975903614,0.06506024096385542,0.0,0.06506024096385542,0.06506024096385542,0.06506024096385542,0.05060240963855422,0.06506024096385542,0.06506024096385542,0.06506024096385542,0.0,0.0,0.06506024096385542,0.0,0.014457831325301205,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.024971623155505107,0.018161180476730987,0.02383654937570942,0.0,0.07377979568671963,0.029511918274687854,0.0,0.0,0.0,0.07037457434733257,0.07150964812712826,0.043132803632236094,0.03859250851305335,0.022701475595913734,0.06469920544835414,0.06356413166855845,0.0,0.0,0.0,0.0,0.0,0.0,0.03859250851305335,0.0,0.0,0.03178206583427923,0.0,0.07037457434733257,0.0,0.032917139614074914,0.0,0.0,0.0,0.03745743473325766,0.0,0.0,0.0,0.060158910329171394,0.0,0.0,0.0,0.0,0.0,0.00340522133938706,0.0,0.0,0.03518728717366629,0.0,0.0,0.0,0.03178206583427923,0.0,0.03064699205448354,0.018161180476730987,0.0,0.0,0.0,0.0,0.0,0.06469920544835414
T7,0.0,0.0,0.016166281755196306,0.016166281755196306,0.013856812933025405,0.0,0.06235565819861432,0.06004618937644342,0.0,0.0,0.0,0.057736720554272515,0.057736720554272515,0.057736720554272515,0.046189376443418015,0.011547344110854504,0.050808314087759814,0.057736720554272515,0.0,0.0,0.0,0.0,0.0,0.0,0.04387990762124711,0.0,0.0,0.03002309468822171,0.0,0.057736720554272515,0.0,0.03233256351039261,0.0,0.0,0.0,0.04157043879907621,0.0,0.0,0.0,0.046189376443418015,0.0,0.0,0.0,0.0,0.0,0.006928406466512702,0.0,0.0,0.06235565819861432,0.0,0.0,0.0,0.050808314087759814,0.0,0.02771362586605081,0.03695150115473441,0.0,0.0,0.0,0.0,0.0,0.05542725173210162
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
