,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0056117341331129444,-0.004335823992854768,-0.0014792348953988482,-0.011701701092233804,-0.0026570484823536574,0.005244260175152319,0.0075291772964211495,-0.00881263145944821,-0.0015822071675978642,0.014731754198758076,-0.00037433877610723153,-0.0004364374844298413,0.002035649024892606,-0.005475408062498468,-0.009012172074550469,-0.007425986708450688,0.00415704763334788,-0.004009878546084882,-0.012198903133049634,-0.003613004730902765,0.0007972891973232546,0.0008677809341925916,-0.005956260677763739,-0.002322928322808491,-0.0034985344947408943,0.00148364972544366,-0.00455547391623806,-0.007812260080063669,-0.0002576611249229527,-0.002131780736252959,0.017365588437414564,-0.0005106891040296477,-0.00038848078663538776,-0.0022942076702092834,-0.0045954742170286784,-0.011366925985374296,0.0028104031831409776,0.00023158451888904454,-0.015498115328459716,0.008531537775056648,-0.0025503163274241732,0.0011740537042243399,-0.0037157586873303346,0.0,0.005403363857921065,0.0060234291634455005,0.010146007162212742,-0.009187406867098333,0.017029042547075553,0.014842464552189474,-0.0009477815357738298,0.011078312535521797,0.00799411711767875,0.004056501091942716,0.005336850319553648,0.001987255695555263,0.0050307958652933485,-0.0055958455964132195,-0.0040682173716770215,-0.0047424249885202295,0.0015240866577771704,0.0020875839211889767
Fz,-0.003843487797055568,0.0013076229253019336,-0.0010939338447951375,-0.0014159723182349572,-0.0037767099593971933,0.006165569535009931,0.0024624092503294226,-0.0022130739719740007,0.004717619097332931,0.0017974524725199795,0.0073267514839258216,0.001326057370627345,-0.00020381348479675543,0.005037212185168361,0.0024951397961112745,-0.003294310622284799,0.006283230203898135,-0.0007729299575725598,4.768501928562735e-05,-0.006097569004549356,0.0022217268748818443,-0.0022080891474727405,0.0014803988235814192,0.0025410378028398453,0.007487676667353256,-0.005052354765257089,-0.0035274687343342485,-0.0070331171048139286,-0.00010769101988568862,-0.0024482072031654575,0.005236040845463857,-0.011953421047433896,0.0009624473419128747,0.0002401180556927166,-0.0057804213023183205,-0.010663668247702512,-0.0013977259794945018,0.0013019797277533402,0.002167458125122857,-0.0007532728194449539,0.0037843282760877985,0.0008148777260171165,0.001408636161421787,0.002088265252857574,0.002703655945531857,0.0020436839922236723,-0.0008327478515876667,0.007582952652632032,-0.004497346286352774,0.005662008207090301,0.005573974325332222,-0.004385140708428211,0.00026316111234948175,-0.007462376331677055,0.002885837173058998,4.768501928562735e-05,0.00552770010543374,-0.013102470121620314,0.005461486587530227,-0.001972391596526424,-0.005815879393581993,0.0032517044807929066
F3,-0.008913297895513072,-0.002576841085600346,-0.01118484016315837,0.002300484173668488,-0.006888419271263614,0.003458868429271611,-0.012029935149468039,0.0020856378428353375,0.001679902085905155,0.0013455313184150787,-0.010862881326409144,-0.013836412920227482,-0.01649110672158067,-0.0043650405183072,0.0006101641575373112,-0.01758442587342822,0.006755168019468381,0.008122907879849331,-0.005458359670154747,-0.009257089592971758,0.0038816976833687556,-0.008399452632409397,0.0018711671932586035,-0.0037560612016555132,0.012780459604114317,0.004330665683345062,0.0027026654079418,-0.00962271415113989,0.004473959184109896,0.004354059066196556,-0.005361852935092899,-0.00664250699038061,0.0041928629086355465,0.006827905690422319,-0.005113195291182234,-0.009444424496411918,0.0058794405614816456,0.024634474780625627,0.010907731888713676,-0.006918300380427846,0.00801224085127639,0.006466211336167465,0.005395100726285788,-0.0015617503307620599,0.010570615758195939,-0.0028266835703966353,0.0006530207193270153,-0.0016869533341025145,0.0035577448461047018,0.011674352840269504,0.006640758627610361,0.0054733291232950485,0.002801729665403101,-0.0024988005292192975,-0.011430188922156748,0.00560994705711894,0.0035147004436867895,-0.003956559398349355,0.0015590049677343986,-0.001209476906475812,0.004374894926648595,0.010378165809956867
FT9,-0.00818387433781744,-0.00309415998317324,0.003123035791366838,-0.0019015478661576213,-0.010489964292268596,-0.004756523853172403,-0.0009400826014823657,0.0006366365514770822,0.007368569271528376,-0.0036810206428598974,0.011063690012767826,-0.0036229005111447984,-0.007909962159091297,0.0036043957771793485,-0.0036861008898802852,-0.0009759514267316596,0.01159472937445155,0.004851671001167353,0.005969377990699305,-0.008919097513683236,0.001084619577590885,0.004768807697435859,0.003941990914237043,0.004978843885992026,0.010156501791388106,0.0011234628479868322,0.006433856464824039,-0.008374440633216027,0.004951222784748195,0.0010819346802018737,-0.00045910867934670585,-0.016351060195785527,0.0005315219412797868,0.006369787442815634,-0.014425716768454697,-0.01309855268588185,-0.0011888655445152652,0.018362723951590564,0.010209059096486756,-0.003808097011765361,0.004367915665723466,-0.0019132526149057971,0.004768904213355074,0.007993694106095703,0.005465863214340203,-0.004471872084890206,0.003559989680166952,0.007949577556840944,-0.009754741116402796,0.003045445766494159,-0.0010615961437713765,-0.011491334502451135,-0.006231006325161992,0.003272363466738105,0.0019030921208650266,0.000700222993889419,-0.0024306744578060317,-0.015122772285359038,0.004090836010012246,-0.00022067926219300482,-0.005503162230028745,0.004743774977661831
FC5,-0.003858820240952853,-0.005142934527810103,-0.0039820065124679515,-0.009500840091971628,0.0038689477412229972,0.0003448624831573592,0.001554033268015528,0.00397114054863644,0.0036079747186366813,0.004308839935248561,0.002784608946673829,0.004435539183419863,-0.00016289451215762557,0.0031740640794581734,-0.00527871687778619,-0.003526416693023662,0.009770073356965786,0.006428504642831179,-0.0034960658406515688,-0.002856862331413648,0.0037569017200050642,0.0016238180745644995,-0.003224638283932213,0.0066562995525533235,0.002084155159760421,-0.0037059688332297894,0.0007961164665484938,-0.012951627566832088,0.006108697173362983,-0.0015734337607205273,-0.0012045606623393617,-0.00882585274844586,0.006003539962224634,0.0036742465485294466,-0.010547527794370643,-0.007783363738867174,-0.00808541643442427,0.011131958406314191,-0.001690912763854217,-0.0017746650811924346,-0.0020944725506606317,-0.0009645811038546982,-0.00018471083565623284,0.0010676811665006752,0.0039451255323175016,-0.00039055227864694467,0.0007131870086072266,0.005854475817623427,-0.0037714178037256043,0.008250589634142682,3.427525872677466e-05,-0.007196875978431251,0.0001963469114874515,-0.0021246862597998992,0.005889985365445625,0.00668258885533791,-0.00018918381494221342,-0.012846607498926563,0.007672636402580246,-0.0026947906786529696,-0.005856807252581451,0.011096997431423292
FC1,0.0011754790133845661,0.0020621158402308395,0.0029060616578383096,-0.005397362234915607,-0.0010461556844095603,0.005054237390723103,0.0013929937727013477,0.00619505443789084,0.0012058025848728227,-0.0009188584460282853,0.005873576375729447,0.0015859016994170024,-0.0008379428651792168,0.0039340277185160935,0.009485320115007828,-0.001080350670638246,0.004171238488623184,-0.0024809065063734273,-0.003560737473476478,-0.0013347116574067303,-0.0006219872164680163,-0.003557619252265316,-0.0016977132788365684,0.0006805555453037555,-0.000512593388277395,-0.007085668126571642,-0.003941589781549926,-0.001397957318059211,0.00011690316767740475,-0.0017012984800358743,0.004726861823227557,-0.004439631470841898,-0.0033989590353253954,-0.001080350670638246,-0.00759150536889152,-0.0026406061303837353,-0.007863717042303613,0.00046795160779778897,-0.00022195860113945198,0.002985651618075867,0.0008819594950295329,0.0035663487652695114,-0.0027225611183031885,0.0035920477284880764,0.0003038081419648106,-0.005052030533682354,9.408893567593168e-05,0.00668997790597165,0.0009130889835941049,-0.0005799966772114269,0.00571954076705922,-0.0009769597948758799,0.0024178416121679695,3.31555791582977e-05,0.000752116462519335,0.001654058181880299,-0.0028918488959410564,-0.00541705824570592,3.783291097503999e-05,0.005124811624415346,-0.003034970730372219,-0.0007148032550794887
C3,0.006530831432781369,0.007258267953934867,-0.007693865545408079,0.0048920871029859755,0.008141543331098329,0.007524568801963056,0.004330626359520362,0.001142223694017527,-0.004858500392533802,0.006098699827404044,-0.004206416439389581,-0.007266171562396197,-0.007557589933094144,-0.00031583979574175206,0.0024354280626972223,-0.008591294907632557,0.00672982834160034,-0.005086501369100764,-0.0032960802670172484,0.006892744190140806,-0.00928556527731623,-0.003892795454830551,0.0046769929365668705,-0.013182247277225011,-0.013116886610554913,-0.008907830801000263,-0.014954627849169275,-0.00425373657592043,-0.0012512934907838481,-0.00693645332023703,0.004885981746725023,0.00035261695364620675,-0.010502445441717086,-0.007440747046171358,0.010056580410261088,-0.003010491713936651,0.004630919974949187,0.0032482090531991883,0.0013302570652277551,-0.010168840654479688,0.006668629758652077,0.00893336888265237,0.0034623315833487347,0.002362990403496615,0.007730642703312534,-0.0002907222730719923,0.005545142692399753,-0.0019526408529980319,0.0032572293182688145,0.0017389388818308295,0.00511911644328338,0.010188273379870843,-0.0037481956750729396,0.00625551031968356,-0.0006726188331097963,0.015837352149045525,0.0013399734279233334,-0.0003297182421591674,-0.007595614265911758,-5.2453856522242936e-05,0.005301044458232656,-0.004480765916217835
T7,-0.016928642481455092,-0.007079789734924768,0.0017939247667088064,-0.0011965101911169812,0.0005704578995180884,0.006214924707797361,-0.003844178104680008,-0.008749197472286294,0.004174232284446966,0.006460896872327645,0.0011504617043718666,-0.0011425518111141519,-0.004728059896053195,0.00343236834886982,-0.006393475163573064,-0.008995920101072525,-0.0009910030592675395,0.007742284570792606,-0.005146999062294912,-0.0027873443208805034,0.0012496430604382637,0.00548734961165351,-0.004823278800848176,0.0003721101966704162,0.005796000550840764,0.0012456806091668462,-0.0008053382023454243,-0.012971804682671818,0.0065013619050084855,0.0006149003927554686,-0.003510146464356512,-0.017254749219235747,0.005150151012169904,0.0010060573722419034,-0.0033022678654582686,-0.012546531598109877,0.008476208594541798,0.017154742352487807,0.0004927098026016336,-0.002058958723340226,0.004359882132083961,-0.002542963140572837,-0.003126133904586728,0.007413806365963144,0.0038735062478025446,-0.0030983517178314436,0.005955474205230212,0.008173906582959885,-0.004191703092325491,0.008779291088949901,-0.001568620387787394,-0.005799197528571113,-0.005385016305712122,0.006151450441029081,0.004010781169500982,0.0054056240541805155,0.0033157311942100167,-0.007032990783923707,-0.002801603141743561,0.006759206414067902,0.004566965238870898,0.006951235207880475
TP9,-0.0008587736604933712,0.005165813886150016,0.002881500311610997,0.008251470886411635,0.003560788246863473,0.0033455385575487002,-0.007251606601072762,0.0031143721176470057,-0.0009142711469785902,-0.007951521345759311,-0.0009803094203320838,-0.002585594924934329,-0.001344884216683757,-0.005981401179489688,0.007374815243881325,0.002673819199616125,-0.000871052296660426,0.0030492271313162476,0.00020675534180767188,0.0016833425488070927,-0.0017826923073175037,-0.0033595225598500693,0.008103185240637556,0.002137327255343463,5.598473395216491e-05,0.0037146772385074425,-0.004507039069255991,0.0021045679839824215,-5.275265908808585e-05,-0.004514347781260187,0.0012659014022917137,-0.0007351589781290203,0.0007420616505774309,-0.005456521966512585,0.002157434334146127,0.002319038077350081,-0.0002451504422030619,0.0034983880879298455,0.00424007618211595,-0.0003765935672030221,0.0008787345650559525,0.0020376039404417286,0.0005106353453600294,0.00015166389487824075,-0.002264092804660736,0.001140321488477345,-0.004445158640953772,-0.003323498730460485,0.0005375314055354823,-0.007728703079124637,-0.0008818854320088703,0.000496277786667337,-0.006527020892976484,-0.003310440498346315,0.0008220839262322935,-0.0023708649662509667,0.0030942650388443415,-0.003067515152908975,0.0005509631940409758,-0.0008824051626402808,0.003719647162670295,-0.0010150339231431438
CP5,0.014296728878824525,0.003336063473632165,0.0032617420947288764,-0.003375665376259466,0.008806028554840375,0.003433370431736686,0.005696304722556021,0.00952902950062463,-0.0106998473950427,0.016314577422181765,-0.0035023271693403876,0.005045756572750483,0.0017270528372563144,-0.008629778991244905,0.00465777446228211,-0.00297906367359063,0.0037913748462538,-0.0008669019232661005,1.961007456329107e-05,0.00743073143006308,-0.009934250795493926,0.003078118660882659,0.0036860711569236745,-0.006159612826403262,-0.02020639362370389,-0.019950819701116746,-0.012938048077473294,0.00621494699171812,-0.011991078380503598,-0.011479307674354459,0.015142393252076898,0.01042016272504168,-0.01358047894231616,0.0009798205903211107,0.0076063581326836945,0.006770438519844431,-0.017283166422665905,-0.007285584730631515,-0.003497705942752727,-0.00043919735643335907,-0.006275284137121357,0.00047904036653479906,0.0017034443970802195,-0.00433874908941744,-0.0059575044862064,-0.004616183422993164,-0.00237860560153743,-0.004265050571489008,0.020281960724556892,0.011694154526101652,0.008353590379618896,0.00930805450057641,0.007090589060921748,0.005284091310936701,-0.003858081247432206,0.01105572202687159,-0.005126828960929659,-0.001964141853492812,-0.012588040394181788,0.004706116510846943,0.004469529801848235,-0.009503050170286173
