,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.060240963855421686,0.0,0.06626506024096386,0.0,0.0,0.0,0.0,0.03614457831325301,0.0,0.0,0.06626506024096386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05421686746987952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06626506024096386,0.06626506024096386,0.0,0.06626506024096386,0.0,0.06626506024096386,0.0,0.0,0.06626506024096386,0.0,0.0,0.0,0.06626506024096386,0.0,0.06626506024096386,0.060240963855421686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06626506024096386,0.0,0.06626506024096386,0.060240963855421686,0.0,0.0,0.0,0.0
Fz,0.0,0.03180914512922465,0.0,0.027833001988071572,0.03578528827037773,0.011928429423459244,0.0,0.0,0.02982107355864811,0.015904572564612324,0.0,0.011928429423459244,0.017892644135188866,0.03578528827037773,0.03578528827037773,0.011928429423459244,0.03180914512922465,0.027833001988071572,0.017892644135188866,0.0,0.011928429423459244,0.011928429423459244,0.03578528827037773,0.02982107355864811,0.013916500994035786,0.02385685884691849,0.02584493041749503,0.011928429423459244,0.03578528827037773,0.02982107355864811,0.0,0.0,0.02584493041749503,0.0,0.02982107355864811,0.0,0.03578528827037773,0.03578528827037773,0.0,0.005964214711729622,0.011928429423459244,0.015904572564612324,0.0,0.03578528827037773,0.0,0.0,0.0,0.02982107355864811,0.0,0.019880715705765408,0.02982107355864811,0.03180914512922465,0.03578528827037773,0.0019880715705765406,0.0,0.011928429423459244,0.0,0.0,0.03180914512922465,0.005964214711729622,0.0,0.02982107355864811
F3,0.020522388059701493,0.0,0.08022388059701492,0.0,0.0,0.0,0.0,0.018656716417910446,0.0018656716417910447,0.0,0.06529850746268656,0.018656716417910446,0.013059701492537313,0.007462686567164179,0.0,0.029850746268656716,0.0,0.0,0.011194029850746268,0.05223880597014925,0.0,0.016791044776119403,0.0,0.0,0.0,0.0,0.0,0.013059701492537313,0.0,0.005597014925373134,0.03544776119402985,0.05037313432835821,0.0,0.048507462686567165,0.0018656716417910447,0.054104477611940295,0.0,0.0,0.055970149253731345,0.022388059701492536,0.0,0.0,0.04291044776119403,0.0,0.06343283582089553,0.026119402985074626,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.08395522388059702,0.0,0.08022388059701492,0.04477611940298507,0.0,0.0,0.0,0.0018656716417910447
FT9,0.0,0.03056768558951965,0.0,0.03056768558951965,0.03275109170305677,0.013100436681222707,0.0,0.0,0.03275109170305677,0.017467248908296942,0.0,0.013100436681222707,0.019650655021834062,0.03275109170305677,0.03275109170305677,0.013100436681222707,0.028384279475982533,0.024017467248908297,0.019650655021834062,0.0,0.013100436681222707,0.013100436681222707,0.03275109170305677,0.03275109170305677,0.015283842794759825,0.026200873362445413,0.026200873362445413,0.013100436681222707,0.03275109170305677,0.03275109170305677,0.0,0.0,0.028384279475982533,0.0,0.03275109170305677,0.0,0.03275109170305677,0.03275109170305677,0.0,0.006550218340611353,0.013100436681222707,0.017467248908296942,0.0,0.03275109170305677,0.0,0.0,0.0,0.03275109170305677,0.0,0.021834061135371178,0.026200873362445413,0.028384279475982533,0.03275109170305677,0.002183406113537118,0.0,0.013100436681222707,0.0,0.0,0.028384279475982533,0.006550218340611353,0.0,0.03275109170305677
FC5,0.0,0.023287671232876714,0.0,0.019178082191780823,0.045205479452054796,0.00821917808219178,0.0,0.0,0.024657534246575342,0.010958904109589041,0.0,0.012328767123287671,0.01643835616438356,0.045205479452054796,0.045205479452054796,0.012328767123287671,0.0410958904109589,0.024657534246575342,0.01643835616438356,0.0,0.00821917808219178,0.012328767123287671,0.0410958904109589,0.02054794520547945,0.009589041095890411,0.01643835616438356,0.023287671232876714,0.012328767123287671,0.03561643835616438,0.038356164383561646,0.0,0.0,0.01780821917808219,0.0,0.024657534246575342,0.0,0.038356164383561646,0.045205479452054796,0.0027397260273972603,0.00821917808219178,0.00821917808219178,0.010958904109589041,0.0,0.045205479452054796,0.0,0.0,0.0,0.024657534246575342,0.0,0.0136986301369863,0.036986301369863014,0.03561643835616438,0.043835616438356165,0.005479452054794521,0.0,0.00821917808219178,0.00410958904109589,0.0,0.03424657534246575,0.00410958904109589,0.0,0.024657534246575342
FC1,0.0,0.03017241379310345,0.0,0.03017241379310345,0.03017241379310345,0.02586206896551724,0.0,0.0,0.03017241379310345,0.03017241379310345,0.0,0.0,0.004310344827586207,0.03017241379310345,0.03017241379310345,0.0,0.03017241379310345,0.03017241379310345,0.004310344827586207,0.0,0.02586206896551724,0.0,0.03017241379310345,0.03017241379310345,0.03017241379310345,0.03017241379310345,0.03017241379310345,0.0,0.03017241379310345,0.03017241379310345,0.0,0.0,0.03017241379310345,0.0,0.03017241379310345,0.0,0.03017241379310345,0.03017241379310345,0.0,0.0,0.02586206896551724,0.03017241379310345,0.0,0.03017241379310345,0.0,0.0,0.0,0.03017241379310345,0.0,0.03017241379310345,0.03017241379310345,0.03017241379310345,0.03017241379310345,0.0,0.0,0.02586206896551724,0.0,0.0,0.03017241379310345,0.01293103448275862,0.0,0.03017241379310345
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.023391812865497075,0.005847953216374269,0.04678362573099415,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.0,0.08771929824561403,0.005847953216374269,0.005847953216374269,0.05263157894736842,0.0,0.0,0.005847953216374269,0.005847953216374269,0.0,0.017543859649122806,0.005847953216374269,0.0,0.017543859649122806,0.005847953216374269,0.0,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.0,0.005847953216374269,0.005847953216374269,0.04093567251461988,0.03508771929824561,0.005847953216374269,0.06432748538011696,0.005847953216374269,0.05263157894736842,0.005847953216374269,0.005847953216374269,0.029239766081871343,0.0,0.005847953216374269,0.005847953216374269,0.08187134502923976,0.005847953216374269,0.06432748538011696,0.07017543859649122,0.0,0.005847953216374269,0.0,0.005847953216374269,0.011695906432748537,0.005847953216374269,0.005847953216374269,0.0,0.05847953216374269,0.005847953216374269,0.04093567251461988,0.023391812865497075,0.005847953216374269,0.0,0.0,0.005847953216374269
TP9,0.0,0.024013722126929673,0.005145797598627788,0.024013722126929673,0.029159519725557463,0.010291595197255575,0.0,0.0,0.036020583190394515,0.0137221269296741,0.0,0.022298456260720412,0.0274442538593482,0.03773584905660377,0.0274442538593482,0.022298456260720412,0.022298456260720412,0.018867924528301886,0.0274442538593482,0.005145797598627788,0.010291595197255575,0.022298456260720412,0.0274442538593482,0.025728987993138937,0.012006861063464836,0.02058319039451115,0.02058319039451115,0.022298456260720412,0.0274442538593482,0.03773584905660377,0.0,0.0,0.022298456260720412,0.0,0.036020583190394515,0.0,0.025728987993138937,0.0274442538593482,0.010291595197255575,0.017152658662092625,0.010291595197255575,0.0137221269296741,0.0,0.0274442538593482,0.0,0.0,0.0,0.03773584905660377,0.0,0.017152658662092625,0.02058319039451115,0.022298456260720412,0.025728987993138937,0.0137221269296741,0.00686106346483705,0.010291595197255575,0.012006861063464836,0.0,0.022298456260720412,0.005145797598627788,0.0,0.036020583190394515
CP5,0.0,0.027607361963190184,0.0,0.027607361963190184,0.03067484662576687,0.018404907975460124,0.0,0.0,0.027607361963190184,0.03067484662576687,0.0,0.0,0.009202453987730062,0.027607361963190184,0.03680981595092025,0.0,0.03680981595092025,0.03680981595092025,0.009202453987730062,0.0,0.018404907975460124,0.0,0.03374233128834356,0.027607361963190184,0.02147239263803681,0.027607361963190184,0.03067484662576687,0.0,0.027607361963190184,0.027607361963190184,0.0,0.0,0.027607361963190184,0.0,0.027607361963190184,0.0,0.03680981595092025,0.03680981595092025,0.0,0.0,0.018404907975460124,0.024539877300613498,0.0,0.03680981595092025,0.0,0.0,0.0,0.027607361963190184,0.0,0.027607361963190184,0.03680981595092025,0.03680981595092025,0.03680981595092025,0.0,0.0,0.018404907975460124,0.0,0.0,0.03680981595092025,0.009202453987730062,0.0,0.027607361963190184
CP1,0.024229074889867842,0.0,0.07268722466960352,0.0,0.0,0.0,0.0,0.024229074889867842,0.0,0.0,0.07268722466960352,0.013215859030837005,0.006607929515418502,0.0,0.0,0.02643171806167401,0.0,0.0,0.004405286343612335,0.05286343612334802,0.0,0.011013215859030838,0.0,0.0,0.0,0.0,0.0,0.006607929515418502,0.0,0.0,0.04185022026431718,0.05947136563876652,0.0,0.05947136563876652,0.0,0.06387665198237885,0.0,0.0,0.05726872246696035,0.01762114537444934,0.0,0.0,0.05286343612334802,0.0,0.07268722466960352,0.03303964757709251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02643171806167401,0.07709251101321586,0.0,0.07048458149779736,0.05286343612334802,0.0,0.0,0.0,0.0
Pz,0.0,0.01,0.03,0.01,0.0175,0.0,0.0,0.0,0.0275,0.0,0.02,0.05,0.0425,0.035,0.015,0.0525,0.0075,0.0025,0.04,0.03,0.0,0.0475,0.015,0.0125,0.0,0.005,0.005,0.0425,0.015,0.0325,0.0,0.0175,0.0075,0.0075,0.0275,0.015,0.0125,0.015,0.0375,0.0475,0.0,0.0,0.0,0.015,0.0125,0.0,0.0,0.03,0.0,0.0,0.005,0.0075,0.0125,0.0425,0.0325,0.0,0.04,0.015,0.0075,0.0,0.0,0.0275
P3,0.0,0.015730337078651686,0.020224719101123594,0.015730337078651686,0.02247191011235955,0.0,0.0,0.0,0.03146067415730337,0.0022471910112359553,0.011235955056179775,0.04269662921348315,0.0449438202247191,0.038202247191011236,0.020224719101123594,0.04269662921348315,0.01348314606741573,0.008988764044943821,0.04269662921348315,0.020224719101123594,0.0,0.04269662921348315,0.020224719101123594,0.017977528089887642,0.0,0.011235955056179775,0.011235955056179775,0.04044943820224719,0.020224719101123594,0.035955056179775284,0.0,0.008988764044943821,0.01348314606741573,0.0,0.03146067415730337,0.006741573033707865,0.017977528089887642,0.020224719101123594,0.02696629213483146,0.035955056179775284,0.0,0.0022471910112359553,0.0,0.020224719101123594,0.0044943820224719105,0.0,0.0,0.033707865168539325,0.0,0.006741573033707865,0.011235955056179775,0.01348314606741573,0.017977528089887642,0.03146067415730337,0.02247191011235955,0.0,0.029213483146067417,0.006741573033707865,0.01348314606741573,0.0,0.0,0.03146067415730337
P7,0.0,0.020606060606060607,0.007272727272727273,0.01696969696969697,0.03636363636363636,0.007272727272727273,0.0,0.0,0.025454545454545455,0.009696969696969697,0.0024242424242424242,0.019393939393939394,0.02303030303030303,0.05454545454545454,0.041212121212121214,0.019393939393939394,0.03393939393939394,0.01818181818181818,0.02303030303030303,0.007272727272727273,0.007272727272727273,0.019393939393939394,0.03272727272727273,0.01818181818181818,0.008484848484848486,0.014545454545454545,0.01696969696969697,0.019393939393939394,0.02909090909090909,0.041212121212121214,0.0,0.0012121212121212121,0.01575757575757576,0.0,0.025454545454545455,0.0,0.030303030303030304,0.037575757575757575,0.01090909090909091,0.01575757575757576,0.007272727272727273,0.009696969696969697,0.0,0.04242424242424243,0.0,0.0,0.0,0.02666666666666667,0.0,0.012121212121212121,0.02909090909090909,0.027878787878787878,0.037575757575757575,0.013333333333333334,0.008484848484848486,0.007272727272727273,0.012121212121212121,0.0,0.02666666666666667,0.0036363636363636364,0.0,0.025454545454545455
