,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.20652173913043478,0.14130434782608695,0.0,0.07608695652173914,0.0,0.0,0.021739130434782608,0.07608695652173914,0.13043478260869565,0.08695652173913043,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.18478260869565216,0.010869565217391304
caudalmiddlefrontal-rh,0.029069767441860465,0.07170542635658915,0.046511627906976744,0.06201550387596899,0.04844961240310078,0.04844961240310078,0.05232558139534884,0.06201550387596899,0.07170542635658915,0.06395348837209303,0.04844961240310078,0.04844961240310078,0.04844961240310078,0.05232558139534884,0.04844961240310078,0.05232558139534884,0.046511627906976744,0.04844961240310078,0.050387596899224806
inferiorparietal-rh,0.0,0.05581395348837209,0.05581395348837209,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05116279069767442,0.023255813953488372,0.05813953488372093
parsopercularis-lh,0.018036072144288578,0.06412825651302605,0.04809619238476954,0.06613226452905811,0.05410821643286573,0.050100200400801605,0.056112224448897796,0.06212424849699399,0.06813627254509018,0.06012024048096192,0.052104208416833664,0.052104208416833664,0.05410821643286573,0.052104208416833664,0.050100200400801605,0.05410821643286573,0.04609218436873747,0.03807615230460922,0.05410821643286573
parstriangularis-rh,0.0,0.05405405405405406,0.05405405405405406,0.05855855855855856,0.060810810810810814,0.05630630630630631,0.06306306306306306,0.05855855855855856,0.05855855855855856,0.05630630630630631,0.05855855855855856,0.05855855855855856,0.060810810810810814,0.05630630630630631,0.05630630630630631,0.05855855855855856,0.04954954954954955,0.02252252252252252,0.05855855855855856
postcentral-lh,0.0,0.05454545454545454,0.05454545454545454,0.05909090909090909,0.05909090909090909,0.056818181818181816,0.05909090909090909,0.05909090909090909,0.05909090909090909,0.056818181818181816,0.05909090909090909,0.05909090909090909,0.05909090909090909,0.056818181818181816,0.056818181818181816,0.05909090909090909,0.05,0.022727272727272728,0.05909090909090909
postcentral-rh,0.006369426751592357,0.05732484076433121,0.050955414012738856,0.055201698513800426,0.05732484076433121,0.05307855626326964,0.06369426751592357,0.06157112526539278,0.06157112526539278,0.059447983014861996,0.055201698513800426,0.055201698513800426,0.05732484076433121,0.05732484076433121,0.05307855626326964,0.059447983014861996,0.050955414012738856,0.027600849256900213,0.05732484076433121
precentral-lh,0.017716535433070866,0.06496062992125984,0.047244094488188976,0.0610236220472441,0.0531496062992126,0.04921259842519685,0.05708661417322835,0.06496062992125984,0.0688976377952756,0.06496062992125984,0.051181102362204724,0.051181102362204724,0.0531496062992126,0.0531496062992126,0.04921259842519685,0.05511811023622047,0.047244094488188976,0.03740157480314961,0.0531496062992126
precentral-rh,0.026565464895635674,0.07020872865275142,0.04554079696394687,0.06261859582542695,0.051233396584440226,0.04743833017077799,0.05502846299810247,0.06261859582542695,0.07210626185958255,0.06261859582542695,0.04933586337760911,0.04933586337760911,0.051233396584440226,0.051233396584440226,0.04743833017077799,0.05313092979127135,0.04554079696394687,0.04554079696394687,0.051233396584440226
rostralmiddlefrontal-lh,0.019646365422396856,0.06679764243614932,0.047151277013752456,0.060903732809430254,0.05108055009823183,0.04911591355599214,0.0550098231827112,0.06483300589390963,0.07072691552062868,0.06483300589390963,0.05108055009823183,0.05108055009823183,0.05108055009823183,0.05304518664047151,0.04911591355599214,0.0550098231827112,0.047151277013752456,0.03929273084479371,0.05304518664047151
rostralmiddlefrontal-rh,0.0,0.05417607223476298,0.05417607223476298,0.05869074492099323,0.060948081264108354,0.056433408577878104,0.060948081264108354,0.05869074492099323,0.05869074492099323,0.056433408577878104,0.05869074492099323,0.05869074492099323,0.060948081264108354,0.056433408577878104,0.056433408577878104,0.05869074492099323,0.04966139954853273,0.022573363431151242,0.05869074492099323
superiorfrontal-lh,0.0022026431718061676,0.05506607929515418,0.05286343612334802,0.05726872246696035,0.05947136563876652,0.05506607929515418,0.06167400881057269,0.05947136563876652,0.05947136563876652,0.05726872246696035,0.05726872246696035,0.05726872246696035,0.05947136563876652,0.05726872246696035,0.05506607929515418,0.05947136563876652,0.05066079295154185,0.024229074889867842,0.05947136563876652
