,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.035164835164835165,0.017582417582417582,0.0,0.015384615384615385,0.0,0.0,0.0,0.03956043956043956,0.03956043956043956,0.0,0.03956043956043956,0.035164835164835165,0.03956043956043956,0.03956043956043956,0.0,0.03736263736263736,0.0,0.03736263736263736,0.0,0.0,0.0,0.03956043956043956,0.0,0.03956043956043956,0.03956043956043956,0.0,0.0,0.03956043956043956,0.0,0.03956043956043956,0.0,0.03956043956043956,0.03956043956043956,0.0,0.03956043956043956,0.0,0.0,0.008791208791208791,0.03956043956043956,0.0,0.0,0.0,0.0,0.03736263736263736,0.03956043956043956,0.0,0.0,0.0,0.03956043956043956,0.0,0.0,0.0,0.0,0.013186813186813187,0.015384615384615385,0.0,0.03956043956043956,0.0,0.0,0.0,0.03296703296703297,0.0,0.03956043956043956,0.002197802197802198
Fz,0.03349282296650718,0.03349282296650718,0.0,0.014354066985645933,0.0,0.0,0.0,0.03827751196172249,0.03827751196172249,0.0,0.03827751196172249,0.028708133971291867,0.03827751196172249,0.03827751196172249,0.0,0.03349282296650718,0.0,0.03349282296650718,0.0,0.0,0.0,0.03827751196172249,0.0,0.03827751196172249,0.03827751196172249,0.0,0.0,0.03827751196172249,0.0,0.03827751196172249,0.0,0.03827751196172249,0.03827751196172249,0.0,0.03827751196172249,0.0,0.0,0.019138755980861243,0.03827751196172249,0.0,0.0,0.0,0.0,0.03349282296650718,0.03827751196172249,0.0,0.0,0.0,0.03827751196172249,0.0,0.0,0.0,0.0,0.009569377990430622,0.03349282296650718,0.0,0.03827751196172249,0.0,0.0,0.0,0.03827751196172249,0.0,0.03827751196172249,0.0
F3,0.0,0.0,0.040097205346294046,0.0,0.041312272174969626,0.041312272174969626,0.038882138517618466,0.0,0.0,0.0425273390036452,0.0,0.001215066828675577,0.001215066828675577,0.0,0.0425273390036452,0.001215066828675577,0.038882138517618466,0.001215066828675577,0.0425273390036452,0.031591737545565005,0.02916160388821385,0.001215066828675577,0.041312272174969626,0.0,0.0,0.041312272174969626,0.018226002430133656,0.0,0.030376670716889428,0.0,0.026731470230862697,0.0,0.0,0.004860267314702308,0.0,0.020656136087484813,0.0,0.0,0.0,0.0425273390036452,0.0425273390036452,0.0,0.018226002430133656,0.0,0.0,0.032806804374240585,0.0,0.030376670716889428,0.001215066828675577,0.007290400972053463,0.04374240583232078,0.004860267314702308,0.024301336573511544,0.001215066828675577,0.0,0.04374240583232078,0.001215066828675577,0.04495747266099635,0.0,0.020656136087484813,0.0,0.0425273390036452,0.0,0.019441069258809233
F7,0.037037037037037035,0.026455026455026454,0.0,0.031746031746031744,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.010582010582010581,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.026455026455026454,0.021164021164021163,0.0,0.037037037037037035,0.0,0.0,0.0,0.031746031746031744,0.0,0.037037037037037035,0.0
FT9,0.0,0.0,0.039603960396039604,0.0,0.04084158415841584,0.04084158415841584,0.038366336633663366,0.0,0.0,0.043316831683168314,0.0,0.0012376237623762376,0.0012376237623762376,0.0,0.04207920792079208,0.0012376237623762376,0.038366336633663366,0.0012376237623762376,0.04207920792079208,0.03094059405940594,0.0297029702970297,0.0012376237623762376,0.04084158415841584,0.0,0.0,0.04084158415841584,0.018564356435643563,0.0,0.0297029702970297,0.0,0.027227722772277228,0.0,0.0,0.0049504950495049506,0.0,0.02103960396039604,0.0,0.0,0.0,0.043316831683168314,0.04207920792079208,0.0,0.018564356435643563,0.0,0.0,0.03217821782178218,0.0,0.0297029702970297,0.0012376237623762376,0.007425742574257425,0.04455445544554455,0.0049504950495049506,0.024752475247524754,0.0012376237623762376,0.0,0.04455445544554455,0.0012376237623762376,0.04579207920792079,0.0,0.02103960396039604,0.0,0.04207920792079208,0.0,0.019801980198019802
FC5,0.0,0.0,0.03985507246376811,0.0,0.04106280193236715,0.04106280193236715,0.03864734299516908,0.0,0.0,0.043478260869565216,0.0,0.0012077294685990338,0.0012077294685990338,0.0,0.042270531400966184,0.0012077294685990338,0.03864734299516908,0.0012077294685990338,0.042270531400966184,0.03140096618357488,0.028985507246376812,0.0012077294685990338,0.04106280193236715,0.0,0.0,0.04106280193236715,0.018115942028985508,0.0,0.030193236714975844,0.0,0.026570048309178744,0.0,0.0,0.004830917874396135,0.0,0.020531400966183576,0.0,0.0,0.0,0.043478260869565216,0.042270531400966184,0.0,0.018115942028985508,0.0,0.0,0.03260869565217391,0.0,0.030193236714975844,0.0012077294685990338,0.007246376811594203,0.04468599033816425,0.004830917874396135,0.024154589371980676,0.0012077294685990338,0.0,0.04468599033816425,0.0012077294685990338,0.04589371980676329,0.0,0.020531400966183576,0.0,0.042270531400966184,0.0,0.01932367149758454
FC1,0.0,0.0,0.04084158415841584,0.0,0.04207920792079208,0.04207920792079208,0.039603960396039604,0.0,0.0,0.043316831683168314,0.0,0.0,0.0,0.0,0.043316831683168314,0.0,0.039603960396039604,0.0,0.043316831683168314,0.03217821782178218,0.0297029702970297,0.0,0.04084158415841584,0.0,0.0,0.04084158415841584,0.018564356435643563,0.0,0.03094059405940594,0.0,0.027227722772277228,0.0,0.0,0.0049504950495049506,0.0,0.019801980198019802,0.0,0.0,0.0,0.043316831683168314,0.043316831683168314,0.0,0.017326732673267328,0.0,0.0,0.03341584158415842,0.0,0.03094059405940594,0.0,0.007425742574257425,0.04455445544554455,0.0049504950495049506,0.024752475247524754,0.0,0.0,0.04455445544554455,0.0,0.04455445544554455,0.0,0.019801980198019802,0.0,0.043316831683168314,0.0,0.018564356435643563
C3,0.023936170212765957,0.010638297872340425,0.0,0.009308510638297872,0.0,0.0,0.0,0.047872340425531915,0.043882978723404256,0.0,0.04920212765957447,0.027925531914893616,0.047872340425531915,0.043882978723404256,0.0,0.030585106382978722,0.0,0.030585106382978722,0.0,0.0,0.0,0.047872340425531915,0.0,0.031914893617021274,0.04920212765957447,0.0,0.0,0.04920212765957447,0.0,0.04654255319148936,0.0,0.041223404255319146,0.041223404255319146,0.0,0.04920212765957447,0.0013297872340425532,0.0,0.005319148936170213,0.04920212765957447,0.0,0.0,0.0,0.0,0.027925531914893616,0.030585106382978722,0.0,0.0,0.0,0.047872340425531915,0.0,0.0,0.0,0.0,0.009308510638297872,0.009308510638297872,0.0,0.0425531914893617,0.0,0.0,0.0,0.02127659574468085,0.0,0.030585106382978722,0.0026595744680851063
T7,0.025280898876404494,0.011235955056179775,0.0,0.009831460674157303,0.0,0.0,0.0,0.047752808988764044,0.04353932584269663,0.0,0.047752808988764044,0.028089887640449437,0.046348314606741575,0.04353932584269663,0.0,0.03089887640449438,0.0,0.03089887640449438,0.0,0.0,0.0,0.046348314606741575,0.0,0.032303370786516857,0.047752808988764044,0.0,0.0,0.047752808988764044,0.0,0.046348314606741575,0.0,0.042134831460674156,0.042134831460674156,0.0,0.047752808988764044,0.0014044943820224719,0.0,0.0056179775280898875,0.047752808988764044,0.0,0.0,0.0,0.0,0.02949438202247191,0.032303370786516857,0.0,0.0,0.0,0.046348314606741575,0.0,0.0,0.0,0.0,0.009831460674157303,0.009831460674157303,0.0,0.042134831460674156,0.0,0.0,0.0,0.02247191011235955,0.0,0.032303370786516857,0.0028089887640449437
TP9,0.0,0.0,0.040183696900114814,0.0,0.04133180252583238,0.04133180252583238,0.03903559127439724,0.0,0.0,0.04477611940298507,0.0,0.001148105625717566,0.001148105625717566,0.0,0.04362801377726751,0.001148105625717566,0.03788748564867968,0.001148105625717566,0.04362801377726751,0.030998851894374284,0.027554535017221583,0.001148105625717566,0.040183696900114814,0.0,0.0,0.040183696900114814,0.01722158438576349,0.0,0.029850746268656716,0.0,0.02525832376578645,0.0,0.0,0.004592422502870264,0.0,0.01951779563719862,0.0,0.0,0.0,0.04477611940298507,0.04247990815154994,0.0,0.01722158438576349,0.0,0.0,0.03214695752009185,0.0,0.029850746268656716,0.001148105625717566,0.006888633754305396,0.045924225028702644,0.004592422502870264,0.022962112514351322,0.001148105625717566,0.0,0.04707233065442021,0.001148105625717566,0.04936854190585534,0.0,0.01951779563719862,0.0,0.04247990815154994,0.0,0.018369690011481057
