,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.1782012195121951,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.052083333333333336,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.01951219512195122,0.0,0.024390243902439025,0.024390243902439025,0.13897357723577236,0.02195121951219512,0.0,0.01951219512195122,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.04522357723577236,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.052083333333333336,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.0024390243902439024,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.024390243902439025,0.0
bankssts-rh,0.0,0.2192616159607609,0.016355140186915886,0.014797507788161994,0.0,0.01557632398753894,0.0,0.0,0.010638297872340425,0.0,0.017133956386292833,0.017133956386292833,0.0,0.0,0.0,0.0,0.0,0.0,0.01791277258566978,0.0,0.0,0.0,0.0,0.0,0.016355140186915886,0.016355140186915886,0.0,0.0,0.016355140186915886,0.016355140186915886,0.0,0.0,0.017133956386292833,0.01791277258566978,0.0,0.0,0.017133956386292833,0.017133956386292833,0.017133956386292833,0.014018691588785047,0.007009345794392523,0.017133956386292833,0.0,0.09574468085106383,0.0,0.0,0.017133956386292833,0.017133956386292833,0.0,0.01791277258566978,0.0,0.017133956386292833,0.016355140186915886,0.017133956386292833,0.016355140186915886,0.014018691588785047,0.01557632398753894,0.011682242990654205,0.0,0.005451713395638629,0.0,0.1702127659574468,0.0,0.0,0.01791277258566978,0.02127659574468085,0.010124610591900311,0.0
caudalanteriorcingulate-lh,0.010101010101010102,0.01521164021164021,0.04547859547859548,0.016883116883116882,0.0,0.021584896584896585,0.0,0.015151515151515152,0.0,0.0,0.017857142857142856,0.017857142857142856,0.007070707070707071,0.0,0.0,0.007070707070707071,0.0,0.0,0.03172198172198172,0.0,0.02727272727272727,0.025252525252525252,0.023232323232323233,0.012121212121212121,0.017195767195767195,0.035377585377585376,0.0,0.023232323232323233,0.017195767195767195,0.017195767195767195,0.0,0.0,0.04512987012987013,0.04380711880711881,0.0,0.023232323232323233,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.03374218374218374,0.005952380952380952,0.018205868205868204,0.022222222222222223,0.0,0.0,0.0,0.04512987012987013,0.04310966810966811,0.0,0.016534391534391533,0.0,0.03611111111111111,0.028306878306878308,0.017857142857142856,0.017195767195767195,0.01521164021164021,0.03875661375661375,0.00992063492063492,0.0,0.03089225589225589,0.0,0.0,0.0,0.0,0.017195767195767195,0.0,0.03385040885040885,0.0
caudalanteriorcingulate-rh,0.0,0.014208389715832206,0.032014416571250134,0.1281682627250963,0.0,0.018267929634641408,0.0006765899864682003,0.0,0.0,0.0,0.016914749661705007,0.03682210887894244,0.0,0.0,0.0,0.0,0.0,0.0,0.013531799729364006,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0697993650463204,0.05605287810971167,0.0,0.0,0.016914749661705007,0.06018398043093577,0.0,0.0,0.017591339648173207,0.015561569688768605,0.0,0.0,0.06018398043093577,0.016914749661705007,0.016914749661705007,0.014884979702300407,0.08301238680129074,0.016238159675236806,0.0,0.0,0.0,0.0,0.022399031955865515,0.017591339648173207,0.0,0.015561569688768605,0.0,0.012855209742895805,0.05605287810971167,0.0752836473404809,0.018267929634641408,0.016914749661705007,0.018267929634641408,0.010148849797023005,0.0,0.004736129905277402,0.0,0.0,0.0,0.0,0.016238159675236806,0.0,0.008795669824086604,0.0006765899864682003
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.18261322228006246,0.0,0.0,0.0,0.0,0.07964601769911504,0.052941176470588235,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.08235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09411764705882353,0.0,0.0,0.0,0.0,0.0,0.1252472670484123,0.041176470588235294,0.0,0.0,0.08849557522123894,0.0,0.0,0.0,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07964601769911504,0.0,0.0,0.0,0.07079646017699115,0.0,0.03529411764705882
caudalmiddlefrontal-rh,0.0,0.014588859416445624,0.02588323268807495,0.016578249336870028,0.0,0.05979457079970653,0.0,0.0,0.0,0.0,0.017241379310344827,0.01790450928381963,0.04521276595744681,0.0,0.0,0.0398936170212766,0.0,0.0,0.040521474123821885,0.000663129973474801,0.013297872340425532,0.018617021276595744,0.013297872340425532,0.0,0.017241379310344827,0.01790450928381963,0.0,0.015957446808510637,0.017241379310344827,0.017241379310344827,0.0,0.0,0.031202381624245164,0.03187256617190586,0.0,0.018617021276595744,0.017241379310344827,0.0491562729273661,0.017241379310344827,0.043844178565381794,0.005968169761273209,0.0484931429538913,0.02127659574468085,0.0,0.0,0.0,0.02588323268807495,0.03386195609233027,0.0,0.015915119363395226,0.0,0.037198769682261976,0.01790450928381963,0.01790450928381963,0.03918110502850048,0.015915119363395226,0.03585840058694057,0.009946949602122016,0.0,0.01793978215474914,0.0,0.0,0.0,0.0,0.016578249336870028,0.0,0.021918561995597947,0.0
cuneus-lh,0.0,0.0,0.006329113924050633,0.0189873417721519,0.0,0.012658227848101266,0.13924050632911392,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.03164556962025317,0.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.006329113924050633,0.0,0.0,0.0,0.0,0.006329113924050633,0.006329113924050633,0.012658227848101266,0.012658227848101266,0.0189873417721519,0.0,0.04430379746835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10759493670886076
cuneus-rh,0.016835016835016835,0.0,0.025252525252525252,0.0,0.0,0.0,0.0,0.15771536503243822,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016835016835016835,0.0,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.018518518518518517,0.0,0.018518518518518517,0.0,0.1593988667159399,0.0,0.0,0.04878048780487805,0.0,0.025252525252525252,0.025252525252525252,0.0,0.025252525252525252,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.11061837891106184,0.04878048780487805,0.0,0.0,0.025252525252525252,0.025252525252525252,0.0,0.0,0.0,0.025252525252525252,0.006734006734006734,0.0,0.0,0.0,0.025252525252525252,0.0,0.0,0.025252525252525252,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.025252525252525252,0.0
entorhinal-lh,0.02631578947368421,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.10526315789473684,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2807017543859649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
entorhinal-rh,0.0,0.0,0.0,0.0,0.08415841584158416,0.0,0.0,0.0,0.0,0.3460631777463461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07920792079207921,0.0,0.0,0.0,0.08415841584158416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.0,0.0,0.0,0.07920792079207921,0.0,0.0
