,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,P1,P5,PO7,POz,PO4,PO8,P2,CPz,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Fz,0.06473829201101929,0.0,0.0,0.0,0.0,0.05096418732782369,0.005509641873278237,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0371900826446281,0.030303030303030304,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.06473829201101929,0.0,0.028925619834710745,0.045454545454545456,0.0,0.030303030303030304,0.0,0.05647382920110193,0.049586776859504134,0.0,0.011019283746556474,0.05234159779614325,0.0,0.0,0.0,0.01928374655647383,0.0,0.0,0.049586776859504134,0.04269972451790634,0.0,0.0,0.0,0.05785123966942149,0.0,0.0,0.046831955922865015,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.05922865013774105,0.0,0.0
F3,0.004347826086956522,0.03695652173913044,0.03260869565217391,0.03260869565217391,0.02391304347826087,0.002173913043478261,0.006521739130434782,0.03695652173913044,0.034782608695652174,0.004347826086956522,0.004347826086956522,0.006521739130434782,0.0,0.03260869565217391,0.034782608695652174,0.004347826086956522,0.034782608695652174,0.03260869565217391,0.034782608695652174,0.004347826086956522,0.034782608695652174,0.004347826086956522,0.004347826086956522,0.03260869565217391,0.006521739130434782,0.034782608695652174,0.006521739130434782,0.004347826086956522,0.0,0.002173913043478261,0.004347826086956522,0.030434782608695653,0.0,0.008695652173913044,0.0,0.034782608695652174,0.0,0.004347826086956522,0.004347826086956522,0.03260869565217391,0.03260869565217391,0.034782608695652174,0.004347826086956522,0.034782608695652174,0.021739130434782608,0.002173913043478261,0.034782608695652174,0.0,0.03695652173913044,0.021739130434782608,0.034782608695652174,0.004347826086956522,0.034782608695652174,0.006521739130434782,0.004347826086956522,0.03695652173913044
F7,0.0,0.02835538752362949,0.035916824196597356,0.03969754253308128,0.020793950850661626,0.0,0.0,0.04158790170132325,0.030245746691871456,0.0,0.0,0.0,0.0,0.03969754253308128,0.04158790170132325,0.0,0.04158790170132325,0.03969754253308128,0.04158790170132325,0.0,0.04158790170132325,0.0,0.0,0.03969754253308128,0.0,0.04158790170132325,0.0,0.0,0.0,0.0,0.0,0.026465028355387523,0.0,0.007561436672967864,0.0,0.04158790170132325,0.0,0.0,0.0,0.03969754253308128,0.02835538752362949,0.04158790170132325,0.0,0.04158790170132325,0.01890359168241966,0.0,0.04158790170132325,0.0,0.04158790170132325,0.01890359168241966,0.04158790170132325,0.0,0.04158790170132325,0.0,0.003780718336483932,0.04158790170132325
FT9,0.0,0.023121387283236993,0.030346820809248554,0.04190751445086705,0.015895953757225433,0.0,0.0,0.03901734104046243,0.024566473988439308,0.0,0.0,0.0,0.0,0.036127167630057806,0.0476878612716763,0.0,0.0476878612716763,0.036127167630057806,0.044797687861271675,0.0,0.04335260115606936,0.0,0.0,0.044797687861271675,0.0,0.046242774566473986,0.0,0.0,0.0,0.0,0.0,0.02023121387283237,0.0,0.005780346820809248,0.0,0.046242774566473986,0.0,0.0,0.0,0.04190751445086705,0.02167630057803468,0.03901734104046243,0.0,0.046242774566473986,0.014450867052023121,0.0,0.0476878612716763,0.0,0.044797687861271675,0.014450867052023121,0.03901734104046243,0.0,0.046242774566473986,0.0,0.002890173410404624,0.0476878612716763
FC5,0.0,0.0380952380952381,0.03492063492063492,0.03492063492063492,0.031746031746031744,0.0,0.0,0.0380952380952381,0.0380952380952381,0.0,0.0,0.0,0.0,0.03492063492063492,0.0380952380952381,0.0,0.0380952380952381,0.03492063492063492,0.0380952380952381,0.0,0.0380952380952381,0.0,0.0,0.03492063492063492,0.0,0.0380952380952381,0.0,0.0,0.0,0.0,0.0,0.03492063492063492,0.0,0.012698412698412698,0.0,0.0380952380952381,0.0,0.0,0.0,0.03492063492063492,0.03492063492063492,0.0380952380952381,0.0,0.0380952380952381,0.02857142857142857,0.0,0.0380952380952381,0.0,0.0380952380952381,0.031746031746031744,0.0380952380952381,0.0,0.0380952380952381,0.0,0.006349206349206349,0.0380952380952381
FC1,0.05546995377503852,0.0,0.0,0.0,0.0,0.053929121725731895,0.004622496147919877,0.0,0.0,0.032357473035439135,0.05546995377503852,0.040061633281972264,0.03389830508474576,0.0,0.0,0.04930662557781202,0.0,0.0,0.0,0.05546995377503852,0.0,0.030816640986132512,0.04930662557781202,0.0,0.032357473035439135,0.0,0.053929121725731895,0.05238828967642527,0.0,0.01078582434514638,0.053929121725731895,0.0,0.0,0.0,0.02157164869029276,0.0,0.0,0.05238828967642527,0.046224961479198766,0.0,0.0,0.0,0.05546995377503852,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.05546995377503852,0.0,0.053929121725731895,0.0,0.0
C3,0.04580152671755725,0.007633587786259542,0.0,0.0,0.0,0.03816793893129771,0.03816793893129771,0.0,0.0,0.04580152671755725,0.04580152671755725,0.04580152671755725,0.030534351145038167,0.0,0.0,0.04580152671755725,0.0,0.0,0.0,0.04580152671755725,0.0,0.04580152671755725,0.04580152671755725,0.0,0.04580152671755725,0.0,0.04580152671755725,0.04580152671755725,0.0,0.03816793893129771,0.04580152671755725,0.0,0.0,0.0,0.030534351145038167,0.0,0.0,0.04580152671755725,0.04580152671755725,0.0,0.0,0.0,0.04580152671755725,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.04580152671755725,0.0,0.04580152671755725,0.0,0.0
T7,0.001564945226917058,0.028169014084507043,0.03129890453834116,0.03755868544600939,0.017214397496087636,0.0,0.003129890453834116,0.04225352112676056,0.026604068857589983,0.001564945226917058,0.001564945226917058,0.003129890453834116,0.0,0.03599374021909233,0.04381846635367762,0.001564945226917058,0.04381846635367762,0.03599374021909233,0.0406885758998435,0.001564945226917058,0.0406885758998435,0.001564945226917058,0.001564945226917058,0.03912363067292645,0.003129890453834116,0.04225352112676056,0.003129890453834116,0.001564945226917058,0.0,0.0,0.001564945226917058,0.02190923317683881,0.0,0.006259780907668232,0.0,0.04225352112676056,0.0,0.001564945226917058,0.001564945226917058,0.03755868544600939,0.023474178403755867,0.03912363067292645,0.001564945226917058,0.04225352112676056,0.01564945226917058,0.0,0.04381846635367762,0.0,0.04225352112676056,0.01564945226917058,0.03912363067292645,0.001564945226917058,0.0406885758998435,0.003129890453834116,0.003129890453834116,0.04538341158059468
TP9,0.0,0.03644646924829157,0.03416856492027335,0.03644646924829157,0.025056947608200455,0.0,0.002277904328018223,0.04100227790432802,0.03644646924829157,0.0,0.0,0.002277904328018223,0.0,0.03644646924829157,0.0387243735763098,0.0,0.0387243735763098,0.03644646924829157,0.0387243735763098,0.0,0.0387243735763098,0.0,0.0,0.03644646924829157,0.002277904328018223,0.0387243735763098,0.002277904328018223,0.0,0.0,0.0,0.0,0.03189066059225513,0.0,0.009111617312072893,0.0,0.0387243735763098,0.0,0.0,0.0,0.03644646924829157,0.03416856492027335,0.0387243735763098,0.0,0.0387243735763098,0.022779043280182234,0.0,0.0387243735763098,0.0,0.04100227790432802,0.022779043280182234,0.0387243735763098,0.0,0.0387243735763098,0.002277904328018223,0.004555808656036446,0.04100227790432802
CP5,0.04821802935010482,0.0,0.0,0.0,0.0,0.04821802935010482,0.008385744234800839,0.0,0.0,0.0440251572327044,0.04821802935010482,0.04612159329140461,0.0440251572327044,0.0,0.0,0.04821802935010482,0.0,0.0,0.0,0.04821802935010482,0.0,0.0440251572327044,0.04821802935010482,0.0,0.0440251572327044,0.0,0.04821802935010482,0.04821802935010482,0.0,0.016771488469601678,0.04821802935010482,0.0,0.0,0.0,0.029350104821802937,0.0,0.0,0.04821802935010482,0.04821802935010482,0.0,0.0,0.0,0.04821802935010482,0.0,0.0,0.04821802935010482,0.0,0.0,0.0,0.0,0.0,0.04821802935010482,0.0,0.04821802935010482,0.0,0.0
