,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,P1,P5,PO7,POz,PO4,PO8,P2,CPz,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.05527638190954774,0.04522613065326633,0.05527638190954774,0.04522613065326633,0.05527638190954774,0.06030150753768844,0.035175879396984924,0.0,0.0,0.05025125628140704,0.0,0.0,0.06030150753768844,0.0,0.010050251256281407,0.0,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.03015075376884422,0.0,0.0,0.05025125628140704,0.0,0.035175879396984924,0.0,0.0,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.0,0.06030150753768844,0.0,0.0,0.020100502512562814,0.0,0.05025125628140704,0.0,0.0,0.05025125628140704,0.05025125628140704,0.0,0.0,0.0
F7,0.0,0.05319148936170213,0.047872340425531915,0.05319148936170213,0.047872340425531915,0.05319148936170213,0.05319148936170213,0.03723404255319149,0.0,0.0,0.05319148936170213,0.0,0.0,0.05319148936170213,0.0,0.010638297872340425,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.0,0.0,0.05319148936170213,0.0,0.03723404255319149,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.03723404255319149,0.0,0.03723404255319149,0.0,0.0,0.05319148936170213,0.0,0.0,0.02127659574468085,0.0,0.05319148936170213,0.0,0.0,0.05319148936170213,0.05319148936170213,0.0,0.0,0.0
FT9,0.0,0.05527638190954774,0.04522613065326633,0.05527638190954774,0.04522613065326633,0.05527638190954774,0.06030150753768844,0.035175879396984924,0.0,0.0,0.05025125628140704,0.0,0.0,0.06030150753768844,0.0,0.010050251256281407,0.0,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.03015075376884422,0.0,0.0,0.05025125628140704,0.0,0.035175879396984924,0.0,0.0,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.0,0.06030150753768844,0.0,0.0,0.020100502512562814,0.0,0.05025125628140704,0.0,0.0,0.05025125628140704,0.05025125628140704,0.0,0.0,0.0
FC5,0.0,0.05319148936170213,0.047872340425531915,0.05319148936170213,0.047872340425531915,0.05319148936170213,0.05319148936170213,0.03723404255319149,0.0,0.0,0.05319148936170213,0.0,0.0,0.05319148936170213,0.0,0.010638297872340425,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.0,0.0,0.05319148936170213,0.0,0.03723404255319149,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.03723404255319149,0.0,0.03723404255319149,0.0,0.0,0.05319148936170213,0.0,0.0,0.02127659574468085,0.0,0.05319148936170213,0.0,0.0,0.05319148936170213,0.05319148936170213,0.0,0.0,0.0
FC1,0.0,0.05527638190954774,0.04522613065326633,0.05527638190954774,0.04522613065326633,0.05527638190954774,0.06030150753768844,0.035175879396984924,0.0,0.0,0.05025125628140704,0.0,0.0,0.06030150753768844,0.0,0.010050251256281407,0.0,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.03015075376884422,0.0,0.0,0.05025125628140704,0.0,0.035175879396984924,0.0,0.0,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.0,0.035175879396984924,0.0,0.035175879396984924,0.0,0.0,0.06030150753768844,0.0,0.0,0.020100502512562814,0.0,0.05025125628140704,0.0,0.0,0.05025125628140704,0.05025125628140704,0.0,0.0,0.0
C3,0.0,0.054455445544554455,0.04455445544554455,0.054455445544554455,0.04455445544554455,0.054455445544554455,0.06435643564356436,0.034653465346534656,0.0,0.0,0.04950495049504951,0.0,0.0,0.06930693069306931,0.0,0.009900990099009901,0.0,0.054455445544554455,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.04950495049504951,0.0,0.034653465346534656,0.0,0.0,0.054455445544554455,0.0,0.0,0.0,0.0,0.0,0.0,0.034653465346534656,0.0,0.034653465346534656,0.0,0.0,0.0594059405940594,0.0,0.0,0.019801980198019802,0.0,0.04950495049504951,0.0,0.0,0.04950495049504951,0.04950495049504951,0.0,0.0,0.0
T7,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04375,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0125,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.05,0.0,0.04375,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04375,0.0,0.04375,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.05612244897959184,0.04591836734693878,0.05612244897959184,0.04591836734693878,0.05612244897959184,0.05612244897959184,0.03571428571428571,0.0,0.0,0.05102040816326531,0.0,0.0,0.05612244897959184,0.0,0.01020408163265306,0.0,0.05612244897959184,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.05102040816326531,0.0,0.03571428571428571,0.0,0.0,0.05612244897959184,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.05612244897959184,0.0,0.0,0.02040816326530612,0.0,0.05102040816326531,0.0,0.0,0.05102040816326531,0.05102040816326531,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13270142180094788,0.0,0.0,0.052132701421800945,0.0,0.0,0.0,0.0,0.12322274881516587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12322274881516587,0.0,0.11374407582938388,0.13270142180094788,0.13744075829383887,0.07582938388625593,0.0,0.0,0.0,0.10900473933649289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
