,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.19506069485140226,0.0,0.039347007115948095,0.009627459187944746,0.012138970280452072,0.009627459187944746,0.0,0.0,0.03809125156969443,0.01297614064462118,0.0037672666387609877,0.01590623691921306,0.028463792381749686,0.012557555462536627,0.017580577647551276,0.0,0.025533696107157805,0.0,0.009208874005860193,0.0,0.03725408120552533,0.02595228128924236,0.0,0.0,0.008371703641691083,0.00795311845960653,0.01590623691921306,0.00795311845960653,0.0,0.01297614064462118,0.026370866471326915,0.021347844286312263,0.012557555462536627,0.0,0.012138970280452072,0.01381331100879029,0.0012557555462536626,0.031393888656341566,0.0,0.014231896190874843,0.006278777731268313,0.010464629552113856,0.0,0.016324822101297615,0.011301799916282964,0.002092925910422771,0.01716199246546672,0.010046044370029301,0.0,0.011301799916282964,0.0,0.0,0.012138970280452072,0.022185014650481373,0.0,0.012557555462536627,0.012138970280452072,0.004185851820845542,0.0,0.0,0.09418166596902469,0.0,0.006278777731268313,0.010883214734198409,0.013394725826705735,0.0012557555462536626,0.02888237756383424,0.017580577647551276
bankssts-rh,0.0,0.31472763954270344,0.0,0.03900470746469401,0.0,0.0,0.0,0.019502353732347006,0.0,0.028917283120376596,0.0,0.0,0.0,0.00941492938802959,0.0,0.026899798251513115,0.006724949562878279,0.04505716207128446,0.03093476798924008,0.0121049092131809,0.010759919300605245,0.0,0.01546738399462004,0.013449899125756557,0.0026899798251513113,0.0,0.0,0.03160726294552791,0.0,0.0,0.007397444519166106,0.023537323470073975,0.0121049092131809,0.0121049092131809,0.01815736381977135,0.004707464694014795,0.0242098184263618,0.010087424344317418,0.0033624747814391394,0.03227975790181574,0.03429724277067922,0.0,0.0020174848688634837,0.008742434431741762,0.03765971755211836,0.0,0.010759919300605245,0.010759919300605245,0.0,0.0020174848688634837,0.0,0.02488231338264963,0.0,0.0,0.0,0.00605245460659045,0.026227303295225286,0.0,0.0006724949562878278,0.0033624747814391394,0.010759919300605245,0.023537323470073975,0.0,0.007397444519166106,0.0,0.0,0.0,0.03564223268325487
caudalanteriorcingulate-lh,0.029814420444174018,0.0,0.14907210222087008,0.03133556434438698,0.018253726802555523,0.0,0.013690295101916642,0.012169151201703681,0.0009126863401277761,0.002433830240340736,0.013386066321874049,0.023425616063279586,0.0051718892607240646,0.007605719501064801,0.003954974140553696,0.01064800730149072,0.021600243383024034,0.009431092181320353,0.0,0.0,0.005780346820809248,0.012473379981746273,0.009735320961362945,0.014907210222087009,0.027380590203833283,0.018253726802555523,0.020079099482811075,0.008518405841192577,0.006388804380894433,0.02372984484332218,0.0,0.009126863401277762,0.009735320961362945,0.02129601460298144,0.013690295101916642,0.009735320961362945,0.0,0.03650745360511105,0.01186492242166109,0.021904472163066627,0.015819896562214785,0.015211439002129602,0.0042592029205962886,0.015211439002129602,0.0,0.0,0.0027380590203833284,0.028901734104046242,0.005780346820809248,0.018253726802555523,0.010343778521448129,0.01947064192272589,0.026163675083662914,0.048372376026772135,0.006693033160937024,0.0,0.0419835716458777,0.010952236081533314,0.018253726802555523,0.004563431700638881,0.017341040462427744,0.006388804380894433,0.001216915120170368,0.014298752662001825,0.015515667782172194,0.01064800730149072,0.007605719501064801,0.0
caudalanteriorcingulate-rh,0.008857022353437369,0.025305778152678194,0.044706874736398144,0.1442429354702657,0.005482918599746942,0.0008435259384226065,0.029945170814002532,0.029523407844791228,0.0008435259384226065,0.008013496415014762,0.017292281737663433,0.018135807676086038,0.00042176296921130323,0.013918177983973008,0.01940109658371995,0.0012652889076339097,0.0,0.0063264445381695485,0.011387600168705188,0.009278785322648671,0.002108814846056516,0.008435259384226065,0.013496415014761703,0.007169970476592155,0.029101644875579924,0.03205398566005905,0.0029523407844791226,0.0,0.01687051876845213,0.02741459299873471,0.008857022353437369,0.022353437368199072,0.011387600168705188,0.01940109658371995,0.0029523407844791226,0.0,0.0025305778152678194,0.010544074230282582,0.01560522986081822,0.018557570645297342,0.022353437368199072,0.025727541121889498,0.0,0.009278785322648671,0.0,0.0029523407844791226,0.0,0.030366933783213833,0.005061155630535639,0.027836355967946015,0.025727541121889498,0.027836355967946015,0.026571067060312106,0.02825811893715732,0.013918177983973008,0.002108814846056516,0.008013496415014762,0.021509911429776464,0.010544074230282582,0.010544074230282582,0.010965837199493884,0.01560522986081822,0.0,0.0063264445381695485,0.0029523407844791226,0.018557570645297342,0.0,0.0
caudalmiddlefrontal-lh,0.009391435011269721,0.0003756574004507889,0.021788129226145755,0.0033809166040570998,0.195717505634861,0.0,0.006386175807663411,0.004507888805409466,0.024793388429752067,0.0,0.022539444027047332,0.018782870022539443,0.015026296018031555,0.0,0.012021036814425245,0.012772351615326822,0.028549962434259956,0.0,0.0,0.0,0.011269722013523666,0.011269722013523666,0.011645379413974455,0.015777610818933134,0.0007513148009015778,0.017655897821187077,0.028174305033809167,0.0,0.0,0.0304282494365139,0.0,0.0,0.004883546205860256,0.015401953418482344,0.027047332832456798,0.0,0.004132231404958678,0.0033809166040570998,0.0101427498121713,0.039819684447783624,0.04019534184823441,0.027422990232907587,0.004883546205860256,0.003005259203606311,0.0007513148009015778,0.007137490608564989,0.015401953418482344,0.012772351615326822,0.0033809166040570998,0.02329075882794891,0.014650638617580767,0.013523666416228399,0.019909842223891812,0.010894064613072877,0.04620586025544703,0.021036814425244178,0.021036814425244178,0.022163786626596543,0.01728024042073629,0.0,0.011269722013523666,0.013523666416228399,0.005259203606311044,0.008640120210368144,0.0003756574004507889,0.015026296018031555,0.010894064613072877,0.002253944402704733
caudalmiddlefrontal-rh,0.017158544955387784,0.0,0.0,0.0,0.0,0.36032944406314343,0.0061770761839396015,0.002745367192862045,0.0,0.0013726835964310226,0.004804392587508579,0.002059025394646534,0.0,0.03980782429649966,0.0,0.012354152367879203,0.0,0.0013726835964310226,0.0,0.004804392587508579,0.019217570350034317,0.0425531914893617,0.009608785175017159,0.0006863417982155113,0.0,0.002059025394646534,0.0,0.03431708991077557,0.0013726835964310226,0.002059025394646534,0.0,0.019217570350034317,0.016472203157172273,0.0006863417982155113,0.0,0.050102951269732326,0.0,0.035003431708991076,0.0,0.004804392587508579,0.0,0.00549073438572409,0.0,0.04118050789293068,0.026767330130404943,0.032944406314344546,0.0034317089910775567,0.0,0.023335621139327384,0.014413177762525738,0.0061770761839396015,0.011667810569663692,0.008236101578586136,0.013040494166094716,0.013726835964310227,0.0075497597803706245,0.014413177762525738,0.014413177762525738,0.011667810569663692,0.018531228551818806,0.01990391214824983,0.0,0.016472203157172273,0.0,0.00549073438572409,0.0,0.0,0.0
cuneus-lh,0.0,0.0,0.029218843172331546,0.04114490161001789,0.012522361359570662,0.005366726296958855,0.2558139534883721,0.03875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.01490757304710793,0.00655933214072749,0.0,0.0,0.0,0.0,0.007155635062611807,0.016696481812760882,0.017889087656529516,0.03875968992248062,0.0,0.03577817531305903,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.07036374478234943,0.0,0.0,0.022063208109719738,0.0,0.0,0.0005963029218843172,0.01311866428145498,0.0,0.054859868813357186,0.04770423375074538,0.0,0.0,0.0017889087656529517,0.04174120453190221,0.0005963029218843172,0.043530113297555156,0.022063208109719738,0.03637447823494335,0.0,0.0,0.0035778175313059034,0.0017889087656529517,0.016100178890876567,0.008348240906380441,0.02802623732856291,0.010137149672033392,0.0,0.020870602265951103,0.0,0.0,0.0,0.012522361359570662,0.0,0.0
cuneus-rh,0.0,0.013261296660117878,0.021611001964636542,0.03339882121807466,0.007858546168958742,0.0029469548133595285,0.032907662082514735,0.26227897838899805,0.0,0.01669941060903733,0.0,0.0,0.0,0.0,0.009823182711198428,0.039783889980353634,0.00343811394891945,0.0,0.0,0.0044204322200392925,0.003929273084479371,0.011296660117878193,0.05844793713163065,0.06335952848722987,0.0,0.0,0.0,0.0,0.0,0.0004911591355599214,0.0,0.010805500982318271,0.0,0.05157170923379175,0.0,0.0,0.0029469548133595285,0.0,0.002455795677799607,0.0073673870333988214,0.008840864440078585,0.027013752455795677,0.022102161100196464,0.008840864440078585,0.018664047151277015,0.0,0.0,0.02848722986247544,0.0,0.04862475442043222,0.04027504911591356,0.05304518664047151,0.0,0.0,0.0,0.0,0.010805500982318271,0.003929273084479371,0.0137524557956778,0.01719056974459725,0.0,0.026031434184675836,0.0,0.0054027504911591355,0.0004911591355599214,0.0,0.0,0.0054027504911591355
entorhinal-lh,0.02638112973308504,0.00031036623215394165,0.0015518311607697084,0.0012414649286157666,0.017690875232774673,0.00031036623215394165,0.0,0.0,0.15456238361266295,0.006517690875232775,0.010242085661080074,0.033209186840471756,0.04531346989447548,0.028553693358162633,0.0,0.0,0.03445065176908752,0.000931098696461825,0.02110490378646803,0.0,0.01893234016139044,0.02638112973308504,0.0,0.0031036623215394167,0.006517690875232775,0.023898199875853506,0.03445065176908752,0.020173805090006207,0.0,0.0074487895716946,0.043451272501551834,0.0186219739292365,0.0,0.002482929857231533,0.03414028553693358,0.029484792054624457,0.02669149596523898,0.0,0.008069522036002483,0.029174425822470516,0.02079453755431409,0.008379888268156424,0.008379888268156424,0.009931719428926133,0.0,0.0040347610180012415,0.002793296089385475,0.0,0.0031036623215394167,0.0031036623215394167,0.0186219739292365,0.002482929857231533,0.006517690875232775,0.0,0.021725636250775917,0.012414649286157667,0.0006207324643078833,0.010552451893234015,0.0074487895716946,0.005896958410924891,0.04438237119801366,0.0037243947858473,0.003414028553693358,0.0015518311607697084,0.029484792054624457,0.023898199875853506,0.024829298572315334,0.006517690875232775
entorhinal-rh,0.015609756097560976,0.01902439024390244,0.002926829268292683,0.007317073170731708,0.0,0.0004878048780487805,0.0,0.0175609756097561,0.01024390243902439,0.26682926829268294,0.03463414634146342,0.0,0.012195121951219513,0.03853658536585366,0.0,0.0,0.002926829268292683,0.04439024390243902,0.026341463414634145,0.02,0.00975609756097561,0.01024390243902439,0.0024390243902439024,0.0,0.007804878048780488,0.0,0.004878048780487805,0.005365853658536586,0.026829268292682926,0.0,0.007804878048780488,0.03609756097560975,0.025365853658536587,0.0,0.007804878048780488,0.0224390243902439,0.00975609756097561,0.01121951219512195,0.004390243902439025,0.0024390243902439024,0.020975609756097562,0.022926829268292682,0.007804878048780488,0.0,0.009268292682926829,0.0,0.02926829268292683,0.016097560975609757,0.0,0.0,0.0,0.004390243902439025,0.006341463414634147,0.00878048780487805,0.0,0.026829268292682926,0.033658536585365856,0.0,0.004878048780487805,0.0024390243902439024,0.015609756097560976,0.016585365853658537,0.0224390243902439,0.0,0.007804878048780488,0.00975609756097561,0.015609756097560976,0.004878048780487805
