,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.12333965844402277,0.08918406072106262,0.028462998102466792,0.0,0.03225806451612903,0.08349146110056926,0.05313092979127135,0.04743833017077799,0.04174573055028463,0.04174573055028463,0.04933586337760911,0.04174573055028463,0.07210626185958255,0.0777988614800759,0.04174573055028463,0.05502846299810247,0.03984819734345351,0.03984819734345351,0.04174573055028463
caudalmiddlefrontal-rh,0.09607843137254903,0.09215686274509804,0.029411764705882353,0.0,0.03333333333333333,0.08627450980392157,0.054901960784313725,0.049019607843137254,0.043137254901960784,0.043137254901960784,0.050980392156862744,0.043137254901960784,0.07450980392156863,0.0784313725490196,0.043137254901960784,0.056862745098039215,0.041176470588235294,0.041176470588235294,0.043137254901960784
inferiorparietal-rh,0.029850746268656716,0.029850746268656716,0.10261194029850747,0.018656716417910446,0.06902985074626866,0.048507462686567165,0.04664179104477612,0.054104477611940295,0.05223880597014925,0.06902985074626866,0.029850746268656716,0.054104477611940295,0.04477611940298507,0.048507462686567165,0.05223880597014925,0.054104477611940295,0.10074626865671642,0.041044776119402986,0.054104477611940295
parsopercularis-lh,0.0,0.0,0.07801418439716312,0.07092198581560284,0.0,0.07092198581560284,0.06382978723404255,0.07801418439716312,0.07801418439716312,0.0,0.0,0.07801418439716312,0.05673758865248227,0.07092198581560284,0.07801418439716312,0.07801418439716312,0.07801418439716312,0.0425531914893617,0.07801418439716312
parstriangularis-rh,0.04326923076923077,0.04326923076923077,0.0889423076923077,0.0,0.11298076923076923,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.09375,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.09615384615384616,0.04326923076923077,0.04567307692307692
postcentral-lh,0.06912442396313365,0.06912442396313365,0.039938556067588324,0.015360983102918587,0.026113671274961597,0.08294930875576037,0.05837173579109063,0.05683563748079877,0.05222734254992319,0.03533026113671275,0.041474654377880185,0.05222734254992319,0.0706605222734255,0.07373271889400922,0.05222734254992319,0.06144393241167435,0.04915514592933948,0.041474654377880185,0.05222734254992319
postcentral-rh,0.04713804713804714,0.04713804713804714,0.04208754208754209,0.016835016835016835,0.02861952861952862,0.06565656565656566,0.06902356902356903,0.06397306397306397,0.06228956228956229,0.03872053872053872,0.04208754208754209,0.06228956228956229,0.06902356902356903,0.06902356902356903,0.06228956228956229,0.05387205387205387,0.05218855218855219,0.045454545454545456,0.06228956228956229
precentral-lh,0.041666666666666664,0.041666666666666664,0.045,0.016666666666666666,0.028333333333333332,0.06,0.065,0.06833333333333333,0.06333333333333334,0.041666666666666664,0.041666666666666664,0.06833333333333333,0.06333333333333334,0.06333333333333334,0.06166666666666667,0.06,0.058333333333333334,0.045,0.06666666666666667
precentral-rh,0.03690685413005272,0.03690685413005272,0.04745166959578207,0.01757469244288225,0.029876977152899824,0.056239015817223195,0.061511423550087874,0.06678383128295255,0.070298769771529,0.040421792618629174,0.043936731107205626,0.070298769771529,0.05975395430579965,0.05975395430579965,0.06678383128295255,0.061511423550087874,0.05975395430579965,0.043936731107205626,0.070298769771529
rostralmiddlefrontal-lh,0.04183266932270916,0.04183266932270916,0.07370517928286853,0.0,0.07569721115537849,0.043824701195219126,0.04780876494023904,0.04780876494023904,0.04780876494023904,0.11952191235059761,0.04780876494023904,0.053784860557768925,0.04780876494023904,0.04780876494023904,0.04780876494023904,0.043824701195219126,0.08565737051792828,0.037848605577689244,0.04780876494023904
