,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.040268456375838924,0.03355704697986577,0.0,0.0,0.0,0.0,0.04697986577181208,0.04697986577181208,0.0,0.04697986577181208,0.0,0.04697986577181208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04697986577181208,0.04697986577181208,0.040268456375838924,0.0,0.04697986577181208,0.04697986577181208,0.0,0.0,0.0,0.04697986577181208,0.0,0.0,0.04697986577181208,0.026845637583892617,0.0,0.0,0.040268456375838924,0.0,0.0,0.013422818791946308,0.0,0.0,0.0,0.04697986577181208,0.0,0.0,0.0,0.020134228187919462,0.04697986577181208,0.0,0.0,0.0,0.0,0.0,0.04697986577181208,0.0,0.04697986577181208,0.03355704697986577,0.04697986577181208,0.04697986577181208,0.0,0.0,0.0
Fz,0.01818181818181818,0.06666666666666667,0.0,0.0,0.0,0.0,0.06060606060606061,0.05454545454545454,0.0,0.048484848484848485,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.06666666666666667,0.030303030303030304,0.0,0.030303030303030304,0.048484848484848485,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.06666666666666667,0.006060606060606061,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.024242424242424242,0.0,0.0,0.0,0.0,0.0,0.04242424242424243,0.0,0.04242424242424243,0.012121212121212121,0.06060606060606061,0.048484848484848485,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08518518518518518,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08148148148148149,0.0,0.0,0.03333333333333333,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.040740740740740744,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,0.0,0.0,0.08148148148148149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.09259259259259259,0.0
FT9,0.0,0.0,0.0,0.08029197080291971,0.10218978102189781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09854014598540146,0.08759124087591241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09124087591240876,0.0,0.0,0.025547445255474453,0.08029197080291971,0.0,0.0,0.0,0.0,0.0,0.04744525547445255,0.09854014598540146,0.0,0.0,0.0,0.0,0.0,0.0,0.08394160583941605,0.0,0.0,0.072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04744525547445255,0.08394160583941605,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.025974025974025976,0.05194805194805195,0.0,0.0,0.0,0.0,0.05627705627705628,0.05194805194805195,0.0,0.047619047619047616,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.06060606060606061,0.030303030303030304,0.0,0.03463203463203463,0.047619047619047616,0.0,0.0,0.0,0.05627705627705628,0.0,0.0,0.06060606060606061,0.017316017316017316,0.0,0.0,0.05627705627705628,0.0,0.0,0.008658008658008658,0.0,0.0,0.0,0.03463203463203463,0.0,0.0,0.0,0.012987012987012988,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.04329004329004329,0.0,0.04329004329004329,0.021645021645021644,0.05627705627705628,0.047619047619047616,0.0,0.0,0.0
C3,0.02643171806167401,0.048458149779735685,0.0,0.0,0.0,0.0,0.05726872246696035,0.05286343612334802,0.0,0.048458149779735685,0.0,0.05286343612334802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05286343612334802,0.05726872246696035,0.030837004405286344,0.0,0.03524229074889868,0.048458149779735685,0.0,0.0,0.0,0.05726872246696035,0.0,0.0,0.05726872246696035,0.01762114537444934,0.0,0.0,0.05286343612334802,0.0,0.0,0.00881057268722467,0.0,0.0,0.0,0.03524229074889868,0.0,0.0,0.0,0.013215859030837005,0.030837004405286344,0.0,0.0,0.0,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.022026431718061675,0.05726872246696035,0.048458149779735685,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.02727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,0.05454545454545454,0.05454545454545454,0.0,0.05,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.05454545454545454,0.031818181818181815,0.0,0.03636363636363636,0.05,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.05454545454545454,0.01818181818181818,0.0,0.0,0.05,0.0,0.0,0.00909090909090909,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.013636363636363636,0.031818181818181815,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.022727272727272728,0.05454545454545454,0.05,0.0,0.0,0.0
CP5,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0
CP1,0.02643171806167401,0.048458149779735685,0.0,0.0,0.0,0.0,0.05726872246696035,0.05286343612334802,0.0,0.048458149779735685,0.0,0.05286343612334802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05286343612334802,0.05726872246696035,0.030837004405286344,0.0,0.03524229074889868,0.048458149779735685,0.0,0.0,0.0,0.05726872246696035,0.0,0.0,0.05726872246696035,0.01762114537444934,0.0,0.0,0.05286343612334802,0.0,0.0,0.00881057268722467,0.0,0.0,0.0,0.03524229074889868,0.0,0.0,0.0,0.013215859030837005,0.030837004405286344,0.0,0.0,0.0,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.022026431718061675,0.05726872246696035,0.048458149779735685,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
