,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.07216494845360824,0.07216494845360824,0.0,0.054982817869415807,0.0,0.044673539518900345,0.044673539518900345,0.0,0.0,0.0,0.013745704467353952,0.0,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.054982817869415807,0.048109965635738834,0.037800687285223365,0.0,0.0,0.0,0.003436426116838488,0.010309278350515464,0.061855670103092786,0.0,0.0,0.0,0.024054982817869417,0.0,0.024054982817869417,0.01718213058419244,0.013745704467353952,0.013745704467353952,0.0,0.0,0.0,0.01718213058419244,0.0,0.003436426116838488,0.07903780068728522,0.0,0.054982817869415807,0.0,0.03436426116838488,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,0.037800687285223365,0.030927835051546393,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.07216494845360824,0.0,0.0
bankssts-rh,0.01568627450980392,0.09647058823529411,0.01411764705882353,0.0203921568627451,0.006274509803921568,0.01019607843137255,0.03137254901960784,0.0,0.00784313725490196,0.01019607843137255,0.004705882352941176,0.00784313725490196,0.03058823529411765,0.0203921568627451,0.017254901960784313,0.0,0.001568627450980392,0.00392156862745098,0.042352941176470586,0.014901960784313726,0.012549019607843137,0.007058823529411765,0.000784313725490196,0.0,0.022745098039215685,0.00392156862745098,0.04549019607843137,0.011764705882352941,0.007058823529411765,0.01019607843137255,0.038431372549019606,0.0,0.0196078431372549,0.02431372549019608,0.010980392156862745,0.006274509803921568,0.0,0.01019607843137255,0.0,0.00392156862745098,0.0,0.02823529411764706,0.04,0.007058823529411765,0.0203921568627451,0.0,0.008627450980392156,0.008627450980392156,0.017254901960784313,0.011764705882352941,0.04627450980392157,0.03372549019607843,0.008627450980392156,0.018823529411764704,0.0,0.02431372549019608,0.01803921568627451,0.00784313725490196,0.01647058823529412,0.0,0.02588235294117647,0.009411764705882352,0.00784313725490196,0.014901960784313726,0.01411764705882353,0.0203921568627451,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.011396011396011397,0.042735042735042736,0.023504273504273504,0.0,0.00641025641025641,0.012108262108262107,0.0035612535612535613,0.019230769230769232,0.004985754985754986,0.008547008547008548,0.020655270655270654,0.02492877492877493,0.019230769230769232,0.012108262108262107,0.0,0.013532763532763533,0.0,0.0349002849002849,0.019230769230769232,0.008547008547008548,0.021367521367521368,0.004985754985754986,0.0,0.03632478632478633,0.02849002849002849,0.011396011396011397,0.027065527065527065,0.019943019943019943,0.037037037037037035,0.014957264957264958,0.0035612535612535613,0.02492877492877493,0.009971509971509971,0.019230769230769232,0.03205128205128205,0.0,0.0,0.014957264957264958,0.02564102564102564,0.0,0.020655270655270654,0.00641025641025641,0.017094017094017096,0.01566951566951567,0.0,0.010683760683760684,0.017806267806267807,0.02849002849002849,0.026353276353276354,0.014957264957264958,0.03347578347578348,0.026353276353276354,0.01638176638176638,0.0007122507122507123,0.01566951566951567,0.0,0.018518518518518517,0.007834757834757835,0.0,0.020655270655270654,0.0,0.03347578347578348,0.012108262108262107,0.03917378917378917,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.009237875288683603,0.012702078521939953,0.01558891454965358,0.054272517321016164,0.0,0.012702078521939953,0.02367205542725173,0.008083140877598153,0.003464203233256351,0.0017321016166281756,0.03117782909930716,0.021939953810623556,0.015011547344110854,0.006351039260969977,0.0040415704387990765,0.0,0.021362586605080832,0.0,0.032909930715935336,0.03810623556581986,0.019630484988452657,0.021362586605080832,0.011547344110854504,0.002886836027713626,0.012702078521939953,0.030600461893764433,0.011547344110854504,0.022517321016166283,0.025404157043879907,0.028868360277136258,0.002886836027713626,0.0,0.030600461893764433,0.0023094688221709007,0.032909930715935336,0.03464203233256351,0.0,0.003464203233256351,0.02424942263279446,0.028290993071593534,0.005773672055427252,0.011547344110854504,0.019630484988452657,0.01905311778290993,0.04387990762124711,0.009237875288683603,0.009237875288683603,0.013279445727482679,0.014434180138568129,0.01674364896073903,0.003464203233256351,0.017321016166281754,0.017321016166281754,0.0040415704387990765,0.010392609699769052,0.006928406466512702,0.0,0.02424942263279446,0.013279445727482679,0.0023094688221709007,0.009237875288683603,0.0,0.023094688221709007,0.005196304849884526,0.03117782909930716,0.009815242494226328,0.0005773672055427252,0.0
caudalmiddlefrontal-lh,0.0,0.06936416184971098,0.0,0.0,0.10404624277456648,0.0,0.08670520231213873,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057803468208092484,0.0,0.0,0.023121387283236993,0.0,0.0,0.0,0.005780346820809248,0.0,0.046242774566473986,0.0,0.0,0.0,0.05202312138728324,0.0,0.0,0.09248554913294797,0.0,0.0,0.0,0.05202312138728324,0.0,0.0,0.0,0.0,0.06358381502890173,0.028901734104046242,0.023121387283236993,0.0,0.046242774566473986,0.0,0.0,0.0,0.046242774566473986,0.0,0.0,0.0,0.011560693641618497,0.05202312138728324,0.05202312138728324,0.0,0.023121387283236993,0.0,0.05202312138728324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.026905829596412557,0.02914798206278027,0.020179372197309416,0.04932735426008968,0.0,0.04484304932735426,0.017937219730941704,0.002242152466367713,0.006726457399103139,0.0,0.02242152466367713,0.020179372197309416,0.013452914798206279,0.002242152466367713,0.008968609865470852,0.0,0.013452914798206279,0.0,0.04484304932735426,0.04708520179372197,0.03587443946188341,0.020179372197309416,0.013452914798206279,0.0,0.006726457399103139,0.020179372197309416,0.02466367713004484,0.020179372197309416,0.020179372197309416,0.020179372197309416,0.0,0.0,0.03587443946188341,0.0,0.02914798206278027,0.02242152466367713,0.0,0.0,0.013452914798206279,0.017937219730941704,0.0,0.011210762331838564,0.02914798206278027,0.004484304932735426,0.04932735426008968,0.0,0.01569506726457399,0.020179372197309416,0.013452914798206279,0.020179372197309416,0.004484304932735426,0.020179372197309416,0.020179372197309416,0.0,0.0,0.0,0.0,0.03811659192825112,0.013452914798206279,0.0,0.0,0.0,0.020179372197309416,0.0,0.020179372197309416,0.02914798206278027,0.0,0.0
cuneus-lh,0.011111111111111112,0.03137254901960784,0.00980392156862745,0.02679738562091503,0.00980392156862745,0.00522875816993464,0.0934640522875817,0.023529411764705882,0.0058823529411764705,0.00261437908496732,0.01241830065359477,0.004575163398692811,0.0,0.0,0.00196078431372549,0.00261437908496732,0.02287581699346405,0.004575163398692811,0.01764705882352941,0.016339869281045753,0.03594771241830065,0.00522875816993464,0.01241830065359477,0.0032679738562091504,0.013725490196078431,0.022222222222222223,0.011764705882352941,0.006535947712418301,0.006535947712418301,0.018300653594771243,0.011764705882352941,0.0,0.00522875816993464,0.03529411764705882,0.00784313725490196,0.023529411764705882,0.0,0.01568627450980392,0.011111111111111112,0.028104575163398694,0.023529411764705882,0.0,0.07712418300653595,0.03071895424836601,0.034640522875816995,0.009150326797385621,0.01764705882352941,0.0032679738562091504,0.00196078431372549,0.00392156862745098,0.03202614379084967,0.004575163398692811,0.00065359477124183,0.0,0.03137254901960784,0.00522875816993464,0.0058823529411764705,0.023529411764705882,0.03071895424836601,0.02091503267973856,0.01045751633986928,0.0,0.011111111111111112,0.0,0.021568627450980392,0.011764705882352941,0.011111111111111112,0.0
cuneus-rh,0.0,0.0,0.007204610951008645,0.018731988472622477,0.005763688760806916,0.0,0.05475504322766571,0.06340057636887608,0.021613832853025938,0.012968299711815562,0.020172910662824207,0.008645533141210375,0.0,0.0,0.018731988472622477,0.0,0.0446685878962536,0.0,0.0,0.01440922190201729,0.03602305475504323,0.023054755043227664,0.0345821325648415,0.007204610951008645,0.010086455331412104,0.023054755043227664,0.002881844380403458,0.027377521613832854,0.012968299711815562,0.027377521613832854,0.005763688760806916,0.0,0.001440922190201729,0.01585014409221902,0.024495677233429394,0.023054755043227664,0.0,0.027377521613832854,0.020172910662824207,0.027377521613832854,0.018731988472622477,0.01440922190201729,0.040345821325648415,0.03602305475504323,0.01440922190201729,0.0,0.0,0.01729106628242075,0.01440922190201729,0.01729106628242075,0.008645533141210375,0.023054755043227664,0.0,0.0,0.0446685878962536,0.01585014409221902,0.007204610951008645,0.01585014409221902,0.0,0.03025936599423631,0.004322766570605188,0.0,0.01585014409221902,0.0,0.011527377521613832,0.0,0.008645533141210375,0.0
entorhinal-lh,0.0,0.005351170568561873,0.02073578595317726,0.005351170568561873,0.0,0.0033444816053511705,0.007357859531772575,0.010033444816053512,0.06622073578595318,0.032107023411371234,0.009364548494983277,0.005351170568561873,0.0274247491638796,0.01471571906354515,0.024080267558528427,0.0,0.026755852842809364,0.0,0.018060200668896322,0.005351170568561873,0.002006688963210702,0.030100334448160536,0.013377926421404682,0.0,0.030100334448160536,0.013377926421404682,0.02608695652173913,0.034782608695652174,0.006020066889632107,0.024080267558528427,0.02140468227424749,0.0026755852842809363,0.010702341137123745,0.006020066889632107,0.024080267558528427,0.014046822742474917,0.0,0.04013377926421405,0.02073578595317726,0.016053511705685617,0.0033444816053511705,0.04147157190635452,0.0033444816053511705,0.01137123745819398,0.0026755852842809363,0.0026755852842809363,0.002006688963210702,0.01939799331103679,0.03879598662207358,0.022073578595317726,0.01471571906354515,0.043478260869565216,0.008026755852842809,0.012709030100334449,0.0,0.04080267558528428,0.0046822742474916385,0.005351170568561873,0.0033444816053511705,0.007357859531772575,0.016053511705685617,0.0,0.017391304347826087,0.006020066889632107,0.014046822742474917,0.0,0.04147157190635452,0.0
entorhinal-rh,0.0,0.011304347826086957,0.009565217391304347,0.0008695652173913044,0.0,0.0,0.0026086956521739132,0.009565217391304347,0.04608695652173913,0.06434782608695652,0.013043478260869565,0.0,0.03739130434782609,0.02,0.022608695652173914,0.006956521739130435,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.029565217391304348,0.01565217391304348,0.0,0.02608695652173913,0.0,0.04521739130434783,0.026956521739130435,0.0,0.0052173913043478265,0.042608695652173914,0.0034782608695652175,0.006956521739130435,0.0026086956521739132,0.026956521739130435,0.0,0.0,0.051304347826086956,0.0017391304347826088,0.004347826086956522,0.01217391304347826,0.058260869565217394,0.009565217391304347,0.0052173913043478265,0.0,0.00782608695652174,0.0,0.01391304347826087,0.022608695652173914,0.017391304347826087,0.02782608695652174,0.0408695652173913,0.0008695652173913044,0.018260869565217393,0.0026086956521739132,0.05652173913043478,0.017391304347826087,0.0,0.0,0.01652173913043478,0.03304347826086956,0.0,0.004347826086956522,0.00608695652173913,0.004347826086956522,0.0,0.04782608695652174,0.0
