,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.034403669724770644,0.0,0.0,0.0,0.03211009174311927,0.02522935779816514,0.0,0.013761467889908258,0.03211009174311927,0.027522935779816515,0.020642201834862386,0.03211009174311927,0.03211009174311927,0.0,0.0,0.0045871559633027525,0.03669724770642202,0.034403669724770644,0.03211009174311927,0.03669724770642202,0.03211009174311927,0.01834862385321101,0.03669724770642202,0.03669724770642202,0.034403669724770644,0.03669724770642202,0.020642201834862386,0.0,0.0,0.0,0.0,0.022935779816513763,0.020642201834862386,0.01834862385321101,0.01834862385321101,0.034403669724770644,0.0,0.0,0.0,0.02522935779816514,0.03211009174311927,0.03211009174311927,0.03669724770642202,0.0,0.0,0.0,0.03211009174311927,0.034403669724770644,0.034403669724770644,0.034403669724770644,0.006880733944954129,0.006880733944954129
S1_D3 hbo,0.0,0.15384615384615385,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.0,0.0,0.05555555555555555,0.0,0.06944444444444445,0.05555555555555555,0.013888888888888888,0.027777777777777776,0.0,0.0,0.0,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
S2_D2 hbo,0.0,0.044444444444444446,0.05925925925925926,0.13333333333333333,0.0,0.0,0.06666666666666667,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.044444444444444446,0.044444444444444446,0.007407407407407408,0.02962962962962963,0.02962962962962963,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.08888888888888889,0.05185185185185185,0.022222222222222223,0.0,0.0,0.0,0.044444444444444446,0.05185185185185185,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0
S2_D4 hbo,0.03346456692913386,0.0,0.0,0.0,0.03543307086614173,0.02952755905511811,0.0,0.017716535433070866,0.03346456692913386,0.031496062992125984,0.017716535433070866,0.02952755905511811,0.02952755905511811,0.0,0.0,0.001968503937007874,0.03543307086614173,0.03543307086614173,0.031496062992125984,0.03346456692913386,0.03543307086614173,0.013779527559055118,0.03543307086614173,0.03543307086614173,0.02952755905511811,0.031496062992125984,0.017716535433070866,0.0,0.0,0.0,0.0,0.023622047244094488,0.023622047244094488,0.021653543307086614,0.021653543307086614,0.03543307086614173,0.0,0.0,0.0,0.01968503937007874,0.03543307086614173,0.02952755905511811,0.03543307086614173,0.0,0.0,0.0,0.03543307086614173,0.03543307086614173,0.03740157480314961,0.031496062992125984,0.00984251968503937,0.00984251968503937
S3_D1 hbo,0.03184713375796178,0.0,0.0,0.0,0.03821656050955414,0.03397027600849257,0.0,0.01910828025477707,0.036093418259023353,0.036093418259023353,0.014861995753715499,0.027600849256900213,0.027600849256900213,0.0,0.0,0.0,0.03397027600849257,0.03397027600849257,0.029723991507430998,0.03184713375796178,0.036093418259023353,0.010615711252653927,0.03397027600849257,0.03397027600849257,0.027600849256900213,0.029723991507430998,0.016985138004246284,0.0,0.0,0.0,0.0,0.02335456475583864,0.025477707006369428,0.025477707006369428,0.02335456475583864,0.036093418259023353,0.0,0.0,0.0,0.016985138004246284,0.03821656050955414,0.027600849256900213,0.03397027600849257,0.0,0.0,0.0,0.03821656050955414,0.036093418259023353,0.036093418259023353,0.029723991507430998,0.012738853503184714,0.012738853503184714
S3_D3 hbo,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.11904761904761904,0.03571428571428571,0.0,0.047619047619047616,0.0,0.0,0.0,0.03571428571428571,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05952380952380952,0.0,0.0,0.05952380952380952,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.047619047619047616,0.0,0.047619047619047616,0.05952380952380952,0.011904761904761904,0.023809523809523808,0.0,0.0,0.0,0.05952380952380952,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
S3_D4 hbo,0.022792022792022793,0.0,0.011396011396011397,0.014245014245014245,0.02564102564102564,0.02564102564102564,0.008547008547008548,0.08262108262108261,0.02564102564102564,0.037037037037037035,0.017094017094017096,0.02564102564102564,0.022792022792022793,0.011396011396011397,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.045584045584045586,0.011396011396011397,0.02564102564102564,0.02564102564102564,0.022792022792022793,0.022792022792022793,0.039886039886039885,0.0,0.0,0.011396011396011397,0.0,0.02564102564102564,0.02564102564102564,0.03418803418803419,0.02564102564102564,0.02564102564102564,0.005698005698005698,0.0,0.0,0.017094017094017096,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.011396011396011397,0.011396011396011397
S3_D5 hbo,0.031185031185031187,0.0,0.0,0.0,0.033264033264033266,0.02702702702702703,0.0,0.018711018711018712,0.033264033264033266,0.029106029106029108,0.018711018711018712,0.031185031185031187,0.031185031185031187,0.0,0.0,0.002079002079002079,0.035343035343035345,0.035343035343035345,0.033264033264033266,0.033264033264033266,0.033264033264033266,0.014553014553014554,0.033264033264033266,0.035343035343035345,0.031185031185031187,0.031185031185031187,0.018711018711018712,0.0,0.0,0.0,0.0,0.02494802494802495,0.02494802494802495,0.02286902286902287,0.02286902286902287,0.035343035343035345,0.0,0.0,0.0,0.02079002079002079,0.033264033264033266,0.031185031185031187,0.035343035343035345,0.0,0.0,0.0,0.033264033264033266,0.035343035343035345,0.035343035343035345,0.033264033264033266,0.010395010395010396,0.010395010395010396
S4_D2 hbo,0.028513238289205704,0.0,0.0,0.0,0.034623217922606926,0.032586558044806514,0.006109979633401222,0.024439918533604887,0.034623217922606926,0.04276985743380855,0.014256619144602852,0.026476578411405296,0.026476578411405296,0.0,0.0,0.0,0.032586558044806514,0.032586558044806514,0.028513238289205704,0.03054989816700611,0.032586558044806514,0.010183299389002037,0.03054989816700611,0.032586558044806514,0.026476578411405296,0.028513238289205704,0.026476578411405296,0.0,0.0,0.008146639511201629,0.0,0.02240325865580448,0.024439918533604887,0.03054989816700611,0.02240325865580448,0.03665987780040733,0.0,0.0,0.0,0.016293279022403257,0.03665987780040733,0.026476578411405296,0.032586558044806514,0.0,0.0,0.0,0.03665987780040733,0.034623217922606926,0.032586558044806514,0.028513238289205704,0.014256619144602852,0.014256619144602852
