,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.06393718452047112,0.0,0.0,0.0,0.0,0.0,0.0,0.016264722378014584,0.0,0.021873247335950644,0.0,0.03252944475602917,0.04318564217610768,0.01962983735277622,0.06561974200785194,0.0,0.06561974200785194,0.021873247335950644,0.0,0.01514301738642737,0.0,0.0,0.03309029725182277,0.0,0.05832865956253505,0.0,0.0,0.03701626472237801,0.06449803701626472,0.0005608524957936063,0.0,0.04206393718452047,0.0,0.05103757711721817,0.017386427369601793,0.039820527201346045,0.06505888951205833,0.056085249579360626,0.0,0.02860347728547392,0.0,0.04823331463825014,0.03196859226023556,0.0,0.0,0.0,0.0,0.0,0.0,0.03813796971396523,0.0,0.0,0.02075154234436343,0.0,0.0016825574873808188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.042598509052183174,0.025559105431309903,0.03194888178913738,0.043663471778487756,0.005324813631522897,0.038338658146964855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04153354632587859,0.0,0.0,0.0,0.0,0.03727369542066028,0.01810436634717785,0.0,0.04046858359957402,0.0,0.03514376996805112,0.043663471778487756,0.0,0.0,0.025559105431309903,0.0,0.0,0.02023429179978701,0.0,0.0,0.0,0.0,0.0,0.03407880724174654,0.0,0.04046858359957402,0.0,0.0,0.043663471778487756,0.0,0.04153354632587859,0.038338658146964855,0.0,0.043663471778487756,0.0,0.04046858359957402,0.0308839190628328,0.0,0.0,0.0,0.0,0.043663471778487756,0.0308839190628328,0.04153354632587859,0.043663471778487756,0.04153354632587859,0.0362087326943557
F7,0.0,0.0,0.0425531914893617,0.040780141843971635,0.024822695035460994,0.0425531914893617,0.008865248226950355,0.03546099290780142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040780141843971635,0.0,0.0,0.0,0.0,0.03368794326241135,0.030141843971631204,0.0,0.03900709219858156,0.0,0.03546099290780142,0.0425531914893617,0.0,0.0,0.014184397163120567,0.0,0.0,0.008865248226950355,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.03900709219858156,0.0,0.0,0.0425531914893617,0.0,0.0425531914893617,0.03723404255319149,0.0,0.0425531914893617,0.0,0.040780141843971635,0.0425531914893617,0.0,0.0,0.0,0.0,0.0425531914893617,0.02304964539007092,0.040780141843971635,0.0425531914893617,0.0425531914893617,0.03900709219858156
FT9,0.0,0.0,0.04138851802403204,0.021361815754339118,0.04005340453938585,0.04138851802403204,0.006675567423230975,0.04138851802403204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04138851802403204,0.0,0.0,0.0,0.0,0.04138851802403204,0.012016021361815754,0.0,0.04138851802403204,0.0,0.037383177570093455,0.04138851802403204,0.0,0.0,0.03204272363150868,0.0,0.0,0.025367156208277702,0.0,0.0,0.0,0.0,0.0,0.029372496662216287,0.0,0.04138851802403204,0.0,0.0,0.04138851802403204,0.0,0.03871829105473965,0.04005340453938585,0.0,0.04138851802403204,0.0,0.04005340453938585,0.025367156208277702,0.0,0.0,0.0,0.0,0.04138851802403204,0.03871829105473965,0.04138851802403204,0.04138851802403204,0.03871829105473965,0.036048064085447265
FC5,0.0,0.0,0.03571428571428571,0.020905923344947737,0.02700348432055749,0.05836236933797909,0.004355400696864111,0.03397212543554007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.033101045296167246,0.014808362369337979,0.0,0.03397212543554007,0.0,0.028745644599303136,0.06010452961672474,0.0,0.0,0.023519163763066203,0.0,0.0,0.016550522648083623,0.0,0.0,0.0,0.0,0.0,0.028745644599303136,0.0,0.03571428571428571,0.0,0.0,0.06010452961672474,0.0,0.03484320557491289,0.0313588850174216,0.0,0.059233449477351915,0.0,0.033101045296167246,0.025261324041811847,0.0,0.0,0.0,0.0,0.05836236933797909,0.025261324041811847,0.05749128919860627,0.05836236933797909,0.03484320557491289,0.029616724738675958
FC1,0.0,0.0,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.030534351145038167,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.0,0.03816793893129771,0.030534351145038167,0.0,0.03816793893129771,0.0,0.03816793893129771,0.03816793893129771,0.0,0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816793893129771,0.0,0.03816793893129771,0.0,0.0,0.03816793893129771,0.0,0.03816793893129771,0.03816793893129771,0.0,0.03816793893129771,0.0,0.03816793893129771,0.03816793893129771,0.0,0.0,0.0,0.0,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.03816793893129771
C3,0.0,0.0,0.041349292709466814,0.023939064200217627,0.03373231773667029,0.04352557127312296,0.00544069640914037,0.042437431991294884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04352557127312296,0.0,0.0,0.0,0.0,0.041349292709466814,0.01632208922742111,0.0,0.041349292709466814,0.0,0.035908596300326445,0.04352557127312296,0.0,0.0,0.029379760609358,0.0,0.0,0.020674646354733407,0.0,0.0,0.0,0.0,0.0,0.030467899891186073,0.0,0.04352557127312296,0.0,0.0,0.04352557127312296,0.0,0.03808487486398259,0.03917301414581066,0.0,0.04352557127312296,0.0,0.03917301414581066,0.02720348204570185,0.0,0.0,0.0,0.0,0.042437431991294884,0.031556039173014146,0.04352557127312296,0.041349292709466814,0.03808487486398259,0.035908596300326445
T7,0.0,0.04076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.03940217391304348,0.0,0.04076086956521739,0.0,0.04076086956521739,0.03940217391304348,0.03260869565217391,0.04076086956521739,0.0,0.04076086956521739,0.04076086956521739,0.0,0.036684782608695655,0.0,0.0,0.035326086956521736,0.0,0.04076086956521739,0.0,0.0,0.04076086956521739,0.04076086956521739,0.0,0.0,0.04076086956521739,0.0,0.04076086956521739,0.04076086956521739,0.04076086956521739,0.04076086956521739,0.04076086956521739,0.0,0.03804347826086957,0.0,0.04076086956521739,0.04076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.04076086956521739,0.0,0.0,0.04076086956521739,0.0,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
