,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.07759882869692533,0.008784773060029283,0.0,0.0014641288433382138,0.0014641288433382138,0.0,0.0029282576866764276,0.020497803806734993,0.008784773060029283,0.0,0.013177159590043924,0.008784773060029283,0.0,0.013177159590043924,0.036603221083455345,0.017569546120058566,0.01171303074670571,0.005856515373352855,0.0029282576866764276,0.0014641288433382138,0.0029282576866764276,0.024890190336749635,0.01903367496339678,0.036603221083455345,0.055636896046852125,0.0014641288433382138,0.0,0.004392386530014641,0.010248901903367497,0.0424597364568082,0.0629575402635432,0.0746705710102489,0.021961932650073207,0.05856515373352855,0.0014641288433382138,0.017569546120058566,0.004392386530014641,0.0014641288433382138,0.0,0.007320644216691069,0.005856515373352855,0.005856515373352855,0.0014641288433382138,0.0,0.0,0.021961932650073207,0.016105417276720352,0.02635431918008785,0.0,0.007320644216691069,0.004392386530014641,0.004392386530014641,0.016105417276720352,0.005856515373352855,0.07027818448023426,0.004392386530014641,0.013177159590043924,0.017569546120058566,0.02342606149341142,0.036603221083455345,0.016105417276720352,0.010248901903367497,0.01171303074670571
Fz,0.014184397163120567,0.04964539007092199,0.01773049645390071,0.01773049645390071,0.012411347517730497,0.0,0.010638297872340425,0.012411347517730497,0.008865248226950355,0.0,0.012411347517730497,0.010638297872340425,0.01773049645390071,0.0035460992907801418,0.040780141843971635,0.047872340425531915,0.0017730496453900709,0.040780141843971635,0.024822695035460994,0.014184397163120567,0.015957446808510637,0.012411347517730497,0.04964539007092199,0.03900709219858156,0.026595744680851064,0.014184397163120567,0.026595744680851064,0.03368794326241135,0.0070921985815602835,0.040780141843971635,0.030141843971631204,0.01950354609929078,0.0,0.030141843971631204,0.0,0.03368794326241135,0.0035460992907801418,0.024822695035460994,0.015957446808510637,0.008865248226950355,0.008865248226950355,0.0070921985815602835,0.015957446808510637,0.01950354609929078,0.0,0.0,0.03723404255319149,0.0,0.0,0.008865248226950355,0.012411347517730497,0.005319148936170213,0.008865248226950355,0.010638297872340425,0.02127659574468085,0.015957446808510637,0.0070921985815602835,0.0070921985815602835,0.0,0.0,0.008865248226950355,0.005319148936170213,0.008865248226950355
F3,0.0,0.010938924339106655,0.03555150410209663,0.03646308113035551,0.03190519598906107,0.0,0.02643573381950775,0.0,0.028258887876025523,0.0,0.0,0.0,0.03646308113035551,0.020966271649954422,0.0036463081130355514,0.007292616226071103,0.018231540565177756,0.01731996353691887,0.015496809480401094,0.03372835004557885,0.03555150410209663,0.0,0.008204193254329991,0.0027347310847766638,0.0,0.009115770282588878,0.024612579762989972,0.018231540565177756,0.02643573381950775,0.0036463081130355514,0.0,0.0,0.013673655423883319,0.0,0.013673655423883319,0.0,0.019143117593436645,0.020054694621695533,0.020966271649954422,0.0300820419325433,0.02643573381950775,0.0,0.03555150410209663,0.024612579762989972,0.009115770282588878,0.019143117593436645,0.0018231540565177757,0.0,0.0,0.0,0.032816773017319965,0.020054694621695533,0.03190519598906107,0.03190519598906107,0.0,0.03555150410209663,0.02917046490428441,0.02917046490428441,0.015496809480401094,0.0054694621695533276,0.03190519598906107,0.020054694621695533,0.03099361896080219
F7,0.0,0.008620689655172414,0.029454022988505746,0.042385057471264365,0.03089080459770115,0.0,0.02514367816091954,0.0,0.03089080459770115,0.0,0.0,0.0,0.039511494252873564,0.02442528735632184,0.0028735632183908046,0.005747126436781609,0.016522988505747127,0.013649425287356323,0.01221264367816092,0.033045977011494254,0.039511494252873564,0.0,0.00646551724137931,0.0021551724137931034,0.0,0.007183908045977011,0.01939655172413793,0.014367816091954023,0.029454022988505746,0.0028735632183908046,0.0,0.0,0.01293103448275862,0.0,0.01293103448275862,0.0,0.017241379310344827,0.015804597701149427,0.016522988505747127,0.032327586206896554,0.027298850574712645,0.0,0.039511494252873564,0.01939655172413793,0.007183908045977011,0.023706896551724137,0.0014367816091954023,0.0,0.0,0.0,0.033764367816091954,0.017959770114942528,0.034482758620689655,0.033764367816091954,0.0,0.040229885057471264,0.031609195402298854,0.031609195402298854,0.01939655172413793,0.00646551724137931,0.034482758620689655,0.020114942528735632,0.033045977011494254
FT9,0.0,0.007383100902378999,0.03199343724364233,0.03609515996718622,0.034454470877768664,0.0,0.02871205906480722,0.0,0.031173092698933553,0.0,0.0,0.0,0.03609515996718622,0.02461033634126333,0.0008203445447087777,0.004101722723543888,0.018867924528301886,0.013125512715340444,0.011484823625922888,0.03609515996718622,0.03609515996718622,0.0,0.004922067268252666,0.0,0.0,0.008203445447087777,0.019688269073010665,0.01394585726004922,0.029532403609515995,0.0008203445447087777,0.0,0.0,0.014766201804757998,0.0,0.014766201804757998,0.0,0.019688269073010665,0.015586546349466776,0.01804757998359311,0.03281378178835111,0.029532403609515995,0.0,0.03609515996718622,0.019688269073010665,0.008203445447087777,0.022969647251845776,0.0,0.0,0.0,0.0,0.03527481542247744,0.020508613617719443,0.033634126333059886,0.034454470877768664,0.0,0.03609515996718622,0.03199343724364233,0.03199343724364233,0.01804757998359311,0.007383100902378999,0.033634126333059886,0.022969647251845776,0.033634126333059886
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.007246376811594203,0.029891304347826088,0.03351449275362319,0.03351449275362319,0.0,0.03170289855072464,0.0,0.03170289855072464,0.0,0.0,0.0,0.03260869565217391,0.026268115942028984,0.0,0.0036231884057971015,0.021739130434782608,0.01358695652173913,0.01177536231884058,0.03351449275362319,0.03351449275362319,0.0,0.004528985507246377,0.0,0.0,0.009057971014492754,0.020833333333333332,0.014492753623188406,0.030797101449275364,0.0,0.0,0.0,0.017210144927536232,0.0,0.017210144927536232,0.0,0.022644927536231884,0.016304347826086956,0.019021739130434784,0.03170289855072464,0.03170289855072464,0.0,0.03351449275362319,0.020833333333333332,0.009057971014492754,0.024456521739130436,0.0,0.0,0.0,0.0,0.03351449275362319,0.02355072463768116,0.03170289855072464,0.03260869565217391,0.0,0.03351449275362319,0.030797101449275364,0.030797101449275364,0.019021739130434784,0.009057971014492754,0.03170289855072464,0.024456521739130436,0.03170289855072464
C3,0.060240963855421686,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.05622489959839357,0.0,0.0,0.03614457831325301,0.024096385542168676,0.0,0.0,0.04819277108433735,0.0321285140562249,0.0,0.01606425702811245,0.008032128514056224,0.0,0.0,0.060240963855421686,0.0321285140562249,0.04819277108433735,0.060240963855421686,0.004016064257028112,0.0,0.012048192771084338,0.0,0.05220883534136546,0.060240963855421686,0.060240963855421686,0.004016064257028112,0.060240963855421686,0.0,0.040160642570281124,0.0,0.004016064257028112,0.0,0.0,0.0,0.01606425702811245,0.0,0.0,0.0,0.004016064257028112,0.03614457831325301,0.024096385542168676,0.0,0.020080321285140562,0.0,0.0,0.0,0.0,0.060240963855421686,0.0,0.0,0.0,0.008032128514056224,0.028112449799196786,0.0,0.0,0.0
T7,0.0029806259314456036,0.005216095380029807,0.02608047690014903,0.03353204172876304,0.03129657228017884,0.0,0.027570789865871834,0.0,0.03502235469448584,0.0,0.0,0.0,0.03204172876304024,0.029061102831594635,0.0,0.0022354694485842027,0.020864381520119227,0.010432190760059613,0.00894187779433681,0.03204172876304024,0.03427719821162444,0.0,0.0029806259314456036,0.0,0.0,0.0067064083457526085,0.01639344262295082,0.011177347242921014,0.03353204172876304,0.0,0.0,0.0014903129657228018,0.01713859910581222,0.0,0.014157973174366617,0.0,0.020119225037257823,0.012667660208643815,0.014903129657228018,0.03576751117734724,0.03129657228017884,0.0,0.03353204172876304,0.01639344262295082,0.007451564828614009,0.027570789865871834,0.0,0.0022354694485842027,0.0,0.0,0.03502235469448584,0.020864381520119227,0.03576751117734724,0.03576751117734724,0.0007451564828614009,0.03502235469448584,0.03502235469448584,0.03502235469448584,0.023099850968703428,0.010432190760059613,0.03576751117734724,0.02459016393442623,0.03576751117734724
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
