,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.08609271523178808,0.002207505518763797,0.0,0.002207505518763797,0.002207505518763797,0.0,0.0,0.07947019867549669,0.0,0.0,0.033112582781456956,0.002207505518763797,0.0,0.059602649006622516,0.002207505518763797,0.002207505518763797,0.0,0.002207505518763797,0.0,0.0,0.0,0.02869757174392936,0.0,0.011037527593818985,0.052980132450331126,0.002207505518763797,0.002207505518763797,0.002207505518763797,0.0,0.004415011037527594,0.0,0.0772626931567329,0.09271523178807947,0.0,0.033112582781456956,0.01545253863134658,0.002207505518763797,0.08388520971302428,0.006622516556291391,0.004415011037527594,0.002207505518763797,0.008830022075055188,0.002207505518763797,0.0,0.024282560706401765,0.0,0.0,0.06181015452538632,0.0,0.03532008830022075,0.0,0.0728476821192053,0.0,0.002207505518763797,0.05739514348785872,0.0,0.002207505518763797,0.0,0.03090507726269316,0.0,0.006622516556291391,0.0,0.0
Fz,0.0,0.028277634961439587,0.030848329048843187,0.030848329048843187,0.030848329048843187,0.0,0.030848329048843187,0.0,0.0,0.030848329048843187,0.0,0.0,0.028277634961439587,0.0,0.030848329048843187,0.028277634961439587,0.002570694087403599,0.02956298200514139,0.02956298200514139,0.008997429305912597,0.02442159383033419,0.0,0.010282776349614395,0.0,0.0,0.02956298200514139,0.02313624678663239,0.02956298200514139,0.02442159383033419,0.008997429305912597,0.02442159383033419,0.0,0.0,0.028277634961439587,0.0,0.0,0.030848329048843187,0.0,0.010282776349614395,0.008997429305912597,0.030848329048843187,0.0,0.02956298200514139,0.028277634961439587,0.0,0.02442159383033419,0.02570694087403599,0.0,0.007712082262210797,0.0,0.028277634961439587,0.0,0.02956298200514139,0.02956298200514139,0.0,0.02956298200514139,0.02956298200514139,0.02956298200514139,0.0,0.030848329048843187,0.0,0.02442159383033419,0.028277634961439587
F3,0.0,0.023529411764705882,0.0374331550802139,0.0374331550802139,0.0374331550802139,0.0,0.0374331550802139,0.0,0.0,0.0374331550802139,0.0,0.0,0.02459893048128342,0.0,0.038502673796791446,0.023529411764705882,0.0021390374331550803,0.029946524064171122,0.026737967914438502,0.006417112299465241,0.019251336898395723,0.0,0.008556149732620321,0.0,0.0,0.025668449197860963,0.01818181818181818,0.03529411764705882,0.019251336898395723,0.006417112299465241,0.022459893048128343,0.0,0.0,0.02459893048128342,0.0,0.0,0.038502673796791446,0.0,0.0074866310160427805,0.006417112299465241,0.039572192513368985,0.0,0.03529411764705882,0.02459893048128342,0.0,0.019251336898395723,0.023529411764705882,0.0,0.006417112299465241,0.0,0.033155080213903745,0.0,0.027807486631016044,0.031016042780748664,0.0,0.026737967914438502,0.03208556149732621,0.026737967914438502,0.0,0.0374331550802139,0.0,0.019251336898395723,0.022459893048128343
F7,0.0,0.022885572139303482,0.03681592039800995,0.041791044776119404,0.04079601990049751,0.0,0.03681592039800995,0.0,0.0,0.03681592039800995,0.0,0.0,0.023880597014925373,0.0,0.04477611940298507,0.022885572139303482,0.001990049751243781,0.028855721393034824,0.025870646766169153,0.006965174129353234,0.01890547263681592,0.0,0.007960199004975124,0.0,0.0,0.024875621890547265,0.01791044776119403,0.03383084577114428,0.01890547263681592,0.006965174129353234,0.020895522388059702,0.0,0.0,0.023880597014925373,0.0,0.0,0.042786069651741296,0.0,0.007960199004975124,0.006965174129353234,0.04477611940298507,0.0,0.03383084577114428,0.023880597014925373,0.0,0.01890547263681592,0.021890547263681594,0.0,0.005970149253731343,0.0,0.030845771144278607,0.0,0.026865671641791045,0.029850746268656716,0.0,0.025870646766169153,0.030845771144278607,0.025870646766169153,0.0,0.03681592039800995,0.0,0.01890547263681592,0.021890547263681594
FT9,0.0,0.023046092184368736,0.03707414829659319,0.041082164328657314,0.04008016032064128,0.0,0.03707414829659319,0.0,0.0,0.03707414829659319,0.0,0.0,0.02404809619238477,0.0,0.04308617234468938,0.023046092184368736,0.002004008016032064,0.02905811623246493,0.026052104208416832,0.0070140280561122245,0.01903807615230461,0.0,0.008016032064128256,0.0,0.0,0.025050100200400802,0.018036072144288578,0.03406813627254509,0.01903807615230461,0.0070140280561122245,0.021042084168336674,0.0,0.0,0.02404809619238477,0.0,0.0,0.04208416833667335,0.0,0.008016032064128256,0.0070140280561122245,0.04308617234468938,0.0,0.03406813627254509,0.02404809619238477,0.0,0.01903807615230461,0.022044088176352707,0.0,0.006012024048096192,0.0,0.031062124248496994,0.0,0.027054108216432865,0.03006012024048096,0.0,0.026052104208416832,0.031062124248496994,0.026052104208416832,0.0,0.03707414829659319,0.0,0.01903807615230461,0.022044088176352707
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.023529411764705882,0.0374331550802139,0.0374331550802139,0.0374331550802139,0.0,0.0374331550802139,0.0,0.0,0.0374331550802139,0.0,0.0,0.02459893048128342,0.0,0.038502673796791446,0.023529411764705882,0.0021390374331550803,0.029946524064171122,0.026737967914438502,0.006417112299465241,0.019251336898395723,0.0,0.008556149732620321,0.0,0.0,0.025668449197860963,0.01818181818181818,0.03529411764705882,0.019251336898395723,0.006417112299465241,0.022459893048128343,0.0,0.0,0.02459893048128342,0.0,0.0,0.038502673796791446,0.0,0.0074866310160427805,0.006417112299465241,0.039572192513368985,0.0,0.03529411764705882,0.02459893048128342,0.0,0.019251336898395723,0.023529411764705882,0.0,0.006417112299465241,0.0,0.033155080213903745,0.0,0.027807486631016044,0.031016042780748664,0.0,0.026737967914438502,0.03208556149732621,0.026737967914438502,0.0,0.0374331550802139,0.0,0.019251336898395723,0.022459893048128343
C3,0.08158508158508158,0.002331002331002331,0.0,0.002331002331002331,0.002331002331002331,0.0,0.0,0.07692307692307693,0.0,0.0,0.03496503496503497,0.002331002331002331,0.0,0.05827505827505827,0.002331002331002331,0.002331002331002331,0.0,0.002331002331002331,0.0,0.0,0.0,0.030303030303030304,0.0,0.011655011655011656,0.055944055944055944,0.002331002331002331,0.002331002331002331,0.002331002331002331,0.0,0.004662004662004662,0.0,0.07459207459207459,0.08391608391608392,0.0,0.03496503496503497,0.016317016317016316,0.002331002331002331,0.08158508158508158,0.006993006993006993,0.004662004662004662,0.002331002331002331,0.009324009324009324,0.002331002331002331,0.0,0.02564102564102564,0.0,0.0,0.06293706293706294,0.0,0.037296037296037296,0.0,0.07459207459207459,0.0,0.002331002331002331,0.05827505827505827,0.0,0.002331002331002331,0.0,0.03263403263403263,0.0,0.006993006993006993,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.023529411764705882,0.0374331550802139,0.0374331550802139,0.0374331550802139,0.0,0.0374331550802139,0.0,0.0,0.0374331550802139,0.0,0.0,0.02459893048128342,0.0,0.038502673796791446,0.023529411764705882,0.0021390374331550803,0.029946524064171122,0.026737967914438502,0.006417112299465241,0.019251336898395723,0.0,0.008556149732620321,0.0,0.0,0.025668449197860963,0.01818181818181818,0.03529411764705882,0.019251336898395723,0.006417112299465241,0.022459893048128343,0.0,0.0,0.02459893048128342,0.0,0.0,0.038502673796791446,0.0,0.0074866310160427805,0.006417112299465241,0.039572192513368985,0.0,0.03529411764705882,0.02459893048128342,0.0,0.019251336898395723,0.023529411764705882,0.0,0.006417112299465241,0.0,0.033155080213903745,0.0,0.027807486631016044,0.031016042780748664,0.0,0.026737967914438502,0.03208556149732621,0.026737967914438502,0.0,0.0374331550802139,0.0,0.019251336898395723,0.022459893048128343
