,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.05319148936170213,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0,0.06382978723404255,0.0,0.05319148936170213
caudalmiddlefrontal-rh,0.03355704697986577,0.06711409395973154,0.026845637583892617,0.0738255033557047,0.0738255033557047,0.04697986577181208,0.0738255033557047,0.0738255033557047,0.0738255033557047,0.0738255033557047,0.0738255033557047,0.013422818791946308,0.053691275167785234,0.0738255033557047,0.06040268456375839,0.0,0.0738255033557047,0.0,0.03355704697986577
inferiorparietal-rh,0.06172839506172839,0.06172839506172839,0.04938271604938271,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.024691358024691357,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.0,0.06172839506172839,0.0,0.06172839506172839
parsopercularis-lh,0.02824858757062147,0.05649717514124294,0.022598870056497175,0.096045197740113,0.07344632768361582,0.03954802259887006,0.07909604519774012,0.07344632768361582,0.07909604519774012,0.07909604519774012,0.1016949152542373,0.011299435028248588,0.04519774011299435,0.062146892655367235,0.05084745762711865,0.0,0.07344632768361582,0.0,0.02824858757062147
parstriangularis-rh,0.029411764705882353,0.058823529411764705,0.023529411764705882,0.08235294117647059,0.07647058823529412,0.041176470588235294,0.08235294117647059,0.07647058823529412,0.08235294117647059,0.08235294117647059,0.08235294117647059,0.011764705882352941,0.047058823529411764,0.06470588235294118,0.052941176470588235,0.0,0.07647058823529412,0.0,0.029411764705882353
postcentral-lh,0.04201680672268908,0.06722689075630252,0.03361344537815126,0.06722689075630252,0.06722689075630252,0.058823529411764705,0.06722689075630252,0.06722689075630252,0.06722689075630252,0.06722689075630252,0.06722689075630252,0.01680672268907563,0.06722689075630252,0.06722689075630252,0.06722689075630252,0.0,0.06722689075630252,0.0,0.04201680672268908
postcentral-rh,0.029069767441860465,0.05813953488372093,0.023255813953488372,0.0872093023255814,0.0755813953488372,0.040697674418604654,0.08139534883720931,0.0755813953488372,0.08139534883720931,0.08139534883720931,0.0872093023255814,0.011627906976744186,0.046511627906976744,0.06395348837209303,0.05232558139534884,0.0,0.0755813953488372,0.0,0.029069767441860465
precentral-lh,0.029411764705882353,0.058823529411764705,0.023529411764705882,0.08235294117647059,0.07647058823529412,0.041176470588235294,0.08235294117647059,0.07647058823529412,0.08235294117647059,0.08235294117647059,0.08235294117647059,0.011764705882352941,0.047058823529411764,0.06470588235294118,0.052941176470588235,0.0,0.07647058823529412,0.0,0.029411764705882353
precentral-rh,0.029069767441860465,0.05813953488372093,0.023255813953488372,0.0872093023255814,0.0755813953488372,0.040697674418604654,0.08139534883720931,0.0755813953488372,0.08139534883720931,0.08139534883720931,0.0872093023255814,0.011627906976744186,0.046511627906976744,0.06395348837209303,0.05232558139534884,0.0,0.0755813953488372,0.0,0.029069767441860465
rostralmiddlefrontal-lh,0.029069767441860465,0.05813953488372093,0.023255813953488372,0.0872093023255814,0.0755813953488372,0.040697674418604654,0.08139534883720931,0.0755813953488372,0.08139534883720931,0.08139534883720931,0.0872093023255814,0.011627906976744186,0.046511627906976744,0.06395348837209303,0.05232558139534884,0.0,0.0755813953488372,0.0,0.029069767441860465
rostralmiddlefrontal-rh,0.028089887640449437,0.056179775280898875,0.02247191011235955,0.09550561797752809,0.07303370786516854,0.03932584269662921,0.07865168539325842,0.07303370786516854,0.07865168539325842,0.07865168539325842,0.10674157303370786,0.011235955056179775,0.0449438202247191,0.06179775280898876,0.05056179775280899,0.0,0.07303370786516854,0.0,0.028089887640449437
superiorfrontal-lh,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.06,0.06,0.06,0.0,0.06,0.0,0.06
superiorfrontal-rh,0.038461538461538464,0.06923076923076923,0.03076923076923077,0.06923076923076923,0.06923076923076923,0.05384615384615385,0.06923076923076923,0.06923076923076923,0.06923076923076923,0.06923076923076923,0.06923076923076923,0.015384615384615385,0.06153846153846154,0.06923076923076923,0.06923076923076923,0.0,0.06923076923076923,0.0,0.038461538461538464
superiorparietal-lh,0.03184713375796178,0.06369426751592357,0.025477707006369428,0.07643312101910828,0.07643312101910828,0.044585987261146494,0.07643312101910828,0.07643312101910828,0.07643312101910828,0.07643312101910828,0.07643312101910828,0.012738853503184714,0.050955414012738856,0.07006369426751592,0.05732484076433121,0.0,0.07643312101910828,0.0,0.03184713375796178
superiorparietal-rh,0.03571428571428571,0.07142857142857142,0.02857142857142857,0.07142857142857142,0.07142857142857142,0.05,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.014285714285714285,0.05714285714285714,0.07142857142857142,0.06428571428571428,0.0,0.07142857142857142,0.0,0.03571428571428571
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-rh,0.029411764705882353,0.058823529411764705,0.023529411764705882,0.08235294117647059,0.07647058823529412,0.041176470588235294,0.08235294117647059,0.07647058823529412,0.08235294117647059,0.08235294117647059,0.08235294117647059,0.011764705882352941,0.047058823529411764,0.06470588235294118,0.052941176470588235,0.0,0.07647058823529412,0.0,0.029411764705882353
supramarginal-lh,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705
supramarginal-rh,0.05319148936170213,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0,0.06382978723404255,0.0,0.05319148936170213
