,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.061046511627906974,0.0,0.0,0.0,0.0,0.04941860465116279,0.0,0.020348837209302327,0.0,0.061046511627906974,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.02616279069767442,0.0,0.04941860465116279,0.0,0.0,0.03488372093023256,0.01744186046511628,0.0,0.02616279069767442,0.0,0.0,0.06395348837209303,0.06395348837209303,0.0,0.0,0.0,0.02616279069767442,0.0,0.0,0.0,0.0,0.0,0.0,0.03197674418604651,0.0,0.040697674418604654,0.03197674418604651,0.04941860465116279,0.0,0.061046511627906974,0.0,0.0,0.0436046511627907,0.0,0.014534883720930232,0.0,0.0,0.040697674418604654,0.02616279069767442,0.03197674418604651,0.04941860465116279,0.055232558139534885,0.0,0.0
Fz,0.0,0.05234159779614325,0.05096418732782369,0.03581267217630854,0.0,0.0,0.0,0.0,0.03994490358126722,0.0,0.03994490358126722,0.0371900826446281,0.0,0.05234159779614325,0.045454545454545456,0.049586776859504134,0.0,0.045454545454545456,0.05371900826446281,0.0,0.05371900826446281,0.0,0.0,0.0,0.0,0.0,0.026170798898071626,0.0,0.0,0.011019283746556474,0.0,0.0,0.0,0.0,0.04132231404958678,0.0,0.0,0.04132231404958678,0.0,0.028925619834710745,0.0,0.048209366391184574,0.0,0.0,0.0,0.0,0.0,0.0371900826446281,0.0,0.05234159779614325,0.03856749311294766,0.0,0.05371900826446281,0.0,0.0,0.05371900826446281,0.0,0.0,0.0,0.0,0.0,0.011019283746556474,0.0
F3,0.0,0.050724637681159424,0.05217391304347826,0.03768115942028986,0.0,0.0,0.0,0.0,0.042028985507246375,0.0,0.0391304347826087,0.0391304347826087,0.0,0.050724637681159424,0.043478260869565216,0.04782608695652174,0.0,0.043478260869565216,0.0536231884057971,0.0,0.05217391304347826,0.0,0.0,0.0,0.0,0.0,0.02753623188405797,0.0,0.0,0.011594202898550725,0.0,0.0,0.0,0.0,0.0391304347826087,0.0,0.0,0.04492753623188406,0.0,0.030434782608695653,0.0,0.04927536231884058,0.0,0.0,0.0,0.0,0.0,0.0391304347826087,0.0,0.050724637681159424,0.036231884057971016,0.0,0.0536231884057971,0.0,0.0,0.0536231884057971,0.0,0.0,0.0,0.0,0.0,0.011594202898550725,0.0
F7,0.0,0.049429657794676805,0.049429657794676805,0.04752851711026616,0.0,0.0,0.0,0.0,0.049429657794676805,0.0,0.034220532319391636,0.039923954372623575,0.0,0.049429657794676805,0.039923954372623575,0.045627376425855515,0.0,0.039923954372623575,0.049429657794676805,0.0,0.049429657794676805,0.0,0.0,0.0,0.0,0.0,0.03612167300380228,0.0,0.0,0.015209125475285171,0.0,0.0,0.0,0.0,0.034220532319391636,0.0,0.0,0.049429657794676805,0.0,0.03231939163498099,0.0,0.04752851711026616,0.0,0.0,0.0,0.0,0.0,0.04752851711026616,0.0,0.049429657794676805,0.030418250950570342,0.0,0.049429657794676805,0.0,0.0,0.049429657794676805,0.0,0.0,0.0,0.0,0.0,0.015209125475285171,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.02540106951871658,0.0,0.0,0.0,0.0,0.04679144385026738,0.0,0.03342245989304813,0.0,0.0481283422459893,0.0,0.0,0.0,0.0,0.0,0.0,0.03208556149732621,0.0,0.0,0.03609625668449198,0.0,0.04679144385026738,0.016042780748663103,0.0,0.040106951871657755,0.017379679144385027,0.0,0.03609625668449198,0.02406417112299465,0.0,0.0481283422459893,0.034759358288770054,0.0,0.0,0.0,0.03609625668449198,0.0,0.0,0.0,0.0,0.0,0.0,0.03877005347593583,0.0,0.0427807486631016,0.026737967914438502,0.04679144385026738,0.0,0.0481283422459893,0.0,0.0,0.04411764705882353,0.0,0.03074866310160428,0.0,0.0,0.0427807486631016,0.02406417112299465,0.03877005347593583,0.04679144385026738,0.0481283422459893,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.013215859030837005,0.0,0.0,0.0,0.0,0.039647577092511016,0.0,0.042584434654919234,0.0,0.042584434654919234,0.0,0.0,0.0,0.0,0.0,0.0,0.03524229074889868,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.023494860499265784,0.0,0.04405286343612335,0.01908957415565345,0.0,0.04405286343612335,0.032305433186490456,0.0,0.0381791483113069,0.023494860499265784,0.0,0.0,0.0,0.04405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.024963289280469897,0.042584434654919234,0.0,0.042584434654919234,0.0,0.0,0.042584434654919234,0.0,0.039647577092511016,0.0,0.0,0.042584434654919234,0.024963289280469897,0.041116005873715125,0.042584434654919234,0.0381791483113069,0.0,0.0
T7,0.0,0.04886561954624782,0.0506108202443281,0.04537521815008726,0.0,0.0,0.0,0.0,0.04886561954624782,0.0,0.034904013961605584,0.04013961605584642,0.0,0.04886561954624782,0.04013961605584642,0.04537521815008726,0.0,0.04013961605584642,0.0506108202443281,0.0,0.0506108202443281,0.0,0.0,0.0,0.0,0.0,0.03315881326352531,0.0,0.0,0.013961605584642234,0.0,0.0,0.0,0.0,0.034904013961605584,0.0,0.0,0.0506108202443281,0.0,0.03315881326352531,0.0,0.04712041884816754,0.0,0.0,0.0,0.0,0.0,0.04712041884816754,0.0,0.04886561954624782,0.031413612565445025,0.0,0.0506108202443281,0.0,0.0,0.0506108202443281,0.0,0.0,0.0,0.0,0.0,0.013961605584642234,0.0
TP9,0.024526198439241916,0.0,0.0,0.0,0.0,0.04013377926421405,0.0,0.030100334448160536,0.0,0.07469342251950947,0.0,0.0,0.0,0.0,0.0,0.0,0.026755852842809364,0.0,0.0,0.032329988851727984,0.0,0.06020066889632107,0.01560758082497213,0.0,0.03567447045707915,0.014492753623188406,0.0,0.032329988851727984,0.022296544035674472,0.0,0.0713489409141583,0.033444816053511704,0.0,0.0,0.0,0.032329988851727984,0.0,0.0,0.0,0.0,0.0,0.0,0.03455964325529543,0.0,0.0379041248606466,0.022296544035674472,0.04124860646599777,0.0,0.0758082497212932,0.0,0.0,0.03901895206243032,0.0,0.027870680044593088,0.0,0.0,0.0379041248606466,0.020066889632107024,0.03455964325529543,0.04124860646599777,0.04124860646599777,0.0,0.0
