,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.05528987141890371,0.007168458781362007,0.027790310048374567,0.00016291951775822744,0.0,-0.002097902097902098,-0.035431235431235435,0.005213424568263278,0.0,0.0,-0.03006993006993007,0.0,0.017432388400130335,0.0,0.0,0.0,0.0,0.0,0.0,0.044965786901270774,0.008634734441186055,-0.011771561771561771,-0.01783216783216783,0.0,-0.024941724941724943,0.0,-0.00011655011655011655,-0.02163947163947164,0.0,0.020853698273053112,0.04770910093490739,0.10232473619570394,0.0,0.0930784269493947,-0.0297979797979798,0.019423766197959748,0.011404366243075921,-0.0017482517482517483,0.0,0.0,0.0,-0.01038674587061684,-0.02296037296037296,0.01094317868511417,-0.007990575732511218,-0.030652680652680654,0.005945309171115623,0.0,-0.01853146853146853,-0.04836829836829837,0.0,0.0,0.0,0.012695190114544954,0.0,0.020853698273053112,-0.0021956538085570344,-0.00010151139183397356,-0.1155011655011655,-0.07975411685089104,0.0,0.0
Fz,0.003356777493606138,-0.07325544636938827,-0.0027055130334509604,0.028945524354973454,-0.029834463542307336,-0.017593413491500405,-0.006154547526783679,0.024047923794843752,-0.00431767859818331,0.0,0.0,0.002637468030690537,-0.014017270568647077,0.005109915543307739,0.0152653452685422,-0.0210069771360046,-0.03194128986070796,0.008143246991663931,0.007716175785583656,-0.0075869176076492,0.04738364322746175,0.006713554987212276,0.001589028441973117,0.01750319693094629,0.0,0.025651617893368978,-0.029207356424497632,-0.027467517665830863,-0.018463642580351037,0.02948469218809118,-0.035217688625484384,-0.014132664691132892,0.057350860657242944,0.0,0.0,-0.0016296732615603995,0.00959079283887468,0.032251199778233416,0.007489195145853507,7.992327365728901e-05,0.0,-0.0182697462043459,0.00513828129144642,-0.02290331029191689,0.02389705882352941,-0.013904718486437201,0.04555626598465473,-0.015302182482888001,0.0,0.0073141728321937,-0.021802912377129124,0.0,-0.022942643400607584,-0.014395116179691567,0.0019181585677749361,0.011508951406649617,0.010709718670076727,0.008988863282996674,0.0,0.021854524557268423,0.0032863459057422047,-0.00642973354196338
F3,0.034742830565695965,0.019477916957689814,0.13888089266679438,0.0,0.00836690424542919,-0.026008122467293504,-0.014288989073126004,0.00046482801363495507,-0.026411136796631367,0.0,-0.015717736435684915,0.012395413696932134,0.02912922218779052,0.0,0.0,0.00022052129548316875,-0.02750821425842439,-0.027997182877744428,0.0,0.049980430599736704,0.0010845986984815619,0.0,-0.014717789689458517,0.0037186241090796405,0.0,0.009606445615122404,-0.03350694758107224,-0.016046458317414226,0.0,-0.02318300859384251,0.010156162369690159,0.06135729779981407,0.0,-0.0007432796591019704,0.0,-0.008923689142024408,0.0,-0.020452906177293298,-0.02410183153911054,0.00836690424542919,0.0,-0.02196877993378868,0.006042764177254416,0.03721861010302936,0.004183452122714595,-0.024451746007488347,0.0,-0.039950962012016124,0.014311945735422892,-0.0014518224191946206,-0.04273993009382586,0.0,0.01193058568329718,-0.005730877970505081,0.0,0.0,0.0,-0.022235806525559714,-0.010086345228088944,-0.004508290670130664,0.0,-0.00890449741970194
FT9,0.0,0.01846261062929519,0.0,-0.13066632533050598,-0.0004563084645220169,0.018845988257164614,-0.012320328542094456,0.02183984116479153,0.03403611610097381,0.0,0.0,0.0,-0.007985398129135296,-0.0023563498178810673,-0.008192154138988918,0.02155620686395008,0.0030763396036811927,0.0,-0.03965416330998231,0.029108355701701966,0.011782353071489412,0.0,0.012952633071759478,0.01437080457596672,-0.00161806800324882,-0.08651659394398811,-0.019393109742185718,-0.003908130787402167,-0.04130277555005457,0.030065235889193534,0.0,0.0,0.04234296212357167,0.0,-0.0174384295810062,0.0,0.008319939491349154,0.02335255743594592,0.005861775550723268,0.006523588919353313,0.0018908953389429894,0.0,0.0,-0.026465890942276978,0.015599886546279664,-0.0018252338580880675,0.027796161482461945,0.011629006334499386,-0.015514487793748574,0.010305379597239293,0.0056726860168289685,0.0,0.0,0.003214522076203082,0.0066181336863004635,0.009549021461662097,0.01673442374964546,0.022757440946029217,0.0,0.06608679209605749,-0.09225660239240323,0.007518692544451627
FC5,0.0,-0.030803560342411565,0.008558262014483212,-0.0005132152938157557,0.005342642160045125,0.0,0.0,0.02253488993998355,0.0,0.0,-0.0016679497049012061,0.025016458196181698,0.004423272201925045,0.008229098090849244,0.0,0.0,0.0,0.0,-0.0016679497049012061,0.02427577601852035,-0.0191172696946369,0.01091452498951355,0.017909321716220325,0.01991441737985517,-0.005956878765810131,0.0,-0.00011681645018880643,-0.02874005645368232,0.0,0.0,-0.03515524762637927,0.008785602199358969,0.0,-0.009494482935591481,0.025560630271627388,0.0,-0.017808004773341456,0.0,0.0,0.0,0.0,0.0027978933508887426,-0.006717030351836285,-0.04604341923016692,-0.036079981174222404,0.0016458196181698486,-0.02879436807875202,0.026497695852534562,-0.0006230210676736354,-0.01565234850055148,0.008558262014483212,0.0,0.002468729427254773,0.0494992603314141,0.0,0.016762315942294867,-0.03481919972538421,0.04842337491255659,-0.018347446753913265,0.0,0.0,0.0
FC1,-0.0013589008002415823,0.005087980481022509,-0.031713600787920224,0.042851125448002965,0.0,0.06300400525995041,-0.016155820625094366,0.0,0.018321270476001322,0.0,0.023202008081329495,0.0,0.0,0.0,0.03318197694725812,0.005556390867341405,-0.02604611726191817,-0.04325151256623303,-0.0008610977522753079,-0.009892995065988196,0.00209570380719525,0.0,-0.003548240978408576,-0.0021138456892646836,-0.0018118677336554432,0.054302458961594885,-0.020164148170868472,-0.0178921938698475,0.0,-0.02916418292522976,0.0,0.0,0.07276749330539062,-0.0013589008002415823,0.020724182093375246,-0.009896897680154296,0.0,-0.02638753447375103,-0.04174822383151733,-0.003932833056871795,0.0,-0.040774143641199134,0.0,-0.05612943614063664,-0.0013589008002415823,0.0007262378217562579,0.001047851903597625,-0.04855007599813708,0.0075633980989733545,0.014669926650366748,-0.05360820675459186,0.0,0.02846848042242177,-0.01200362373546731,0.0,0.0,0.016323685772265905,-0.004680201249022874,0.03252164408274829,0.03318197694725812,0.0030628928950219465,0.025742812065905594
C3,-0.037676805607710605,-0.007009638252597321,-0.02365752910251596,-0.006508949805983227,0.0,-0.02678683189385405,0.41044691401171657,0.0,-0.002753786456377519,0.0,-0.057203655025660285,-0.016522718738265114,0.018151815181518153,0.0,-0.01764926774314683,0.0,-0.0010013768932281887,-0.012517211165352359,-0.010889973713856553,-0.010514457378895982,0.0,0.0,-0.010389285267242459,0.0,-0.031167855801727377,-0.00938790837401427,-0.03367129803479785,-0.01739892351983978,0.0,0.0,0.01846040781321842,0.0,-0.004005507572912755,0.03828382838283828,-0.027788208787082238,0.0,0.0,0.0,0.0,0.0,0.0,0.025777895100813124,-0.016898235073225687,-0.0355488797096007,0.06261716295549946,0.002315436200022558,-0.002378270121416948,-0.0017524095631493302,-0.04656402553511078,0.018930980593365385,-0.008261359369132557,0.0,0.0,-0.007259982475904369,-0.011891350607084742,0.0,0.0,-0.015896858179997496,-0.01944307085609049,-0.05482538490424334,-0.004130679684566279,-0.005632745024408562
T7,0.003066015138449746,0.029514509029262115,9.581297307655457e-05,0.021941170834530996,-0.0011624247077032523,0.0,0.0,-0.06082782847492457,0.0,0.0,0.0,-0.03151418665453073,-0.024136615149780577,0.014563571907636293,0.0,0.0,0.0,0.0,-0.009063155886281244,0.03692172387227664,0.006743105346171943,0.020096071838121156,-0.0028242066677602613,0.010156175146114783,-0.015103047757474604,0.0,0.0035640012835757417,-0.011257393627170388,0.0,0.02289930056529654,0.0,0.005490955381483437,0.022228609753760658,-0.005437893531768746,0.02491137299990419,0.0019199614510460696,-0.03303356541791157,0.0012455686499952094,0.0,0.0,0.0,0.0,-0.007965584550451509,-0.007149775749928469,-0.03175596770307565,0.0,-0.007201905246728271,0.013988694069176967,-0.030146095862662002,-0.015320148875919676,0.0,0.0,0.0,0.027509867995828982,0.0,-0.027038069998753383,-0.026583712485615026,0.058924978442081055,-0.013451631368059531,0.02098304110376545,0.010376183011882728,0.0038325189230621827
TP9,0.0,0.006057773308439231,-0.03098161143226405,0.031421838177533384,0.0,0.0021233170421652847,-0.0014806040864672786,0.0,0.060052995468707904,0.0,-0.007699141249629849,0.0,0.0,-0.013707916474854968,0.02090091650646497,-0.007049210720550574,-0.02011051791316421,-0.04564094881793207,0.009276268264628369,-0.004799576451858502,0.019551365977131883,0.009005237722571675,-0.006736748593426118,0.0,0.0,0.07707078641878327,-0.012661387719280154,-0.02294936334024282,0.0,-0.03491526000232255,0.0,0.0,0.07183381338919438,0.0,0.009862965872392424,-0.006326781379172433,0.0,-0.02857288685540705,-0.0360156653262528,-0.014319762511983304,0.0,-0.03324727039387067,0.0002618486514794449,-0.053328685396999746,0.011695906432748537,-0.0051821143026354755,0.021820720956620406,-0.05366499717797403,0.0,0.0,-0.047088204743055806,0.0,0.03254239713743157,-0.006810778797749482,0.007638421878937115,0.0,0.01335428122545169,-0.015977213300215978,0.0543964662553955,0.019202234441825956,0.008204591079689273,0.02299250077971762
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,-0.036893482629916735,0.0,-0.027193095046878578,0.0,-0.0015790984783232845,0.0666657980400642,-0.06632213608957795,0.0,-0.015503875968992248,0.0,0.18661463038875387,0.026716597911174797,0.0,0.0,0.043966875386550384,0.0,0.018345671065336338,-0.027849554981337926,0.0,0.037335049887351146,0.0,0.0,0.0,0.008368200836820083,-0.050387596899224806,0.05568072095268748,-0.07866781510192362,0.030122584467237576,0.0,-0.008469710020097616,0.0,0.0,0.04859993562922433,-0.005885730691932242,-0.017944300890037325,-0.031294860752225095,0.0,0.0,0.0,0.0,0.0,-0.024978466838931956,-0.009474590869939707,-0.009320132426745897,-0.013924777490668963,-0.005777891623306955,-0.008756818834338214,-0.034453057708871665,-0.01640091775020905,-0.013295762460564124,-0.01751363766867643,0.0,0.0,0.0,0.0,0.0,-0.0017226528854435831,-0.013924777490668963,0.06180500053549906,-0.04837783519954063,0.0016092693916961698,8.224230597815574e-05
Pz,0.0,0.00778816199376947,0.01824655095683133,0.0,0.03337783711615487,0.0,-0.02992957746478873,-0.0729088314936347,0.0,0.0,0.010622437898418548,0.008179430947053035,-0.020026408450704226,0.0,0.0,0.0,0.022029372496662217,0.0,0.02914997774810859,0.10836671117044949,0.0,-0.005061619718309859,0.011793502447708056,0.02336448598130841,-0.08912852112676056,0.0,-0.04439301306280048,0.017133956386292833,0.0,0.0,-0.040713028169014086,-0.0049636800554103445,0.0,0.0,0.040275923453493546,-0.008362676056338027,-0.05739920441653033,0.0,0.0,0.0,0.0,0.0,-0.03102992957746479,0.08086251151770435,-0.030809859154929578,0.0,-0.052048662692666905,0.0,-0.0464299621717846,0.015353805073431242,0.0,0.0,-0.005941901408450704,0.012683578104138851,0.0,-0.002217549847370829,0.0020026702269692926,0.025144637294170005,0.0,0.004450378282153983,0.030485091232754783,0.04005340453938585
P3,0.027033855482566954,-0.02432052898002464,0.04749873673572511,-0.00703351261894911,0.00406816045097437,0.0,0.014401212733703891,-0.05233760860570956,0.0,0.0,0.0,-0.01882498965659909,0.12404972944088352,0.0,-0.05980325482104924,0.025012632642748864,-0.034372182220305345,0.0,-0.01726830520632132,0.13794845881758463,0.0,-0.01365328920148945,-0.006143217060057372,0.025012632642748864,0.00267088667667522,0.006772497236707397,-0.025651634257343816,0.026781202627589692,0.00606366851945427,0.00025265285497726126,0.0,0.05987872662961091,-0.0024824162184526274,0.0,0.011622031328954016,0.0,-0.05931833277130181,0.0,0.019454269833249115,0.025012632642748864,0.0,0.00606366851945427,-0.033512618949110465,0.0,-0.029375258585022754,0.0,-0.033512618949110465,-0.002914549814843192,-0.01985932974762102,-0.033512618949110465,0.025012632642748864,0.0,0.00873957271248816,0.00025265285497726126,0.0,-0.033512618949110465,-0.07364501448076127,0.0,-0.02254861398427803,0.0,0.0,0.0
P7,0.0,0.018363297956993492,0.0,0.013611556542799863,0.009875084006403755,0.0,0.0,0.030220844633862844,-0.0374439915643225,0.0,0.0,-0.0001985308715505261,0.0,-0.049984589050710904,-0.02315653778467085,-0.06636700120003104,-0.028786976374826287,-0.004764740917212627,0.001743510267338241,-0.014755743568880483,0.026540100736148778,0.009294260057903944,-0.0018430449235902289,0.018094615921222086,-0.008472906843484522,-0.013897161008536827,0.0,-0.024220766329164187,0.0,0.024602867105772957,-0.003375024816358944,0.0,0.029445951181712515,0.0,-0.02501488981536629,-0.0225493686895201,0.010552750406388305,-0.001052305923381236,0.0,0.012385295731386269,0.0,-0.01627953146714314,0.014968504665629323,0.0,0.03569940441507736,-0.001786777843954735,0.06392870980240217,-0.028353416027094965,0.0,0.0,-0.008744973365249036,0.0,0.007707089967406631,0.007308066760832298,0.015691592406044168,0.020497639436400008,-0.005988694124540006,0.03477067069051283,-0.004764740917212627,0.0,-0.013500099265435776,0.0
O1,0.0,0.019452887537993922,0.00010131712259371833,0.007280278007668372,0.0,0.028470111448834854,-0.016194803681696377,-0.0001165093790050099,0.014429173098586413,0.0,0.011089355611059821,0.0,-0.03787015189069225,-0.014502372152204453,-0.07632086753804349,0.03352665391083739,0.002550457591471371,0.013510696729627769,-0.021366474408484715,-0.003145434514469296,0.0,-0.013377826459102907,-0.0045889113526526425,0.010562336590283966,0.004438263663203611,0.034549457523123925,0.017325227963525838,-0.01841800802958559,-0.015860042842871343,-0.006757543982290575,-0.00037477773799696667,0.0,0.009079055332039333,0.0,-0.004892862720433797,0.017011431730284684,-0.0038586206493574117,-0.011589850156189853,0.0,0.005219159808018042,0.0,-0.002264071163503737,-0.014669593212283982,0.00010131712259371833,-0.002563206338110218,-0.004893393918210416,0.0,0.009444519402352927,-0.006874053361295584,-0.01304905044856111,0.030906963542480063,0.0,0.019423352941613927,-0.003013626639497672,0.010131712259371834,0.003667849821181122,-0.02397975499033751,0.012259371833839919,-0.01798653378223087,-0.003966135079345012,0.0028368794326241137,0.025126646403242147
