,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.03674540682414698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04199475065616798,0.04199475065616798,0.0,0.031496062992125984,0.0,0.04199475065616798,0.0,0.0,0.04199475065616798,0.04199475065616798,0.04199475065616798,0.03937007874015748,0.04199475065616798,0.0,0.005249343832020997,0.0,0.03937007874015748,0.03674540682414698,0.028871391076115485,0.03937007874015748,0.0,0.005249343832020997,0.0,0.010498687664041995,0.03412073490813648,0.04199475065616798,0.04199475065616798,0.04199475065616798,0.04199475065616798,0.03937007874015748,0.04199475065616798,0.0,0.023622047244094488,0.0,0.04199475065616798,0.0,0.0,0.0,0.04199475065616798,0.0,0.04199475065616798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.02631578947368421,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.0,0.02631578947368421,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.031578947368421054,0.0,0.031578947368421054,0.0,0.0,0.0,0.0,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031578947368421054,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054
F3,0.0,0.0073439412484700125,0.037943696450428395,0.011015911872705019,0.01591187270501836,0.037943696450428395,0.04039167686658507,0.02692778457772338,0.04039167686658507,0.0416156670746634,0.0416156670746634,0.03549571603427173,0.0,0.0,0.022031823745410038,0.0,0.0416156670746634,0.0,0.0416156670746634,0.04039167686658507,0.0,0.0,0.0,0.0,0.0,0.028151774785801713,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.009791921664626682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02692778457772338,0.0,0.0208078335373317,0.0,0.0416156670746634,0.0416156670746634,0.037943696450428395,0.0,0.04039167686658507,0.0,0.025703794369645042,0.0416156670746634,0.023255813953488372,0.025703794369645042,0.02937576499388005,0.03549571603427173,0.0,0.028151774785801713,0.037943696450428395
FT9,0.0,0.01948051948051948,0.032467532467532464,0.025974025974025976,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.0,0.0,0.022727272727272728,0.0,0.032467532467532464,0.0,0.032467532467532464,0.032467532467532464,0.0,0.0,0.0,0.0,0.0,0.032467532467532464,0.0,0.032467532467532464,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032467532467532464,0.0,0.032467532467532464,0.0,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.0,0.032467532467532464,0.0,0.02922077922077922,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.0,0.032467532467532464,0.032467532467532464
FC5,0.0,0.014184397163120567,0.03309692671394799,0.02127659574468085,0.028368794326241134,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.0,0.0,0.026004728132387706,0.0,0.03309692671394799,0.0,0.03309692671394799,0.03309692671394799,0.0,0.0,0.0,0.0,0.0,0.03309692671394799,0.0,0.03309692671394799,0.0,0.0,0.0,0.0,0.018912529550827423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03309692671394799,0.0,0.03309692671394799,0.0,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.0,0.03309692671394799,0.0,0.030732860520094562,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.03309692671394799,0.0,0.03309692671394799,0.03309692671394799
FC1,0.0,0.006795016987542469,0.03850509626274066,0.011325028312570781,0.015855039637599093,0.03850509626274066,0.04190260475651189,0.026047565118912798,0.04190260475651189,0.04190260475651189,0.04190260475651189,0.035107587768969425,0.0,0.0,0.020385050962627407,0.0,0.04190260475651189,0.0,0.04077010192525481,0.04077010192525481,0.0,0.0,0.0,0.0,0.0,0.028312570781426953,0.0,0.022650056625141562,0.0,0.0,0.0,0.0,0.009060022650056626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027180067950169876,0.0,0.020385050962627407,0.0,0.04190260475651189,0.04190260475651189,0.03850509626274066,0.0,0.04077010192525481,0.0,0.02378255945639864,0.04190260475651189,0.022650056625141562,0.026047565118912798,0.02944507361268403,0.035107587768969425,0.0,0.028312570781426953,0.03850509626274066
C3,0.0,0.006564551422319475,0.036105032822757115,0.009846827133479213,0.014223194748358862,0.037199124726477024,0.044857768052516414,0.024070021881838075,0.044857768052516414,0.047045951859956234,0.04814004376367615,0.03282275711159737,0.0,0.0,0.019693654266958426,0.0,0.04814004376367615,0.0,0.04266958424507659,0.03938730853391685,0.0,0.0,0.0,0.0,0.0,0.0262582056892779,0.0,0.020787746170678335,0.0,0.0,0.0,0.0,0.0087527352297593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516411378555799,0.0,0.018599562363238512,0.0,0.044857768052516414,0.045951859956236324,0.036105032822757115,0.0,0.03938730853391685,0.0,0.022975929978118162,0.04814004376367615,0.020787746170678335,0.024070021881838075,0.02735229759299781,0.03282275711159737,0.0,0.0262582056892779,0.036105032822757115
T7,0.0,0.009302325581395349,0.03565891472868217,0.013953488372093023,0.020155038759689922,0.03565891472868217,0.03565891472868217,0.03255813953488372,0.03565891472868217,0.03565891472868217,0.03565891472868217,0.034108527131782945,0.0,0.0,0.02635658914728682,0.0,0.03565891472868217,0.0,0.03565891472868217,0.03565891472868217,0.0,0.0,0.0,0.0,0.0,0.034108527131782945,0.0,0.027906976744186046,0.0,0.0,0.0,0.0,0.012403100775193798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03255813953488372,0.0,0.02635658914728682,0.0,0.03565891472868217,0.03565891472868217,0.03565891472868217,0.0,0.03565891472868217,0.0,0.031007751937984496,0.03565891472868217,0.027906976744186046,0.031007751937984496,0.03565891472868217,0.03565891472868217,0.0,0.034108527131782945,0.03565891472868217
TP9,0.0,0.006564551422319475,0.036105032822757115,0.009846827133479213,0.014223194748358862,0.037199124726477024,0.044857768052516414,0.024070021881838075,0.044857768052516414,0.047045951859956234,0.04814004376367615,0.03282275711159737,0.0,0.0,0.019693654266958426,0.0,0.04814004376367615,0.0,0.04266958424507659,0.03938730853391685,0.0,0.0,0.0,0.0,0.0,0.0262582056892779,0.0,0.020787746170678335,0.0,0.0,0.0,0.0,0.0087527352297593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516411378555799,0.0,0.018599562363238512,0.0,0.044857768052516414,0.045951859956236324,0.036105032822757115,0.0,0.03938730853391685,0.0,0.022975929978118162,0.04814004376367615,0.020787746170678335,0.024070021881838075,0.02735229759299781,0.03282275711159737,0.0,0.0262582056892779,0.036105032822757115
CP5,0.0,0.006423982869379015,0.035331905781584586,0.009635974304068522,0.013918629550321198,0.03640256959314775,0.046038543897216275,0.023554603854389723,0.046038543897216275,0.048179871520342615,0.05032119914346895,0.032119914346895075,0.0,0.0,0.019271948608137045,0.0,0.05032119914346895,0.0,0.042826552462526764,0.03854389721627409,0.0,0.0,0.0,0.0,0.0,0.02569593147751606,0.0,0.020342612419700215,0.0,0.0,0.0,0.0,0.008565310492505354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02462526766595289,0.0,0.018201284796573874,0.0,0.046038543897216275,0.047109207708779445,0.035331905781584586,0.0,0.03854389721627409,0.0,0.022483940042826552,0.05032119914346895,0.020342612419700215,0.023554603854389723,0.02676659528907923,0.032119914346895075,0.0,0.02569593147751606,0.035331905781584586
