,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.06273923838786134,0.0030372107694014772,0.013069994289421617,0.005033917170592863,0.0070134769265073615,0.011929303491725529,0.021513298221428747,0.01831643486951403,0.01164092481453366,0.017985652514503826,0.019152947065829026,0.01708933748488967,0.006378515970116066,0.015245099149694734,0.007715677742918543,0.008291593396622492,0.007470039423816926,0.016539688904542917,0.006480469971029624,0.005279218809422565,0.018544758203202803,0.02984670610539372,0.01643857660430915,0.014450148930518282,0.014432749775037456,0.007445034901479416,0.0151689072017305,0.013443517002522071,0.010863289580770055,0.025550377252649543,0.026174618549668925,0.027579104352559267,0.004331800524249661,0.03314594430856189,0.011641345664873556,0.017935222619488912,0.010668586177091226,0.010042493138576301,0.021945866237216553,0.013671924506278823,0.024508947013691683,0.023240287651928777,0.027876266777559527,0.007986741434697566,0.026539441685028968,0.020913135575999102,0.022309847671896803,0.0022501184272856467,0.02111586519687451,0.017850583603988196,0.007867977468779036,0.01862847134795574,0.021564401476987495,0.011438616043998148,0.014009807207737836,0.011793056200258195,0.006649663831963069,0.015076494479237142,0.027114178957781208,0.026310781671068283,0.009966469530748024,0.009745835733983917
Fz,0.003622783133830367,0.05848246092629732,0.017449296118760473,0.03437433798790292,0.01487686387632315,0.01763809447437239,0.015486242888990816,0.004879575627762339,0.01407529838009387,0.01486735525917399,0.01100326559325777,0.005877402729188588,0.02336428052525289,0.02037170480355978,0.01526123684344638,0.023757709318232463,0.020822856679627112,0.025308550723117062,0.027258254416495042,0.040204197631345695,0.016128222874741315,0.010563886290803678,0.014498829987299362,0.020047771667281215,0.0011264042150934761,0.021685767589286697,0.023006840833305855,0.010845944039243077,0.025868809687260488,0.017575843478356452,0.018389400137098957,0.01650873930912917,0.018015222780810542,0.0037986691308505628,0.014272012776583659,0.017379347670766643,0.005053197668318449,0.02097271498405675,0.02417807138638823,0.015627498158856924,0.012932593678458976,0.002257336343115124,0.0014421871081013293,0.026187075125632408,0.00199203187250996,0.012863098021757965,0.004939109876021372,0.02242462929820722,0.010574300490538473,0.007124233814678582,0.025913401822856556,0.020173179241898723,0.0068928886910347075,0.016041068357620432,0.017766671588039615,0.006730805021699008,0.017354678352054537,0.015208494464579605,0.003065693708736661,0.00931116891850706,0.016681689969492486,0.017598701631897293
F3,0.018169352005487784,0.015078673572172827,0.060354759379464405,0.012647152545333218,0.013036337237401996,0.020393014541428035,0.021700346453039514,0.013142983042666988,0.01893472190093856,0.025998844045467547,0.033036867216556146,0.013654046274179883,0.013476553255571948,0.012992655622212192,0.014840349612915225,0.008210260396424408,0.021358359904510422,0.02001086290605903,0.010639331519626895,0.02255392954543788,0.009683152462669802,0.007809359498526391,0.004698548523758066,0.010898754648983808,0.010481871046405508,0.010603749585849623,0.03006285086119946,0.006065328097094848,0.016197112913558735,0.02374481603723587,0.024111518280280977,0.029171019273241918,0.0029634667703070344,0.023984206621206233,0.007277413755058968,0.031328951061258256,0.003964394067166692,0.015772346287712683,0.019604845542741986,0.0053871047738788935,0.009011962196153618,0.021138251895425446,0.004733813803323736,0.022271390658634094,0.011015733381153674,0.008385303511395218,0.0079407209983074,0.017610557318078823,0.014629191251810763,0.012903375800551845,0.021763310643114705,0.028767985125918383,0.011436133512081857,0.020006279752996382,0.015368245515676383,0.00858857884923193,0.011937713783257859,0.01225360135834657,0.00758626827344791,0.009226637085607966,0.013085451972222426,0.026299282228232357
FT9,0.004225887294728136,0.02554092507823618,0.009568982903127595,0.05091553033923381,0.023493350858594872,0.020640308380534725,0.013784670322141725,0.01114173342346951,0.020469884045203612,0.02010216751255885,0.01601324150576123,0.0113703749896201,0.02113714991785796,0.017446044478879284,0.013959821842396773,0.0229149060797308,0.02301429980216816,0.015981519383991213,0.026844852960574074,0.024823278258014395,0.014065433761490342,0.010891446772228152,0.013252997564720372,0.012375253359745025,0.008858676774190017,0.03541331192556761,0.015190728272312014,0.020356808595791073,0.02182717913440229,0.010958745619962424,0.005711434807875599,0.0067751530756513766,0.02344396533079188,0.0,0.026267403601474455,0.007403606049149813,0.006885119426735809,0.02178115261882571,0.014257875934845295,0.012949593620516538,0.010318474684154156,0.009140062880370012,0.002242502824492992,0.016389167074591097,0.002747803311899644,0.016252828453491963,0.011536817645893423,0.015946315410960026,0.016057899848640284,0.009214452505490186,0.017298883315234766,0.02062948583798934,0.0053440910281639074,0.011912247622755463,0.019562035805054077,0.013318305572925748,0.024460038996395258,0.020725893301133357,0.009604436790057094,0.017764998150552436,0.027995524321646,0.019482918995009972
FC5,0.006881020045590594,0.014092029850015701,0.010359259033924765,0.026412764211556077,0.053988883974937237,0.01460699656708963,0.008936405757665276,0.025473186398518873,0.017767547432176838,0.02836454473003964,0.018868931609627868,0.0197723154685721,0.02210163339867778,0.015611863533626077,0.015895253576565897,0.021194457792161905,0.0223604201704425,0.011539171165345358,0.026489170079526735,0.017564355004779326,0.010375104660850586,0.010957256405209587,0.014037857410987863,0.010288056046854968,0.014571276581443119,0.03077191664566843,0.011005751994890102,0.01870263331698286,0.016646299668015264,0.007374227302168156,0.011699555624419818,0.010647851957765447,0.018531132143436983,0.008309313186974174,0.022375791828921868,0.007403796470020893,0.01404850015701282,0.017291844692087693,0.009235878411754142,0.007190187508811504,0.008377672363365238,0.0057569284707502865,0.008548699568464655,0.01450149549971269,0.010389302170223958,0.013148186320960402,0.016462970827328297,0.012109258258340035,0.023152389128439244,0.013509878105656702,0.01047682475266603,0.02519145524514165,0.008895008922671446,0.014184992297581866,0.02139505416511406,0.018895182998355416,0.02500031669709831,0.016374737292216543,0.009488514365725084,0.0103048496106737,0.03062572969596734,0.013466111428430592
FC1,0.009608474678009193,0.014467697331046796,0.014464560981566793,0.020829602850354928,0.013454778863722955,0.047210506289541536,0.0239507855690102,0.010134587805586182,0.024603555716974132,0.020891363185808403,0.027333838695055738,0.014808609655009155,0.008435775456288196,0.009666423272439186,0.014416270486208464,0.015025494764406969,0.01754457014325308,0.01849877597946337,0.020184456184437947,0.018487678452164678,0.009586617319183543,0.008539473385394201,0.010883770096380906,0.010392477624067104,0.010877923738332716,0.02392909705807042,0.019171964058025927,0.01754567187570837,0.011533999083662523,0.017620564355485247,0.005459126527936178,0.002297107948083665,0.02095168409303485,0.004032180380871864,0.02020724642783302,0.010460084317568766,0.0038825642692039775,0.018177855245187814,0.017264485270174768,0.014310031396420137,0.009749365575174836,0.019388085130740185,0.007850780849711789,0.015053029633394936,0.011549841236554115,0.022001369187506503,0.012576567239744834,0.016825126186356905,0.01854249069711467,0.018393976317902072,0.015588632012157724,0.01787167493134856,0.010514727714632889,0.012802177563644889,0.026354470302653924,0.014500821065057005,0.018853584484432688,0.029171169628722918,0.01645752323283592,0.021640714324488997,0.020793511614750584,0.02237863024009916
C3,0.01886236597593313,0.011326249881589586,0.01578932198747383,0.014261644057926742,0.00989980826691947,0.024642079279535965,0.05658692352486325,0.013211435472015122,0.01766702660984925,0.02566262100810037,0.030779906064742776,0.01595032343483462,0.011180513280691796,0.011063406298626292,0.009183149885922122,0.010451573261349593,0.01612944442934992,0.007913083451254195,0.016560641920297492,0.014829582629908158,0.006649157835758698,0.01401588278360304,0.007536547512132937,0.009221206442407745,0.011947509856519621,0.02237512566190504,0.02020940835915109,0.012080661908709793,0.009806052920092614,0.01217052531633021,0.008731886878216816,0.008266396262563437,0.012178006284380326,0.013432202051859722,0.015172559772475764,0.017260392395591385,0.0032764253493015438,0.01135561382857403,0.012064791241521263,0.011479467450537491,0.009742570251338498,0.020471820524324988,0.013473847637189021,0.01296610561548081,0.017875208640986233,0.02599063621456775,0.012646654511087988,0.012806747227360481,0.022423343484196157,0.024571978478310517,0.018492879587072592,0.025950633688478907,0.01861059238986363,0.015367854344542364,0.024247120882897426,0.01440033110856381,0.013961046828840591,0.023225844826180855,0.02416521575662603,0.02292883662593838,0.016451015906282104,0.018048794637054638
T7,0.019021742020611854,0.005294540234469476,0.011871019665476941,0.013968329837328906,0.027896363091808034,0.012225552484630663,0.015516590758593608,0.0542671861003884,0.010512329504639465,0.0316621724875619,0.025369657000166558,0.02871238551303413,0.01384678864286746,0.009366382965960382,0.012158107890504333,0.012221191785463811,0.013314145193414026,0.005440038684719536,0.013554688272761094,0.01004699770116703,0.008210412137123355,0.010980134143615053,0.01113376902035936,0.010398991210744933,0.02120465750324234,0.01881902268861141,0.015631816916151838,0.020080195384848717,0.007033608333912988,0.00744601348072922,0.013608851347168873,0.015812533330100034,0.01128108886020045,0.018992187647904814,0.01679599064555578,0.01644595147371424,0.022761121325073956,0.015726276573409394,0.005641521598968408,0.004816059859423822,0.00979330605024674,0.015636895535303477,0.011468705282891317,0.010922846787792,0.014432358748977095,0.014509827633261372,0.022684955332613922,0.0012894906511927789,0.029658670527055373,0.02525000366936881,0.00511382382052128,0.02880743014213114,0.014961292945175802,0.013558464000088491,0.028820645187777025,0.02665537192403194,0.019053250731055262,0.01453000916172259,0.01722603801125741,0.01878816542408012,0.025301693908273436,0.012450341208756028
TP9,0.011115402909072715,0.011794271133505091,0.01424672834435654,0.0215126337767809,0.018188449263995377,0.026230562607271826,0.01864946939652977,0.009874485733801777,0.04939077724601315,0.01415085460244881,0.01882580019236493,0.013363982187978105,0.008626583478554876,0.014840377622258,0.014352164704438451,0.017552554571896,0.017969499286652955,0.021619162314065448,0.02254710519014936,0.017988231339208367,0.01808962421658008,0.017694717210711843,0.014339306138172764,0.014005376599057855,0.012359271389851215,0.028563632714573038,0.01261787953495153,0.01775827221566339,0.016073955366727233,0.017325891396442528,0.00480792908610893,0.0038337070213587047,0.020737518043131446,0.004313104855622765,0.021176136407709576,0.007333120444534955,0.006152452617882253,0.0234217740893492,0.02174589855665919,0.014104201646473153,0.013618920617677565,0.016932460043328077,0.010957076047657876,0.01653791709652739,0.010169101747742736,0.016893156226395926,0.02019530303029273,0.021650752932886548,0.014980710257494319,0.0073540659762210405,0.018667837390017636,0.00929884039032064,0.012727723436811184,0.006883119166444922,0.017847544353146304,0.0139862804874349,0.01752059989400736,0.02642636328203929,0.015309858487522136,0.015612561466883494,0.01718005904222583,0.01995688317401801
CP5,0.01471345695430577,0.010277393295522193,0.016959710839199695,0.018758705197092877,0.02301750195690309,0.019647300499795052,0.022282772018224893,0.023418469269621683,0.012575624022091919,0.05545514887680458,0.03666537931051274,0.028396018143504603,0.015217062768894833,0.002020814388198444,0.015658681145575677,0.007151663424146505,0.0242510443627887,0.0005737234652897303,0.013735853212355768,0.01613004870997435,0.0006454388984509467,0.002882997368593588,0.005379972668572354,0.003738506618167121,0.014742923541044183,0.02564963660992213,0.013545238851739179,0.014733195545791184,0.0047214689094576025,0.003130805819736748,0.01818206876786147,0.01575680890104392,0.014293316252060595,0.018943069728356982,0.017167900806882318,0.02039885606601698,0.0045813749085459755,0.012676382140522423,0.0,0.004543919409504819,0.000251004016064257,0.016332412749773616,0.004509659475384759,0.01353100011008395,0.013846763227508397,0.019303527277603028,0.010606645175079567,0.008677143511038047,0.03715098561656664,0.024512341576064793,0.007305996166713361,0.04152388795645058,0.01056641801258644,0.01883244231418377,0.03057144787524932,0.024794409961328014,0.020695304493425135,0.01481318249223456,0.020068897684011062,0.019071696651065354,0.029616495688726412,0.020798084295785314
