,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Fz,0.06543437914468124,0.006953409645121496,0.027644541103100356,0.016956090929754756,0.018322939217594522,0.02102077499056585,0.0,0.01583006172471703,0.010301153504096959,0.021532756912307646,0.008133230054221533,0.026958772214388017,0.013969161916489569,0.017579517192220524,0.02285905490785429,0.021296627319090527,0.021959776316863844,0.025895085635596865,0.018029156487715744,0.017094017094017096,0.01822942527822466,0.019885366806358287,0.0188302316497514,0.025031667847314632,0.02589977512518179,0.01819825396510137,0.005404222968126918,0.01912401437963018,0.023802745723737202,0.008796379051994855,0.004629629629629629,0.019110773467860998,0.005698005698005698,0.015313390313390313,0.0010683760683760685,0.009495388852476382,0.020392659238515166,0.029500751421742903,0.027413100999468157,0.014294115959491637,0.009758000269231872,0.01742366062660408,0.012482317865741568,0.0075900768193564476,0.02022825125071446,0.007759174296742074,0.016074742740118417,0.010301153504096959,0.008133230054221533,0.018149152250623978,0.012237636850340182,0.0010683760683760685,0.005435394281250207,0.02939868606018877,0.013555383423702556,0.01559862162108483,0.01256259089334225,0.022801401771192633,0.01378682352733476,0.017766545070960253
F3,0.012430266796306641,0.07196673493452492,0.01197859561292814,0.030534351145038167,0.03353744733376087,0.028397360309480958,0.007290179772026728,0.007226738934056007,0.02510878034989001,0.024065454395001965,0.011291779584462511,0.00993676603432701,0.004516711833785004,0.020795492942206777,0.014720343132184503,0.017430370232455507,0.008130081300813009,0.0013550135501355014,0.023288993704186405,0.010903549239054733,0.002258355916892502,0.018925367370722052,0.013021921567816187,0.012881937979685142,0.012398546377321278,0.02219532882351724,0.02204224332319659,0.02062378893509037,0.017493811070426225,0.020795492942206777,0.012538529965452325,0.011151795996331464,0.018333712599212508,0.006775067750677507,0.0036133694670280035,0.0,0.020967196949323183,0.014720343132184503,0.008753456491307916,0.005171807443265272,0.03613921126488619,0.014516918706082734,0.004516711833785004,0.02211878607335692,0.006775067750677507,0.01687043587993132,0.03634263569098795,0.019173614127998787,0.011495204010564279,0.019923870994435135,0.038117600005516596,0.013568754008150769,0.015267175572519083,0.01612017901349497,0.015840211837232877,0.006870229007633588,0.010343614886530544,0.01923705496596951,0.006323396567299007,0.03087224256466483
FT9,0.04632953176809956,0.010825539381142849,0.08070197612002439,0.03194132603750019,0.011819547083401485,0.012797942099237208,0.02188006482982172,0.001834862385321101,0.005045871559633028,0.022874072532080354,0.004862236628849271,0.02522935779816514,0.013363716116753157,0.005963302752293578,0.03938783399997026,0.023057707462864112,0.008256880733944955,0.031345070108396655,0.03869938887484573,0.019999851307748354,0.017201463131756203,0.022996743639688937,0.017889908256880735,0.009021158907409335,0.015473659167620776,0.009174311926605505,0.003211009174311927,0.024770642201834864,0.008256880733944955,0.0,0.0,0.0,0.0,0.04051938203500216,0.019448946515397084,0.013776337115072933,0.01926605504587156,0.014220183486238533,0.012844036697247707,0.007798165137614679,0.011391313398658797,0.0022935779816513763,0.008256880733944955,0.0,0.0271095713202385,0.005504587155963303,0.017492156483725634,0.022874072532080354,0.013776337115072933,0.014816439415342067,0.008287362645532542,0.0013761467889908258,0.001834862385321101,0.02897491561714719,0.01539708265802269,0.03675746806833896,0.014586709886547812,0.0022935779816513763,0.022308298514564406,0.03258367656461422
FC5,0.032495372530134986,0.02727272727272727,0.03361499450723089,0.10082542023445848,0.016533235015274414,0.00974025974025974,0.033964876375073366,0.0,0.005194805194805195,0.005194805194805195,0.0,0.028299799852522914,0.022047072278821987,0.013636363636363636,0.014484356894553883,0.0028968713789107765,0.014744699101593655,0.01216685979142526,0.036441889512573176,0.0451325036493055,0.008161652947284465,0.015203683917473025,0.027401393507998376,0.005194805194805195,0.004545454545454545,0.016883116883116882,0.007792207792207792,0.023925147853305444,0.014744699101593655,0.01386585604430332,0.006073648252095529,0.004704970579825736,0.01119847707333223,0.02747136988156687,0.027611322628703857,0.014484356894553883,0.025453341559946427,0.021627214037411024,0.013745466584400534,0.009619870280356956,0.015234533716573115,0.006792975275014672,0.0219966591924877,0.005194805194805195,0.0220162224797219,0.016692751049645602,0.023676092158131556,0.0,0.013904982618771726,0.023715218732599963,0.015584415584415584,0.01038961038961039,0.008161652947284465,0.008091676573715971,0.0,0.03043821763404614,0.0,0.005194805194805195,0.013325608342989572,0.005194805194805195
FC1,0.02249152321642354,0.02454619199816735,0.010364740973657248,0.01072915244716622,0.06647273229368192,0.042944068134354474,0.0017894996147986362,0.014312074297576291,0.027871789923257846,0.027990645333885636,0.008436772844166827,0.010103494427524874,0.001152073732718894,0.017249725024281022,0.016877468309146455,0.019047069880705255,0.012023617315389697,0.012918367122789015,0.010238040321403859,0.006144393241167435,0.0030721966205837174,0.02454619199816735,0.010491441625910636,0.02287162517318371,0.02057140032855872,0.019684495762784998,0.026090135550084808,0.015341369998854595,0.017126946992840432,0.013928049720003327,0.0007680491551459293,0.0028148726952641413,0.007031297806941157,0.01152073732718894,0.0007680491551459293,0.007933892855966072,0.013678571036309348,0.013678571036309348,0.019043147259892458,0.011631747496191135,0.02812911384857742,0.009972871154458687,0.012150317967643084,0.01379742644693714,0.014957345421281631,0.01738034829734721,0.021992565849035584,0.022522904182925928,0.009204821999312756,0.02109389342082347,0.0338698694081079,0.009968948533645888,0.01072915244716622,0.022760615004181514,0.025967357518644218,0.0141892962661357,0.02045254491793093,0.03143902129041672,0.010752688172043012,0.02237266780579575
C3,0.018964416860137077,0.023180838567054843,0.010563022023253448,0.004051316677920324,0.0446347802761925,0.08721476603183706,0.001688048615800135,0.0189838409811956,0.03473726563872985,0.031601657524996996,0.009521056672185585,0.007138364489006873,0.003038487508440243,0.016292675256444646,0.011247953530102764,0.028602018258673794,0.005440603812677476,0.004726536124240378,0.00748568627269616,0.0013698630136986301,0.005083569968458927,0.0189838409811956,0.003057911629498765,0.027154458760741077,0.02607364516755617,0.01832804565593407,0.031052694865557333,0.0057587894147789805,0.01258868036221361,0.01122852940904424,0.0,0.009848954334816348,0.005132130271105232,0.02389490625549194,0.0,0.002025658338960162,0.008498515442176242,0.009144598706908513,0.01796129975118626,0.004388926401080351,0.02651808755653807,0.01323476362694588,0.009848954334816348,0.014247592796425963,0.012598392422742872,0.01559803168906607,0.016678845282250977,0.025264769269190572,0.008517939563234763,0.016013337896460186,0.037081109579791514,0.018415454200697418,0.009453072248480757,0.03473726563872985,0.027569764968135194,0.011478730587440918,0.01626353907485686,0.03837327610925606,0.00885554928639479,0.02856317001655675
T7,0.0,0.014454199590283875,0.029411764705882353,0.06521217442200761,0.005949663447468539,0.004705882352941176,0.09674275680421422,0.007058823529411765,0.010857477319285923,0.007058823529411765,0.02074041556921276,0.0,0.009411764705882352,0.00823529411764706,0.0,0.0,0.0,0.0,0.04188469417617793,0.0431284752707053,0.0,0.007058823529411765,0.022891425226807142,0.007058823529411765,0.007058823529411765,0.0111267193444542,0.00823529411764706,0.00823529411764706,0.00823529411764706,0.013143107989464442,0.01714369329821481,0.001176470588235294,0.020673105062920694,0.023529411764705882,0.06803628914252269,0.03233830845771144,0.015294117647058824,0.00823529411764706,0.0,0.0058823529411764705,0.00823529411764706,0.007058823529411765,0.03690956979806848,0.00823529411764706,0.04477611940298507,0.015294117647058824,0.00823529411764706,0.0,0.03980099502487562,0.00823529411764706,0.014184957565115598,0.00823529411764706,0.00823529411764706,0.0,0.018252853380158033,0.05428738659642962,0.007058823529411765,0.004705882352941176,0.041044776119402986,0.017009072285630672
TP9,0.019467272675131046,0.007190795781399808,0.0023969319271332696,0.0,0.014062258998861408,0.020078422497134145,0.002021018593371059,0.05807279697347137,0.008760718374256215,0.014870666436209833,0.022898160039870066,0.007190795781399808,0.02787067961255349,0.03269283385173203,0.00862895493767977,0.027795496945801048,0.015227977873043603,0.019965260957486138,0.0,0.0019175455417066154,0.020830249164658567,0.0178787481853462,0.014748591487616949,0.03890625496535009,0.048654036495371616,0.01241715373925256,0.024054190426068697,0.008356514655582004,0.026432520456273527,0.005075992624347868,0.0,0.023452729092049162,0.0014381591562799617,0.018809230571287507,0.0,0.004164112135335,0.010706554300874832,0.03486421777860797,0.03865241658018076,0.015227977873043603,0.0012126111560226355,0.025097834351658008,0.012548917175829004,0.02683672417494774,0.012097821175314353,0.016694427414235567,0.024101082707909137,0.009315287426435311,0.0016168148746968471,0.007247376551223811,0.00861035304075133,0.019485874572059483,0.01550041815514137,0.00444624090541633,0.02020049744572703,0.010932102301132157,0.02572758607058955,0.04642607179867167,0.006965247781142482,0.02915847343532857
CP5,0.01703016920408225,0.026501896067113458,0.005574136008918618,0.0045045045045045045,0.04040064909630127,0.044220761612065965,0.006004571221962527,0.012181316529142616,0.07694459868372912,0.04263460785199916,0.013123969645708776,0.0072915725089638134,0.0,0.008234225625529973,0.014497057975318844,0.0171571475919302,0.0,0.002574002574002574,0.011148272017837236,0.002787068004459309,0.0011148272017837235,0.01861632296414905,0.005361070578461883,0.02479306827132914,0.025051329399155484,0.0277071146636364,0.01814069205373553,0.0032175032175032173,0.0032175032175032173,0.013464013464013463,0.013894448677057372,0.011021293629989283,0.014492753623188406,0.007246376811594203,0.027793201706245184,0.001287001287001287,0.008492486753356319,0.0,0.011623902928250754,0.002574002574002574,0.02985068202459507,0.0039018952062430325,0.020501629197281372,0.014152709804883718,0.011492620188272362,0.010336901641249467,0.009349052827313697,0.021612152046934657,0.021956500217369782,0.005016722408026756,0.05970136404919014,0.002787068004459309,0.010296010296010296,0.039671061410191846,0.03636747115007985,0.014669232060536408,0.01621449447536404,0.034400382226469184,0.014624036363166799,0.031178574656835524
CP1,0.021978471579562613,0.02377137012322829,0.01494617894890653,0.002857142857142857,0.03177731235692367,0.03353465491208416,0.0020408163265306124,0.018306463396814576,0.03523111392528372,0.06958355657298719,0.015762505479518775,0.013031513321318982,0.004176610978520286,0.016988456480444208,0.01962447031318494,0.025214066533534654,0.003579952267303103,0.010612244897959184,0.012559544104037796,0.0,0.005902781160196776,0.0259992206906629,0.005620768593833715,0.03686376698650821,0.03375432273147923,0.02254541912230286,0.010644878476450247,0.009231893234620817,0.009200720861136817,0.0027947981101748578,0.002386634844868735,0.013408504213141104,0.002386634844868735,0.007756563245823389,0.0011933174224343676,0.0069387755102040816,0.009294237981588818,0.0059665871121718375,0.016673810335590084,0.004081632653061225,0.026502362281428084,0.013157664020262042,0.009168087282645756,0.018244118649846573,0.01799181725196045,0.007943597486727388,0.019155423505917882,0.03049047781403731,0.01814914032438751,0.0053699284009546535,0.03482295065997759,0.004176610978520286,0.006122448979591836,0.036329453022259026,0.029515367005990938,0.011428571428571429,0.01855584238468657,0.0332526423457211,0.01661000438361502,0.034791778286493595
