,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.3864167509453166,0.07673716012084592,0.0,0.004833836858006042,0.0,0.004797441364605544,0.0,0.022356495468277945,0.0,0.0015991471215351812,0.0,0.008761329305135951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006042296072507553,0.0,0.0,0.0,0.0,0.0,0.005438066465256798,0.0,0.0,0.0,0.0,0.1471927157479757,0.0,0.006929637526652452,0.0,0.0,0.0,0.039445628997867806,0.0,0.0,0.0,0.0,0.0,0.0,0.044410876132930516,0.025641752394694635,0.0,0.0,0.0,0.016314199395770394,0.0,0.0,0.0,0.0,0.0,0.0,0.0012084592145015106,0.0,0.022388059701492536,0.0,0.0,0.0021321961620469083,0.03634073911839164,0.012386706948640483,0.009969788519637462,0.0,0.054380664652567974,0.06427605176534247,0.0
bankssts-rh,0.041341145833333336,0.22666461074561406,0.00390625,0.008463541666666666,0.0,0.0048828125,0.0,0.016438802083333332,0.028818530701754386,0.004561403508771929,0.0,0.022012746710526318,0.023859649122807018,0.0,0.01263157894736842,0.031228070175438598,0.0075017132675438605,0.0,0.0,0.00732421875,0.0,0.01368421052631579,0.006666666666666667,0.0,0.0,0.018928522478070177,0.02631578947368421,0.03333333333333333,0.008040707236842106,0.005859375,0.00439453125,0.00048828125,0.004557291666666667,0.04673451206140351,0.023341899671052633,0.02982456140350877,0.0,0.0,0.0,0.015438596491228071,0.0,0.0,0.030175438596491227,0.028971354166666668,0.0,0.0224609375,0.0,0.0126953125,0.009114583333333334,0.02001953125,0.0,0.00634765625,0.0017543859649122807,0.0,0.0,0.026529947916666668,0.0,0.006998697916666667,0.0,0.0,0.03626953125,0.034993489583333336,0.012044270833333334,0.0,0.0,0.044759114583333336,0.024576822916666668,0.005045572916666667
caudalanteriorcingulate-lh,0.0,0.004019789734075448,0.15212015383454425,0.10008967109946014,0.04179172918376185,0.04823747680890538,0.01282521069989007,0.0,0.0,0.024367900329791133,0.04030780505679736,0.00934408208134848,0.012626073781389701,0.013352314509200863,0.0,0.032243014798110856,0.01706895156876835,0.012934155307081025,0.007145474532795896,0.0,0.005130084279956028,0.0,0.0,0.0,0.018254085337789466,0.008244778307072188,0.001832172957127153,0.0,0.007145474532795896,0.0,0.0,0.0,0.0,0.055349412492269635,0.0012253010734924572,0.011542689629901062,0.005130084279956028,0.0,0.017039208501282523,0.006962257237083181,0.03291753091522761,0.012213976499690785,0.0,0.0,0.0,0.021335807050092765,0.006808216474237518,0.026128633271490415,0.0,0.021181199752628325,0.011542689629901062,0.013861799091867667,0.004213997801392451,0.017772077684133383,0.051056043190786424,0.0030921459492888066,0.05087395896431127,0.0,0.0,0.011542689629901062,0.007884972170686457,0.01453308596165739,0.0009160864785635764,0.015127834004450242,0.010667903525046383,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0015347885402455662,0.004945429740791269,0.06758504115257186,0.12125902746639446,0.05716302228921601,0.03052523874488404,0.0020463847203274215,0.014175512981788561,0.008325008325008326,0.0,0.01844866706735738,0.013153513153513154,0.021370710917095637,0.02148942462721453,0.0,0.018025176278927985,0.005115961800818554,0.01798142171607383,0.002728512960436562,0.004519099590723056,0.014485514485514486,0.008991008991008992,0.0029843110504774897,0.017493420631210538,0.015377301189033795,0.017185207925317067,0.008325008325008326,0.007503410641200546,0.016271472956329712,0.006854133815252506,0.012363574351978173,0.0,0.0032401091405184173,0.02225443383356071,0.008325008325008326,0.016983016983016984,0.0,0.0,0.0,0.018492421630211538,0.03032140097283344,0.013472032742155525,0.01778953765652265,0.008015006821282401,0.004007503410641201,0.01031718963165075,0.004621089460789324,0.010394988140554307,0.008270804911323329,0.011596180081855388,0.022321925459715362,0.02710145129995062,0.0147159286825044,0.0002557980900409277,0.03365946808989101,0.0020463847203274215,0.05336636987387329,0.0,0.00966791280570271,0.02208688310325418,0.010146657571623465,0.01330150068212824,0.002728512960436562,0.021249754111282076,0.016334790720875306,0.004689631650750341,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.0,0.0319065353292381,0.05132166710225485,0.12474162497048394,0.005267653758542141,0.007640609442757756,0.00825740318906606,0.010037015945330297,0.01399569363272839,0.0190929074565457,0.00135250569476082,0.03020189512391141,0.00818621867881549,0.0,0.009407193966601479,0.028861235267368234,0.005979498861047836,0.027127341753614972,0.00541002277904328,0.011952188007334698,0.005310767354569017,0.004271070615034169,0.011857136651137305,0.033960047512978306,0.005979498861047836,0.019431181679511262,0.019344954487457513,0.006691343963553531,0.00846313978036546,0.01359624145785877,0.002153183635804368,0.005765945330296128,0.008043849658314351,0.020219422585235732,0.0,0.0,0.0017796127562642369,0.027989372816074113,0.008684510250569476,0.04980031989456196,0.01879271070615034,0.011104783599088838,0.0024202733485193624,0.006201876555943186,0.0,0.015436616138437166,0.012670842824601366,0.008043849658314351,0.0,0.010037015945330297,0.011104783599088838,0.00855096539421198,0.006453332389753565,0.06538493237405837,0.0019219817767653759,0.06534543164920693,0.0,0.00968109339407745,0.009823462414578588,0.005979498861047836,0.010477567266844123,0.011534912334666256,0.0287573597470272,0.020928246013667426,0.005267653758542141,0.0,0.0
caudalmiddlefrontal-rh,0.0024433585073300756,0.002540892488486581,0.024932507543274574,0.028426234714943623,0.005717008099094807,0.1707864808660199,0.023140175132228213,0.004764173415912339,0.0,0.02265659706796979,0.01831472991694197,0.008337303477846593,0.008178497697316182,0.011141414254720098,0.0,0.006749245672542481,0.008522141836349337,0.018071406444241215,0.01820929444870443,0.012704462442432904,0.0,0.001776988005330964,0.01222804510084167,0.016083547502435173,0.04202374157001278,0.013260282674289345,0.0,0.011115381676747766,0.011751627759250437,0.022889973132827455,0.01490756635820531,0.0,0.005553087516659262,0.014213117357471812,0.0,0.011772545535317636,0.013730562253594418,0.0,0.05095284526553124,0.011354613307924408,0.023105958871207664,0.011751627759250437,0.0126250595521677,0.0,0.01962246130334888,0.007622677465459742,0.00444247001332741,0.004128950293790694,0.011989836430046053,0.012224976219698591,0.010084167063681117,0.008496109258377006,0.012545656661902493,0.026124291661666507,0.024625584154470685,0.011672224868985231,0.017237305714249633,0.024433585073300755,0.010560584405272352,0.0011116404637128792,0.008496109258377006,0.018536853417608336,0.0,0.008099094807050978,0.0098459583928855,0.02071392475540841,0.03065304309195913,0.0
cuneus-lh,0.0,0.0,0.010224368077250781,0.0032201405152224825,0.010429518905303541,0.024736824951927777,0.15829496091367487,0.00762229899292768,0.00351288056206089,0.03243594638259436,0.033827480084365,0.016799961355985864,0.011416861826697893,0.00606460767013842,0.0,0.006997534698134378,0.0031241124680488497,0.00937233740414655,0.019482635801118347,0.01522248243559719,0.006390230048281738,0.0,0.0262988811859522,0.0163585233330695,0.02743492208342451,0.01522248243559719,0.0,0.01478337236533958,0.01522248243559719,0.03212109078549778,0.01522248243559719,0.00117096018735363,0.0,0.003976143141153081,0.0,0.0,0.01158301944771651,0.0,0.030406262658242582,0.01522248243559719,0.006586651053864169,0.01522248243559719,0.025020835176295855,0.028969042885543878,0.01522248243559719,0.0004260153365521159,0.0,0.004686168702073275,0.01919862557675027,0.008946322067594433,0.027284187148770143,0.02738923601249645,0.018630605128014115,0.0324598078973466,0.01860266969610906,0.029615340742430663,0.011240228418714878,0.006106219823913661,0.01522248243559719,0.02073274637886964,0.0055620608899297425,0.0062482249360976995,0.0,0.00936768149882904,0.014490632318501171,0.01522248243559719,0.013348480545299631,0.0
cuneus-rh,0.0106703146374829,0.014363885088919288,0.0,0.0202474958133785,0.015595075239398085,0.007934336525307797,0.010397974609548132,0.1410258959609584,0.02563877422430708,0.0,0.0,0.032480336654679795,0.02096035946248332,0.0,0.0,0.0,0.0,0.0,0.01039671682626539,0.020383036935704514,0.031139240203066115,0.024243533197093443,0.009712722298221614,0.0392666764094959,0.005198358413132695,0.018604651162790697,0.02547472334757224,0.0024623803009575923,0.023669085603532335,0.029497653335761053,0.017783857729138167,0.0,0.0,0.0,0.02629551678122477,0.0,0.013132694938440492,0.0,0.0069767441860465115,0.011355387265483312,0.0,0.006155950752393981,0.038937316872743474,0.0376788747511386,0.008481532147742818,0.0,0.008481532147742818,0.0,0.031219019599857213,0.0,0.02314968100220172,0.013791593695271453,0.028538803213217025,0.011354309165526676,0.0017783857729138167,0.03217858845570566,0.00736078734837722,0.00043782837127845885,0.005171286125332714,0.019702276707530646,0.0,0.013269493844049247,0.012585499316005472,0.023666210670314637,0.00506155950752394,0.024076607387140903,0.03201543599560135,0.0
entorhinal-lh,0.0,0.015994070323635992,0.0,0.008148631029986962,0.022533879609202646,0.0,0.0034667507091080997,0.023258910025964676,0.15658284063178113,0.026269101130751604,0.0,0.003939489442168295,0.08238494533611704,0.006355932203389831,0.013200782268578879,0.00423728813559322,0.022376300031515917,0.0,0.03454716519065074,0.0,0.04628710053987955,0.0622680221112705,0.02379400260756193,0.016460234680573664,0.0,0.0,0.08339750198361255,0.030999518837847535,0.0011030570438071226,0.0,0.0,0.0,0.0,0.019314027540883374,0.09768331312397506,0.03353039683345174,0.0,0.0,0.013236684525685471,0.0,0.0,0.0,0.028194263363754888,0.0,0.0003259452411994785,0.008194138039710053,0.03718878033406871,0.013394264103372203,0.0009778357235984355,0.008194138039710053,0.005677076506425837,0.0,0.007406240151276395,0.0,0.0,0.00787897888433659,0.0,0.0003151591553734636,0.0,0.0,0.01764655003449493,0.003624330286794831,0.00961235423889064,0.0,0.0,0.0,0.0,0.0
entorhinal-rh,0.0006599788806758184,0.001979936642027455,0.017819429778247096,0.0,0.011747624076029566,0.013463569165786695,0.03535112586412183,0.0,0.03260006292653642,0.16046023448026941,0.041842661034846886,0.00523168908819133,0.029318583479469168,0.0,0.005939809926082365,0.0,0.016631467793030624,0.00523168908819133,0.022043294614572332,0.00039598732840549105,0.06028898854010962,0.04941653526279984,0.005939809926082365,0.0,0.03194297782470961,0.0,0.04032480826084417,0.026823751505422676,0.013203786746387643,0.009987088484917361,0.00026399155227032733,0.001187961985216473,0.0,0.0022439281942977824,0.023951347159282533,0.056057363115052966,0.014112893678882098,0.0,0.03827877507919747,0.0,0.0026399155227032735,0.0,0.0021119324181626186,0.01619332336821126,0.0,0.00752375923970433,0.006726457399103139,0.0,0.0,0.004751847940865892,0.03687095166915795,0.0037369207772795215,0.003986048829098156,0.0265311510031679,0.03827877507919747,0.0,0.01399155227032735,0.01693472266286582,0.0,0.0,0.0,0.009899683210137275,0.02016628442478779,0.005147835269271384,0.0,0.0,0.009767687434002113,0.0
