,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.04669703872437358,0.0,0.0,0.02733485193621868,0.02619589977220957,0.04214123006833713,0.0,0.0489749430523918,0.017084282460136675,0.03530751708428246,0.0,0.0,0.0,0.04214123006833713,0.04783599088838269,0.0056947608200455585,0.04783599088838269,0.03758542141230068,0.0056947608200455585,0.0489749430523918,0.0,0.0,0.02619589977220957,0.0,0.0,0.0,0.0,0.02619589977220957,0.025056947608200455,0.007972665148063782,0.0,0.0,0.0,0.0,0.04783599088838269,0.0,0.0,0.0,0.0,0.0,0.04783599088838269,0.0,0.04441913439635535,0.015945330296127564,0.0,0.03189066059225513,0.0,0.0193621867881549,0.0,0.02050113895216401,0.0,0.03758542141230068,0.04783599088838269,0.04783599088838269,0.0,0.04783599088838269,0.0193621867881549,0.0,0.0,0.00683371298405467,0.0
F3,0.0,0.04285714285714286,0.044444444444444446,0.0,0.0015873015873015873,0.0,0.03968253968253968,0.0015873015873015873,0.0,0.0,0.044444444444444446,0.04126984126984127,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.03492063492063492,0.0,0.044444444444444446,0.025396825396825397,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.006349206349206349,0.0031746031746031746,0.04126984126984127,0.044444444444444446,0.0,0.04285714285714286,0.03492063492063492,0.026984126984126985,0.044444444444444446,0.04126984126984127,0.0,0.044444444444444446,0.0,0.0,0.046031746031746035,0.0,0.009523809523809525,0.0015873015873015873,0.047619047619047616,0.0,0.004761904761904762,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.006349206349206349,0.022222222222222223,0.0,0.046031746031746035
F7,0.0,0.03820816864295125,0.04743083003952569,0.0,0.0013175230566534915,0.0,0.039525691699604744,0.0013175230566534915,0.0,0.0,0.048748353096179184,0.03689064558629776,0.05006587615283267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007905138339920948,0.028985507246376812,0.0,0.05006587615283267,0.021080368906455864,0.05006587615283267,0.04743083003952569,0.0,0.0,0.0,0.005270092226613966,0.002635046113306983,0.03689064558629776,0.04479578392621871,0.0,0.04479578392621871,0.028985507246376812,0.022397891963109356,0.04743083003952569,0.03689064558629776,0.0,0.05006587615283267,0.0,0.0,0.05138339920948617,0.0,0.007905138339920948,0.0013175230566534915,0.052700922266139656,0.0,0.003952569169960474,0.0,0.0,0.0,0.01844532279314888,0.0,0.0,0.005270092226613966,0.01844532279314888,0.0,0.05138339920948617
FT9,0.0392156862745098,0.0,0.0,0.03594771241830065,0.03431372549019608,0.0392156862745098,0.0,0.0392156862745098,0.024509803921568627,0.0392156862745098,0.0,0.0,0.0,0.0392156862745098,0.0392156862745098,0.006535947712418301,0.0392156862745098,0.0392156862745098,0.006535947712418301,0.0392156862745098,0.0,0.0,0.03594771241830065,0.0,0.0,0.0,0.0,0.03431372549019608,0.03431372549019608,0.00980392156862745,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0392156862745098,0.021241830065359478,0.0,0.0392156862745098,0.0,0.026143790849673203,0.0,0.029411764705882353,0.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.026143790849673203,0.0,0.0,0.008169934640522876,0.0
FC5,0.03912363067292645,0.0,0.0,0.03442879499217527,0.03599374021909233,0.03755868544600939,0.0,0.03912363067292645,0.023474178403755867,0.03442879499217527,0.0,0.0,0.0,0.03912363067292645,0.03912363067292645,0.009389671361502348,0.03912363067292645,0.03755868544600939,0.009389671361502348,0.03912363067292645,0.0,0.0,0.03442879499217527,0.0,0.0,0.0,0.0,0.03599374021909233,0.03442879499217527,0.012519561815336464,0.0,0.0,0.0,0.0,0.03912363067292645,0.0,0.0,0.0,0.0,0.0,0.03912363067292645,0.0,0.03755868544600939,0.023474178403755867,0.0,0.03755868544600939,0.0,0.028169014084507043,0.0,0.028169014084507043,0.0,0.03755868544600939,0.03912363067292645,0.03912363067292645,0.0,0.03912363067292645,0.028169014084507043,0.0,0.0,0.009389671361502348,0.0
FC1,0.045283018867924525,0.0,0.0,0.028930817610062894,0.027672955974842768,0.0440251572327044,0.0,0.045283018867924525,0.018867924528301886,0.0389937106918239,0.0,0.0,0.0,0.0440251572327044,0.045283018867924525,0.005031446540880503,0.045283018867924525,0.04025157232704402,0.005031446540880503,0.045283018867924525,0.0,0.0,0.027672955974842768,0.0,0.0,0.0,0.0,0.027672955974842768,0.026415094339622643,0.007547169811320755,0.0,0.0,0.0,0.0,0.045283018867924525,0.0,0.0,0.0,0.0,0.0,0.045283018867924525,0.0,0.045283018867924525,0.016352201257861635,0.0,0.033962264150943396,0.0,0.02012578616352201,0.0,0.022641509433962263,0.0,0.04025157232704402,0.045283018867924525,0.045283018867924525,0.0,0.045283018867924525,0.02012578616352201,0.0,0.0,0.006289308176100629,0.0
C3,0.0,0.041728763040238454,0.046199701937406856,0.0,0.0,0.0,0.041728763040238454,0.0,0.0,0.0,0.046199701937406856,0.040238450074515646,0.046199701937406856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00894187779433681,0.03278688524590164,0.0,0.046199701937406856,0.02384500745156483,0.046199701937406856,0.046199701937406856,0.0,0.0,0.0,0.005961251862891207,0.0029806259314456036,0.040238450074515646,0.044709388971684055,0.0,0.046199701937406856,0.03278688524590164,0.02384500745156483,0.046199701937406856,0.040238450074515646,0.0,0.046199701937406856,0.0,0.0,0.04769001490312966,0.0,0.00894187779433681,0.0,0.04769001490312966,0.0,0.004470938897168405,0.0,0.0,0.0,0.020864381520119227,0.0,0.0,0.005961251862891207,0.020864381520119227,0.0,0.04769001490312966
T7,0.046908315565031986,0.0,0.0,0.0255863539445629,0.0255863539445629,0.039445628997867806,0.0,0.05223880597014925,0.015991471215351813,0.03304904051172708,0.0,0.0,0.0,0.04051172707889126,0.04797441364605544,0.006396588486140725,0.050106609808102345,0.03624733475479744,0.006396588486140725,0.053304904051172705,0.0,0.0,0.024520255863539446,0.0,0.0,0.0,0.0,0.0255863539445629,0.023454157782515993,0.008528784648187633,0.0,0.0,0.0,0.0,0.050106609808102345,0.0,0.0,0.0,0.0,0.0,0.050106609808102345,0.0,0.042643923240938165,0.015991471215351813,0.0,0.03091684434968017,0.0,0.019189765458422176,0.0,0.019189765458422176,0.0,0.03624733475479744,0.04797441364605544,0.050106609808102345,0.0,0.050106609808102345,0.019189765458422176,0.0,0.0,0.006396588486140725,0.0
TP9,0.0379746835443038,0.0,0.0,0.0379746835443038,0.03291139240506329,0.0379746835443038,0.0,0.0379746835443038,0.03291139240506329,0.0379746835443038,0.0,0.0,0.0,0.0379746835443038,0.0379746835443038,0.005063291139240506,0.0379746835443038,0.0379746835443038,0.005063291139240506,0.0379746835443038,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.035443037974683546,0.035443037974683546,0.010126582278481013,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0379746835443038,0.02531645569620253,0.0,0.0379746835443038,0.0,0.02531645569620253,0.0,0.035443037974683546,0.0,0.0379746835443038,0.0379746835443038,0.0379746835443038,0.0,0.0379746835443038,0.027848101265822784,0.0,0.0,0.007594936708860759,0.0
CP5,0.043478260869565216,0.0,0.0,0.030434782608695653,0.028985507246376812,0.043478260869565216,0.0,0.043478260869565216,0.021739130434782608,0.04057971014492753,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.004347826086956522,0.043478260869565216,0.04057971014492753,0.004347826086956522,0.043478260869565216,0.0,0.0,0.030434782608695653,0.0,0.0,0.0,0.0,0.028985507246376812,0.028985507246376812,0.007246376811594203,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.017391304347826087,0.0,0.036231884057971016,0.0,0.021739130434782608,0.0,0.02463768115942029,0.0,0.04057971014492753,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.021739130434782608,0.0,0.0,0.005797101449275362,0.0
