,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.06739130434782609,0.004037267080745342,0.02732919254658385,0.02701863354037267,0.015838509316770187,0.031055900621118012,0.017701863354037266,0.03229813664596273,0.0,0.020496894409937887,0.0055900621118012426,0.007142857142857143,0.004968944099378882,0.017080745341614908,0.030745341614906833,0.014285714285714285,0.02701863354037267,0.009006211180124223,0.0012422360248447205,0.04440993788819876,0.003105590062111801,0.007763975155279503,0.017080745341614908,0.004968944099378882,0.007142857142857143,0.004347826086956522,0.004037267080745342,0.038198757763975154,0.008074534161490683,0.029192546583850933,0.010869565217391304,0.0055900621118012426,0.004037267080745342,0.007142857142857143,0.03571428571428571,0.0055900621118012426,0.011490683229813664,0.008074534161490683,0.013354037267080746,0.009316770186335404,0.03850931677018633,0.0037267080745341614,0.026397515527950312,0.019254658385093167,0.005900621118012423,0.0422360248447205,0.006211180124223602,0.0015527950310559005,0.010559006211180125,0.017701863354037266,0.0037267080745341614,0.0018633540372670807,0.03012422360248447,0.02142857142857143,0.02453416149068323,0.03633540372670808,0.031366459627329195,0.0034161490683229812,0.006211180124223602,0.02360248447204969,0.0055900621118012426
F3,0.005067567567567568,0.06587837837837837,0.01756756756756757,0.03513513513513514,0.008108108108108109,0.0,0.009797297297297298,0.006418918918918919,0.010472972972972974,0.0,0.022635135135135136,0.02668918918918919,0.031081081081081083,0.0,0.002027027027027027,0.0037162162162162164,0.0,0.021621621621621623,0.0013513513513513514,0.007432432432432433,0.0,0.02837837837837838,0.008783783783783784,0.037162162162162164,0.01891891891891892,0.026013513513513515,0.043243243243243246,0.018581081081081082,0.006756756756756757,0.02668918918918919,0.012162162162162163,0.0,0.0016891891891891893,0.04932432432432433,0.015540540540540541,0.01114864864864865,0.037162162162162164,0.022635135135135136,0.03885135135135135,0.031081081081081083,0.00033783783783783786,0.04358108108108108,0.0,0.00945945945945946,0.02060810810810811,0.0030405405405405407,0.0445945945945946,0.0016891891891891893,0.008108108108108109,0.0013513513513513514,0.002364864864864865,0.012837837837837839,0.0,0.009797297297297298,0.026351351351351353,0.0037162162162162164,0.024662162162162164,0.0006756756756756757,0.006081081081081081,0.033445945945945944,0.038175675675675674
F7,0.02471590909090909,0.014488636363636363,0.0625,0.030965909090909093,0.006818181818181818,0.014488636363636363,0.020738636363636365,0.02159090909090909,0.005397727272727273,0.011647727272727273,0.009375,0.010227272727272727,0.014772727272727272,0.008806818181818181,0.013068181818181817,0.004261363636363636,0.022727272727272728,0.008238636363636363,0.0011363636363636363,0.02556818181818182,0.008238636363636363,0.010795454545454546,0.013068181818181817,0.011647727272727273,0.0125,0.01534090909090909,0.015625,0.04005681818181818,0.004545454545454545,0.04261363636363636,0.017897727272727273,0.003125,0.003409090909090909,0.015625,0.028409090909090908,0.013636363636363636,0.01960227272727273,0.011079545454545455,0.023011363636363635,0.016761363636363637,0.017045454545454544,0.015909090909090907,0.012215909090909092,0.014772727272727272,0.019318181818181818,0.013920454545454545,0.017329545454545455,0.0014204545454545455,0.013636363636363636,0.015909090909090907,0.005397727272727273,0.004829545454545454,0.013068181818181817,0.01903409090909091,0.027556818181818182,0.02556818181818182,0.040625,0.002840909090909091,0.007386363636363636,0.036931818181818184,0.016761363636363637
FT9,0.019267822736030827,0.025289017341040464,0.026252408477842003,0.0626204238921002,0.011801541425818882,0.008429672447013488,0.011319845857418112,0.013969171483622351,0.005539499036608863,0.006262042389210019,0.016859344894026976,0.01854527938342967,0.013969171483622351,0.004576107899807322,0.010597302504816955,0.006502890173410405,0.011319845857418112,0.01710019267822736,0.0009633911368015414,0.023603082851637765,0.004094412331406551,0.019508670520231215,0.017341040462427744,0.023121387283236993,0.014932562620423893,0.015895953757225433,0.0197495183044316,0.02842003853564547,0.006021194605009634,0.038053949903660886,0.01613680154142582,0.0,0.0026493256262042388,0.028901734104046242,0.03420038535645472,0.004816955684007707,0.026493256262042388,0.018063583815028903,0.03540462427745665,0.02697495183044316,0.010356454720616571,0.024084778420038536,0.008670520231213872,0.013728323699421965,0.012283236994219654,0.011560693641618497,0.02842003853564547,0.0012042389210019267,0.007947976878612716,0.0072254335260115606,0.002167630057803468,0.00939306358381503,0.006262042389210019,0.013728323699421965,0.02384393063583815,0.019508670520231215,0.046483622350674374,0.0,0.0031310211946050095,0.03564547206165703,0.01878612716763006
FC5,0.018188567186340016,0.011135857461024499,0.011507052709725315,0.020415738678544914,0.06978470675575353,0.01670378619153675,0.0007423904974016332,0.034892353377876766,0.014476614699331848,0.0077951002227171495,0.011135857461024499,0.011878247958426132,0.0066815144766146995,0.0066815144766146995,0.017817371937639197,0.009651076466221232,0.0200445434298441,0.021529324424647365,0.0,0.03934669636228656,0.002969561989606533,0.01893095768374165,0.017446176688938383,0.011878247958426132,0.001855976243504083,0.0,0.012620638455827766,0.01967334818114328,0.011878247958426132,0.024498886414253896,0.020415738678544914,0.017074981440237565,0.02190051967334818,0.014476614699331848,0.014847809948032665,0.0,0.025612472160356347,0.01967334818114328,0.030066815144766147,0.03080920564216778,0.0334075723830735,0.009651076466221232,0.008166295471417966,0.0334075723830735,0.0,0.027097253155159613,0.016332590942835932,0.0,0.011507052709725315,0.0066815144766146995,0.0003711952487008166,0.016332590942835932,0.028210838901262063,0.013734224201930215,0.011878247958426132,0.022642910170749816,0.01967334818114328,0.0200445434298441,0.028953229398663696,0.01893095768374165,0.005939123979213066
FC1,0.032404603270745,0.0,0.01635372501514234,0.011205330102967898,0.015748031496062992,0.07238037552998183,0.0257419745608722,0.024530587522713507,0.00938824954572986,0.04996971532404603,0.0018170805572380376,0.003937007874015748,0.0,0.04542701393095094,0.03876438522107813,0.01150817686250757,0.029073288915808602,0.0012113870381586917,0.0,0.02483343428225318,0.0027256208358570565,0.0021199273167777106,0.025136281041792854,0.0,0.0018170805572380376,0.0006056935190793458,0.0,0.021199273167777106,0.015748031496062992,0.016050878255602665,0.010599636583888553,0.03028467595396729,0.007874015748031496,0.0,0.029073288915808602,0.00514839491217444,0.0045427013930950935,0.0045427013930950935,0.00514839491217444,0.00514839491217444,0.054512416717141125,0.0,0.059357964869775896,0.008782556026650516,0.0,0.04572986069049061,0.0,0.0,0.02301635372501514,0.020896426408237433,0.0030284675953967293,0.0012113870381586917,0.04845548152634767,0.021804966686856452,0.015748031496062992,0.03119321623258631,0.014536644457904301,0.022107813446396122,0.014536644457904301,0.013022410660205935,0.0
C3,0.024638247946812672,0.009777082518576457,0.027766914352757136,0.019163081736409855,0.00039108330074305825,0.03676183026984748,0.08290965975752836,0.010559249120062574,0.012123582323034806,0.048494329292139225,0.008212749315604223,0.005084082909659757,0.007821666014861166,0.03754399687133359,0.01838091513492374,0.0035197497066875244,0.01798983183418068,0.005475166210402816,0.001564333202972233,0.014078998826750098,0.0,0.007039499413375049,0.009385999217833398,0.009385999217833398,0.014078998826750098,0.02033633163863903,0.009385999217833398,0.02972233085647243,0.004301916308173641,0.019163081736409855,0.01564333202972233,0.023073914743840438,0.014861165428236215,0.008212749315604223,0.030504497457958545,0.028549080954243255,0.005084082909659757,0.0019554165037152915,0.0023464998044583495,0.001564333202972233,0.01798983183418068,0.008212749315604223,0.05044974579585452,0.0,0.01759874853343762,0.016425498631208447,0.008212749315604223,0.0019554165037152915,0.03637074696910442,0.021900664841611264,0.007039499413375049,0.0,0.01759874853343762,0.02072741493938209,0.02972233085647243,0.01329683222526398,0.01759874853343762,0.016816581931951506,0.016034415330465387,0.023464998044583497,0.011732499022291749
T7,0.032395287958115186,0.0068717277486911,0.024869109947643978,0.0206151832460733,0.030759162303664923,0.024214659685863876,0.0068717277486911,0.07100785340314136,0.0,0.015706806282722512,0.007853403141361256,0.008180628272251309,0.0029450261780104713,0.00981675392670157,0.018651832460732983,0.008835078534031414,0.025523560209424083,0.012761780104712041,0.0,0.04712041884816754,0.010798429319371727,0.012434554973821989,0.020287958115183247,0.007526178010471204,0.003926701570680628,0.0006544502617801048,0.0068717277486911,0.027814136125654452,0.0058900523560209425,0.030759162303664923,0.021924083769633507,0.014397905759162303,0.00981675392670157,0.004581151832460733,0.029450261780104712,0.0013089005235602095,0.01668848167539267,0.018979057591623036,0.02519633507853403,0.01767015706806283,0.03664921465968586,0.002617801047120419,0.017015706806282723,0.0281413612565445,0.0016361256544502618,0.03337696335078534,0.004581151832460733,0.0,0.007526178010471204,0.015052356020942409,0.0003272251308900524,0.00981675392670157,0.024869109947643978,0.01767015706806283,0.017342931937172776,0.04253926701570681,0.0281413612565445,0.008835078534031414,0.016361256544502618,0.022905759162303665,0.002617801047120419
TP9,0.0,0.01240791004265219,0.006979449398991857,0.010469174098487785,0.015122140364482357,0.010469174098487785,0.013571151609150834,0.0,0.08452888716556806,0.011244668476153548,0.02016285381930981,0.019775106630476928,0.030244280728964713,0.018999612252811167,0.021326095385808454,0.010081426909654904,0.0244280728964715,0.02791779759596743,0.010856921287320668,0.008530438154323382,0.0,0.018999612252811167,0.0058162078324932144,0.022101589763474216,0.010856921287320668,0.04303993796044979,0.02481582008530438,0.006203955021326095,0.0244280728964715,0.0058162078324932144,0.0058162078324932144,0.025979061651803026,0.011632415664986429,0.019775106630476928,0.01202016285381931,0.026366808840635907,0.013183404420317953,0.018224117875145406,0.011632415664986429,0.015509887553315239,0.018611865063978286,0.021326095385808454,0.013958898797983715,0.011632415664986429,0.012795657231485071,0.011244668476153548,0.019387359441644048,0.010856921287320668,0.01240791004265219,0.0077549437766576195,0.013571151609150834,0.018611865063978286,0.032570763861962,0.0077549437766576195,0.005428460643660334,0.013958898797983715,0.0038774718883288098,0.04032570763861962,0.01240791004265219,0.0046529662659945716,0.02753005040713455
CP5,0.026714801444043323,0.0,0.01588447653429603,0.009747292418772563,0.009747292418772563,0.0631768953068592,0.04007220216606498,0.020577617328519857,0.008664259927797834,0.07833935018050542,0.003249097472924188,0.0021660649819494585,0.0,0.05667870036101083,0.03176895306859206,0.010469314079422382,0.022743682310469315,0.0,0.0,0.023104693140794223,0.001444043321299639,0.0,0.023826714801444042,0.004332129963898917,0.004693140794223827,0.002527075812274368,0.0,0.020216606498194945,0.007581227436823105,0.012996389891696752,0.010830324909747292,0.037184115523465705,0.01227436823104693,0.0,0.02924187725631769,0.0148014440433213,0.0018050541516245488,0.0018050541516245488,0.001444043321299639,0.001444043321299639,0.04296028880866426,0.0,0.06859205776173286,0.003249097472924188,0.003971119133574007,0.03898916967509025,0.0021660649819494585,0.0,0.0332129963898917,0.023826714801444042,0.0036101083032490976,0.0,0.03754512635379061,0.0184115523465704,0.019133574007220218,0.020577617328519857,0.011191335740072202,0.033574007220216605,0.013357400722021661,0.01227436823104693,0.0018050541516245488
