,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.05575801749271137,0.021501457725947522,0.008381924198250729,0.016763848396501458,0.011661807580174927,0.03498542274052478,0.009475218658892129,0.01967930029154519,0.016763848396501458,0.02478134110787172,0.01858600583090379,0.002551020408163265,0.012755102040816327,0.027332361516034985,0.03206997084548105,0.02259475218658892,0.02806122448979592,0.021501457725947522,0.013848396501457727,0.022230320699708456,0.017857142857142856,0.005466472303206997,0.015306122448979591,0.015306122448979591,0.004008746355685131,0.009839650145772596,0.013119533527696793,0.014577259475218658,0.024416909620991252,0.015306122448979591,0.00510204081632653,0.00510204081632653,0.007288629737609329,0.01239067055393586,0.027696793002915453,0.010568513119533527,0.010568513119533527,0.021137026239067054,0.01129737609329446,0.0,0.028425655976676383,0.010568513119533527,0.027696793002915453,0.010932944606413994,0.009110787172011662,0.022230320699708456,0.018221574344023325,0.01749271137026239,0.017128279883381923,0.008017492711370262,0.015306122448979591,0.02040816326530612,0.021137026239067054,0.013848396501457727,0.01129737609329446,0.03899416909620991,0.017857142857142856,0.0014577259475218659,0.005466472303206997,0.008017492711370262,0.008746355685131196
F3,0.01708898055391868,0.052445492044784915,0.007365939893930465,0.016205067766647024,0.014142604596346494,0.005303476723629935,0.0026517383618149676,0.012669416617560401,0.024454920447849145,0.0008839127872716559,0.03241013553329405,0.017972893341190337,0.022981732469063054,0.0005892751915144372,0.007071302298173247,0.02740129640542133,0.0076605774896876845,0.03741897466116677,0.005008839127872717,0.006776664702416028,0.010017678255745434,0.01915144372421921,0.005303476723629935,0.02799057159693577,0.026222746022392458,0.02740129640542133,0.03241013553329405,0.019740718915733646,0.022097819681791395,0.015615792575132587,0.0020624631703005302,0.0011785503830288745,0.006187389510901591,0.038892162639952856,0.013553329404832056,0.020035356511490868,0.03417796110783736,0.03417796110783736,0.03594578668238067,0.007071302298173247,0.0017678255745433118,0.03948143783146729,0.002357100766057749,0.022687094873305835,0.02799057159693577,0.0,0.04036535061873895,0.010901591043017089,0.010312315851502652,0.0041249263406010605,0.0011785503830288745,0.02150854449027696,0.0005892751915144372,0.00854449027695934,0.005008839127872717,0.019446081319976428,0.013847967000589274,0.00441956393635828,0.0020624631703005302,0.008249852681202121,0.03741897466116677
F7,0.010096374483708122,0.011932078935291418,0.05966039467645709,0.029830197338228545,0.012849931161083065,0.023405231757687012,0.012391005048187242,0.03579623680587425,0.002294630564479119,0.024782010096374485,0.006883891693437357,0.005507113354749885,0.005507113354749885,0.007801743919229004,0.014685635612666361,0.014685635612666361,0.012391005048187242,0.008719596145020651,0.03396053235429096,0.024782010096374485,0.014685635612666361,0.005966039467645709,0.002294630564479119,0.009637448370812299,0.008260670032124828,0.007801743919229004,0.004589261128958238,0.02294630564479119,0.0,0.04038549793483249,0.029371271225332722,0.016521340064249657,0.03396053235429096,0.007801743919229004,0.011932078935291418,0.007801743919229004,0.01101422670949977,0.005507113354749885,0.023864157870582835,0.0036714089031665903,0.021569527306103717,0.011473152822395595,0.023405231757687012,0.02294630564479119,0.010096374483708122,0.01698026617714548,0.01101422670949977,0.025240936209270308,0.012391005048187242,0.012849931161083065,0.019274896741624598,0.010096374483708122,0.021110601193207894,0.010096374483708122,0.027076640660853604,0.014226709499770536,0.029830197338228545,0.002294630564479119,0.026158788435061954,0.033501606241395136,0.012391005048187242
FT9,0.019736842105263157,0.02412280701754386,0.02763157894736842,0.056140350877192984,0.010526315789473684,0.013596491228070176,0.010526315789473684,0.01929824561403509,0.013596491228070176,0.007456140350877193,0.015350877192982455,0.012719298245614035,0.014912280701754385,0.008333333333333333,0.013157894736842105,0.02324561403508772,0.014912280701754385,0.02543859649122807,0.02587719298245614,0.02850877192982456,0.014912280701754385,0.017105263157894738,0.007456140350877193,0.016666666666666666,0.008333333333333333,0.016228070175438595,0.010526315789473684,0.01929824561403509,0.015350877192982455,0.03245614035087719,0.018859649122807017,0.0061403508771929825,0.016228070175438595,0.017105263157894738,0.02017543859649123,0.009210526315789473,0.010526315789473684,0.017105263157894738,0.02368421052631579,0.005263157894736842,0.0061403508771929825,0.016228070175438595,0.010087719298245614,0.016228070175438595,0.013596491228070176,0.003947368421052632,0.02412280701754386,0.02543859649122807,0.011842105263157895,0.0008771929824561404,0.007017543859649123,0.02587719298245614,0.0035087719298245615,0.0043859649122807015,0.017105263157894738,0.018859649122807017,0.03859649122807018,0.0017543859649122807,0.015789473684210527,0.03640350877192983,0.014473684210526316
FC5,0.013654618473895583,0.01967871485943775,0.011646586345381526,0.009236947791164659,0.06987951807228916,0.01646586345381526,0.0024096385542168677,0.040562248995983936,0.01646586345381526,0.011244979919678716,0.024899598393574297,0.01927710843373494,0.009236947791164659,0.007630522088353414,0.021686746987951807,0.016867469879518072,0.021285140562248995,0.017670682730923693,0.007228915662650603,0.014859437751004016,0.021285140562248995,0.020080321285140562,0.021686746987951807,0.01606425702811245,0.02610441767068273,0.00963855421686747,0.01566265060240964,0.024899598393574297,0.02570281124497992,0.015261044176706828,0.004016064257028112,0.014457831325301205,0.01325301204819277,0.01646586345381526,0.0024096385542168677,0.006024096385542169,0.023293172690763052,0.024497991967871485,0.024497991967871485,0.004819277108433735,0.014056224899598393,0.018473895582329317,0.011244979919678716,0.05381526104417671,0.008032128514056224,0.01566265060240964,0.016867469879518072,0.010441767068273093,0.026907630522088354,0.007228915662650603,0.0,0.00963855421686747,0.011244979919678716,0.01325301204819277,0.008032128514056224,0.030120481927710843,0.006827309236947791,0.016867469879518072,0.006827309236947791,0.0036144578313253013,0.008835341365461847
FC1,0.026918671248568157,0.004868270332187858,0.014891179839633447,0.00859106529209622,0.010309278350515464,0.06013745704467354,0.014891179839633447,0.026345933562428408,0.009450171821305841,0.04438717067583047,0.0074455899198167235,0.002577319587628866,0.006586483390607102,0.038946162657502864,0.03951890034364261,0.008304696449026346,0.036941580756013746,0.006013745704467354,0.02004581901489118,0.025486827033218785,0.017468499427262314,0.0037227949599083618,0.016036655211912942,0.00429553264604811,0.0028636884306987398,0.0057273768613974796,0.0014318442153493699,0.014604810996563574,0.01575028636884307,0.01861397479954181,0.014032073310423826,0.0143184421534937,0.017754868270332187,0.0,0.02434135166093929,0.009450171821305841,0.000286368843069874,0.005154639175257732,0.0028636884306987398,0.0,0.045819014891179836,0.0,0.049255441008018326,0.009163802978235968,0.00429553264604811,0.029209621993127148,0.004009163802978236,0.02147766323024055,0.02147766323024055,0.017468499427262314,0.02577319587628866,0.00859106529209622,0.04324169530355097,0.024054982817869417,0.02004581901489118,0.02720504009163803,0.013459335624284079,0.009450171821305841,0.013459335624284079,0.009736540664375716,0.0014318442153493699
C3,0.01299468399291199,0.004134672179562906,0.01535735380980508,0.014766686355581808,0.0035440047253396337,0.026580035440047254,0.06497341996455995,0.0070880094506792675,0.02067336089781453,0.04193738924985233,0.02303603071470762,0.004725339633786178,0.02303603071470762,0.032486709982279975,0.005906674542232723,0.0035440047253396337,0.010632014176018901,0.0017720023626698169,0.021854695806261076,0.02067336089781453,0.01594802126402835,0.005316007088009451,0.01772002362669817,0.0,0.01535735380980508,0.03307737743650325,0.005316007088009451,0.02008269344359126,0.013585351447135264,0.01772002362669817,0.0070880094506792675,0.005906674542232723,0.008269344359125812,0.0,0.013585351447135264,0.034258712344949795,0.0,0.0,0.005316007088009451,0.0,0.019492025989367986,0.005316007088009451,0.04311872415829888,0.004134672179562906,0.027761370348493797,0.01535735380980508,0.002362669816893089,0.02244536326048435,0.02303603071470762,0.011222681630242174,0.03484937979917307,0.012404016538688719,0.024808033077377438,0.039574719432959246,0.0318960425280567,0.01831069108092144,0.01772002362669817,0.017129356172474897,0.00767867690490254,0.029533372711163616,0.013585351447135264
T7,0.018481182795698926,0.012768817204301076,0.02620967741935484,0.014112903225806451,0.03125,0.032594086021505375,0.003696236559139785,0.06317204301075269,0.0023521505376344087,0.020833333333333332,0.011760752688172043,0.011760752688172043,0.008400537634408602,0.012768817204301076,0.02956989247311828,0.011088709677419355,0.023521505376344086,0.011760752688172043,0.02385752688172043,0.028225806451612902,0.019153225806451613,0.012768817204301076,0.017137096774193547,0.009408602150537635,0.012096774193548387,0.003360215053763441,0.00571236559139785,0.02620967741935484,0.009072580645161291,0.029233870967741934,0.016129032258064516,0.017137096774193547,0.023185483870967742,0.009744623655913979,0.007728494623655914,0.0010080645161290322,0.010752688172043012,0.014448924731182795,0.02049731182795699,0.004368279569892473,0.028225806451612902,0.01310483870967742,0.019489247311827957,0.03326612903225806,0.004704301075268817,0.02486559139784946,0.011088709677419355,0.022513440860215055,0.015793010752688172,0.008064516129032258,0.01243279569892473,0.010080645161290322,0.023521505376344086,0.008064516129032258,0.012096774193548387,0.025873655913978496,0.019489247311827957,0.0030241935483870967,0.018145161290322582,0.01310483870967742,0.00571236559139785
TP9,0.01653196179279941,0.0319617927994122,0.0014695077149155032,0.012123438648052902,0.01653196179279941,0.01322556943423953,0.013960323291697281,0.0029390154298310064,0.05216752387950037,0.010286554004408524,0.026083761939750184,0.007714915503306392,0.025349008082292433,0.01689933872152829,0.0106539309331374,0.022777369581190303,0.012490815576781777,0.03306392358559882,0.002571638501102131,0.004041146216017634,0.01653196179279941,0.012123438648052902,0.0069801616458486405,0.017266715650257163,0.031227038941954444,0.03820720058780309,0.02718589272593681,0.011021307861866276,0.04188096987509184,0.0036737692872887582,0.0007347538574577516,0.0007347538574577516,0.0003673769287288758,0.02902277736958119,0.012490815576781777,0.03085966201322557,0.026083761939750184,0.02461425422483468,0.029757531227038943,0.004041146216017634,0.006612784717119765,0.02828802351212344,0.014695077149155033,0.012858192505510653,0.03379867744305658,0.002204261572373255,0.03379867744305658,0.0036737692872887582,0.020573108008817047,0.007714915503306392,0.005143277002204262,0.022409992652461425,0.006245407788390889,0.01689933872152829,0.002571638501102131,0.02204261572373255,0.005510653930933138,0.02645113886847906,0.0,0.0018368846436443791,0.02902277736958119
CP5,0.02183555100648243,0.0017059024223814397,0.019447287615148412,0.006482429205049471,0.008870692596383487,0.05185943364039577,0.02456499488229273,0.021494370522006142,0.009553053565336063,0.05834186284544524,0.008870692596383487,0.001364721937905152,0.01023541453428864,0.03855339474582054,0.0283179802115319,0.008870692596383487,0.0255885363357216,0.000682360968952576,0.02354145342886387,0.024223814397816446,0.017741385192766974,0.0017059024223814397,0.015353121801432957,0.0,0.00511770726714432,0.00989423404981235,0.0,0.01023541453428864,0.00989423404981235,0.01842374616171955,0.01842374616171955,0.01842374616171955,0.02183555100648243,0.0,0.018082565677243263,0.01501194131695667,0.0,0.0,0.000682360968952576,0.0,0.04435346298191743,0.0,0.057318321392016376,0.007505970658478335,0.008188331627430911,0.03207096554077107,0.000682360968952576,0.022517911975435005,0.023882633913340157,0.01671784373933811,0.03172978505629478,0.0037529853292391675,0.04435346298191743,0.03036506311838963,0.024223814397816446,0.02320027294438758,0.009553053565336063,0.009553053565336063,0.017400204708290685,0.014329580348004094,0.0030706243602865915
