,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.07346938775510205,0.0,0.004081632653061225,0.0,0.044897959183673466,0.05714285714285714,0.0,0.061224489795918366,0.0,0.053061224489795916,0.0,0.0,0.0,0.04897959183673469,0.05714285714285714,0.0,0.0163265306122449,0.0,0.012244897959183673,0.06938775510204082,0.0,0.0,0.012244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.012244897959183673,0.061224489795918366,0.012244897959183673,0.012244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0326530612244898,0.0163265306122449,0.0,0.06938775510204082,0.0,0.0,0.0163265306122449,0.00816326530612245,0.0,0.0,0.053061224489795916,0.00816326530612245,0.0,0.05714285714285714,0.00816326530612245,0.0,0.04897959183673469,0.0163265306122449,0.0
F3,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0625,0.020833333333333332,0.0625,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.017361111111111112,0.06944444444444445,0.06597222222222222,0.0625,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0625,0.04513888888888889,0.06597222222222222,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.024305555555555556,0.0,0.06597222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445
F7,0.03636363636363636,0.0,0.01818181818181818,0.0,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.0,0.03636363636363636,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.03636363636363636,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0594059405940594,0.0,0.0049504950495049506,0.0,0.04950495049504951,0.054455445544554455,0.0,0.0594059405940594,0.0,0.054455445544554455,0.0,0.0,0.0,0.04950495049504951,0.054455445544554455,0.0,0.019801980198019802,0.0,0.01485148514851485,0.0594059405940594,0.0,0.0,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.0594059405940594,0.01485148514851485,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054455445544554455,0.0,0.039603960396039604,0.019801980198019802,0.0,0.0594059405940594,0.0,0.0,0.019801980198019802,0.009900990099009901,0.0,0.0,0.054455445544554455,0.009900990099009901,0.0,0.054455445544554455,0.009900990099009901,0.0,0.04950495049504951,0.019801980198019802,0.0
FC1,0.06521739130434782,0.0,0.004347826086956522,0.0,0.04782608695652174,0.05652173913043478,0.0,0.06086956521739131,0.0,0.05652173913043478,0.0,0.0,0.0,0.05217391304347826,0.05652173913043478,0.0,0.017391304347826087,0.0,0.013043478260869565,0.06086956521739131,0.0,0.0,0.013043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.013043478260869565,0.06086956521739131,0.013043478260869565,0.013043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05652173913043478,0.0,0.034782608695652174,0.017391304347826087,0.0,0.06086956521739131,0.0,0.0,0.017391304347826087,0.008695652173913044,0.0,0.0,0.05652173913043478,0.008695652173913044,0.0,0.05652173913043478,0.008695652173913044,0.0,0.05217391304347826,0.017391304347826087,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.06694560669456066,0.0,0.0041841004184100415,0.0,0.04602510460251046,0.058577405857740586,0.0,0.06276150627615062,0.0,0.05439330543933055,0.0,0.0,0.0,0.0502092050209205,0.058577405857740586,0.0,0.016736401673640166,0.0,0.012552301255230125,0.06276150627615062,0.0,0.0,0.012552301255230125,0.0,0.0,0.0,0.0,0.0,0.0,0.012552301255230125,0.06276150627615062,0.012552301255230125,0.012552301255230125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058577405857740586,0.0,0.03347280334728033,0.016736401673640166,0.0,0.06276150627615062,0.0,0.0,0.016736401673640166,0.008368200836820083,0.0,0.0,0.05439330543933055,0.008368200836820083,0.0,0.058577405857740586,0.008368200836820083,0.0,0.0502092050209205,0.016736401673640166,0.0
TP9,0.0,0.06086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.05217391304347826,0.0,0.06086956521739131,0.02608695652173913,0.05652173913043478,0.0,0.0,0.0,0.0,0.030434782608695653,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.06086956521739131,0.06086956521739131,0.06086956521739131,0.0,0.06086956521739131,0.0,0.0,0.0,0.0,0.05652173913043478,0.05652173913043478,0.06086956521739131,0.0,0.0,0.06086956521739131,0.0,0.0,0.06086956521739131,0.0,0.0,0.030434782608695653,0.0,0.06086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06086956521739131
CP5,0.06451612903225806,0.0,0.004608294930875576,0.0,0.05069124423963134,0.055299539170506916,0.0,0.059907834101382486,0.0,0.055299539170506916,0.0,0.0,0.0,0.05069124423963134,0.055299539170506916,0.0,0.018433179723502304,0.0,0.013824884792626729,0.059907834101382486,0.0,0.0,0.013824884792626729,0.0,0.0,0.0,0.0,0.0,0.0,0.013824884792626729,0.059907834101382486,0.013824884792626729,0.013824884792626729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055299539170506916,0.0,0.03686635944700461,0.018433179723502304,0.0,0.059907834101382486,0.0,0.0,0.018433179723502304,0.009216589861751152,0.0,0.0,0.055299539170506916,0.009216589861751152,0.0,0.055299539170506916,0.009216589861751152,0.0,0.05069124423963134,0.018433179723502304,0.0
