,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.07142857142857142,0.0,0.04201680672268908,0.0,0.0,0.0661764705882353,0.04411764705882353,0.0430672268907563,0.0,0.052521008403361345,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.025210084033613446,0.0,0.0,0.028361344537815126,0.0,0.0,0.0,0.0,0.06512605042016807,0.0,0.038865546218487396,0.0,0.0,0.0,0.0,0.026260504201680673,0.0,0.0,0.0,0.0,0.0,0.0661764705882353,0.0,0.058823529411764705,0.0,0.0,0.07247899159663866,0.0,0.0,0.0,0.0,0.0,0.0,0.0661764705882353,0.06827731092436974,0.026260504201680673,0.05357142857142857,0.0,0.0,0.0,0.026260504201680673,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.05555555555555555,0.0,0.05416666666666667,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05277777777777778,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.03333333333333333,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05138888888888889,0.0,0.0,0.0,0.0,0.034722222222222224,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.034722222222222224,0.05555555555555555,0.0,0.0,0.0,0.034722222222222224,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.06745182012847965,0.0,0.042826552462526764,0.0,0.0,0.06638115631691649,0.044967880085653104,0.043897216274089934,0.0,0.05353319057815846,0.0,0.0,0.0,0.0,0.0,0.0,0.059957173447537475,0.0,0.0,0.02569593147751606,0.0,0.0,0.028907922912205567,0.0,0.0,0.0,0.0,0.06531049250535331,0.0,0.03961456102783726,0.0,0.0,0.0,0.0,0.02676659528907923,0.0,0.0,0.0,0.0,0.0,0.06531049250535331,0.0,0.059957173447537475,0.0,0.0,0.06745182012847965,0.0,0.0,0.0,0.0,0.0,0.0,0.06638115631691649,0.06745182012847965,0.02676659528907923,0.05460385438972163,0.0,0.0,0.0,0.02676659528907923,0.0
C3,0.05675675675675676,0.0,0.051351351351351354,0.0,0.0,0.05675675675675676,0.05540540540540541,0.05,0.0,0.05675675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.05675675675675676,0.0,0.0,0.032432432432432434,0.0,0.0,0.03648648648648649,0.0,0.0,0.0,0.0,0.05675675675675676,0.0,0.04864864864864865,0.0,0.0,0.0,0.0,0.033783783783783786,0.0,0.0,0.0,0.0,0.0,0.05675675675675676,0.0,0.05675675675675676,0.0,0.0,0.05675675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.05675675675675676,0.05675675675675676,0.033783783783783786,0.05675675675675676,0.0,0.0,0.0,0.033783783783783786,0.0
T7,0.05593451568894952,0.0,0.054570259208731244,0.0,0.0,0.05593451568894952,0.05320600272851296,0.054570259208731244,0.0,0.05593451568894952,0.0,0.0,0.0,0.0,0.0,0.0,0.05593451568894952,0.0,0.0,0.03274215552523874,0.0,0.0,0.036834924965893585,0.0,0.0,0.0,0.0,0.05593451568894952,0.0,0.0504774897680764,0.0,0.0,0.0,0.0,0.034106412005457026,0.0,0.0,0.0,0.0,0.0,0.05593451568894952,0.0,0.05593451568894952,0.0,0.0,0.05593451568894952,0.0,0.0,0.0,0.0,0.0,0.0,0.05593451568894952,0.05593451568894952,0.034106412005457026,0.05593451568894952,0.0,0.0,0.0,0.034106412005457026,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15333333333333332,0.0,0.0,0.013333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.04666666666666667,0.0,0.16666666666666666,0.0,0.16,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.04666666666666667,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.04666666666666667,0.0,0.0,0.006666666666666667,0.0,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
CP5,0.06016847172081829,0.0,0.048134777376654635,0.0,0.0,0.06016847172081829,0.05054151624548736,0.048134777376654635,0.0,0.05896510228640193,0.0,0.0,0.0,0.0,0.0,0.0,0.06016847172081829,0.0,0.0,0.02888086642599278,0.0,0.0,0.032490974729241874,0.0,0.0,0.0,0.0,0.06016847172081829,0.0,0.044524669073405534,0.0,0.0,0.0,0.0,0.030084235860409144,0.0,0.0,0.0,0.0,0.0,0.06016847172081829,0.0,0.06016847172081829,0.0,0.0,0.06016847172081829,0.0,0.0,0.0,0.0,0.0,0.0,0.06016847172081829,0.06016847172081829,0.030084235860409144,0.056558363417569195,0.0,0.0,0.0,0.030084235860409144,0.0
