,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.016898608349900597,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.013916500994035786,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.016898608349900597,0.012922465208747515,0.019880715705765408,0.019880715705765408,0.017892644135188866,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.015904572564612324,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.015904572564612324,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.018886679920477135,0.019880715705765408,0.015904572564612324,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408,0.019880715705765408
S1_D3 hbo,0.012851897184822521,0.02386780905752754,0.02386780905752754,0.01040391676866585,0.022643818849449205,0.01835985312117503,0.022031823745410038,0.008567931456548347,0.012239902080783354,0.0208078335373317,0.021419828641370868,0.02386780905752754,0.01835985312117503,0.018971848225214197,0.012851897184822521,0.01040391676866585,0.00795593635250918,0.02386780905752754,0.02386780905752754,0.011015911872705019,0.02386780905752754,0.02386780905752754,0.01835985312117503,0.02386780905752754,0.02386780905752754,0.009791921664626682,0.012239902080783354,0.012851897184822521,0.020195838433292534,0.021419828641370868,0.02386780905752754,0.023255813953488372,0.02386780905752754,0.009791921664626682,0.02386780905752754,0.023255813953488372,0.02386780905752754,0.02386780905752754,0.011627906976744186,0.02386780905752754,0.009791921664626682,0.0208078335373317,0.02386780905752754,0.02386780905752754,0.0208078335373317,0.02386780905752754,0.02386780905752754,0.016523867809057527,0.018971848225214197,0.020195838433292534,0.02386780905752754,0.02386780905752754
S2_D1 hbo,0.012696493349455865,0.02418379685610641,0.02418379685610641,0.010278113663845224,0.022370012091898428,0.018137847642079808,0.02176541717049577,0.008464328899637243,0.012091898428053204,0.020556227327690448,0.021160822249093107,0.02357920193470375,0.018137847642079808,0.018742442563482467,0.012696493349455865,0.010278113663845224,0.007859733978234583,0.02418379685610641,0.02418379685610641,0.010882708585247884,0.02418379685610641,0.02418379685610641,0.018137847642079808,0.02418379685610641,0.02418379685610641,0.009673518742442563,0.012091898428053204,0.012696493349455865,0.01995163240628779,0.021160822249093107,0.02418379685610641,0.022974607013301087,0.02418379685610641,0.009673518742442563,0.02418379685610641,0.022974607013301087,0.02418379685610641,0.02418379685610641,0.011487303506650543,0.02418379685610641,0.009673518742442563,0.020556227327690448,0.02418379685610641,0.02418379685610641,0.020556227327690448,0.02418379685610641,0.02418379685610641,0.016324062877871828,0.018742442563482467,0.01995163240628779,0.02418379685610641,0.02418379685610641
S2_D2 hbo,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.016928657799274487,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.015719467956469165,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126,0.019347037484885126
S2_D4 hbo,0.013409961685823755,0.022988505747126436,0.022988505747126436,0.010855683269476373,0.022988505747126436,0.019157088122605363,0.022988505747126436,0.008939974457215836,0.01277139208173691,0.021711366538952746,0.02234993614303959,0.022988505747126436,0.019157088122605363,0.01979565772669221,0.013409961685823755,0.010855683269476373,0.008301404853128991,0.022988505747126436,0.022988505747126436,0.011494252873563218,0.022988505747126436,0.022988505747126436,0.019157088122605363,0.022988505747126436,0.022988505747126436,0.010217113665389528,0.01277139208173691,0.013409961685823755,0.0210727969348659,0.02234993614303959,0.022988505747126436,0.022988505747126436,0.022988505747126436,0.010217113665389528,0.022988505747126436,0.022988505747126436,0.022988505747126436,0.022988505747126436,0.012132822477650063,0.022988505747126436,0.010217113665389528,0.021711366538952746,0.022988505747126436,0.022988505747126436,0.021711366538952746,0.022988505747126436,0.022988505747126436,0.017241379310344827,0.01979565772669221,0.0210727969348659,0.022988505747126436,0.022988505747126436
S3_D1 hbo,0.015567086730911787,0.021497405485544848,0.021497405485544848,0.012601927353595256,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.010378057820607857,0.014825796886582653,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.015567086730911787,0.012601927353595256,0.009636767976278725,0.021497405485544848,0.021497405485544848,0.013343217197924388,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.011860637509266123,0.014825796886582653,0.015567086730911787,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.011860637509266123,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.014084507042253521,0.021497405485544848,0.011860637509266123,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.02001482579688658,0.021497405485544848,0.021497405485544848,0.021497405485544848,0.021497405485544848
S3_D3 hbo,0.0136275146009085,0.0227125243348475,0.0227125243348475,0.011031797534068787,0.0227125243348475,0.01946787800129786,0.0227125243348475,0.009085009733939001,0.012978585334198572,0.022063595068137574,0.0227125243348475,0.0227125243348475,0.01946787800129786,0.020116807268007787,0.0136275146009085,0.011031797534068787,0.008436080467229072,0.0227125243348475,0.0227125243348475,0.011680726800778715,0.0227125243348475,0.0227125243348475,0.01946787800129786,0.0227125243348475,0.0227125243348475,0.010382868267358857,0.012978585334198572,0.0136275146009085,0.021414665801427646,0.0227125243348475,0.0227125243348475,0.0227125243348475,0.0227125243348475,0.010382868267358857,0.0227125243348475,0.0227125243348475,0.0227125243348475,0.0227125243348475,0.012329656067488644,0.0227125243348475,0.010382868267358857,0.022063595068137574,0.0227125243348475,0.0227125243348475,0.022063595068137574,0.0227125243348475,0.0227125243348475,0.01752109020116807,0.020116807268007787,0.021414665801427646,0.0227125243348475,0.0227125243348475
S3_D4 hbo,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
S3_D5 hbo,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.017653167185877467,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.014537902388369679,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.017653167185877467,0.013499480789200415,0.01973001038421599,0.01973001038421599,0.018691588785046728,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.016614745586708203,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.016614745586708203,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.016614745586708203,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599,0.01973001038421599
S4_D2 hbo,0.014150943396226415,0.02223719676549865,0.02223719676549865,0.011455525606469003,0.02223719676549865,0.02021563342318059,0.02223719676549865,0.009433962264150943,0.013477088948787063,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02021563342318059,0.020889487870619946,0.014150943396226415,0.011455525606469003,0.00876010781671159,0.02223719676549865,0.02223719676549865,0.012129380053908356,0.02223719676549865,0.02223719676549865,0.02021563342318059,0.02223719676549865,0.02223719676549865,0.01078167115902965,0.013477088948787063,0.014150943396226415,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.01078167115902965,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.012803234501347708,0.02223719676549865,0.01078167115902965,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.02223719676549865,0.018194070080862535,0.020889487870619946,0.02223719676549865,0.02223719676549865,0.02223719676549865
