,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0990990990990991,0.012012012012012012,0.0,0.024024024024024024,0.0,0.018018018018018018,0.04804804804804805,0.0,0.021021021021021023,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.036036036036036036,0.0,0.003003003003003003,0.012012012012012012,0.0,0.06606606606606606,0.0,0.0,0.0,0.03903903903903904,0.0,0.0,0.0,0.0,0.0,0.0960960960960961,0.03303303303303303,0.0,0.042042042042042045,0.0,0.0,0.02702702702702703,0.08108108108108109,0.0,0.0,0.0,0.018018018018018018,0.02702702702702703,0.02702702702702703,0.0,0.03303303303303303,0.0,0.021021021021021023,0.009009009009009009,0.0,0.04804804804804805,0.03303303303303303,0.0,0.0,0.0,0.03303303303303303,0.003003003003003003,0.0,0.0,0.03003003003003003,0.03003003003003003,0.003003003003003003,0.0
Fz,0.04032258064516129,0.03225806451612903,0.0,0.04032258064516129,0.0,0.04032258064516129,0.04032258064516129,0.0,0.04032258064516129,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.0,0.04032258064516129,0.0,0.0,0.03225806451612903,0.0,0.04032258064516129,0.0,0.0,0.0,0.04032258064516129,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.04032258064516129,0.0,0.04032258064516129,0.0,0.0,0.0,0.04032258064516129,0.0,0.0,0.0,0.04032258064516129,0.04032258064516129,0.04032258064516129,0.0,0.04032258064516129,0.0,0.04032258064516129,0.0,0.0,0.04032258064516129,0.04032258064516129,0.0,0.0,0.0,0.04032258064516129,0.0,0.0,0.0,0.04032258064516129,0.04032258064516129,0.008064516129032258,0.0
F3,0.0,0.0,0.0492091388400703,0.0,0.01054481546572935,0.0,0.0,0.01757469244288225,0.0,0.0492091388400703,0.040421792618629174,0.03866432337434095,0.0492091388400703,0.0351493848857645,0.0,0.0210896309314587,0.0,0.050966608084358524,0.028119507908611598,0.0,0.0,0.0,0.028119507908611598,0.0,0.008787346221441126,0.0,0.04569420035149385,0.0,0.0492091388400703,0.0421792618629174,0.050966608084358524,0.0,0.0,0.040421792618629174,0.0,0.040421792618629174,0.0,0.0,0.0,0.0,0.040421792618629174,0.0,0.0,0.0,0.0,0.040421792618629174,0.0,0.040421792618629174,0.0,0.0035149384885764497,0.0,0.0,0.0,0.0,0.04745166959578207,0.0492091388400703,0.0,0.0035149384885764497,0.02460456942003515,0.0421792618629174,0.0,0.0,0.0,0.012302284710017574
F7,0.04326923076923077,0.019230769230769232,0.0,0.038461538461538464,0.0,0.028846153846153848,0.04326923076923077,0.0,0.03365384615384615,0.0,0.0,0.0,0.0,0.0,0.04326923076923077,0.0,0.04326923076923077,0.0,0.0,0.019230769230769232,0.0,0.04326923076923077,0.0,0.0,0.0,0.04326923076923077,0.0,0.0,0.0,0.0,0.0,0.04326923076923077,0.04326923076923077,0.0,0.04326923076923077,0.0,0.0,0.014423076923076924,0.04326923076923077,0.0,0.0,0.0,0.028846153846153848,0.04326923076923077,0.04326923076923077,0.0,0.04326923076923077,0.0,0.03365384615384615,0.0,0.0,0.04326923076923077,0.04326923076923077,0.0,0.0,0.0,0.04326923076923077,0.0,0.0,0.0,0.04326923076923077,0.04326923076923077,0.004807692307692308,0.0
FT9,0.0,0.0,0.04285714285714286,0.0,0.03571428571428571,0.0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0.0,0.0,0.04285714285714286,0.02142857142857143,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.04285714285714286,0.0,0.0,0.04285714285714286,0.04285714285714286,0.0,0.0,0.0,0.0
FC5,0.04142011834319527,0.023668639053254437,0.0,0.04142011834319527,0.0,0.03550295857988166,0.04142011834319527,0.0,0.04142011834319527,0.0,0.0,0.0,0.0,0.0,0.04142011834319527,0.0,0.04142011834319527,0.0,0.0,0.023668639053254437,0.0,0.04142011834319527,0.0,0.0,0.0,0.04142011834319527,0.0,0.0,0.0,0.0,0.0,0.04142011834319527,0.04142011834319527,0.0,0.04142011834319527,0.0,0.0,0.005917159763313609,0.04142011834319527,0.0,0.0,0.0,0.03550295857988166,0.04142011834319527,0.04142011834319527,0.0,0.04142011834319527,0.0,0.04142011834319527,0.0,0.0,0.04142011834319527,0.04142011834319527,0.0,0.0,0.0,0.04142011834319527,0.0,0.0,0.0,0.04142011834319527,0.04142011834319527,0.005917159763313609,0.0
FC1,0.05244755244755245,0.013986013986013986,0.0,0.027972027972027972,0.0,0.02097902097902098,0.06293706293706294,0.0,0.024475524475524476,0.0034965034965034965,0.0,0.0,0.0,0.0,0.03146853146853147,0.0,0.04195804195804196,0.0034965034965034965,0.013986013986013986,0.013986013986013986,0.0,0.038461538461538464,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.04895104895104895,0.038461538461538464,0.0,0.04895104895104895,0.0,0.0,0.03146853146853147,0.04195804195804196,0.0,0.0,0.0,0.02097902097902098,0.03146853146853147,0.03146853146853147,0.0034965034965034965,0.038461538461538464,0.0,0.024475524475524476,0.02097902097902098,0.0,0.05944055944055944,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.013986013986013986,0.0,0.0,0.03496503496503497,0.03496503496503497,0.0034965034965034965,0.0
C3,0.0,0.0,0.04405286343612335,0.0,0.022026431718061675,0.0,0.0,0.039647577092511016,0.0,0.04405286343612335,0.04405286343612335,0.04405286343612335,0.04405286343612335,0.04405286343612335,0.0,0.0,0.0,0.04405286343612335,0.013215859030837005,0.0,0.0,0.0,0.04405286343612335,0.0,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.04405286343612335,0.04405286343612335,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.0,0.0,0.0,0.0,0.04405286343612335,0.0,0.0,0.0,0.0,0.04405286343612335,0.0,0.04405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.04405286343612335,0.04405286343612335,0.0,0.0,0.04405286343612335,0.04405286343612335,0.0,0.0,0.0,0.0
T7,0.042328042328042326,0.021164021164021163,0.0,0.042328042328042326,0.0,0.031746031746031744,0.042328042328042326,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.042328042328042326,0.0,0.042328042328042326,0.0,0.0,0.021164021164021163,0.0,0.042328042328042326,0.0,0.0,0.0,0.042328042328042326,0.0,0.0,0.0,0.0,0.0,0.042328042328042326,0.042328042328042326,0.0,0.042328042328042326,0.0,0.0,0.010582010582010581,0.042328042328042326,0.0,0.0,0.0,0.031746031746031744,0.042328042328042326,0.042328042328042326,0.0,0.042328042328042326,0.0,0.037037037037037035,0.0,0.0,0.042328042328042326,0.042328042328042326,0.0,0.0,0.0,0.042328042328042326,0.0,0.0,0.0,0.042328042328042326,0.042328042328042326,0.005291005291005291,0.0
TP9,0.0,0.0,0.04865771812080537,0.0,0.010067114093959731,0.0,0.0,0.016778523489932886,0.0,0.05201342281879195,0.03859060402684564,0.03691275167785235,0.04697986577181208,0.03355704697986577,0.0,0.020134228187919462,0.0,0.053691275167785234,0.031879194630872486,0.0,0.0,0.0,0.026845637583892617,0.0,0.013422818791946308,0.0,0.0436241610738255,0.0,0.04697986577181208,0.040268456375838924,0.04865771812080537,0.0,0.0,0.03859060402684564,0.0,0.03859060402684564,0.0,0.0,0.0,0.0,0.0436241610738255,0.0,0.0,0.0,0.0,0.0436241610738255,0.0,0.03859060402684564,0.0,0.008389261744966443,0.0,0.0,0.0,0.0,0.04530201342281879,0.04697986577181208,0.0,0.008389261744966443,0.02348993288590604,0.040268456375838924,0.0,0.0,0.0,0.015100671140939598
CP5,0.0,0.0,0.04609218436873747,0.0,0.012024048096192385,0.0,0.0,0.02004008016032064,0.0,0.04609218436873747,0.04408817635270541,0.04408817635270541,0.04609218436873747,0.04008016032064128,0.0,0.022044088176352707,0.0,0.04609218436873747,0.028056112224448898,0.0,0.0,0.0,0.03206412825651302,0.0,0.006012024048096192,0.0,0.04408817635270541,0.0,0.04609218436873747,0.04408817635270541,0.04609218436873747,0.0,0.0,0.03807615230460922,0.0,0.04208416833667335,0.0,0.0,0.0,0.0,0.04208416833667335,0.0,0.0,0.0,0.0,0.04208416833667335,0.0,0.04609218436873747,0.0,0.0,0.0,0.0,0.0,0.0,0.04609218436873747,0.04609218436873747,0.0,0.0,0.028056112224448898,0.04609218436873747,0.0,0.0,0.0,0.01002004008016032
