,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.05276595744680851,0.0,0.02468085106382979,0.03574468085106383,0.005106382978723404,0.01957446808510638,0.0451063829787234,0.01276595744680851,0.04340425531914894,0.023829787234042554,0.0,0.01702127659574468,0.0,0.01957446808510638,0.04340425531914894,0.0,0.005957446808510639,0.0,0.01872340425531915,0.02893617021276596,0.0,0.001702127659574468,0.0,0.0,0.04340425531914894,0.0,0.023829787234042554,0.02553191489361702,0.02127659574468085,0.0,0.0,0.0,0.005106382978723404,0.0425531914893617,0.0,0.010212765957446808,0.011063829787234043,0.03659574468085106,0.007659574468085106,0.000851063829787234,0.00425531914893617,0.01957446808510638,0.000851063829787234,0.02468085106382979,0.0,0.02297872340425532,0.03914893617021276,0.0,0.0,0.001702127659574468,0.04765957446808511,0.0,0.0,0.05021276595744681,0.05361702127659575,0.02723404255319149,0.0,0.01957446808510638,0.0,0.0,0.016170212765957447,0.04595744680851064
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.03875,0.0,0.03875,0.02375,0.01,0.0175,0.03,0.0075,0.0275,0.02125,0.0,0.0275,0.0025,0.03125,0.03625,0.0025,0.01125,0.0,0.03,0.03625,0.0,0.005,0.00125,0.0,0.03,0.0,0.02375,0.03125,0.0275,0.0,0.0,0.0,0.0075,0.0275,0.0,0.0175,0.01875,0.04,0.01375,0.00375,0.00875,0.03125,0.00375,0.0275,0.0,0.03375,0.02625,0.0,0.0,0.005,0.03625,0.0,0.0,0.03125,0.03625,0.03625,0.0,0.02375,0.0,0.0,0.02625,0.03375
FC5,0.0,0.0468187274909964,0.0,0.02040816326530612,0.05042016806722689,0.0,0.031212484993997598,0.05162064825930372,0.02040816326530612,0.05282112845138055,0.03721488595438175,0.0,0.009603841536614645,0.0,0.013205282112845138,0.04081632653061224,0.0,0.0,0.0,0.012004801920768308,0.027611044417767107,0.0,0.0,0.0,0.0,0.04921968787515006,0.0,0.03361344537815126,0.027611044417767107,0.025210084033613446,0.0,0.0,0.0,0.0,0.05162064825930372,0.0,0.0,0.0012004801920768306,0.028811524609843937,0.0,0.0,0.0,0.013205282112845138,0.0,0.030012004801920768,0.0,0.02040816326530612,0.05042016806722689,0.0,0.0,0.0,0.04441776710684274,0.0,0.0,0.05282112845138055,0.05042016806722689,0.025210084033613446,0.0,0.026410564225690276,0.0,0.0,0.008403361344537815,0.0468187274909964
FC1,0.0,0.009592326139088728,0.0,0.011990407673860911,0.0,0.05755395683453238,0.0,0.001199040767386091,0.0,0.0,0.0,0.03117505995203837,0.011990407673860911,0.04436450839328537,0.014388489208633094,0.007194244604316547,0.04316546762589928,0.014388489208633094,0.0,0.013189448441247002,0.007194244604316547,0.03597122302158273,0.050359712230215826,0.04436450839328537,0.0,0.001199040767386091,0.0,0.0,0.002398081534772182,0.0,0.03477218225419664,0.015587529976019185,0.03597122302158273,0.007194244604316547,0.0,0.014388489208633094,0.022781774580335732,0.02038369304556355,0.01079136690647482,0.05755395683453238,0.039568345323741004,0.05155875299760192,0.01079136690647482,0.045563549160671464,0.0,0.013189448441247002,0.005995203836930456,0.0,0.0,0.01079136690647482,0.02038369304556355,0.007194244604316547,0.026378896882494004,0.011990407673860911,0.002398081534772182,0.007194244604316547,0.007194244604316547,0.03237410071942446,0.0,0.02997601918465228,0.03597122302158273,0.015587529976019185,0.004796163069544364
C3,0.0,0.03910614525139665,0.0,0.0223463687150838,0.0446927374301676,0.0,0.048417132216014895,0.0446927374301676,0.03165735567970205,0.04655493482309125,0.04655493482309125,0.0,0.00558659217877095,0.0,0.0111731843575419,0.037243947858473,0.0,0.0,0.0,0.00931098696461825,0.0335195530726257,0.0,0.0,0.0,0.0,0.04283054003724395,0.0,0.04283054003724395,0.0335195530726257,0.0297951582867784,0.0,0.0,0.00186219739292365,0.0,0.0446927374301676,0.0,0.0,0.0,0.0297951582867784,0.0,0.0,0.0,0.0111731843575419,0.0,0.037243947858473,0.00186219739292365,0.0223463687150838,0.0446927374301676,0.0,0.0,0.0,0.03910614525139665,0.0,0.0,0.048417132216014895,0.04283054003724395,0.0297951582867784,0.0,0.03165735567970205,0.0,0.0,0.0037243947858473,0.040968342644320296
T7,0.0,0.04757281553398058,0.0,0.021359223300970873,0.04271844660194175,0.0,0.02524271844660194,0.05242718446601942,0.01650485436893204,0.05339805825242718,0.030097087378640777,0.0,0.01262135922330097,0.0,0.015533980582524271,0.04271844660194175,0.0,0.0,0.0,0.014563106796116505,0.027184466019417475,0.0,0.0,0.0,0.0,0.04951456310679612,0.0,0.02815533980582524,0.027184466019417475,0.024271844660194174,0.0,0.0,0.0,0.0,0.05242718446601942,0.0,0.0048543689320388345,0.005825242718446602,0.03300970873786408,0.001941747572815534,0.0,0.0,0.015533980582524271,0.0,0.02815533980582524,0.0,0.021359223300970873,0.04660194174757282,0.0,0.0,0.0,0.04563106796116505,0.0,0.0,0.05436893203883495,0.05242718446601942,0.02524271844660194,0.0,0.02233009708737864,0.0,0.0,0.011650485436893204,0.04757281553398058
TP9,0.0,0.040880503144654086,0.0,0.012578616352201259,0.050314465408805034,0.0,0.05345911949685535,0.050314465408805034,0.050314465408805034,0.05345911949685535,0.05345911949685535,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.031446540880503145,0.0,0.0,0.0,0.0,0.04716981132075472,0.0,0.04716981132075472,0.031446540880503145,0.025157232704402517,0.0,0.0,0.0,0.0,0.050314465408805034,0.0,0.0,0.0,0.025157232704402517,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.012578616352201259,0.050314465408805034,0.0,0.0,0.0,0.040880503144654086,0.0,0.0,0.05345911949685535,0.04716981132075472,0.025157232704402517,0.0,0.02830188679245283,0.0,0.0,0.0,0.0440251572327044
CP5,0.0,0.047522750252780584,0.0,0.020222446916076844,0.044489383215369056,0.0,0.027300303336703743,0.0525783619817998,0.017189079878665317,0.056622851365015166,0.03134479271991911,0.0,0.011122345803842264,0.0,0.014155712841253791,0.042467138523761376,0.0,0.0,0.0,0.01314459049544995,0.0262891809908999,0.0,0.0,0.0,0.0,0.04954499494438827,0.0,0.029322548028311426,0.0262891809908999,0.024266936299292215,0.0,0.0,0.0,0.0,0.05358948432760364,0.0,0.003033367037411527,0.004044489383215369,0.032355915065722954,0.0,0.0,0.0,0.014155712841253791,0.0,0.028311425682507583,0.0,0.020222446916076844,0.04853387259858443,0.0,0.0,0.0,0.0455005055611729,0.0,0.0,0.05864509605662285,0.0525783619817998,0.024266936299292215,0.0,0.023255813953488372,0.0,0.0,0.010111223458038422,0.047522750252780584
