,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.1271552007693797,0.02759526938239159,0.0010689470871191875,0.002405130946018172,0.012399786210582577,0.004543025120256547,0.022010512483574246,0.01148621805069094,0.029770176376269376,0.022291526639514565,0.0007665352606219887,0.0016243032588371326,0.025708177445216463,0.019298603556180474,0.022650511191286044,0.01215232004360068,0.02063067878140032,0.009117502943350253,0.014591127739176911,0.023410069968509837,0.004051686377573368,0.008387383521405747,0.013776623302437813,0.0049171566007482626,0.018564633021756094,0.01635489043292357,0.011598075895243186,0.030711603647717557,0.0020309994655264563,0.0,0.0,0.029945454668894457,0.006306787814003207,0.02820779526034574,0.015285943345804383,0.01140529786657733,0.0,0.0,0.006306787814003207,0.033187342224369795,0.005146736749890495,0.002779262426509888,0.014235654840122645,0.013250109505037232,0.022018085947934363,0.0016425755584756898,0.002298236237306253,0.009834313201496525,0.004222340994120791,0.01625099233453034,0.006306787814003207,0.010074463425317565,0.005077498663816141,0.0029930518439337255,0.006081316298540112,0.011651523249599146,0.01687793939964317,0.0,0.006306787814003207,0.020980462803052703,0.0879542820273848,0.0210688276909268,0.0,0.009947926872407377,0.0,0.026065663691828597,0.02105988468200697,0.004161191414805081
bankssts-rh,0.08869814020028613,0.18978537491304748,0.0,0.0,0.030389908256880736,0.0,0.001430615164520744,0.0,0.02694954128440367,0.030042918454935622,0.0,0.0389908256880734,0.034403669724770644,0.0,0.026376146788990827,0.0,0.0389908256880734,0.0,0.0389908256880734,0.0,0.0,0.01072961373390558,0.0,0.0,0.03612303290414878,0.0,0.00974770642201835,0.0,0.0,0.0,0.0,0.04459926369256212,0.0,0.00536480686695279,0.0389908256880734,0.0,0.0,0.00974770642201835,0.0,0.009298998569384835,0.02074391988555079,0.0,0.0,0.015736766809728183,0.0,0.0,0.0,0.0011467889908256881,0.0,0.0,0.0,0.0,0.017525035765379112,0.0,0.0,0.0,0.0,0.02236238532110092,0.0,0.0,0.058297567954220315,0.0,0.0389908256880734,0.02682403433476395,0.008600917431192661,0.0,0.05544290008006195,0.02467811158798283
caudalanteriorcingulate-lh,0.00101010101010101,0.0,0.06855150853513299,0.024302523047064532,0.0113264192139738,0.0,0.00846676370693838,0.003850336210234318,0.0031917917652997713,0.0186903912977421,0.015420305676855895,0.030066770323320544,0.007344429251270591,0.0311903606663432,0.0237666267233225,0.004514823146555316,0.008599336401374247,0.022415353192281866,0.009701331608172947,0.02228403638520087,0.013772703992864108,0.020777798607129028,0.025240058273173268,0.0055040029112081515,0.01015712682379349,0.02125874220124584,0.03068383985414553,0.025163357250329595,0.014237627365356623,0.010462154294032024,0.0,0.0,0.014591481285440529,0.015549233234822754,0.010374272810590134,0.025190098461568625,0.002183406113537118,0.010962518195050947,0.002774745269286754,0.019440492993986442,0.01100687246065703,0.024345498899720153,0.010543082449923788,0.005667789001122334,0.006823144104803494,0.019292359548909767,0.01260626032278143,0.015281453545645685,0.008506186317321689,0.011943703164591084,0.010543082449923788,0.013974197334823244,0.04695790388112076,0.036268525870054254,0.022774230661785248,0.033758711569846944,0.01229789403006288,0.0,0.010543082449923788,0.00796033478893741,0.0015712682379349046,0.009869681776523115,0.007912457912457913,0.015956110106401227,0.011707014345296732,0.009368858404520704,0.007119962360137033,0.02238346590602777
caudalanteriorcingulate-rh,0.002242580398893024,0.0,0.021942153994103195,0.06186708916588565,0.006119847003824904,0.0,0.018833534553372017,0.009222269443263919,0.005949851253718657,0.010454738631534212,0.010242243943901403,0.018263905221245318,0.009518987380788331,0.0331974008121884,0.0029582975474759044,0.018161658755553728,0.013369762616322035,0.030370834154091274,0.015557656912189181,0.020785594016032794,0.021838771952258595,0.03325337660527377,0.008206889970417025,0.0008924776880577986,0.0,0.009728383567775058,0.029487806081878204,0.03561307546183375,0.009604759881002975,0.006119847003824904,0.00038171581257753605,0.0,0.034863481643228986,0.0227117298973719,0.02017516911060905,0.03623584164666329,0.004887377815554611,0.007224819379515512,0.005638829112295382,0.007711620598167172,0.02156059229543214,0.020155442530579545,0.02163650150563203,0.010535242869524692,0.007437314067148321,0.015024122679211865,0.005253240173910243,0.010663927981435926,0.002804929876753081,0.012795225972962662,0.031169172579064184,0.0073312471988276635,0.025204141105557198,0.03498870730350264,0.013630332731518528,0.0164470360996009,0.009584465512896961,0.0032299192520186997,0.03187523327471733,0.010001915473632389,0.006680026720106881,0.007437314067148321,0.004529983610797172,0.021792038937932936,0.0025661506568071075,0.00764980875478113,0.008200745692303394,0.026180842043506597
caudalmiddlefrontal-lh,0.014600409836065574,0.00352202868852459,0.008561997111615432,0.004882745340760608,0.07693418521371453,0.0,0.0,0.0,0.0313780737704918,0.01644525872856964,0.020345770467000604,0.03785051574068124,0.03208571636334119,0.015335946633656557,0.015118183350413358,0.009487671624665586,0.021654679821386896,0.016501566796429768,0.035632662230651375,0.021101507883023805,0.007049033766591019,0.0165329664932734,0.005467299360429131,0.005192215115879238,0.013575819672131147,0.01076267106801458,0.02420269696003725,0.014859534403005184,0.011656694862801733,0.01990972424213727,0.0,0.01960948941292062,0.010315416956970736,0.02189587177043769,0.03939763121039322,0.026781853966342764,0.010182106967748628,0.01976271376807918,0.01652898538163993,0.004882745340760608,0.0,0.0171583797537996,0.002682071384361461,0.0,0.003469450710878567,0.015164018980812873,0.004546618852459016,0.0313140280774768,0.0075067603150954735,0.017216687185245563,0.016416611459569946,0.008390069458771748,0.01457946496114435,0.01808678907915549,0.023918879812424115,0.012378791004745203,0.005857501147123848,0.003009733606557377,0.00941192481040044,0.015419924308146215,0.030353483606557378,0.0,0.005718219490451533,0.008591648466292597,0.009516820936504017,0.002647685853792724,0.021132172131147542,0.015507874286500242
caudalmiddlefrontal-rh,0.02304772234273319,0.0,0.0,0.0,0.0,0.15292841648590022,0.0,0.0,0.02304772234273319,0.02304772234273319,0.0,0.0,0.010303687635574838,0.004880694143167028,0.0,0.0,0.02304772234273319,0.0,0.0,0.016811279826464208,0.0,0.0,0.0,0.0,0.0,0.0227765726681128,0.0,0.020878524945770065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02304772234273319,0.0032537960954446853,0.0,0.0,0.0,0.020336225596529284,0.0,0.0,0.0,0.047451193058568326,0.0,0.0,0.0,0.0005422993492407809,0.0,0.0,0.004880694143167028,0.0425704989154013,0.0,0.0,0.0,0.0,0.009490238611713666,0.0,0.0,0.0,0.021420824295010847,0.006236442516268981,0.0
cuneus-lh,0.008355503824409711,0.0002494180246092451,0.008269700293155062,0.020883595096206523,0.0,0.0,0.09403055833917978,0.007274692384436315,0.014674093781177252,0.004032258064516129,0.0,0.0011639507815098104,0.015006651147322914,0.019927497285850953,0.00669271699368141,0.025494171639420637,0.015270036544371769,0.01019886453988788,0.01975323988556303,0.020816089977176065,0.035654781739420195,0.029767855159391315,0.021783495587566218,0.0036581310276022614,0.0,0.0,0.024807110817474616,0.025234780218292535,0.007149983372131693,0.0017043565014965081,0.0,0.0009561024276687729,0.03233853043332081,0.02549218157743007,0.018253739718951903,0.025936473305779424,0.0,0.0,0.008108408308341664,0.011099102095111406,0.03442598541128496,0.01155170498722648,0.0531745718208478,0.048024914726536305,0.018373794479547723,0.0018327224258580473,0.003616561356834054,0.00041569670768207517,0.011557698259764205,0.009602593947455936,0.03922412645143855,0.014798802793481875,0.004942796845495946,0.00932889347271118,0.010996334555148283,0.012779508593023034,0.017168274027269705,0.0,0.03976320238522274,0.01891420019953442,0.00907848272576325,0.008563352178250749,0.003609907808508275,0.009158957877581433,0.009607908474952794,0.0,0.027675750547031565,0.007775186049094746
cuneus-rh,0.01314729574223245,0.0,0.007125390432352457,0.017613636363636363,0.0,0.0,0.014529220779220779,0.1162707545618938,0.027727889199408186,0.023014959723820484,0.0,0.01387987012987013,0.011644131185270426,0.02288961038961039,0.0071346375143843494,0.02646103896103896,0.04439215847443695,0.017938311688311687,0.008116883116883116,0.021528234423804044,0.0,0.0,0.012082853855005753,0.047756041426927506,0.0,0.0037974683544303796,0.025558934736149924,0.046760438928160446,0.02303037152720697,0.0,0.0,0.006559263521288838,0.0035714285714285713,0.010876623376623377,0.015554619431201708,0.014853896103896104,0.0,0.0,0.0,0.01200271247739602,0.0,0.0,0.005762987012987013,0.0,0.030229738615814565,0.0,0.045339470655926355,0.0009205983889528193,0.018106814072003947,0.003814935064935065,0.006493506493506494,0.06350998684859445,0.028140925530166037,0.02307249712313003,0.0,0.007249712313003452,0.05004212559592307,0.006168831168831169,0.007386363636363636,0.019967532467532467,0.005844155844155844,0.04295988821305277,0.0,0.0,0.0,0.002531645569620253,0.013555194805194805,0.0030844155844155846
entorhinal-lh,0.0200894467287023,0.0017672942364567554,0.0026955916923969915,0.005267979844251031,0.017709009593883,0.0030657144918127387,0.013322644678576882,0.00955232224878167,0.07288692214821638,0.03139226873909,0.0,0.005374017168001154,0.051753062302726874,0.01742582484332564,0.008367597201183005,0.01491432802158707,0.05154534116641519,0.0,0.044547274323645275,0.02402402127038001,0.006031455183997557,0.005936917077656297,0.004219865829906947,0.007754454302820457,0.007646252614874126,0.014354757267546706,0.03603720082745461,0.029645015523778285,0.013943131545528854,0.0018705145823789892,0.0,0.006564235735410806,0.029454576257308077,0.02295367708789853,0.043269093351803456,0.014215329256464238,0.0,0.002164033758926639,0.0038591935367525065,0.03020262017599156,0.0,0.002344369905503859,0.014964116659031914,0.0,0.020756450904008662,0.0,0.018401804399038837,0.01196512571535954,0.024851832748905435,0.004913883253005682,0.026147378199909203,0.015445885955057423,0.004400201976484166,0.0,0.0023804371348193033,0.013330186909535425,0.026131806343001364,0.0006852773569934358,0.02387699320181467,0.02074253123351015,0.015977782586741686,0.021981340603217884,0.002849311115920075,0.006222324018934189,0.0012262857967250955,0.01247926134314362,0.03210242802340778,0.0
entorhinal-rh,0.019004969101401117,0.00234192037470726,0.013225483934259248,0.007142857142857143,0.013709423991487637,0.004208754208754209,0.0027810304449648712,0.009704892057833234,0.038075524960770865,0.07291457069663435,0.01668618266978923,0.016176980810539154,0.026696500756288606,0.03492718084087419,0.011912995037392338,0.0059287251910202735,0.03173613459293305,0.014285714285714285,0.008744386974859492,0.04275970199306747,0.006937939110070257,0.012997658079625293,0.019237839199266395,0.017938911779316793,0.00853662213353631,0.03143653553489619,0.0183671506357138,0.04060665084049848,0.012243549514523479,0.010919203747072599,0.0,0.0,0.008548009367681499,0.007410335387673864,0.012969706014546901,0.020075264747395898,0.003981264637002342,0.011797423887587822,0.00430327868852459,0.028058144933747635,0.004391100702576112,0.018605870896131263,0.0021662763466042153,0.0,0.012956817103393766,0.017096018735362997,0.005814139697939119,0.008797757387439162,0.019515359546699952,0.015371855813032284,0.0027810304449648712,0.007481592570792185,0.03035360029091948,0.016012207996296712,0.012236533957845434,0.02429872263527037,0.019635122636569115,0.0,0.002459016393442623,0.005386416861826698,0.004307783719548425,0.02697901896310768,0.0,0.009894613583138173,0.005240046838407494,0.030602809098469658,0.009024574393426852,0.019262295081967213
