,Fz,F3,F7,FT9,FC5,FC1,C3,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.048264873778938594,0.007204924040734539,-0.020156358824621235,0.010562398706233198,-0.03494858875689988,0.025679210989940675,0.009059751041651647,-0.027873004616209552,-0.06536546297030868,-0.05323938929237955,0.004686342100544285,-0.006956623460281176,-0.023933058152771323,-0.039930507651092434,0.046113509798996075,0.02093652506302227,-0.015221460688643888,0.028207502155978448,-0.01591171857247454,-0.04735000263709576,0.015897839926573475,0.0632186458917054,-0.040444645504323896,-0.03398849438532323,-0.042446810736550517,-0.02611007064557728,0.022645758607034668,0.08062749816145026,-0.023241435017159487,0.054947913285679655,0.03443691166132418,0.02503864990633934,-0.0031314632151594234,-0.05438332755980558,-0.007625155898767547,0.03596946792045843,-0.0012010041565254808,0.0024511992827321587,-0.03246119146514133,-0.021776581230201517,-0.026394060475249906,-0.024639627986124582,-0.009532728535774844,0.009037833239858854,0.030689257132699193,0.030689257132699193,-0.030657562835003448,0.05314241368381864,-0.0528583524128223,-0.015221460688643888,-0.04946549402189568,0.07661302135519239,0.048419817536568176,-0.03871212575626619,0.0015529423306000275,0.03494208976604781,0.011739391573017108,0.02736417217291601,0.02503864990633934
F3,0.005273208832681434,-0.054524732468417055,0.013437421587176585,-0.011589400566365263,-0.004597085745094399,0.01141237402448673,0.024873094205743164,-0.025275475485078813,0.016504413579418634,-0.003488100871882974,0.004446995025096011,0.009240767538053444,-0.027656335501341302,0.012821101330482297,0.00861464836645629,-0.0430984765146775,-0.010567266215324587,-0.03387733996650603,-0.0013478927823138858,-0.017809967940199328,-0.019118409767614336,0.03949985551168732,-0.03328110850838703,-0.03903466031540039,-0.024200463560088138,0.0002302295824057204,0.027374467528527093,0.056920769293836576,0.043728487663322775,0.04625382005843436,0.015994197738576806,-0.00969140454605892,0.0013692575239299136,-0.018486466005594896,0.007265778081742575,0.005271009092082706,-0.002578659156025386,0.04449080190420822,-0.09011062248607846,-0.019897545402532052,-0.025171380995042108,-0.042531501925981464,0.005108251343350497,0.006811515151198966,0.02219008233937311,0.02219008233937311,-0.015406417343391259,0.00554044014371182,0.038441054497527445,-0.010567266215324587,-0.032111816272594636,0.030137102921433782,0.03242625938214542,-0.04442711711427371,0.005822065513902666,0.04960868800234852,0.04256861045666958,0.011439067643860788,-0.00685900453165582
F7,-0.006825197139988604,0.00856748403205157,-0.09204025645807984,0.006338346165212972,0.01771219512109368,0.024618931761241112,0.03465028491345147,-0.006258919116766924,-0.009547852464954919,-0.026851393844088096,-0.008393155387521731,0.020146663107268897,-0.01589060650436271,-0.01947803527692129,0.01976471589083964,-0.010683413280388706,-0.057934794263254416,0.018666775957208174,0.034168689750291775,0.0006848831405472448,0.01339532828227274,0.035046922092067175,-0.040120321940598766,0.0044622227620716905,0.0014521331093903227,0.025360078307712804,0.04871784949413261,0.059154276914585996,0.005640014763577041,0.04756049562330026,0.006615267178258019,-0.02890633263956182,0.015504107550588116,0.02740769061414381,-0.008508539705949154,0.015161674618082427,-0.025953673547722513,0.01002793752474132,-0.04798019771265153,0.0009595170731824101,-0.0052884763837234006,0.01523495247609755,-0.0051996269891613125,0.023398114709079952,-0.02565016644327663,-0.02565016644327663,0.030400439820580175,0.032907529281176386,0.0003431884829779136,-0.057934794263254416,-0.03779734158174136,0.00227516772667753,-0.0009153147565419434,-0.03726498465805486,-0.05101998225520498,0.07281390540859893,0.016423386333072026,-0.026085918881365504,-0.017401708047161644
FT9,0.011915114384476923,-0.005151787147166062,0.029101048385846748,-0.07485294983744734,-0.018411106096458407,-0.016291733482743855,-0.02682578667958019,0.0024919717363956584,0.00045523420043140704,-0.006282320032579441,0.00025248607535837455,-0.0004289000237126719,-0.015375953281163963,0.010245384251032535,-0.00470479948914121,-0.009043164969239315,-0.04585833295097081,-0.008462479446004863,0.02540322661116429,0.01139144102922746,0.014339524810007803,0.033033738458334155,-0.06385993932331985,-0.006170214522831744,0.00851717289834223,0.03234628389658277,0.020249936736503438,0.10265633507356363,0.04986534872698027,0.005432072179609348,0.024209670946312538,-0.01373717082140498,0.02178614094948082,-0.0025210822574605525,0.04270258635355487,-0.010819000316897217,0.02001687478948382,0.07114905232586663,-0.06447488764292952,0.011889803003881122,0.003960666740510455,-0.025295754477466494,0.014290441405837557,-0.0054806477118220535,-0.013904936186377836,-0.01408233574388454,0.02381554592372397,-0.001995392542710076,0.03434902907198745,-0.04603573250847753,-0.05120438515512462,-0.01686872396330584,-0.01913999960021654,-0.04780549742233048,-0.02740146921080826,0.051082436884934614,0.013605138702862741,-0.03212830916629927,0.004061085457581841
FC5,-0.010586010530809516,-0.0032211904415856986,0.02252596703327076,-0.027040680894681066,-0.0773627824759088,-0.016912166010721937,-0.016390684300532234,-0.01071588441174722,0.008297551233265699,0.018769825858831253,0.0026890390369084726,-0.04117375318839928,0.01016232578430382,0.01964865472767556,0.010411947381921324,-0.05439056411380412,-0.021204304451336597,-0.024505194542256484,0.0019348266592985254,-0.011869132284744116,-0.0026027807971825195,0.047902858099991216,-0.04858615660467774,-0.029593309829234984,-0.013501076059390668,0.007746046980809352,0.03421288371504177,0.08225134581102214,0.04906059228472954,0.02408527151427303,0.02366058535414524,-0.0018986610107800932,0.029298840952949157,-0.028992044831878592,0.04484102348969413,0.011931526630284916,0.03576666051616689,0.05405523639026863,-0.09761398175759256,-0.0061722277709454765,-0.009604612818676226,-0.02752365153790359,0.01261265323899675,-0.015077399011536697,0.011621814564295075,0.011621814564295075,-0.0014369967352057902,-0.014473849567672887,0.04182631409555201,-0.021204304451336597,-0.049703587591976815,0.005888021013775961,0.015890309852519904,-0.06262418553586052,0.008850386472507146,0.0530937043542343,0.041857922592743006,-0.00519243315004488,0.00865765650465317
FC1,0.011549300157787035,0.006505923884975224,0.03199863053377053,-0.026368114049823786,-0.023186811975044845,-0.06678793828694388,-0.025284546481697714,-0.0021321738449572073,-0.020465745077675502,-0.003791866034508809,-0.0006406791822267443,-0.07193912991083053,0.02101522486013841,0.042708974377648694,-0.004716940334914731,-0.01335234539890613,-0.047032715388066026,-5.6238356784117976e-05,0.004961849679845531,0.02790849946483969,0.02765831560566682,0.04147687191926042,-0.05032686808303248,0.00951040727555355,0.0226281526737411,0.04064326060089891,0.012907506506443891,0.057885822319943256,0.052309761731010825,0.012796334506647472,0.01546108303066253,-0.01700341702167115,0.02226596470833931,-0.01651550114963171,0.04205848531854575,0.008072340738245575,0.03648551914186668,0.0785253689540992,-0.05158804582156192,0.004302214848817779,0.0007231668810931588,-0.014275290704947518,0.012264661085194332,-0.03335664198937633,-0.013396668621593083,-0.013577935884606008,0.0362038980369761,6.659185913291191e-05,0.037735783125569015,-0.047213982651078956,-0.06315225385235954,-0.019915394735730067,-0.022017487941293986,-0.07412211083781317,-0.005233329860420845,0.037875736783888,0.043463556397882394,-0.05020939052634882,-0.0023096430046384117
C3,0.0065669339452149545,0.021622801188639188,0.0369414380328366,-0.04129731592565836,-0.022044373122481666,-0.023804341595323474,-0.07429591299530258,-0.001002355642874912,-0.02206183505236699,-0.003272324158020071,0.0028061242501808393,-0.05684361601967764,0.029160091318929233,0.04214501507376641,-0.00391821091926393,-0.015933496491521985,-0.04545770870186185,0.005085129558441899,0.01158168834043168,0.028296416860072997,0.030000062697204666,0.03805614046994031,-0.05060229284274325,0.00020808324413814784,0.02168184220532975,0.0327442408119985,0.010420618520399,0.05362685935601724,0.04283758467476986,-0.0007239065639192035,-0.0035423574304739346,-0.01463129618495476,0.02262678852308862,-0.016719632098164853,0.03187698006382309,0.006316853385612496,0.03184527416995261,0.07515209855178817,-0.05337986851794484,0.005876504514803151,0.0015637922182608417,-0.02035101949212875,0.00938772573290589,-0.02222902586254467,-0.012268973001242384,-0.012454651940711138,0.033394277873433326,-0.002108420317423524,0.04641754681411279,-0.04564338764133059,-0.061242637321369586,-0.02336602120409045,-0.022251079904844016,-0.05030829488840322,0.005216171207408348,0.04024532012449117,0.03350507069163159,-0.030280169505776958,-0.005170949077203803
CP5,-0.01383191806423226,-0.03288716392925742,-0.0057083190072824575,-0.008367086402975605,-0.019097625996551675,-0.00030981440675151474,0.005411674926770341,0.04903793419952128,0.01497631733249719,-0.009657508615441172,0.0,0.010897416018148224,-0.03545710375978797,-0.002898812202209968,0.005646942057864226,0.004357037303599118,-0.02307250963126596,-0.006191410311763139,-0.012257925463729322,-0.008753799595410724,-0.0024336534362893107,0.00017441295565516585,-0.033341143578128375,-0.024050035111868907,-0.01260336135655872,-0.007082890761751897,0.01866857545651692,0.04217637739114148,0.012974441397228248,0.03484703437341981,0.018717068551907964,-0.009002271529044089,-0.00041968320666831106,-0.020440305976635063,-0.012484814167619,-0.013892676990000566,-0.01499438828624383,0.05505936084322273,-0.08657999058112442,0.04681705824258524,0.051714765993691965,0.006629115014489491,-0.024382808197148307,-0.0026882973414739646,0.020181476416857743,0.020181476416857743,0.013522884614378054,-0.00293696341098201,0.021265018033601275,-0.02307250963126596,-0.031997742930283075,0.008221862289144278,0.01837336380369541,-0.04363867941576992,-0.00022938653190943432,0.030730865788417716,0.03425276382494631,0.004636251195586869,-0.004708894614320456
CP1,-0.018090357849049003,0.029594550678085974,0.004008411610501732,-0.008494357337988364,0.015289654930689501,-0.015986832364787568,-0.01364909666725563,0.017747559191506338,-0.08868684918963649,-0.030868385616134204,0.0017635737496583457,-0.011642259459779666,0.022304340210166737,0.022446793845501318,0.023465897216048658,-0.0009891899298297903,-0.06925071668942875,0.03749685947955694,0.022420402520675387,0.03392488785335751,0.038723687918537614,0.02718754219884842,-0.05467569490223952,0.025456144274548825,0.034745634736948285,0.030134075630958684,0.003365359768909044,0.06220063058657812,-0.003059158792688615,0.009779872206533934,0.0042404036541226,-0.011920343411435604,0.02279727505717449,0.009642834899550205,0.011558248038963534,0.011247556305512543,0.013411066309263772,0.06692890120008951,-0.030683207007740854,0.023437105437789693,0.019383442121677478,0.03473714545587489,-0.004865745300748776,-0.03097494925869805,-0.03549767131694074,-0.03573060344475204,0.05069068720148199,0.023976357348155047,-0.029652231524074313,-0.06948364881724006,-0.05171915780329583,-0.038852109293649836,-0.04684808858317706,-0.049738354187926805,-0.03148103558691631,0.04182767404131032,0.02248477808457517,-0.0342020898109476,-0.0013772196167910792
Pz,-0.013442921820581167,0.014922527275717216,-0.003655245385410586,-0.00019386047240405995,0.031822821264214256,0.011713357943119083,0.015583011196496932,0.007335767319755218,-0.020565245899409664,-0.08081897162956532,0.0026989559000623166,0.01281471278724309,0.0013729185739792408,0.001824323765298087,0.01035976590471613,-0.0018721230076590653,-0.0682280406024395,0.03127062563862651,0.009802382654627243,0.024871513906006597,0.021869950187266108,0.026172187675809328,-0.049669579449195894,0.0192845641318278,0.021221234253356328,0.025003999700012967,0.009187964963141738,0.05128027890433998,0.0002469702764339669,0.025438008981998435,0.007917267919694502,-0.010352720393432935,0.0064017973654468645,0.029373847808932586,-0.0074625243562391665,0.008587231276840216,-0.009307705236047795,0.043993763553173144,-0.03366015596606444,0.013223244914266736,0.009229627558140557,0.03877114636190007,-0.034417389264174064,-0.018812965140061116,-0.03484864393863184,-0.03484864393863184,0.044528591656895704,0.02994667164378405,-0.014353293940725449,-0.0682280406024395,-0.047252180801409784,-0.019985534611756624,-0.021232868151925915,-0.04801509969389176,-0.0211923811604922,0.034692365665735365,0.04203845700109513,-0.02647610245728372,0.004090381989919795
