,Fz,F3,F7,FT9,FC5,FC1,C3,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.027522935779816515,0.003931847968545216,0.01703800786369594,0.0,0.01834862385321101,0.01703800786369594,0.03014416775884666,0.01834862385321101,0.027522935779816515,0.0,0.03014416775884666,0.002621231979030144,0.03014416775884666,0.03014416775884666,0.015727391874180863,0.0,0.03014416775884666,0.020969855832241154,0.003931847968545216,0.002621231979030144,0.01310615989515072,0.0,0.009174311926605505,0.010484927916120577,0.003931847968545216,0.027522935779816515,0.019659239842726082,0.005242463958060288,0.03014416775884666,0.03014416775884666,0.01834862385321101,0.03014416775884666,0.010484927916120577,0.03145478374836173,0.005242463958060288,0.028833551769331587,0.002621231979030144,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.0,0.0,0.003931847968545216,0.03014416775884666,0.015727391874180863,0.0,0.01310615989515072,0.019659239842726082,0.02490170380078637,0.03145478374836173,0.005242463958060288,0.03145478374836173,0.0,0.014416775884665793,0.02621231979030144
F7,0.0,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.010526315789473684,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.0,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368
FT9,0.0,0.02490421455938697,0.005747126436781609,0.022988505747126436,0.0,0.022988505747126436,0.022988505747126436,0.02490421455938697,0.022988505747126436,0.02490421455938697,0.0,0.02681992337164751,0.0038314176245210726,0.02490421455938697,0.02490421455938697,0.0210727969348659,0.0,0.02490421455938697,0.02490421455938697,0.005747126436781609,0.0038314176245210726,0.019157088122605363,0.0,0.013409961685823755,0.01532567049808429,0.005747126436781609,0.02490421455938697,0.02490421455938697,0.007662835249042145,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.01532567049808429,0.02681992337164751,0.007662835249042145,0.02490421455938697,0.0038314176245210726,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.0,0.0,0.005747126436781609,0.02490421455938697,0.0210727969348659,0.0,0.019157088122605363,0.02490421455938697,0.02490421455938697,0.02681992337164751,0.007662835249042145,0.02681992337164751,0.0,0.0210727969348659,0.02490421455938697
FC5,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.025179856115107913,0.00539568345323741,0.023381294964028777,0.0,0.023381294964028777,0.023381294964028777,0.025179856115107913,0.023381294964028777,0.025179856115107913,0.0,0.02697841726618705,0.0035971223021582736,0.025179856115107913,0.025179856115107913,0.02158273381294964,0.0,0.025179856115107913,0.025179856115107913,0.00539568345323741,0.0035971223021582736,0.017985611510791366,0.0,0.012589928057553957,0.014388489208633094,0.00539568345323741,0.025179856115107913,0.025179856115107913,0.007194244604316547,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.014388489208633094,0.02697841726618705,0.007194244604316547,0.025179856115107913,0.0035971223021582736,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.0,0.0,0.00539568345323741,0.025179856115107913,0.02158273381294964,0.0,0.017985611510791366,0.025179856115107913,0.025179856115107913,0.02697841726618705,0.007194244604316547,0.02697841726618705,0.0,0.019784172661870502,0.025179856115107913
C3,0.0,0.02490421455938697,0.005747126436781609,0.022988505747126436,0.0,0.022988505747126436,0.022988505747126436,0.02490421455938697,0.022988505747126436,0.02490421455938697,0.0,0.02681992337164751,0.0038314176245210726,0.02490421455938697,0.02490421455938697,0.0210727969348659,0.0,0.02490421455938697,0.02490421455938697,0.005747126436781609,0.0038314176245210726,0.019157088122605363,0.0,0.013409961685823755,0.01532567049808429,0.005747126436781609,0.02490421455938697,0.02490421455938697,0.007662835249042145,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.01532567049808429,0.02681992337164751,0.007662835249042145,0.02490421455938697,0.0038314176245210726,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.02490421455938697,0.0,0.0,0.005747126436781609,0.02490421455938697,0.0210727969348659,0.0,0.019157088122605363,0.02490421455938697,0.02490421455938697,0.02681992337164751,0.007662835249042145,0.02681992337164751,0.0,0.0210727969348659,0.02490421455938697
CP5,0.0,0.026744186046511628,0.0034883720930232558,0.015116279069767442,0.0,0.01627906976744186,0.015116279069767442,0.03372093023255814,0.01627906976744186,0.026744186046511628,0.0,0.027906976744186046,0.002325581395348837,0.03488372093023256,0.029069767441860465,0.013953488372093023,0.0,0.030232558139534883,0.018604651162790697,0.0034883720930232558,0.002325581395348837,0.011627906976744186,0.0,0.00813953488372093,0.009302325581395349,0.0034883720930232558,0.026744186046511628,0.01744186046511628,0.004651162790697674,0.029069767441860465,0.031395348837209305,0.01627906976744186,0.029069767441860465,0.009302325581395349,0.037209302325581395,0.004651162790697674,0.027906976744186046,0.002325581395348837,0.029069767441860465,0.03372093023255814,0.03372093023255814,0.030232558139534883,0.03488372093023256,0.030232558139534883,0.0,0.0,0.0034883720930232558,0.03604651162790698,0.013953488372093023,0.0,0.011627906976744186,0.018604651162790697,0.023255813953488372,0.037209302325581395,0.004651162790697674,0.037209302325581395,0.0,0.012790697674418604,0.02441860465116279
CP1,0.0,0.025179856115107913,0.00539568345323741,0.023381294964028777,0.0,0.023381294964028777,0.023381294964028777,0.025179856115107913,0.023381294964028777,0.025179856115107913,0.0,0.02697841726618705,0.0035971223021582736,0.025179856115107913,0.025179856115107913,0.02158273381294964,0.0,0.025179856115107913,0.025179856115107913,0.00539568345323741,0.0035971223021582736,0.017985611510791366,0.0,0.012589928057553957,0.014388489208633094,0.00539568345323741,0.025179856115107913,0.025179856115107913,0.007194244604316547,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.014388489208633094,0.02697841726618705,0.007194244604316547,0.025179856115107913,0.0035971223021582736,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.025179856115107913,0.0,0.0,0.00539568345323741,0.025179856115107913,0.02158273381294964,0.0,0.017985611510791366,0.025179856115107913,0.025179856115107913,0.02697841726618705,0.007194244604316547,0.02697841726618705,0.0,0.019784172661870502,0.025179856115107913
Pz,0.0,0.027522935779816515,0.003931847968545216,0.01703800786369594,0.0,0.01834862385321101,0.01703800786369594,0.03014416775884666,0.01834862385321101,0.027522935779816515,0.0,0.03014416775884666,0.002621231979030144,0.03014416775884666,0.03014416775884666,0.015727391874180863,0.0,0.03014416775884666,0.020969855832241154,0.003931847968545216,0.002621231979030144,0.01310615989515072,0.0,0.009174311926605505,0.010484927916120577,0.003931847968545216,0.027522935779816515,0.019659239842726082,0.005242463958060288,0.03014416775884666,0.03014416775884666,0.01834862385321101,0.03014416775884666,0.010484927916120577,0.03145478374836173,0.005242463958060288,0.028833551769331587,0.002621231979030144,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.03014416775884666,0.0,0.0,0.003931847968545216,0.03014416775884666,0.015727391874180863,0.0,0.01310615989515072,0.019659239842726082,0.02490170380078637,0.03145478374836173,0.005242463958060288,0.03145478374836173,0.0,0.014416775884665793,0.02621231979030144
