,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.11772486772486772,0.0,0.0,0.0,0.0,0.0,0.0464975845410628,0.0,0.027950310559006212,0.0015527950310559005,0.011574074074074073,0.013888888888888888,0.038733609385783296,0.013888888888888888,0.051155969634230504,0.010869565217391304,0.0,0.0,0.013888888888888888,0.0,0.026311249137336092,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.05815792500575109,0.0,0.013888888888888888,0.013888888888888888,0.0340752242926156,0.0,0.013888888888888888,0.020186335403726708,0.013888888888888888,0.0,0.013888888888888888,0.0,0.060472739820565904,0.003867609845870715,0.013888888888888888,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.043420749942489074,0.013888888888888888,0.013888888888888888,0.0,0.011574074074074073,0.0,0.004629629629629629,0.013888888888888888,0.0,0.054261559696342304,0.0,0.013888888888888888,0.03881987577639751,0.0,0.017080745341614908,0.013888888888888888,0.015527950310559006
bankssts-rh,0.0,0.128296651910967,0.04052102167633061,0.05408691314919883,0.04052102167633061,0.0,0.0,0.0,0.0,0.029490616621983913,0.0160857908847185,0.006702412868632708,0.0,0.010432903131949207,0.014308872124197269,0.056024897645322855,0.0,0.0,0.0,0.029490616621983913,0.023255813953488372,0.023255813953488372,0.005361930294906166,0.05408691314919883,0.00938337801608579,0.0,0.023255813953488372,0.0,0.0,0.0,0.00804289544235925,0.04024565122513872,0.01937984496124031,0.013404825737265416,0.01744186046511628,0.0,0.020413783070432488,0.0,0.019670802419103434,0.0,0.0,0.0,0.010723860589812333,0.037694577799945964,0.0,0.015503875968992248,0.023255813953488372,0.006702412868632708,0.004021447721179625,0.0,0.0,0.059464430450776234,0.0,0.013404825737265416,0.023255813953488372,0.01876675603217158,0.0,0.0,0.006702412868632708,0.03934160483820687,0.0,0.023255813953488372,0.014745308310991957,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0014326647564469914,0.05221466093600764,0.11485792741165235,0.08828796561604585,0.06041666666666667,0.012893982808022923,0.01862464183381089,0.0,0.0,0.08776862464183381,0.0,0.0,0.015759312320916905,0.0,0.022922636103151862,0.05416666666666667,0.0,0.011461318051575931,0.0,0.07148997134670487,0.025787965616045846,0.02148997134670487,0.022922636103151862,0.08268863419293218,0.0,0.0,0.02005730659025788,0.0,0.0,0.0,0.0071633237822349575,0.0125,0.0028653295128939827,0.0,0.017191977077363897,0.0,0.0,0.015759312320916905,0.0,0.0,0.0,0.0,0.014326647564469915,0.0375,0.0,0.0,0.02005730659025788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014326647564469914,0.0,0.0,0.01862464183381089,0.0,0.012893982808022923,0.012893982808022923,0.0,0.008595988538681949,0.024355300859598854,0.0,0.008595988538681949
caudalanteriorcingulate-rh,0.0,0.0655062024809924,0.08943577430972388,0.11598639455782313,0.060784313725490195,0.0,0.0,0.0,0.0,0.054901960784313725,0.0,0.0,0.0,0.0,0.01870748299319728,0.054901960784313725,0.0,0.0,0.0,0.049019607843137254,0.034013605442176874,0.04421768707482993,0.0,0.10644257703081232,0.0,0.0,0.04251700680272109,0.0,0.0,0.0,0.0,0.01568627450980392,0.022108843537414966,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05230092036814726,0.0,0.01870748299319728,0.04251700680272109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.034013605442176874,0.017006802721088437,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.05255958171206226,0.058365758754863814,0.06420233463035019,0.14559014267185472,0.0,0.0,0.0,0.0,0.05252918287937743,0.0,0.0,0.0,0.059895833333333336,0.0,0.05642023346303502,0.0,0.0,0.0,0.048638132295719845,0.0,0.028645833333333332,0.0,0.06031128404669261,0.026041666666666668,0.0,0.0,0.015625,0.0,0.0,0.0,0.017509727626459144,0.0,0.0,0.0,0.018229166666666668,0.059895833333333336,0.0,0.08854166666666667,0.0,0.03125,0.0,0.0,0.03501945525291829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.06510416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.027227722772277228,0.0,0.0,0.10671667603441566,0.01885079337628086,0.0,0.0,0.03217821782178218,0.007641921397379912,0.014192139737991267,0.016375545851528384,0.013100436681222707,0.016375545851528384,0.0024752475247524753,0.0,0.034653465346534656,0.016375545851528384,0.0594059405940594,0.016375545851528384,0.016375545851528384,0.08874140689178088,0.0,0.013100436681222707,0.0,0.016375545851528384,0.0054585152838427945,0.0032751091703056767,0.031227031000043235,0.0032751091703056767,0.0,0.04112802109905314,0.009825327510917031,0.016375545851528384,0.004366812227074236,0.013100436681222707,0.0,0.013100436681222707,0.0,0.016375545851528384,0.004366812227074236,0.012008733624454149,0.0,0.016375545851528384,0.0,0.004366812227074236,0.015283842794759825,0.016375545851528384,0.0,0.02380128842578581,0.006550218340611353,0.016375545851528384,0.008733624454148471,0.0,0.004366812227074236,0.05198019801980198,0.008733624454148471,0.030135327943274677,0.002183406113537118,0.013100436681222707,0.0,0.006550218340611353,0.0,0.06683168316831684,0.012376237623762377,0.0054585152838427945,0.0
cuneus-lh,0.03022784194983365,0.0,0.012387387387387387,0.0,0.0,0.006224066390041493,0.07243000261672461,0.004564315352697096,0.011558446413218198,0.021396396396396396,0.0053941908713692945,0.011203319502074689,0.05375967253560615,0.009128630705394191,0.0526924227131696,0.02364864864864865,0.0,0.0004149377593360996,0.013692946058091286,0.01807782886621061,0.03680890434002467,0.01991701244813278,0.02501308362304213,0.0,0.009543568464730291,0.0,0.016182572614107885,0.011618257261410789,0.010788381742738589,0.014522821576763486,0.04202272812231318,0.0,0.01950207468879668,0.007468879668049793,0.035326716758252025,0.011618257261410789,0.009543568464730291,0.0259009009009009,0.00995850622406639,0.0,0.015767634854771784,0.00995850622406639,0.05909311801427984,0.01730682965122799,0.014937759336099586,0.0,0.01037344398340249,0.012033195020746889,0.013278008298755186,0.0,0.014937759336099586,0.016951702740084482,0.014522821576763486,0.006224066390041493,0.002074688796680498,0.004149377593360996,0.0037344398340248964,0.015352697095435684,0.011618257261410789,0.0012448132780082987,0.01387050951366304,0.0,0.006224066390041493,0.0011261261261261261,0.0011261261261261261,0.03490990990990991,0.007053941908713693,0.03959291241448918
cuneus-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.006809338521400778,0.10413105931124768,0.030155642023346304,0.0,0.0,0.02102803738317757,0.0009727626459143969,0.0,0.0,0.0,0.05568384304883814,0.038910505836575876,0.0,0.0029182879377431907,0.011673151750972763,0.009727626459143969,0.0,0.0,0.0,0.06034764900541838,0.0,0.030155642023346304,0.0581930252009164,0.0,0.0,0.0048638132295719845,0.007782101167315175,0.0,0.0,0.0311284046692607,0.0,0.017509727626459144,0.0,0.0654114695079821,0.0,0.020428015564202335,0.0,0.0,0.02102803738317757,0.0,0.032101167315175094,0.0,0.0,0.053738317757009345,0.035046728971962614,0.0,0.056074766355140186,0.04205607476635514,0.04085603112840467,0.0,0.04571984435797665,0.019455252918287938,0.02336448598130841,0.0,0.007009345794392523,0.0,0.0,0.0,0.016536964980544747,0.0,0.0,0.029182879377431907
entorhinal-lh,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.020289206917113896,0.04160703637447823,0.13200655933214073,0.0,0.0,0.0,0.005813953488372093,0.0,0.023076923076923078,0.0,0.0,0.023255813953488372,0.0009689922480620155,0.006782945736434108,0.01744186046511628,0.015503875968992248,0.0,0.0,0.0,0.009689922480620155,0.0048449612403100775,0.03294573643410853,0.03488372093023256,0.0009689922480620155,0.019230769230769232,0.0009689922480620155,0.013565891472868217,0.0,0.020229576624925465,0.03294573643410853,0.0,0.028950506857483602,0.0,0.005813953488372093,0.003875968992248062,0.022286821705426358,0.026923076923076925,0.0,0.021168753726893263,0.0,0.03391472868217054,0.0,0.0,0.0,0.001937984496124031,0.0,0.0009689922480620155,0.015384615384615385,0.027131782945736434,0.0,0.03197674418604651,0.02422480620155039,0.0,0.0,0.09615384615384616,0.0,0.0,0.08846153846153847,0.012596899224806201,0.007692307692307693,0.0,0.03197674418604651
entorhinal-rh,0.005263157894736842,0.04424778761061947,0.09390622574134452,0.061946902654867256,0.05530973451327434,0.01929824561403509,0.03859649122807018,0.0,0.0,0.1473063188945816,0.0,0.0,0.02280701754385965,0.0,0.015789473684210527,0.060953268126067384,0.0,0.017543859649122806,0.0,0.08635305076851421,0.015789473684210527,0.0,0.043859649122807015,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.012280701754385965,0.004424778761061947,0.0,0.0,0.012280701754385965,0.0,0.0,0.02280701754385965,0.0,0.0,0.0,0.0,0.028070175438596492,0.05210371060394349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,0.04035087719298246,0.0,0.02456140350877193
