,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
caudalmiddlefrontal-rh,0.054838709677419356,0.05161290322580645,0.054838709677419356,0.03870967741935484,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.05161290322580645,0.04838709677419355,0.05161290322580645,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.04516129032258064,0.054838709677419356
inferiorparietal-rh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
parsopercularis-lh,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.04918032786885246,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.05327868852459016,0.045081967213114756,0.05327868852459016
parstriangularis-rh,0.05396825396825397,0.050793650793650794,0.05396825396825397,0.0380952380952381,0.06031746031746032,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.050793650793650794,0.047619047619047616,0.050793650793650794,0.05396825396825397,0.05396825396825397,0.05714285714285714,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.044444444444444446,0.05396825396825397
postcentral-lh,0.05396825396825397,0.050793650793650794,0.05396825396825397,0.0380952380952381,0.06031746031746032,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.050793650793650794,0.047619047619047616,0.050793650793650794,0.05396825396825397,0.05396825396825397,0.05714285714285714,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.044444444444444446,0.05396825396825397
postcentral-rh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
precentral-lh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
precentral-rh,0.054838709677419356,0.05161290322580645,0.054838709677419356,0.03870967741935484,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.05161290322580645,0.04838709677419355,0.05161290322580645,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.04516129032258064,0.054838709677419356
rostralmiddlefrontal-lh,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.04040404040404041,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.050505050505050504,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.05387205387205387,0.04713804713804714,0.05387205387205387
rostralmiddlefrontal-rh,0.054838709677419356,0.05161290322580645,0.054838709677419356,0.03870967741935484,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.05161290322580645,0.04838709677419355,0.05161290322580645,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.054838709677419356,0.04516129032258064,0.054838709677419356
superiorfrontal-lh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
superiorfrontal-rh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
superiorparietal-lh,0.05396825396825397,0.050793650793650794,0.05396825396825397,0.0380952380952381,0.06031746031746032,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.050793650793650794,0.047619047619047616,0.050793650793650794,0.05396825396825397,0.05396825396825397,0.05714285714285714,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.044444444444444446,0.05396825396825397
superiorparietal-rh,0.05396825396825397,0.050793650793650794,0.05396825396825397,0.0380952380952381,0.06031746031746032,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.050793650793650794,0.047619047619047616,0.050793650793650794,0.05396825396825397,0.05396825396825397,0.05714285714285714,0.05714285714285714,0.05396825396825397,0.05396825396825397,0.044444444444444446,0.05396825396825397
superiortemporal-lh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
superiortemporal-rh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
supramarginal-lh,0.054901960784313725,0.050980392156862744,0.054901960784313725,0.03529411764705882,0.054901960784313725,0.054901960784313725,0.054901960784313725,0.054901960784313725,0.050980392156862744,0.047058823529411764,0.050980392156862744,0.054901960784313725,0.054901960784313725,0.054901960784313725,0.054901960784313725,0.054901960784313725,0.054901960784313725,0.050980392156862744,0.054901960784313725
supramarginal-rh,0.054140127388535034,0.050955414012738856,0.054140127388535034,0.03821656050955414,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.050955414012738856,0.04777070063694268,0.050955414012738856,0.054140127388535034,0.054140127388535034,0.05732484076433121,0.05732484076433121,0.054140127388535034,0.054140127388535034,0.044585987261146494,0.054140127388535034
