,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2
Fz,0.041050903119868636,0.029556650246305417,0.029556650246305417,0.027914614121510674,0.0361247947454844,0.041050903119868636,0.034482758620689655,0.0016420361247947454,0.013136288998357963,0.0016420361247947454,0.0,0.0,0.042692939244663386,0.0,0.013136288998357963,0.041050903119868636,0.006568144499178982,0.016420361247947456,0.0,0.016420361247947456,0.0,0.024630541871921183,0.034482758620689655,0.03940886699507389,0.0016420361247947454,0.008210180623973728,0.011494252873563218,0.0,0.0180623973727422,0.009852216748768473,0.0,0.013136288998357963,0.03284072249589491,0.0,0.022988505747126436,0.006568144499178982,0.0,0.0,0.024630541871921183,0.009852216748768473,0.0049261083743842365,0.0180623973727422,0.042692939244663386,0.042692939244663386,0.0,0.0016420361247947454,0.0,0.042692939244663386,0.016420361247947456,0.026272577996715927,0.011494252873563218,0.041050903119868636,0.042692939244663386,0.006568144499178982,0.0,0.0,0.021346469622331693,0.0,0.013136288998357963,0.0180623973727422
F3,0.03616636528028933,0.04159132007233273,0.019891500904159132,0.018083182640144666,0.039783001808318265,0.0325497287522604,0.04159132007233273,0.0,0.023508137432188065,0.0,0.0054249547920434,0.0,0.034358047016274866,0.007233273056057866,0.023508137432188065,0.0325497287522604,0.0162748643761302,0.0054249547920434,0.0,0.019891500904159132,0.0054249547920434,0.014466546112115732,0.02531645569620253,0.03074141048824593,0.0108499095840868,0.0,0.0216998191681736,0.0,0.028933092224231464,0.019891500904159132,0.0,0.0018083182640144665,0.023508137432188065,0.0,0.012658227848101266,0.0162748643761302,0.0,0.0018083182640144665,0.014466546112115732,0.019891500904159132,0.014466546112115732,0.007233273056057866,0.0379746835443038,0.03616636528028933,0.0,0.0108499095840868,0.009041591320072333,0.04159132007233273,0.027124773960216998,0.0379746835443038,0.0216998191681736,0.0325497287522604,0.03616636528028933,0.0162748643761302,0.003616636528028933,0.0018083182640144665,0.0108499095840868,0.0,0.0018083182640144665,0.007233273056057866
F7,0.017957351290684626,0.010101010101010102,0.05948372615039282,0.03367003367003367,0.014590347923681257,0.052749719416386086,0.013468013468013467,0.020202020202020204,0.0,0.015712682379349047,0.0,0.016835016835016835,0.029180695847362513,0.0,0.0,0.04938271604938271,0.0,0.030303030303030304,0.0,0.001122334455667789,0.0,0.04152637485970819,0.06060606060606061,0.05611672278338945,0.0,0.019079685746352413,0.0,0.0,0.002244668911335578,0.0,0.003367003367003367,0.020202020202020204,0.031425364758698095,0.002244668911335578,0.03254769921436588,0.0,0.0,0.0,0.052749719416386086,0.0,0.0,0.028058361391694726,0.020202020202020204,0.03928170594837262,0.0,0.0,0.0,0.02132435465768799,0.001122334455667789,0.007856341189674524,0.0,0.04713804713804714,0.04601571268237935,0.0,0.0,0.0,0.04601571268237935,0.0,0.028058361391694726,0.028058361391694726
FT9,0.022058823529411766,0.011764705882352941,0.04411764705882353,0.04264705882352941,0.01764705882352941,0.04264705882352941,0.016176470588235296,0.022058823529411766,0.0,0.020588235294117647,0.0,0.01764705882352941,0.03676470588235294,0.0,0.0,0.041176470588235294,0.0,0.03529411764705882,0.0,0.0,0.0,0.04264705882352941,0.04411764705882353,0.04411764705882353,0.0,0.025,0.0,0.0,0.0014705882352941176,0.0,0.0,0.026470588235294117,0.039705882352941174,0.0,0.041176470588235294,0.0,0.0,0.0,0.04264705882352941,0.0,0.0,0.03676470588235294,0.025,0.03676470588235294,0.0,0.0,0.0,0.026470588235294117,0.0,0.008823529411764706,0.0,0.041176470588235294,0.03823529411764706,0.0,0.0,0.0,0.039705882352941174,0.0,0.03235294117647059,0.03676470588235294
FC5,0.0411663807890223,0.03430531732418525,0.025728987993138937,0.024013722126929673,0.0411663807890223,0.03773584905660377,0.03945111492281304,0.0,0.017152658662092625,0.0,0.0,0.0,0.03945111492281304,0.0017152658662092624,0.017152658662092625,0.03773584905660377,0.010291595197255575,0.012006861063464836,0.0,0.018867924528301886,0.0,0.02058319039451115,0.030874785591766724,0.036020583190394515,0.005145797598627788,0.003430531732418525,0.015437392795883362,0.0,0.022298456260720412,0.0137221269296741,0.0,0.008576329331046312,0.029159519725557463,0.0,0.018867924528301886,0.010291595197255575,0.0,0.0,0.02058319039451115,0.0137221269296741,0.008576329331046312,0.0137221269296741,0.04288164665523156,0.0411663807890223,0.0,0.005145797598627788,0.003430531732418525,0.04288164665523156,0.02058319039451115,0.030874785591766724,0.015437392795883362,0.03773584905660377,0.0411663807890223,0.010291595197255575,0.0,0.0,0.017152658662092625,0.0,0.008576329331046312,0.0137221269296741
FC1,0.021821631878557873,0.015180265654648957,0.04838709677419355,0.028462998102466792,0.018975332068311195,0.055977229601518026,0.018026565464895637,0.014231499051233396,0.0056925996204933585,0.013282732447817837,0.0,0.011385199240986717,0.031309297912713474,0.0,0.0056925996204933585,0.05218216318785579,0.0018975332068311196,0.022770398481973434,0.0,0.007590132827324478,0.0,0.03320683111954459,0.054079696394686905,0.05787476280834915,0.0,0.016129032258064516,0.004743833017077799,0.0,0.008538899430740038,0.003795066413662239,0.0,0.017077798861480076,0.029411764705882353,0.0,0.026565464895635674,0.0018975332068311196,0.0,0.0,0.04174573055028463,0.003795066413662239,0.0009487666034155598,0.023719165085388995,0.023719165085388995,0.04269449715370019,0.0,0.0,0.0,0.029411764705882353,0.007590132827324478,0.013282732447817837,0.004743833017077799,0.04933586337760911,0.05028462998102467,0.0018975332068311196,0.0,0.0,0.036053130929791274,0.0,0.020872865275142316,0.023719165085388995
C3,0.03951890034364261,0.03608247422680412,0.024054982817869417,0.022336769759450172,0.0429553264604811,0.03608247422680412,0.041237113402061855,0.0,0.018900343642611683,0.0,0.001718213058419244,0.0,0.037800687285223365,0.003436426116838488,0.018900343642611683,0.03608247422680412,0.012027491408934709,0.010309278350515464,0.0,0.018900343642611683,0.001718213058419244,0.018900343642611683,0.029209621993127148,0.03436426116838488,0.006872852233676976,0.001718213058419244,0.01718213058419244,0.0,0.024054982817869417,0.015463917525773196,0.0,0.006872852233676976,0.027491408934707903,0.0,0.01718213058419244,0.012027491408934709,0.0,0.0,0.018900343642611683,0.015463917525773196,0.010309278350515464,0.012027491408934709,0.041237113402061855,0.03951890034364261,0.0,0.006872852233676976,0.005154639175257732,0.0429553264604811,0.022336769759450172,0.03264604810996564,0.01718213058419244,0.03608247422680412,0.03951890034364261,0.012027491408934709,0.0,0.0,0.015463917525773196,0.0,0.006872852233676976,0.012027491408934709
T7,0.0,0.0,0.04371584699453552,0.03551912568306011,0.0,0.03551912568306011,0.0,0.0546448087431694,0.0,0.03551912568306011,0.0,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.03278688524590164,0.0,0.04918032786885246,0.0,0.0,0.01092896174863388,0.04371584699453552,0.04371584699453552,0.03825136612021858,0.00273224043715847,0.03278688524590164,0.0,0.0,0.0,0.0,0.01912568306010929,0.0273224043715847,0.030054644808743168,0.01639344262295082,0.040983606557377046,0.0,0.01092896174863388,0.0,0.04644808743169399,0.0,0.0,0.03825136612021858,0.00273224043715847,0.02459016393442623,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.03278688524590164,0.0273224043715847,0.0,0.00273224043715847,0.0,0.04918032786885246,0.0,0.0546448087431694,0.03825136612021858
TP9,0.010775862068965518,0.016163793103448277,0.0010775862068965517,0.0,0.01293103448275862,0.008620689655172414,0.014008620689655173,0.0,0.05172413793103448,0.0,0.02478448275862069,0.0,0.009698275862068966,0.0334051724137931,0.05172413793103448,0.008620689655172414,0.018318965517241378,0.0,0.0,0.010775862068965518,0.03125,0.0,0.004310344827586207,0.007543103448275862,0.03987068965517242,0.0,0.05172413793103448,0.0,0.04633620689655173,0.04741379310344827,0.004310344827586207,0.0,0.003232758620689655,0.004310344827586207,0.0,0.04741379310344827,0.016163793103448277,0.018318965517241378,0.0,0.04956896551724138,0.04202586206896552,0.0,0.011853448275862068,0.010775862068965518,0.005387931034482759,0.03987068965517242,0.0334051724137931,0.014008620689655173,0.023706896551724137,0.016163793103448277,0.04956896551724138,0.008620689655172414,0.010775862068965518,0.04741379310344827,0.02478448275862069,0.017241379310344827,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.04560260586319218,0.04234527687296417,0.0,0.04234527687296417,0.0,0.04560260586319218,0.0,0.04234527687296417,0.0,0.03908794788273615,0.029315960912052116,0.0,0.0,0.03908794788273615,0.0,0.04560260586319218,0.0,0.0,0.0,0.04560260586319218,0.04560260586319218,0.04560260586319218,0.0,0.03908794788273615,0.0,0.0,0.0,0.0,0.0,0.03257328990228013,0.035830618892508145,0.0,0.04560260586319218,0.0,0.0,0.0,0.04560260586319218,0.0,0.0,0.04560260586319218,0.003257328990228013,0.029315960912052116,0.0,0.0,0.0,0.006514657980456026,0.0,0.0,0.0,0.03908794788273615,0.03257328990228013,0.0,0.0,0.0,0.04560260586319218,0.0,0.04560260586319218,0.04560260586319218
CP1,0.0,0.008291873963515755,0.0,0.0,0.003316749585406302,0.0,0.004975124378109453,0.0,0.04311774461028192,0.0,0.04643449419568822,0.0,0.0,0.04975124378109453,0.04145936981757877,0.0,0.01990049751243781,0.0,0.0,0.0,0.04809286898839138,0.0,0.0,0.0,0.04975124378109453,0.0,0.04975124378109453,0.0,0.03316749585406302,0.04477611940298507,0.013266998341625208,0.0,0.0,0.009950248756218905,0.0,0.04975124378109453,0.03316749585406302,0.03648424543946932,0.0,0.04809286898839138,0.04975124378109453,0.0,0.001658374792703151,0.0,0.008291873963515755,0.04975124378109453,0.04975124378109453,0.004975124378109453,0.01990049751243781,0.008291873963515755,0.04311774461028192,0.0,0.0,0.04975124378109453,0.04643449419568822,0.03482587064676617,0.0,0.0,0.0,0.0
