,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.047979797979797977,0.0,0.0,0.05303030303030303,0.015151515151515152,0.045454545454545456,0.0,0.020202020202020204,0.0,0.0,0.0,0.030303030303030304,0.0,0.017676767676767676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05303030303030303,0.05303030303030303,0.0,0.030303030303030304,0.0,0.012626262626262626,0.04292929292929293,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.030303030303030304,0.0,0.027777777777777776,0.017676767676767676,0.047979797979797977,0.05303030303030303,0.0,0.050505050505050504,0.0,0.025252525252525252,0.025252525252525252,0.030303030303030304,0.020202020202020204,0.05303030303030303,0.05303030303030303,0.0,0.0,0.04292929292929293,0.0,0.022727272727272728,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.04576659038901602,0.0,0.0,0.06178489702517163,0.013729977116704805,0.041189931350114416,0.0,0.018306636155606407,0.0,0.0,0.0,0.02745995423340961,0.0,0.016018306636155607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04805491990846682,0.06178489702517163,0.0,0.032036613272311214,0.0,0.011441647597254004,0.043478260869565216,0.05491990846681922,0.0,0.0,0.0,0.0,0.0,0.02517162471395881,0.0,0.0,0.032036613272311214,0.0,0.02517162471395881,0.016018306636155607,0.04805491990846682,0.05034324942791762,0.0,0.04576659038901602,0.0,0.02288329519450801,0.02288329519450801,0.029748283752860413,0.018306636155606407,0.059496567505720827,0.06407322654462243,0.0,0.0,0.043478260869565216,0.0,0.020594965675057208,0.0,0.0
FC1,0.0,0.03626943005181347,0.0,0.0,0.03626943005181347,0.031088082901554404,0.03626943005181347,0.0,0.03626943005181347,0.0,0.0,0.0,0.03626943005181347,0.0,0.03626943005181347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03626943005181347,0.03626943005181347,0.0,0.03626943005181347,0.0,0.025906735751295335,0.03626943005181347,0.03626943005181347,0.0,0.0,0.0,0.0,0.0,0.03626943005181347,0.0,0.0,0.03626943005181347,0.0,0.03626943005181347,0.03626943005181347,0.03626943005181347,0.03626943005181347,0.0,0.03626943005181347,0.0,0.03626943005181347,0.03626943005181347,0.03626943005181347,0.03626943005181347,0.03626943005181347,0.03626943005181347,0.0,0.0,0.03626943005181347,0.0,0.03626943005181347,0.0,0.0
C3,0.0,0.04594594594594595,0.0,0.0,0.051351351351351354,0.016216216216216217,0.04594594594594595,0.0,0.021621621621621623,0.0,0.0,0.0,0.032432432432432434,0.0,0.01891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04864864864864865,0.04864864864864865,0.0,0.03513513513513514,0.0,0.013513513513513514,0.04054054054054054,0.04594594594594595,0.0,0.0,0.0,0.0,0.0,0.02972972972972973,0.0,0.0,0.03513513513513514,0.0,0.02972972972972973,0.01891891891891892,0.04594594594594595,0.04864864864864865,0.0,0.04864864864864865,0.0,0.02702702702702703,0.02702702702702703,0.03513513513513514,0.021621621621621623,0.051351351351351354,0.051351351351351354,0.0,0.0,0.04054054054054054,0.0,0.024324324324324326,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.03765690376569038,0.0,0.0,0.03765690376569038,0.02510460251046025,0.03765690376569038,0.0,0.03347280334728033,0.0,0.0,0.0,0.03765690376569038,0.0,0.029288702928870293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03765690376569038,0.03765690376569038,0.0,0.03765690376569038,0.0,0.02092050209205021,0.03765690376569038,0.03765690376569038,0.0,0.0,0.0,0.0,0.0,0.03765690376569038,0.0,0.0,0.03765690376569038,0.0,0.03765690376569038,0.029288702928870293,0.03765690376569038,0.03765690376569038,0.0,0.03765690376569038,0.0,0.03765690376569038,0.03765690376569038,0.03765690376569038,0.03347280334728033,0.03765690376569038,0.03765690376569038,0.0,0.0,0.03765690376569038,0.0,0.03765690376569038,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059278350515463915,0.061855670103092786,0.061855670103092786,0.0,0.061855670103092786,0.0,0.0,0.028350515463917526,0.05412371134020619,0.061855670103092786,0.05412371134020619,0.015463917525773196,0.0,0.0,0.0,0.04381443298969072,0.0,0.0,0.0,0.0,0.0,0.059278350515463915,0.0,0.0,0.061855670103092786,0.0,0.0,0.059278350515463915,0.05154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.05154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.04896907216494845,0.061855670103092786,0.0,0.0,0.0,0.061855670103092786,0.0
