,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.040082219938335044,0.041109969167523124,0.03802672147995889,0.0421377183967112,0.040082219938335044,0.03905447070914697,0.0,0.007194244604316547,0.0,0.0010277492291880781,0.0,0.0421377183967112,0.0,0.0421377183967112,0.041109969167523124,0.0051387461459403904,0.0,0.0,0.022610483042137718,0.0,0.0,0.041109969167523124,0.040082219938335044,0.0,0.0328879753340185,0.0,0.0,0.02672147995889003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040082219938335044,0.041109969167523124,0.0,0.03802672147995889,0.040082219938335044,0.0421377183967112,0.0,0.0,0.0,0.0421377183967112,0.03597122302158273,0.0020554984583761563,0.041109969167523124,0.0,0.041109969167523124,0.010277492291880781,0.0,0.029804727646454265,0.0,0.03597122302158273,0.0,0.0020554984583761563,0.015416238437821172,0.0
F3,0.0351493848857645,0.048330404217926184,0.0351493848857645,0.050966608084358524,0.04481546572934974,0.0421792618629174,0.0,0.006151142355008787,0.0,0.0008787346221441124,0.0,0.040421792618629174,0.0,0.037785588752196834,0.037785588752196834,0.004393673110720563,0.0,0.0,0.019332161687170474,0.0,0.0,0.03602811950790861,0.03690685413005272,0.0,0.030755711775043937,0.0,0.0,0.023725834797891036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03602811950790861,0.04305799648506151,0.0,0.03427065026362039,0.048330404217926184,0.050966608084358524,0.0,0.0,0.0,0.050966608084358524,0.030755711775043937,0.0017574692442882249,0.05008787346221441,0.0,0.03866432337434095,0.01054481546572935,0.0,0.025483304042179262,0.0,0.033391915641476276,0.0,0.0017574692442882249,0.013181019332161687,0.0
FT9,0.032015065913371,0.03483992467043315,0.044256120527306965,0.03766478342749529,0.03295668549905838,0.031073446327683617,0.002824858757062147,0.006591337099811676,0.004708097928436911,0.007532956685499058,0.004708097928436911,0.03672316384180791,0.006591337099811676,0.03483992467043315,0.04331450094161959,0.011299435028248588,0.0,0.006591337099811676,0.022598870056497175,0.004708097928436911,0.004708097928436911,0.03295668549905838,0.04143126177024482,0.0,0.04048964218455744,0.0,0.0,0.01977401129943503,0.0,0.004708097928436911,0.003766478342749529,0.0,0.004708097928436911,0.0,0.006591337099811676,0.005649717514124294,0.03766478342749529,0.03483992467043315,0.0,0.030131826741996232,0.03389830508474576,0.03672316384180791,0.0,0.0,0.0,0.04048964218455744,0.03672316384180791,0.0018832391713747645,0.035781544256120526,0.0,0.03483992467043315,0.004708097928436911,0.0,0.027306967984934087,0.0,0.04519774011299435,0.0,0.00847457627118644,0.02071563088512241,0.0
FC5,0.0336417157275021,0.04709840201850295,0.03616484440706476,0.05382674516400336,0.04373423044575273,0.04205214465937763,0.0,0.005887300252312868,0.0,0.001682085786375105,0.0,0.03868797308662742,0.0008410428931875525,0.03616484440706476,0.03868797308662742,0.005046257359125316,0.0,0.0008410428931875525,0.01934398654331371,0.0,0.0,0.034482758620689655,0.03700588730025231,0.0,0.031118587047939444,0.0,0.0,0.022708158116063918,0.0,0.0,0.0,0.0,0.0,0.0,0.0008410428931875525,0.0,0.03532380151387721,0.04121110176619008,0.0,0.03280067283431455,0.04878048780487805,0.050462573591253154,0.0,0.0,0.0,0.056349873843566024,0.030277544154751892,0.001682085786375105,0.051303616484440706,0.0,0.03700588730025231,0.010092514718250631,0.0,0.024390243902439025,0.0,0.034482758620689655,0.0,0.002523128679562658,0.01345668629100084,0.0
FC1,0.036396724294813464,0.04913557779799818,0.034576888080072796,0.04913557779799818,0.04640582347588717,0.04367606915377616,0.0,0.006369426751592357,0.0,0.0,0.0,0.040036396724294813,0.0,0.03821656050955414,0.0373066424021838,0.003639672429481347,0.0,0.0,0.01910828025477707,0.0,0.0,0.0373066424021838,0.036396724294813464,0.0,0.03002729754322111,0.0,0.0,0.02456778889899909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036396724294813464,0.044585987261146494,0.0,0.03548680618744313,0.048225659690627844,0.04913557779799818,0.0,0.0,0.0,0.04913557779799818,0.030937215650591446,0.0018198362147406734,0.04913557779799818,0.0,0.040036396724294813,0.01091901728844404,0.0,0.025477707006369428,0.0,0.03275705186533212,0.0,0.0009099181073703367,0.012738853503184714,0.0
C3,0.036211699164345405,0.04921077065923862,0.033426183844011144,0.05013927576601671,0.04921077065923862,0.04735376044568245,0.0,0.0064995357474466105,0.0,0.0,0.0,0.03899721448467967,0.0,0.03806870937790158,0.036211699164345405,0.002785515320334262,0.0,0.0,0.018570102135561744,0.0,0.0,0.03714020427112349,0.035283194057567316,0.0,0.028783658310120707,0.0,0.0,0.025069637883008356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035283194057567316,0.0436397400185701,0.0,0.03714020427112349,0.05013927576601671,0.04828226555246054,0.0,0.0,0.0,0.04921077065923862,0.03064066852367688,0.0018570102135561746,0.05013927576601671,0.0,0.03899721448467967,0.012070566388115135,0.0,0.025069637883008356,0.0009285051067780873,0.031569173630454965,0.0,0.0,0.012070566388115135,0.0
T7,0.0,0.0,0.0010438413361169101,0.0,0.0,0.0,0.04279749478079332,0.0,0.04488517745302714,0.038622129436325675,0.04488517745302714,0.0,0.04279749478079332,0.0,0.0,0.030271398747390398,0.024008350730688934,0.031315240083507306,0.0,0.04384133611691023,0.04488517745302714,0.0,0.0,0.0,0.0020876826722338203,0.028183716075156576,0.025052192066805846,0.0,0.0,0.021920668058455117,0.033402922755741124,0.038622129436325675,0.04488517745302714,0.04279749478079332,0.04488517745302714,0.04488517745302714,0.0,0.0,0.0,0.0,0.0,0.0,0.032359081419624215,0.028183716075156576,0.038622129436325675,0.0,0.0,0.0,0.0,0.025052192066805846,0.0,0.003131524008350731,0.026096033402922755,0.0,0.021920668058455117,0.0020876826722338203,0.04279749478079332,0.017745302713987474,0.003131524008350731,0.04279749478079332
TP9,0.03619909502262444,0.03619909502262444,0.03619909502262444,0.03619909502262444,0.03619909502262444,0.03619909502262444,0.0,0.03167420814479638,0.0,0.0,0.0,0.03619909502262444,0.0,0.03619909502262444,0.03619909502262444,0.0,0.0,0.0,0.03619909502262444,0.0,0.0,0.03619909502262444,0.03619909502262444,0.0,0.03619909502262444,0.0,0.0,0.03619909502262444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03619909502262444,0.03619909502262444,0.0,0.03619909502262444,0.03619909502262444,0.03619909502262444,0.0,0.0,0.0,0.03619909502262444,0.03619909502262444,0.00904977375565611,0.03619909502262444,0.0,0.03619909502262444,0.01809954751131222,0.0,0.03619909502262444,0.0,0.03619909502262444,0.0,0.0,0.03619909502262444,0.0
CP5,0.0,0.0,0.0024813895781637717,0.0,0.0,0.0,0.03556658395368073,0.0,0.050454921422663356,0.03722084367245657,0.052109181141439205,0.0,0.043837882547559964,0.0,0.0008271298593879239,0.03225806451612903,0.0206782464846981,0.026468155500413565,0.0,0.045492142266335814,0.052109181141439205,0.0,0.0008271298593879239,0.0,0.0033085194375516956,0.022332506203473945,0.021505376344086023,0.0,0.0,0.01902398676592225,0.028122415219189414,0.0413564929693962,0.05128205128205128,0.04466501240694789,0.050454921422663356,0.04880066170388751,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.022332506203473945,0.03887510339123242,0.0,0.0008271298593879239,0.0,0.0,0.019851116625310174,0.0,0.0041356492969396195,0.0206782464846981,0.0,0.01902398676592225,0.0033085194375516956,0.04714640198511166,0.015715467328370553,0.0041356492969396195,0.04714640198511166
CP1,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.039047619047619046,0.0,0.04476190476190476,0.04476190476190476,0.04476190476190476,0.0,0.04666666666666667,0.0,0.0038095238095238095,0.037142857142857144,0.01904761904761905,0.03333333333333333,0.0019047619047619048,0.04476190476190476,0.04476190476190476,0.0,0.0038095238095238095,0.0,0.006666666666666667,0.025714285714285714,0.02,0.0,0.0,0.022857142857142857,0.03142857142857143,0.03428571428571429,0.04476190476190476,0.039047619047619046,0.04666666666666667,0.045714285714285714,0.0019047619047619048,0.0,0.0,0.0,0.0,0.0,0.02761904761904762,0.024761904761904763,0.03238095238095238,0.0009523809523809524,0.0038095238095238095,0.0,0.0,0.02095238095238095,0.0,0.0,0.023809523809523808,0.0,0.017142857142857144,0.006666666666666667,0.04,0.02095238095238095,0.007619047619047619,0.04
