,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,-0.30534814365579754,0.02866080986966153,0.0,-0.029751675683690883,-0.039225153431485645,0.04856187071586963,0.0,-0.025389821374201822,-0.009287161728230449,0.060329706355708425,-0.03480473346472421,-0.12224165082574794,0.003793896149677315,0.0,0.027316052277676667,0.07436036453367537,-0.01458960623665986,0.002276337689806389,-0.006633686948736034,0.04400919533625686,0.002276337689806389,0.0,0.08725961144257825,0.09257106605212649,-0.16356583602859448,-0.04453660804103388,0.0060702338394837034,0.0,-0.12868902175491967,-0.12338657724649024,0.09342445134380961,0.09484740374193287,0.03110994842735398,0.050079429175740556,0.0,0.0,-0.08093098077457962,0.014416805368773798,-0.013990112722932223,0.008346571529290093,-0.04908928342064666,0.0030351169197418517,0.0963649622018038,0.0,0.06815787528134033,0.015934363828644726,0.0,0.03718018226683768,0.18005753896930377,0.12899246908902873,0.005138653741662176,0.08327939927333662,-0.09362138641112111,-0.1650833944884654,0.038792346788456306,0.024280935357934814,0.050497111720463304,-0.022704811240791517,0.028833610737547595,0.10015885835148111,-0.08430719437953418,0.0,-0.02628085601698863,0.0,-0.03044287915523514,0.02200459766812843,-0.1707359457832264,0.1322184070788943
bankssts-rh,0.02048897832517099,-0.24167430783531751,0.0,0.0,0.006865647618925926,-0.07211432983822968,0.0,-0.03296130999376719,-0.009192301954036966,0.006713227103716343,0.007628497354362141,0.0,-0.04136535879316634,0.0,-0.03146101394209636,0.1144274603154321,-0.07353841563229573,0.0,-0.06128201302691311,0.0,0.0022885492063086424,0.059502279364024704,0.01754554391503292,-0.1049803770099909,0.01830839365046914,0.04119388571355556,0.0038142486771810705,-0.0551538117242218,0.17084658646370995,0.0488223830679177,0.063952360680634,-0.04141541847218123,-0.07071564746336523,0.06636792698295062,-0.032173056839129376,0.0,-0.0275769058621109,-0.016852553582401102,0.0755221238081852,0.0006548852038294217,0.011926158155761852,-0.0789355214735528,0.007571339661158546,0.0,0.01678269417959671,-0.015434818643135468,0.03477354509004587,0.030864033590858816,-0.05830047348797264,-0.04257276836463053,0.0976447661358354,-0.0017797336628884062,0.037252619940366494,0.07475927407274899,0.01214843807377583,-0.08273071758633269,-0.03064735736825695,0.027411783637300506,0.08847151674619964,-0.07676763850845178,0.00830878597739316,0.09286444036960534,0.025936891004831278,0.005035107117634327,0.023591184105319043,-0.05474660985760794,-0.027640414410114892,0.06172732002232934
caudalanteriorcingulate-lh,0.0,0.0,-0.3463861122615335,-0.038636839619722925,0.0,0.0,0.0,0.0,0.08841827931073407,0.0,0.0,0.010402150507145184,0.1274263437125285,-0.0496203792035515,0.0,-0.014177251201014717,0.054177212507285806,0.0,0.036407526775008144,0.0,0.002600537626786296,0.0,0.0,0.0,0.0,-0.12995813600930156,0.015603225760717775,0.0,0.0,0.0,0.0,0.0,0.0,-0.2064795449231742,0.07541559117680258,0.0,0.10142096744466554,0.08581774168394776,0.0,0.0,0.0,0.02673211261371714,0.0,0.0,0.0,0.16506342981863048,-0.10160363360727213,0.0,0.0,-0.044894628803213266,0.0,0.0,0.0,0.08841827931073407,0.0,0.24705107454469813,-0.023628752001691195,0.0,0.0,0.0,0.018203763387504072,-0.17721564001268394,0.0,-0.004725750400338239,-0.1346838864096398,0.07565325360341976,0.0531990646688118,0.0
caudalanteriorcingulate-rh,-0.03343537359533397,0.0,-0.02203443428327872,-0.29972328733969583,0.0,0.03807440281976366,0.0,0.0,0.06134209343184145,0.0,0.0,0.04865062582525356,0.10153174085270308,0.0,0.0,-0.09035225314148489,0.09730125165050713,0.0,0.01903720140988183,0.0,0.0,0.0,0.04230489202195962,0.033843913617567695,0.0,-0.10541096199839901,0.002115244601097981,0.0,0.0,0.0782640502406253,0.004230489202195962,0.0,-0.012710558261832452,-0.17765763770593693,0.05076587042635154,0.0,0.02485985125947465,0.15018236667795665,0.0,0.0,-0.09788160756994196,0.018067396123457848,0.0,0.0,-0.020705724678256952,0.0783251403374079,-0.1788221676758555,-0.06964652846322793,0.04230489202195962,-0.009896595678783334,-0.005647015821342805,0.035959158218665674,0.002115244601097981,0.16498907888564252,0.0,0.2115244601097981,0.0,-0.03578352419041566,0.0,0.044420136623057604,0.012691467606587886,-0.14117539553357014,-0.005647015821342805,-0.08658757592725634,-0.05082314239208524,0.06132300277659688,0.04230489202195962,-0.02258806328537122
caudalmiddlefrontal-lh,-0.03120727177469407,0.00802165837185619,0.0,0.0,0.15980888774793328,0.025669306789939807,0.0,-0.01701665604406313,0.04492128688239466,0.05458755303760211,-0.14263783995278004,-0.16231271918952522,0.003208663348742476,0.00564536794203435,-0.03281160344906531,0.02246064344119733,0.003208663348742476,0.12850763838561916,0.04492128688239466,0.15401584073963884,0.0,0.05294294525425085,0.030482301813053524,0.02246064344119733,-0.15821798144322208,-0.09923361984196657,-0.00261794708370202,0.07522905888986807,-0.12097600600635335,-0.06035374930657656,-0.1060268568899318,0.0,0.0,0.0,-0.01963460312776515,0.18335027344676147,-0.11126275105733587,-0.00392692062555303,-0.11789488366938097,0.17968514752957865,0.003208663348742476,0.1524115090652676,-0.03796023271367929,-0.028757141811742194,0.02246064344119733,0.002826040313432181,0.0,0.028877970138682284,-0.0338252188583961,0.03850396018490971,0.015828510829152213,0.022453930756367334,-0.09424609501327272,-0.14551086906002228,-0.12152644616241377,0.02246064344119733,-0.011572668646928927,0.049734281905508375,0.13961713177927773,-0.016808562814332968,-0.07592046542735859,0.014438985069341142,0.012834653394969904,0.0,0.04010829185928095,-0.04560598073505518,0.03297270788498544,0.0
caudalmiddlefrontal-rh,0.07739972044352861,-0.04686042443737557,0.0,0.019974121404781574,0.017477356229183876,0.14392403090623274,0.018725738816982727,0.0,0.0,0.0689254865084704,0.03994824280956315,0.011235443290189634,0.0,0.0,0.049294226713084276,-0.03222269499318486,0.0012483825877988484,0.02748902970153127,0.027464416931574663,0.024967651755976965,-0.06683454584215714,-0.04446668946159621,0.062419129389942415,-0.0967465024094163,0.062419129389942415,0.0,-0.005737637349883382,0.0,-0.023190380809110657,0.038699860221764304,-0.006912181627812415,0.025760984294578168,0.04820725810500084,0.08034695654833202,0.0,0.02996118210717236,0.0,-0.014344093374708454,0.05118368609975278,-0.039291711480720734,-0.05150651405918357,-0.15879815742000664,0.007671743156473159,0.0,0.006241912938994241,-0.04303228012412536,0.0,0.006241912938994241,-0.10832938642899333,0.06440703985643732,0.007113662907457175,0.062419129389942415,-0.11634857031485388,0.04677284876752998,0.028605190199563247,-0.08338176832298103,-0.08680866724693871,0.09354569753505997,-0.04824102911494128,-0.008371203735239868,-0.02295054939953353,-0.047496922116253296,0.04743853833635624,-0.16495707380914723,0.007857769906145165,-0.05280870130688755,-0.011529079359671894,0.07577928435638576
cuneus-lh,0.0,0.0,0.0,0.0,0.0,0.03161925981296465,0.45362054419404435,0.13295233193426273,0.0,-0.04674981030124589,0.43329924284318616,0.009299782297930778,-0.08212804512381035,-0.008844558705641114,-0.09729014576205225,0.1766958636606848,0.0,-0.07581050319120955,-0.058121385779927315,0.0026291791633891526,-0.18699924120498357,-0.0833915535103305,-0.07941172745100601,0.03533917273213696,-0.008844558705641114,0.0,-0.06949296125860875,-0.010108067092161273,0.07671343843532204,-0.008844558705641114,0.0,0.0,-0.04815454316854238,0.0,-0.060648402552967634,-0.08970909544293129,-0.008844558705641114,0.0,-0.008844558705641114,-0.036641743209084615,0.0,-0.05433086062036684,-0.20445248368560742,-0.07960102835077003,-0.09729014576205225,-0.05451114719157067,0.0,0.0,0.0,-0.012635083865201591,0.1957431399083692,-0.04548630191472573,0.17483590720109865,-0.008844558705641114,-0.008844558705641114,0.0,0.02347331157073837,0.0,-0.10483964593121255,0.0,0.0,0.043618833514672745,0.0029431782749024904,-0.022743150957362866,0.0,-0.008844558705641114,-0.021479642570842703,0.0
cuneus-rh,-0.021819623053092173,-0.033234898091927256,0.0,0.0,-0.014070974955130046,0.0,0.02398733558917198,-0.039067893251028184,-0.004116301262310899,-0.012036349886381664,0.27303297218394434,0.07935441063474245,-0.009543312430158424,-0.012507533293448931,-0.05472045815883907,-0.027970549384151458,0.0806994006455008,-0.018761299940173396,-0.046903249850433495,-0.006001034890579967,-0.06566454979060689,-0.06646979618385451,-0.09346369864864972,-0.03252375394830791,0.0,0.0,-0.032832274895303444,0.0,0.08204439065625914,0.0,0.0,-0.0530884562867145,-0.07581616604871949,0.08607936068853418,0.0224964870914898,-0.04533980818875238,-0.03839640648403787,-0.003126883323362233,0.01479489011834181,-0.03639606152051122,0.0,-0.018761299940173396,-0.053790862364296956,-0.046179334687221726,0.049764630398058826,0.012563322484299979,0.029439888796204315,-0.014070974955130046,0.028244790225925277,-0.04377636652707126,0.013012996805737928,0.09225179610522277,0.03838363546444547,0.0,0.04303968034426709,0.036314730290475356,0.09145932073156757,-0.03126883323362233,-0.014944781558821127,-0.014383528855681081,-0.009380649970086698,-0.014255146500831092,-0.06410110812892578,-0.05086965967226508,0.06640997403944797,0.036314730290475356,0.028921654264322902,-0.008956517687833562
entorhinal-lh,-0.00773274271015798,-0.004418710120090274,0.019351217103240705,0.01666354806112394,0.013975879019007174,-0.0011046775300225685,0.0,-0.015909634117953896,-0.4121836575217817,0.011288209976890411,0.0032252028505401174,-0.040873068610835034,-0.15683915472128668,0.032252028505401174,0.007525473317926941,0.0,0.056892031638976714,0.011263155434972374,-0.08254788256304728,0.032252028505401174,0.08738568683885745,-0.045016178769826894,0.020278235154208096,0.0,0.037661531874068385,0.004837804275810176,-0.032630124319800655,0.09974896443259457,0.011351985174499962,0.0,0.0,0.0,-0.07843210463160237,0.004300270467386824,-0.049562439285136276,-0.06827362672665258,0.15803493967646576,-0.12363049825174226,0.004837804275810176,0.032252028505401174,0.0,0.03816490039805806,0.01977031125896061,0.1494343987416921,0.0026876690421167647,0.10858182930151729,0.1634102777606993,0.007525473317926941,0.0,-0.0033140325900677054,-0.03314032590067705,-0.013877938536963936,0.01183029915657159,-0.02390886604669464,-0.011046775300225685,0.07857787651185277,-0.014000933560925213,0.0,-0.036454358490744763,-0.03623797835599807,-0.09060405663251082,-0.008744035129395134,0.013349515471056237,-0.01719652649828947,0.039239968014904765,0.07579226698769276,0.05584885162093481,-0.02191133575013837
entorhinal-rh,0.04623890713062931,0.011620977641712903,0.0,0.0,0.014715624493031081,0.02242393950024567,-0.0429157312120762,-0.01360423821596063,0.011408922943465329,-0.29266230723372094,0.024619254772740976,0.0,-0.008803226915297682,0.04129173860766826,-0.009599276873161332,0.017413619229499713,-0.0429157312120762,-0.06736306115974394,0.009607514057655014,-0.19323315409923106,-0.06162258840708378,0.08847834437478846,-0.004292840380360494,0.005211392056335293,0.12249580423510142,0.034784362857660525,-0.005502016822061052,-0.021301570310516982,-0.021700968153531088,-0.01250383485154842,0.024641220598057456,-0.015369952635631658,0.024018785144137536,0.12489768274951518,-0.02200806728824421,0.05226282351381562,0.0,0.015011740715085958,0.05884602360313696,0.036449541384536883,-0.04101104070530666,0.014011873243468415,-0.027691935798742667,-0.047317344669725044,-0.060913345701191994,0.028222072544361602,0.03883219980179872,0.16993290489477306,0.017125740191938518,0.043834282888051,-0.030007007061184553,0.025219724401344415,-0.07142568279399901,-0.003488553238003166,0.03262917745833956,-0.03741371439001515,-0.012587896375355729,0.018014088858103152,-0.05612057158502272,0.036028177716206304,-0.008099475665735018,-0.0384135818616327,-0.03850038911360456,0.02566305389499149,-0.01959520586117221,0.0413510885779945,-0.003600072043456071,0.05428177855420263
