,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.04785894206549118,0.010075566750629723,0.037783375314861464,0.0,0.027707808564231738,0.030226700251889168,0.027707808564231738,0.0327455919395466,0.010075566750629723,0.04534005037783375,0.012594458438287154,0.027707808564231738,0.007556675062972292,0.012594458438287154,0.022670025188916875,0.007556675062972292,0.027707808564231738,0.0025188916876574307,0.015113350125944584,0.015113350125944584,0.010075566750629723,0.0327455919395466,0.010075566750629723,0.020151133501259445,0.02518891687657431,0.010075566750629723,0.0327455919395466,0.02518891687657431,0.030226700251889168,0.030226700251889168,0.030226700251889168,0.02518891687657431,0.022670025188916875,0.005037783375314861,0.010075566750629723,0.022670025188916875,0.010075566750629723,0.012594458438287154,0.012594458438287154,0.010075566750629723,0.02518891687657431,0.012594458438287154,0.015113350125944584,0.015113350125944584,0.022670025188916875,0.005037783375314861,0.012594458438287154,0.02518891687657431,0.012594458438287154,0.0025188916876574307,0.022670025188916875,0.020151133501259445
S1_D3 hbo,0.011428571428571429,0.022857142857142857,0.0038095238095238095,0.0,0.0038095238095238095,0.005714285714285714,0.024761904761904763,0.007619047619047619,0.022857142857142857,0.009523809523809525,0.024761904761904763,0.02095238095238095,0.017142857142857144,0.02095238095238095,0.02095238095238095,0.01904761904761905,0.024761904761904763,0.017142857142857144,0.022857142857142857,0.024761904761904763,0.022857142857142857,0.01904761904761905,0.022857142857142857,0.024761904761904763,0.009523809523809525,0.022857142857142857,0.015238095238095238,0.02095238095238095,0.017142857142857144,0.015238095238095238,0.01904761904761905,0.022857142857142857,0.01904761904761905,0.01904761904761905,0.022857142857142857,0.024761904761904763,0.022857142857142857,0.024761904761904763,0.024761904761904763,0.022857142857142857,0.024761904761904763,0.024761904761904763,0.024761904761904763,0.024761904761904763,0.024761904761904763,0.01904761904761905,0.017142857142857144,0.02095238095238095,0.024761904761904763,0.015238095238095238,0.01904761904761905,0.02095238095238095
S2_D1 hbo,0.06521739130434782,0.0,0.0782608695652174,0.0,0.04782608695652174,0.04782608695652174,0.02608695652173913,0.043478260869565216,0.0,0.07391304347826087,0.004347826086956522,0.030434782608695653,0.0,0.004347826086956522,0.021739130434782608,0.0,0.02608695652173913,0.0,0.0,0.008695652173913044,0.0,0.04782608695652174,0.0,0.017391304347826087,0.02608695652173913,0.0,0.05217391304347826,0.0391304347826087,0.034782608695652174,0.0391304347826087,0.04782608695652174,0.02608695652173913,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.004347826086956522,0.004347826086956522,0.0,0.02608695652173913,0.004347826086956522,0.008695652173913044,0.004347826086956522,0.021739130434782608,0.0,0.004347826086956522,0.02608695652173913,0.004347826086956522,0.0,0.021739130434782608,0.017391304347826087
S2_D2 hbo,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D4 hbo,0.04864864864864865,0.0,0.05945945945945946,0.0,0.05945945945945946,0.05945945945945946,0.016216216216216217,0.05405405405405406,0.0,0.04864864864864865,0.005405405405405406,0.03783783783783784,0.0,0.005405405405405406,0.02702702702702703,0.0,0.032432432432432434,0.0,0.0,0.010810810810810811,0.0,0.021621621621621623,0.0,0.021621621621621623,0.032432432432432434,0.0,0.03783783783783784,0.032432432432432434,0.043243243243243246,0.03783783783783784,0.03783783783783784,0.032432432432432434,0.02702702702702703,0.0,0.0,0.02702702702702703,0.0,0.005405405405405406,0.005405405405405406,0.0,0.032432432432432434,0.005405405405405406,0.010810810810810811,0.005405405405405406,0.02702702702702703,0.0,0.005405405405405406,0.032432432432432434,0.005405405405405406,0.0,0.02702702702702703,0.021621621621621623
S3_D1 hbo,0.043478260869565216,0.004347826086956522,0.05217391304347826,0.0,0.05217391304347826,0.05217391304347826,0.017391304347826087,0.04782608695652174,0.004347826086956522,0.043478260869565216,0.008695652173913044,0.034782608695652174,0.0,0.008695652173913044,0.02608695652173913,0.0,0.030434782608695653,0.0,0.004347826086956522,0.013043478260869565,0.004347826086956522,0.021739130434782608,0.004347826086956522,0.021739130434782608,0.030434782608695653,0.004347826086956522,0.034782608695652174,0.030434782608695653,0.0391304347826087,0.034782608695652174,0.034782608695652174,0.030434782608695653,0.02608695652173913,0.0,0.004347826086956522,0.02608695652173913,0.004347826086956522,0.008695652173913044,0.008695652173913044,0.004347826086956522,0.030434782608695653,0.008695652173913044,0.013043478260869565,0.008695652173913044,0.02608695652173913,0.0,0.008695652173913044,0.030434782608695653,0.008695652173913044,0.0,0.02608695652173913,0.021739130434782608
S3_D3 hbo,0.01932367149758454,0.01932367149758454,0.00966183574879227,0.0,0.008051529790660225,0.00966183574879227,0.028985507246376812,0.011272141706924315,0.01932367149758454,0.01610305958132045,0.020933977455716585,0.02254428341384863,0.017713365539452495,0.017713365539452495,0.02254428341384863,0.01610305958132045,0.027375201288244767,0.014492753623188406,0.02254428341384863,0.02254428341384863,0.01932367149758454,0.024154589371980676,0.01932367149758454,0.02576489533011272,0.01288244766505636,0.01932367149758454,0.017713365539452495,0.02254428341384863,0.01932367149758454,0.017713365539452495,0.020933977455716585,0.024154589371980676,0.020933977455716585,0.01610305958132045,0.01932367149758454,0.02576489533011272,0.01932367149758454,0.020933977455716585,0.020933977455716585,0.01932367149758454,0.02576489533011272,0.020933977455716585,0.02254428341384863,0.02254428341384863,0.02576489533011272,0.01610305958132045,0.014492753623188406,0.02254428341384863,0.020933977455716585,0.01288244766505636,0.020933977455716585,0.02254428341384863
S3_D4 hbo,0.040145985401459854,0.0072992700729927005,0.043795620437956206,0.0,0.043795620437956206,0.04744525547445255,0.01824817518248175,0.043795620437956206,0.0072992700729927005,0.040145985401459854,0.010948905109489052,0.032846715328467155,0.0,0.010948905109489052,0.025547445255474453,0.0036496350364963502,0.029197080291970802,0.0,0.0072992700729927005,0.014598540145985401,0.0072992700729927005,0.021897810218978103,0.0072992700729927005,0.021897810218978103,0.029197080291970802,0.0072992700729927005,0.032846715328467155,0.029197080291970802,0.0364963503649635,0.032846715328467155,0.032846715328467155,0.029197080291970802,0.025547445255474453,0.0,0.0072992700729927005,0.025547445255474453,0.0072992700729927005,0.010948905109489052,0.010948905109489052,0.0072992700729927005,0.029197080291970802,0.010948905109489052,0.014598540145985401,0.010948905109489052,0.025547445255474453,0.0,0.010948905109489052,0.029197080291970802,0.010948905109489052,0.0,0.025547445255474453,0.021897810218978103
S3_D5 hbo,0.01073345259391771,0.023255813953488372,0.0035778175313059034,0.0,0.0035778175313059034,0.005366726296958855,0.025044722719141325,0.007155635062611807,0.025044722719141325,0.008944543828264758,0.028622540250447227,0.01967799642218247,0.02146690518783542,0.01967799642218247,0.01967799642218247,0.017889087656529516,0.026833631484794274,0.017889087656529516,0.025044722719141325,0.025044722719141325,0.023255813953488372,0.017889087656529516,0.023255813953488372,0.025044722719141325,0.008944543828264758,0.023255813953488372,0.014311270125223614,0.01967799642218247,0.016100178890876567,0.014311270125223614,0.017889087656529516,0.02146690518783542,0.017889087656529516,0.01967799642218247,0.02146690518783542,0.023255813953488372,0.023255813953488372,0.025044722719141325,0.028622540250447227,0.023255813953488372,0.026833631484794274,0.025044722719141325,0.023255813953488372,0.028622540250447227,0.023255813953488372,0.017889087656529516,0.016100178890876567,0.01967799642218247,0.025044722719141325,0.014311270125223614,0.017889087656529516,0.01967799642218247
S4_D2 hbo,0.05277777777777778,0.008333333333333333,0.04722222222222222,0.0,0.030555555555555555,0.03333333333333333,0.027777777777777776,0.03611111111111111,0.008333333333333333,0.05277777777777778,0.011111111111111112,0.027777777777777776,0.002777777777777778,0.011111111111111112,0.022222222222222223,0.005555555555555556,0.025,0.0,0.011111111111111112,0.013888888888888888,0.008333333333333333,0.03888888888888889,0.008333333333333333,0.019444444444444445,0.025,0.008333333333333333,0.03888888888888889,0.030555555555555555,0.030555555555555555,0.03333333333333333,0.03611111111111111,0.025,0.022222222222222223,0.002777777777777778,0.008333333333333333,0.022222222222222223,0.008333333333333333,0.011111111111111112,0.011111111111111112,0.008333333333333333,0.025,0.011111111111111112,0.013888888888888888,0.011111111111111112,0.022222222222222223,0.002777777777777778,0.011111111111111112,0.025,0.011111111111111112,0.0,0.022222222222222223,0.019444444444444445
