,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,TP9,CP5,CP1,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,PO7,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0636042402826855,0.0,0.0176678445229682,0.0,0.0,0.0,0.05830388692579505,0.0,0.0,0.019434628975265017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054770318021201414,0.06537102473498234,0.054770318021201414,0.05830388692579505,0.0,0.0,0.05123674911660778,0.0,0.04770318021201413,0.0,0.02120141342756184,0.0,0.0,0.037102473498233215,0.0,0.0,0.04063604240282685,0.038869257950530034,0.0,0.0,0.0,0.061837455830388695,0.061837455830388695,0.044169611307420496,0.0,0.061837455830388695,0.0636042402826855,0.0,0.0,0.0,0.0,0.0,0.0,0.04063604240282685,0.0,0.037102473498233215,0.0,0.0
F3,0.0,0.0,0.05527638190954774,0.0,0.0,0.0,0.06030150753768844,0.0,0.0,0.05527638190954774,0.0,0.0,0.020100502512562814,0.020100502512562814,0.06030150753768844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06030150753768844,0.06030150753768844,0.0,0.0,0.0,0.06030150753768844,0.0,0.035175879396984924,0.06030150753768844,0.0,0.04522613065326633,0.0,0.0,0.0,0.06030150753768844,0.06030150753768844,0.0,0.0,0.0,0.0,0.04522613065326633,0.0,0.0,0.06030150753768844,0.0,0.0,0.0,0.06030150753768844,0.06030150753768844,0.0,0.06030150753768844,0.0,0.0,0.0
F7,0.0,0.04926108374384237,0.0,0.04433497536945813,0.0,0.0,0.0,0.04926108374384237,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04926108374384237,0.04926108374384237,0.04926108374384237,0.04926108374384237,0.0,0.0,0.04926108374384237,0.0,0.04926108374384237,0.0,0.04926108374384237,0.0,0.0,0.04926108374384237,0.0,0.0,0.04926108374384237,0.04926108374384237,0.0,0.0,0.0,0.04926108374384237,0.04926108374384237,0.04926108374384237,0.0,0.04926108374384237,0.04926108374384237,0.0,0.0,0.0,0.0,0.0,0.0,0.04433497536945813,0.0,0.04926108374384237,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.08409785932721713,0.0,0.0,0.04434250764525994,0.0,0.0,0.024464831804281346,0.035168195718654434,0.0856269113149847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05504587155963303,0.047400611620795105,0.0,0.0,0.0,0.05045871559633028,0.0,0.0382262996941896,0.08103975535168195,0.0,0.03058103975535168,0.013761467889908258,0.0,0.0,0.05963302752293578,0.05963302752293578,0.0,0.0,0.0,0.0,0.04281345565749235,0.0,0.0,0.045871559633027525,0.0,0.0,0.0,0.08409785932721713,0.05045871559633028,0.0,0.04892966360856269,0.0,0.0,0.0
C3,0.0,0.056261343012704176,0.0,0.018148820326678767,0.0,0.0,0.0,0.06170598911070781,0.0,0.0,0.019963702359346643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06170598911070781,0.06352087114337568,0.04900181488203267,0.06352087114337568,0.0,0.0,0.05807622504537205,0.0,0.04900181488203267,0.0,0.021778584392014518,0.0,0.0,0.038112522686025406,0.0,0.0,0.034482758620689655,0.039927404718693285,0.0,0.0,0.0,0.05807622504537205,0.06352087114337568,0.047186932849364795,0.0,0.06170598911070781,0.06352087114337568,0.0,0.0,0.0,0.0,0.0,0.0,0.032667876588021776,0.0,0.038112522686025406,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.057971014492753624,0.0,0.0,0.033126293995859216,0.047619047619047616,0.060041407867494824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055900621118012424,0.053830227743271224,0.0,0.0,0.0,0.047619047619047616,0.0,0.051759834368530024,0.055900621118012424,0.0,0.041407867494824016,0.018633540372670808,0.0,0.0,0.060041407867494824,0.060041407867494824,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.053830227743271224,0.0,0.0,0.0,0.060041407867494824,0.060041407867494824,0.0,0.047619047619047616,0.0,0.0,0.0
