,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,TP9,CP5,CP1,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,PO7,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.053125,0.0,0.0,0.0375,0.0,0.0,0.0015625,0.0,0.0,0.0,0.0,0.0515625,0.0,0.0,0.0,0.0390625,0.04375,0.0,0.0,0.046875,0.0,0.0421875,0.0,0.0,0.0,0.0515625,0.053125,0.0,0.053125,0.0,0.0515625,0.0,0.0,0.0,0.0171875,0.046875,0.0,0.053125,0.0,0.0421875,0.046875,0.053125,0.0,0.0453125,0.0390625,0.0,0.0,0.0,0.0,0.0,0.04375,0.0,0.053125,0.0,0.0,0.034375
Fz,0.0,0.04723502304147465,0.0,0.0,0.04608294930875576,0.0,0.038018433179723504,0.0,0.04608294930875576,0.03225806451612903,0.03571428571428571,0.0,0.04608294930875576,0.0,0.038018433179723504,0.0,0.0,0.0,0.020737327188940093,0.0,0.041474654377880185,0.0,0.03110599078341014,0.03686635944700461,0.0,0.0,0.0,0.041474654377880185,0.0,0.03110599078341014,0.0,0.024193548387096774,0.0,0.03225806451612903,0.0,0.0,0.04377880184331797,0.0,0.044930875576036866,0.0,0.0,0.0,0.04723502304147465,0.0,0.002304147465437788,0.04608294930875576,0.0,0.029953917050691243,0.044930875576036866,0.04838709677419355,0.0,0.038018433179723504,0.0,0.029953917050691243,0.03571428571428571,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.03886397608370702,0.0,0.0,0.04633781763826607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04783258594917788,0.0,0.0,0.0,0.04783258594917788,0.04783258594917788,0.0,0.0,0.04783258594917788,0.0,0.04783258594917788,0.0,0.0,0.0,0.04783258594917788,0.04783258594917788,0.0,0.03736920777279522,0.0,0.04783258594917788,0.0,0.0,0.0,0.02391629297458894,0.04783258594917788,0.0,0.04633781763826607,0.0,0.04783258594917788,0.04783258594917788,0.04783258594917788,0.0,0.04783258594917788,0.04783258594917788,0.0,0.0,0.0,0.0,0.0,0.04783258594917788,0.0,0.04633781763826607,0.0,0.0,0.043348281016442454
FT9,0.0,0.046511627906976744,0.0,0.0,0.04773561811505508,0.0,0.03671970624235006,0.0,0.04528763769889841,0.03427172582619339,0.03427172582619339,0.0,0.04528763769889841,0.0,0.03671970624235006,0.0,0.0,0.0,0.01835985312117503,0.0,0.04039167686658507,0.0,0.02937576499388005,0.03916768665850673,0.0,0.0,0.0,0.04039167686658507,0.0,0.033047735618115054,0.0,0.025703794369645042,0.0,0.03427172582619339,0.0,0.0,0.042839657282741736,0.0,0.044063647490820076,0.0,0.0,0.0,0.046511627906976744,0.0,0.0036719706242350062,0.04528763769889841,0.0,0.03182374541003672,0.044063647490820076,0.04773561811505508,0.0,0.04039167686658507,0.0,0.028151774785801713,0.037943696450428395,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.04050925925925926,0.0,0.0,0.037037037037037035,0.0,0.047453703703703706,0.0,0.04282407407407408,0.032407407407407406,0.04050925925925926,0.0,0.04513888888888889,0.0,0.04513888888888889,0.0,0.0,0.0,0.028935185185185185,0.0,0.04282407407407408,0.0,0.04050925925925926,0.03587962962962963,0.0,0.0,0.0,0.03935185185185185,0.0,0.03009259259259259,0.0,0.023148148148148147,0.0,0.03009259259259259,0.0,0.0,0.04398148148148148,0.0,0.04398148148148148,0.0,0.0,0.0,0.04050925925925926,0.0,0.0,0.04398148148148148,0.0,0.03009259259259259,0.047453703703703706,0.046296296296296294,0.0,0.032407407407407406,0.0,0.034722222222222224,0.034722222222222224,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.042682926829268296,0.0,0.0,0.039634146341463415,0.0,0.03556910569105691,0.0,0.056910569105691054,0.028455284552845527,0.03353658536585366,0.0,0.057926829268292686,0.0,0.03556910569105691,0.0,0.0,0.0,0.02032520325203252,0.0,0.03861788617886179,0.0,0.029471544715447155,0.032520325203252036,0.0,0.0,0.0,0.036585365853658534,0.0,0.027439024390243903,0.0,0.021341463414634148,0.0,0.028455284552845527,0.0,0.0,0.04065040650406504,0.0,0.056910569105691054,0.0,0.0,0.0,0.042682926829268296,0.0,0.0010162601626016261,0.057926829268292686,0.0,0.026422764227642278,0.056910569105691054,0.05894308943089431,0.0,0.03353658536585366,0.0,0.028455284552845527,0.031504065040650404,0.0
CP5,0.0,0.041237113402061855,0.0,0.0,0.041237113402061855,0.0,0.041237113402061855,0.0,0.041237113402061855,0.039764359351988215,0.03829160530191458,0.0,0.041237113402061855,0.0,0.041237113402061855,0.0,0.0,0.0,0.01914580265095729,0.0,0.041237113402061855,0.0,0.03240058910162003,0.041237113402061855,0.0,0.0,0.0,0.041237113402061855,0.0,0.036818851251840944,0.0,0.027982326951399118,0.0,0.036818851251840944,0.0,0.0,0.041237113402061855,0.0,0.041237113402061855,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.041237113402061855,0.0,0.03829160530191458,0.041237113402061855,0.041237113402061855,0.0,0.039764359351988215,0.0,0.030927835051546393,0.041237113402061855,0.0
