,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.05286343612334802,0.05286343612334802,0.048458149779735685,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.039647577092511016,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05726872246696035,0.05286343612334802,0.048458149779735685
caudalmiddlefrontal-rh,0.05286343612334802,0.05286343612334802,0.048458149779735685,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.039647577092511016,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05726872246696035,0.05286343612334802,0.048458149779735685
inferiorparietal-rh,0.050359712230215826,0.050359712230215826,0.0539568345323741,0.050359712230215826,0.050359712230215826,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.050359712230215826,0.050359712230215826,0.0539568345323741,0.03597122302158273,0.05755395683453238,0.05755395683453238,0.050359712230215826,0.046762589928057555,0.05755395683453238,0.0539568345323741
parsopercularis-lh,0.05286343612334802,0.05286343612334802,0.048458149779735685,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.039647577092511016,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05726872246696035,0.05286343612334802,0.048458149779735685
parstriangularis-rh,0.05286343612334802,0.05286343612334802,0.048458149779735685,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.039647577092511016,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05726872246696035,0.05286343612334802,0.048458149779735685
postcentral-lh,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.03663003663003663,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.05128205128205128
postcentral-rh,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.03663003663003663,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.05128205128205128
precentral-lh,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.03663003663003663,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.05128205128205128,0.054945054945054944,0.05128205128205128
precentral-rh,0.053231939163498096,0.053231939163498096,0.049429657794676805,0.057034220532319393,0.053231939163498096,0.053231939163498096,0.053231939163498096,0.053231939163498096,0.053231939163498096,0.057034220532319393,0.053231939163498096,0.053231939163498096,0.03802281368821293,0.053231939163498096,0.053231939163498096,0.057034220532319393,0.053231939163498096,0.053231939163498096,0.049429657794676805
rostralmiddlefrontal-lh,0.05286343612334802,0.05286343612334802,0.048458149779735685,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05286343612334802,0.05286343612334802,0.039647577092511016,0.05286343612334802,0.05286343612334802,0.05726872246696035,0.05726872246696035,0.05286343612334802,0.048458149779735685
