,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07796610169491526,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.0,0.0,0.0,0.020338983050847456,0.0,0.0,0.0711864406779661,0.0,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.023728813559322035,0.06779661016949153,0.0711864406779661,0.07796610169491526,0.0,0.0,0.0,0.0576271186440678,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.0,0.0,0.06440677966101695,0.0,0.0,0.07457627118644068,0.0711864406779661,0.0,0.0
Fz,0.0,0.03691275167785235,0.0436241610738255,0.013422818791946308,0.0,0.0436241610738255,0.0436241610738255,0.013422818791946308,0.0436241610738255,0.0,0.0,0.0,0.040268456375838924,0.040268456375838924,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.03355704697986577,0.03691275167785235,0.0,0.013422818791946308,0.0436241610738255,0.040268456375838924,0.0436241610738255,0.0,0.0,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,0.0,0.010067114093959731,0.0436241610738255,0.040268456375838924,0.0,0.0436241610738255,0.0,0.0,0.0436241610738255,0.040268456375838924,0.0,0.0436241610738255,0.03691275167785235,0.0,0.0,0.0436241610738255,0.03691275167785235,0.0,0.0,0.040268456375838924,0.0
F3,0.0,0.023255813953488372,0.08139534883720931,0.007751937984496124,0.0,0.05232558139534884,0.06976744186046512,0.007751937984496124,0.04844961240310078,0.0,0.0,0.0,0.029069767441860465,0.027131782945736434,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.01937984496124031,0.023255813953488372,0.0,0.007751937984496124,0.046511627906976744,0.025193798449612403,0.046511627906976744,0.0,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.005813953488372093,0.046511627906976744,0.04263565891472868,0.0,0.05426356589147287,0.0,0.0,0.0755813953488372,0.050387596899224806,0.0,0.05426356589147287,0.02131782945736434,0.0,0.0,0.05232558139534884,0.023255813953488372,0.0,0.0,0.031007751937984496,0.0
F7,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.02962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.022222222222222223,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.02569593147751606,0.057815845824411134,0.008565310492505354,0.0,0.05353319057815846,0.055674518201284794,0.008565310492505354,0.05139186295503212,0.0,0.0,0.0,0.032119914346895075,0.029978586723768737,0.0,0.004282655246252677,0.0,0.0,0.0,0.0,0.0,0.0,0.021413276231263382,0.02569593147751606,0.0,0.008565310492505354,0.05139186295503212,0.027837259100642397,0.05139186295503212,0.0,0.0,0.017130620985010708,0.0,0.0,0.0,0.0,0.0,0.0,0.008565310492505354,0.0,0.006423982869379015,0.05139186295503212,0.047109207708779445,0.0,0.055674518201284794,0.0,0.0,0.055674518201284794,0.05139186295503212,0.0,0.055674518201284794,0.023554603854389723,0.0,0.0,0.05353319057815846,0.02569593147751606,0.0,0.0,0.034261241970021415,0.0
FC1,0.0,0.02414486921529175,0.07243460764587525,0.008048289738430584,0.0,0.052313883299798795,0.06639839034205232,0.008048289738430584,0.0482897384305835,0.0,0.0,0.0,0.030181086519114688,0.028169014084507043,0.0,0.004024144869215292,0.0,0.0,0.0,0.0,0.0,0.0,0.02012072434607646,0.02414486921529175,0.0,0.008048289738430584,0.0482897384305835,0.026156941649899398,0.0482897384305835,0.0,0.0,0.01609657947686117,0.0,0.0,0.0,0.0,0.0,0.0,0.008048289738430584,0.0,0.006036217303822937,0.0482897384305835,0.04426559356136821,0.0,0.05432595573440644,0.0,0.0,0.07042253521126761,0.05030181086519115,0.0,0.05432595573440644,0.022132796780684104,0.0,0.0,0.052313883299798795,0.02414486921529175,0.0,0.0,0.03219315895372234,0.0
C3,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.02962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.022222222222222223,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0
T7,0.0,0.026490066225165563,0.05518763796909492,0.008830022075055188,0.0,0.052980132450331126,0.05518763796909492,0.008830022075055188,0.05077262693156733,0.0,0.0,0.0,0.033112582781456956,0.03090507726269316,0.0,0.004415011037527594,0.0,0.0,0.0,0.0,0.0,0.0,0.02207505518763797,0.026490066225165563,0.0,0.008830022075055188,0.05077262693156733,0.02869757174392936,0.05077262693156733,0.0,0.0,0.017660044150110375,0.0,0.0,0.0,0.0,0.0,0.0,0.008830022075055188,0.0,0.006622516556291391,0.05077262693156733,0.046357615894039736,0.0,0.05518763796909492,0.0,0.0,0.05518763796909492,0.05077262693156733,0.0,0.05518763796909492,0.024282560706401765,0.0,0.0,0.052980132450331126,0.026490066225165563,0.0,0.0,0.03532008830022075,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.07236842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.05921052631578947,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.0,0.07236842105263158,0.0,0.0,0.0,0.0,0.0,0.05921052631578947,0.0,0.023026315789473683,0.06578947368421052,0.07236842105263158,0.07894736842105263,0.0,0.0,0.0,0.05592105263157895,0.0,0.0,0.0,0.06907894736842106,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0756578947368421,0.07236842105263158,0.0,0.0
Pz,0.0,0.03519061583577713,0.0469208211143695,0.011730205278592375,0.0,0.0469208211143695,0.0469208211143695,0.011730205278592375,0.04398826979472141,0.0,0.0,0.0,0.04105571847507331,0.03812316715542522,0.0,0.005865102639296188,0.0,0.0,0.0,0.0,0.0,0.0,0.02932551319648094,0.03519061583577713,0.0,0.011730205278592375,0.04398826979472141,0.03812316715542522,0.04398826979472141,0.0,0.0,0.02346041055718475,0.0,0.0,0.0,0.0,0.0,0.0,0.011730205278592375,0.0,0.008797653958944282,0.04398826979472141,0.04105571847507331,0.0,0.0469208211143695,0.0,0.0,0.0469208211143695,0.04398826979472141,0.0,0.0469208211143695,0.03225806451612903,0.0,0.0,0.0469208211143695,0.03519061583577713,0.0,0.0,0.04105571847507331,0.0
P7,0.0,0.036036036036036036,0.04504504504504504,0.012012012012012012,0.0,0.04504504504504504,0.04504504504504504,0.012012012012012012,0.04504504504504504,0.0,0.0,0.0,0.042042042042042045,0.03903903903903904,0.0,0.006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0.03003003003003003,0.036036036036036036,0.0,0.012012012012012012,0.04504504504504504,0.03903903903903904,0.04504504504504504,0.0,0.0,0.024024024024024024,0.0,0.0,0.0,0.0,0.0,0.0,0.012012012012012012,0.0,0.009009009009009009,0.04504504504504504,0.042042042042042045,0.0,0.04504504504504504,0.0,0.0,0.04504504504504504,0.042042042042042045,0.0,0.04504504504504504,0.03303303303303303,0.0,0.0,0.04504504504504504,0.036036036036036036,0.0,0.0,0.042042042042042045,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.0,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.0,0.0,0.0,0.03488372093023256,0.03488372093023256,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.03488372093023256,0.0,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.0,0.0,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.0,0.03488372093023256,0.0,0.0,0.03488372093023256,0.03488372093023256,0.0,0.03488372093023256,0.03488372093023256,0.0,0.0,0.03488372093023256,0.03488372093023256,0.0,0.0,0.03488372093023256,0.0
O2,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07169811320754717,0.0,0.0,0.0,0.0,0.06415094339622641,0.0,0.0,0.0,0.0,0.022641509433962263,0.0,0.0,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.06415094339622641,0.0,0.026415094339622643,0.06415094339622641,0.07169811320754717,0.07169811320754717,0.0,0.0,0.0,0.06037735849056604,0.0,0.0,0.0,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.06415094339622641,0.0,0.0,0.0,0.06037735849056604,0.0,0.0,0.07169811320754717,0.07169811320754717,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.06315789473684211,0.0,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.0,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.06315789473684211,0.0,0.0,0.06315789473684211,0.06315789473684211,0.0,0.0
Cz,0.0,0.038461538461538464,0.04230769230769231,0.015384615384615385,0.0,0.04230769230769231,0.04230769230769231,0.015384615384615385,0.04230769230769231,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.03461538461538462,0.038461538461538464,0.0,0.015384615384615385,0.04230769230769231,0.04230769230769231,0.04230769230769231,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.011538461538461539,0.04230769230769231,0.038461538461538464,0.0,0.04230769230769231,0.0,0.0,0.04230769230769231,0.038461538461538464,0.0,0.04230769230769231,0.038461538461538464,0.0,0.0,0.04230769230769231,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0
C4,0.0,0.03691275167785235,0.0436241610738255,0.013422818791946308,0.0,0.0436241610738255,0.0436241610738255,0.013422818791946308,0.0436241610738255,0.0,0.0,0.0,0.040268456375838924,0.040268456375838924,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.03355704697986577,0.03691275167785235,0.0,0.013422818791946308,0.0436241610738255,0.040268456375838924,0.0436241610738255,0.0,0.0,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,0.0,0.010067114093959731,0.0436241610738255,0.040268456375838924,0.0,0.0436241610738255,0.0,0.0,0.0436241610738255,0.040268456375838924,0.0,0.0436241610738255,0.03691275167785235,0.0,0.0,0.0436241610738255,0.03691275167785235,0.0,0.0,0.040268456375838924,0.0
T8,0.07236842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.05921052631578947,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.0,0.07236842105263158,0.0,0.0,0.0,0.0,0.0,0.05921052631578947,0.0,0.023026315789473683,0.06578947368421052,0.07236842105263158,0.07894736842105263,0.0,0.0,0.0,0.05592105263157895,0.0,0.0,0.0,0.06907894736842106,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0756578947368421,0.07236842105263158,0.0,0.0
FT10,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.02962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.022222222222222223,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0
FC6,0.0,0.02727272727272727,0.05454545454545454,0.00909090909090909,0.0,0.05227272727272727,0.05454545454545454,0.00909090909090909,0.05,0.0,0.0,0.0,0.03409090909090909,0.031818181818181815,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.02727272727272727,0.0,0.00909090909090909,0.05,0.029545454545454545,0.05,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.006818181818181818,0.05,0.045454545454545456,0.0,0.05454545454545454,0.0,0.0,0.05454545454545454,0.05,0.0,0.05454545454545454,0.025,0.0,0.0,0.05227272727272727,0.02727272727272727,0.0,0.0,0.03636363636363636,0.0
FC2,0.0,0.03691275167785235,0.0436241610738255,0.013422818791946308,0.0,0.0436241610738255,0.0436241610738255,0.013422818791946308,0.0436241610738255,0.0,0.0,0.0,0.040268456375838924,0.040268456375838924,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.03355704697986577,0.03691275167785235,0.0,0.013422818791946308,0.0436241610738255,0.040268456375838924,0.0436241610738255,0.0,0.0,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,0.0,0.010067114093959731,0.0436241610738255,0.040268456375838924,0.0,0.0436241610738255,0.0,0.0,0.0436241610738255,0.040268456375838924,0.0,0.0436241610738255,0.03691275167785235,0.0,0.0,0.0436241610738255,0.03691275167785235,0.0,0.0,0.040268456375838924,0.0
F4,0.0,0.02727272727272727,0.05454545454545454,0.00909090909090909,0.0,0.05227272727272727,0.05454545454545454,0.00909090909090909,0.05,0.0,0.0,0.0,0.03409090909090909,0.031818181818181815,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.02727272727272727,0.0,0.00909090909090909,0.05,0.029545454545454545,0.05,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.006818181818181818,0.05,0.045454545454545456,0.0,0.05454545454545454,0.0,0.0,0.05454545454545454,0.05,0.0,0.05454545454545454,0.025,0.0,0.0,0.05227272727272727,0.02727272727272727,0.0,0.0,0.03636363636363636,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07169811320754717,0.0,0.0,0.0,0.0,0.06415094339622641,0.0,0.0,0.0,0.0,0.022641509433962263,0.0,0.0,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.06415094339622641,0.0,0.026415094339622643,0.06415094339622641,0.07169811320754717,0.07169811320754717,0.0,0.0,0.0,0.06037735849056604,0.0,0.0,0.0,0.07169811320754717,0.0,0.0,0.0,0.0,0.0,0.06415094339622641,0.0,0.0,0.0,0.06037735849056604,0.0,0.0,0.07169811320754717,0.07169811320754717,0.0,0.0
AF3,0.0,0.04,0.04,0.017777777777777778,0.0,0.04,0.04,0.017777777777777778,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.035555555555555556,0.04,0.0,0.017777777777777778,0.04,0.04,0.04,0.0,0.0,0.03111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.017777777777777778,0.0,0.013333333333333334,0.04,0.04,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.04,0.0
AFz,0.06481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.0,0.0,0.06481481481481481,0.0,0.05555555555555555,0.06481481481481481,0.06481481481481481,0.06481481481481481,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.06481481481481481,0.06481481481481481,0.0,0.0
F1,0.07114624505928854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07509881422924901,0.0,0.0,0.0,0.0,0.05928853754940711,0.0,0.0,0.0,0.0,0.019762845849802372,0.0,0.0,0.07114624505928854,0.0,0.0,0.0,0.0,0.0,0.05928853754940711,0.0,0.02766798418972332,0.07114624505928854,0.07114624505928854,0.07509881422924901,0.0,0.0,0.0,0.05533596837944664,0.0,0.0,0.0,0.06719367588932806,0.0,0.0,0.0,0.0,0.0,0.05928853754940711,0.0,0.0,0.0,0.07114624505928854,0.0,0.0,0.07509881422924901,0.07114624505928854,0.0,0.0
F5,0.0711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07796610169491526,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.0,0.0,0.0,0.020338983050847456,0.0,0.0,0.0711864406779661,0.0,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.023728813559322035,0.06779661016949153,0.0711864406779661,0.07796610169491526,0.0,0.0,0.0,0.0576271186440678,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.0,0.0,0.06440677966101695,0.0,0.0,0.07457627118644068,0.0711864406779661,0.0,0.0
FT7,0.07236842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.05921052631578947,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.0,0.07236842105263158,0.0,0.0,0.0,0.0,0.0,0.05921052631578947,0.0,0.023026315789473683,0.06578947368421052,0.07236842105263158,0.07894736842105263,0.0,0.0,0.0,0.05592105263157895,0.0,0.0,0.0,0.06907894736842106,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0756578947368421,0.07236842105263158,0.0,0.0
FC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.02962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.022222222222222223,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0
TP7,0.07003891050583658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07003891050583658,0.0,0.0,0.0,0.0,0.06614785992217899,0.0,0.0,0.0,0.0,0.023346303501945526,0.0,0.0,0.07003891050583658,0.0,0.0,0.0,0.0,0.0,0.06614785992217899,0.0,0.027237354085603113,0.06614785992217899,0.07003891050583658,0.07003891050583658,0.0,0.0,0.0,0.0622568093385214,0.0,0.0,0.0,0.07003891050583658,0.0,0.0,0.0,0.0,0.0,0.06614785992217899,0.0,0.0,0.0,0.0622568093385214,0.0,0.0,0.07003891050583658,0.07003891050583658,0.0,0.0
CP3,0.0,0.035398230088495575,0.035398230088495575,0.035398230088495575,0.0,0.035398230088495575,0.035398230088495575,0.035398230088495575,0.035398230088495575,0.0,0.0,0.0,0.035398230088495575,0.035398230088495575,0.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.035398230088495575,0.035398230088495575,0.0,0.035398230088495575,0.035398230088495575,0.035398230088495575,0.035398230088495575,0.0,0.0,0.035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.035398230088495575,0.0,0.02654867256637168,0.035398230088495575,0.035398230088495575,0.0,0.035398230088495575,0.0,0.0,0.035398230088495575,0.035398230088495575,0.0,0.035398230088495575,0.035398230088495575,0.0,0.0,0.035398230088495575,0.035398230088495575,0.0,0.0,0.035398230088495575,0.0
