,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.07801418439716312,0.0,0.0,0.0,0.0070921985815602835,0.0,0.07092198581560284,0.06382978723404255,0.0,0.07092198581560284,0.0,0.028368794326241134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.0,0.03546099290780142,0.0,0.07092198581560284,0.0,0.02127659574468085,0.0,0.0070921985815602835,0.0,0.07092198581560284,0.0,0.0,0.0,0.0,0.0,0.07801418439716312,0.0,0.0,0.0,0.07092198581560284,0.07092198581560284,0.0,0.0,0.05673758865248227,0.0,0.0,0.0,0.05673758865248227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234
F7,0.0,0.0,0.0,0.06133625410733844,0.0624315443592552,0.0,0.0,0.0,0.0,0.0,0.0624315443592552,0.0,0.0,0.0,0.0,0.0,0.0,0.0624315443592552,0.0,0.0,0.0,0.0,0.0,0.0,0.0624315443592552,0.0,0.0,0.0,0.05585980284775466,0.0,0.0624315443592552,0.0,0.050383351588170866,0.0624315443592552,0.0,0.0,0.0624315443592552,0.0,0.0624315443592552,0.0624315443592552,0.0,0.0,0.0,0.0,0.0,0.0,0.054764512595837894,0.0,0.0624315443592552,0.0,0.0,0.0,0.05805038335158817,0.0,0.0,0.0624315443592552,0.0,0.03285870755750274,0.0,0.0
FT9,0.0,0.0,0.0,0.053420805998125584,0.06935332708528585,0.0,0.0,0.0,0.0,0.0,0.06466729147141519,0.0,0.0,0.0,0.0,0.0,0.0,0.06747891283973759,0.0,0.0,0.0,0.0,0.0,0.0,0.06747891283973759,0.0,0.0,0.0,0.04779756326148079,0.0,0.06466729147141519,0.0,0.04311152764761012,0.06841611996251172,0.0,0.0,0.06841611996251172,0.0,0.07029053420805999,0.056232427366447985,0.0,0.0,0.0,0.0,0.0,0.0,0.046860356138706656,0.0,0.06747891283973759,0.0,0.0,0.0,0.05248359887535145,0.0,0.0,0.06373008434864105,0.0,0.028116213683223992,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
C3,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
T7,0.0,0.0,0.018272425249169437,0.0,0.0,0.0,0.0016611295681063123,0.0,0.12790697674418605,0.1212624584717608,0.0,0.07475083056478406,0.0,0.006644518272425249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013289036544850499,0.0,0.008305647840531562,0.0,0.10299003322259136,0.0,0.0049833887043189366,0.0,0.0016611295681063123,0.0,0.12956810631229235,0.0,0.0,0.0,0.0,0.0,0.018272425249169437,0.0,0.0,0.0,0.12292358803986711,0.08970099667774087,0.0,0.0,0.013289036544850499,0.0,0.0,0.0,0.013289036544850499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13122923588039867
TP9,0.0,0.0,0.01680672268907563,0.0,0.0,0.0,0.0016806722689075631,0.0,0.12773109243697478,0.12605042016806722,0.0,0.07563025210084033,0.0,0.0067226890756302525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013445378151260505,0.0,0.008403361344537815,0.0,0.10420168067226891,0.0,0.005042016806722689,0.0,0.0016806722689075631,0.0,0.12941176470588237,0.0,0.0,0.0,0.0,0.0,0.01680672268907563,0.0,0.0,0.0,0.11932773109243698,0.0907563025210084,0.0,0.0,0.013445378151260505,0.0,0.0,0.0,0.013445378151260505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12941176470588237
