,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.07261048799533978,0.07131866166932319,0.0598965281687288,0.051443255332494234,0.04401149966403435,0.03984021725312811,0.06506383347279517,0.05563584117835236,0.06810079528167332,0.0,0.06610665407552171,0.0693245204631716,0.054412115996854075,0.038548390927111514,0.02880329176486037,0.053822604550972486,0.04480321912363955,0.04480321912363955,0.07145486395835982
caudalmiddlefrontal-rh,0.07078918073443621,0.07078918073443621,0.060155215173463346,0.05166206352337739,0.0442204717752163,0.04001000479102669,0.06534925175436124,0.05587358735168954,0.06840247442437222,0.0,0.06640186850040865,0.06963087957613505,0.05464518219992673,0.038711495645802216,0.028919834850491787,0.05404876983344137,0.044993729391539616,0.044993729391539616,0.07040308034833581
inferiorparietal-rh,0.06382940522135977,0.06382940522135977,0.06332790070781916,0.05515284666040432,0.04780166373816323,0.04303227012200148,0.06332790070781916,0.06010137817847358,0.06382940522135977,0.0,0.06382940522135977,0.06382940522135977,0.05878620401481091,0.04162242626985921,0.031034519343220872,0.05606118599900597,0.048387636465131764,0.048387636465131764,0.06382940522135977
parsopercularis-lh,0.061701207565112604,0.061701207565112604,0.061701207565112604,0.06124416917388774,0.04707597904591698,0.04456636689320467,0.061701207565112604,0.06033009239143801,0.061701207565112604,0.0,0.061701207565112604,0.061701207565112604,0.05941601560898828,0.04298825226879596,0.031130872840852267,0.05850193882653856,0.05056832621473836,0.05056832621473836,0.061701207565112604
parstriangularis-rh,0.05879644402079302,0.05879644402079302,0.05879644402079302,0.05150999866711366,0.05879644402079302,0.050809223573508686,0.05879644402079302,0.05879644402079302,0.05879644402079302,0.0,0.05879644402079302,0.05879644402079302,0.05879644402079302,0.049744260847204104,0.041557780623063784,0.05267459128184622,0.053471630389270136,0.053471630389270136,0.05879644402079302
postcentral-lh,0.05715842804738709,0.05715842804738709,0.05715842804738709,0.052267123699561005,0.05335408022130014,0.05715842804738709,0.05715842804738709,0.05715842804738709,0.05715842804738709,0.0,0.05715842804738709,0.05715842804738709,0.05715842804738709,0.05646686511516026,0.042041764387515786,0.052810601960430574,0.05715842804738709,0.05715842804738709,0.05715842804738709
postcentral-rh,0.06661133685341104,0.06661133685341104,0.0621052117679753,0.05332617300455908,0.04571319127841912,0.04129982499755898,0.06613740320412195,0.05767682381835798,0.06661133685341104,0.0,0.06621514033994036,0.06661133685341104,0.05641049714212752,0.0399557611855101,0.02983265861004499,0.0553848927077309,0.04644286883829925,0.04644286883829925,0.06661133685341104
precentral-lh,0.061697335166053295,0.061697335166053295,0.061697335166053295,0.05580100208397996,0.04990289540194209,0.04485168270296634,0.061697335166053295,0.061276105174477895,0.061697335166053295,0.0,0.061697335166053295,0.061697335166053295,0.061276105174477895,0.04337782113244358,0.03232341595353168,0.056748547865029045,0.05043187159136257,0.05043187159136257,0.061697335166053295
precentral-rh,0.0683856162237027,0.0683856162237027,0.06090351362397623,0.05231153391226988,0.04473230803891863,0.040512319852574814,0.06615322514257985,0.056573765306844555,0.0683856162237027,0.0,0.0672082221891658,0.0683856162237027,0.055328854349750656,0.03919989197292391,0.02929548438156665,0.05473383890390067,0.04555948060350741,0.04555948060350741,0.0683856162237027
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
